Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
LAZ,KNN,0,0,hamming,17,0.5047787610619469,10,-1,0,11,0.5
 LAZ,KNN,0,0,manhattan,20,0.5501792114695341,20,-1,0,11,0.5
 LAZ,KNN,0,0,braycurtis,17,0.5430127041742286,30,-1,0,11,0.5333333333333333
 LAZ,KNN,0,0,manhattan,11,0.5354128440366972,40,-1,0,7,0.375
 LAZ,KNN,0,0,chebyshev,11,0.5323420074349442,50,-1,0,7,0.4
 LAZ,KNN,0,0,canberra,20,0.5487758945386064,60,-1,0,11,0.26666666666666666
 LAZ,KNN,0,0,chebyshev,14,0.5184761904761904,70,-1,0,3,0.7285714285714285
 LAZ,KNN,0,0,hamming,10,0.5301158301158301,80,-1,0,5,0.5875
 LAZ,KNN,0,0,braycurtis,12,0.5213307240704501,90,-1,0,7,0.6
 LAZ,KNN,0,0,braycurtis,15,0.5433663366336634,100,-1,0,5,0.64
 IX,KNN,0,0,hamming,10,0.4478481012658228,10,-1,0,9,0.7
 IX,KNN,0,0,hamming,22,0.49731800766283524,20,-1,0,11,0.55
 IX,KNN,0,0,euclidean,12,0.48943298969072163,30,-1,0,5,0.2
 IX,KNN,0,0,hamming,10,0.5049350649350649,40,-1,0,3,0.45
 IX,KNN,0,0,hamming,10,0.5035386631716907,50,-1,0,3,0.16
 IX,KNN,0,0,hamming,12,0.5113756613756614,60,-1,0,11,0.2
 IX,KNN,0,0,hamming,10,0.49866666666666665,70,-1,0,5,0.5
 IX,KNN,0,0,hamming,10,0.5047106325706595,80,-1,0,3,0.3375
 IX,KNN,0,0,hamming,22,0.5201086956521739,90,-1,0,3,0.5333333333333333
 IX,KNN,0,0,canberra,11,0.5106849315068493,100,-1,0,3,0.47
 HUN,KNN,0,0,canberra,15,0.4397905759162304,10,-1,0,9,0.8
 HUN,KNN,0,0,braycurtis,21,0.5252204585537918,20,-1,0,9,0.45
 HUN,KNN,0,0,euclidean,10,0.545,30,-1,0,7,0.7333333333333333
 HUN,KNN,0,0,chebyshev,10,0.5587703435804702,40,-1,0,5,0.825
 HUN,KNN,0,0,hamming,20,0.5202925045703839,50,-1,0,7,0.3
 HUN,KNN,0,0,hamming,11,0.5040740740740741,60,-1,0,9,0.65
 HUN,KNN,0,0,canberra,12,0.5433395872420262,70,-1,0,3,0.3
 HUN,KNN,0,0,canberra,17,0.5351043643263758,80,-1,0,9,0.3625
 HUN,KNN,0,0,euclidean,11,0.5442307692307692,90,-1,0,3,0.5666666666666667
 HUN,KNN,0,0,canberra,11,0.5610136452241715,100,-1,0,9,0.45
 KMT,KNN,0,0,hamming,10,0.45318352059925093,10,-1,0,9,0.7
 KMT,KNN,0,0,braycurtis,20,0.5559748427672956,20,-1,0,11,0.45
 KMT,KNN,0,0,canberra,11,0.5560913705583757,30,-1,0,11,0.36666666666666664
 KMT,KNN,0,0,euclidean,10,0.5572343149807939,40,-1,0,9,0.475
 KMT,KNN,0,0,chebyshev,10,0.528,50,-1,0,5,0.52
 KMT,KNN,0,0,chebyshev,17,0.5213541666666667,60,-1,0,11,0.38333333333333336
 KMT,KNN,0,0,hamming,11,0.5198423127463864,70,-1,0,11,0.5428571428571428
 KMT,KNN,0,0,chebyshev,10,0.526887417218543,80,-1,0,5,0.575
 KMT,KNN,0,0,canberra,10,0.5270053475935829,90,-1,0,9,0.5555555555555556
 KMT,KNN,0,0,canberra,11,0.5263157894736842,100,-1,0,3,0.38
 BHP,KNN,0,0,canberra,18,0.4885,10,-1,0,11,1.0
 BHP,KNN,0,0,braycurtis,20,0.5153652392947103,20,-1,0,9,0.35
 BHP,KNN,0,0,hamming,11,0.5308767471410419,30,-1,0,7,0.26666666666666666
 BHP,KNN,0,0,hamming,11,0.5184615384615384,40,-1,0,3,1.0
 BHP,KNN,0,0,hamming,12,0.5049095607235142,50,-1,0,5,0.72
