Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
LAZ,RF,50,10,0,14,0.45902777777777776,10,-1,0,-1,0.7
 LAZ,SVM,0,0,linear,0,0.5694444444444444,10,5,0,-1,0.7
 LAZ,KNN,0,0,chebyshev,0,0.4690972222222222,10,-1,0,11,0.2
 LAZ,ZR,0,0,0,0,0,10,-1,0,-1,0.0
 LAZ,RF,40,10,0,14,0.5849122807017544,20,-1,0,-1,0.6
 LAZ,SVM,0,0,linear,0,0.656140350877193,20,0.5,0,-1,0.6
 LAZ,KNN,0,0,canberra,0,0.5789473684210527,20,-1,0,9,0.35
 LAZ,ZR,0,0,0,0,0,20,-1,0,-1,0.6
 LAZ,RF,30,50,0,14,0.5293072824156305,30,-1,0,-1,0.5
 LAZ,SVM,0,0,rbf,0,0.5335701598579041,30,1,0,-1,0.7
 LAZ,KNN,0,0,canberra,0,0.5211367673179396,30,-1,0,9,0.5
 LAZ,ZR,0,0,0,0,0,30,-1,0,-1,0.7
 LAZ,RF,50,40,0,14,0.5377697841726619,40,-1,0,-1,0.45
 LAZ,SVM,0,0,linear,0,0.5629496402877698,40,5,0,-1,0.4
 LAZ,KNN,0,0,chebyshev,0,0.5420863309352518,40,-1,0,11,0.55
 LAZ,ZR,0,0,0,0,0,40,-1,0,-1,0.475
 LAZ,RF,30,10,0,14,0.5996363636363636,50,-1,0,-1,0.3
 LAZ,SVM,0,0,linear,0,0.5610909090909091,50,10,0,-1,0.32
 LAZ,KNN,0,0,euclidean,0,0.5901818181818181,50,-1,0,11,0.36
 LAZ,ZR,0,0,0,0,0,50,-1,0,-1,0.58
 LAZ,RF,50,20,0,14,0.5823204419889503,60,-1,0,-1,0.6
 LAZ,SVM,0,0,linear,0,0.5756906077348066,60,5,0,-1,0.35
 LAZ,KNN,0,0,euclidean,0,0.5664825046040516,60,-1,0,5,0.4166666666666667
 LAZ,ZR,0,0,0,0,0,60,-1,0,-1,0.35
 LAZ,RF,50,50,0,14,0.5917910447761194,70,-1,0,-1,0.34285714285714286
 LAZ,SVM,0,0,rbf,0,0.5914179104477612,70,1,0,-1,0.12857142857142856
 LAZ,KNN,0,0,chebyshev,0,0.5880597014925373,70,-1,0,5,0.42857142857142855
 LAZ,ZR,0,0,0,0,0,70,-1,0,-1,0.12857142857142856
 LAZ,RF,50,10,0,14,0.5664150943396227,80,-1,0,-1,0.5375
 LAZ,SVM,0,0,linear,0,0.6026415094339622,80,0.5,0,-1,0.4
 LAZ,KNN,0,0,braycurtis,0,0.5520754716981132,80,-1,0,11,0.4125
 LAZ,ZR,0,0,0,0,0,80,-1,0,-1,0.3
 LAZ,RF,10,10,0,14,0.5793499043977055,90,-1,0,-1,0.4888888888888889
 LAZ,SVM,0,0,linear,0,0.6034416826003824,90,1,0,-1,0.5111111111111111
 LAZ,KNN,0,0,manhattan,0,0.5506692160611855,90,-1,0,3,0.5444444444444444
 LAZ,ZR,0,0,0,0,0,90,-1,0,-1,0.4444444444444444
 LAZ,RF,30,10,0,14,0.5313953488372093,100,-1,0,-1,0.52
 LAZ,SVM,0,0,rbf,0,0.5786821705426357,100,10,0,-1,0.48
 LAZ,KNN,0,0,canberra,0,0.5317829457364341,100,-1,0,9,0.51
 LAZ,ZR,0,0,0,0,0,100,-1,0,-1,0.48
 IX,RF,30,10,0,14,0.45967540574282145,10,-1,0,-1,0.2
 IX,SVM,0,0,linear,0,0.5458177278401998,10,0.5,0,-1,0.7
 IX,KNN,0,0,canberra,0,0.4394506866416979,10,-1,0,11,0.5
 IX,ZR,0,0,0,0,0,10,-1,0,-1,0.2
 IX,RF,40,10,0,14,0.5526448362720403,20,-1,0,-1,0.75
 IX,SVM,0,0,linear,0,0.6234256926952141,20,0.5,0,-1,0.75
 IX,KNN,0,0,canberra,0,0.5335012594458438,20,-1,0,11,0.7
 IX,ZR,0,0,0,0,0,20,-1,0,-1,0.75
 IX,RF,20,20,0,14,0.47741116751269036,30,-1,0,-1,0.06666666666666667
 IX,SVM,0,0,linear,0,0.4654822335025381,30,0.5,0,-1,0.03333333333333333
 IX,KNN,0,0,canberra,0,0.4746192893401015,30,-1,0,3,0.16666666666666666
 IX,ZR,0,0,0,0,0,30,-1,0,-1,0.0
 IX,RF,10,10,0,14,0.4921895006402049,40,-1,0,-1,0.3
 IX,SVM,0,0,linear,0,0.46299615877080663,40,5,0,-1,0.425
 IX,KNN,0,0,canberra,0,0.47528809218950063,40,-1,0,3,0.275
 IX,ZR,0,0,0,0,0,40,-1,0,-1,0.4
 IX,RF,20,10,0,14,0.4813953488372093,50,-1,0,-1,0.72
 IX,SVM,0,0,linear,0,0.4684754521963824,50,100,0,-1,0.16
 IX,KNN,0,0,chebyshev,0,0.49534883720930234,50,-1,0,3,0.6
 IX,ZR,0,0,0,0,0,50,-1,0,-1,0.16
 IX,RF,30,30,0,14,0.46588541666666666,60,-1,0,-1,0.6166666666666667
 IX,SVM,0,0,poly,0,0.4934895833333333,60,100,3,-1,0.15
 IX,KNN,0,0,canberra,0,0.49192708333333335,60,-1,0,5,0.45
 IX,ZR,0,0,0,0,0,60,-1,0,-1,0.15
 IX,RF,40,40,0,14,0.5116951379763469,70,-1,0,-1,0.44285714285714284
 IX,SVM,0,0,linear,0,0.48909329829172143,70,1,0,-1,0.45714285714285713
 IX,KNN,0,0,chebyshev,0,0.5114323258869908,70,-1,0,7,0.5857142857142857
 IX,ZR,0,0,0,0,0,70,-1,0,-1,0.45714285714285713
 IX,RF,40,20,0,14,0.4907161803713528,80,-1,0,-1,0.65
 IX,SVM,0,0,linear,0,0.5153846153846153,80,5,0,-1,0.625
 IX,KNN,0,0,canberra,0,0.5047745358090185,80,-1,0,7,0.575
 IX,ZR,0,0,0,0,0,80,-1,0,-1,0.625
 IX,RF,10,50,0,14,0.48663101604278075,90,-1,0,-1,0.36666666666666664
 IX,SVM,0,0,linear,0,0.4903743315508021,90,10,0,-1,0.4666666666666667
 IX,KNN,0,0,chebyshev,0,0.5168449197860963,90,-1,0,3,0.3888888888888889
 IX,ZR,0,0,0,0,0,90,-1,0,-1,0.4666666666666667
 IX,RF,40,10,0,14,0.5198380566801619,100,-1,0,-1,0.52
 IX,SVM,0,0,linear,0,0.5001349527665317,100,0.5,0,-1,0.58
 IX,KNN,0,0,chebyshev,0,0.5101214574898786,100,-1,0,5,0.35
 IX,ZR,0,0,0,0,0,100,-1,0,-1,0.58
 HUN,RF,20,30,0,14,0.5285470085470085,10,-1,0,-1,0.3
 HUN,SVM,0,0,linear,0,0.5965811965811966,10,5,0,-1,0.1
