Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
ABR,RF,20,10,0,14,0.45193548387096777,10,-1,0,-1,0.6
 ABR,SVM,0,0,linear,0,0.6016129032258064,10,100,0,-1,0.6
 ABR,KNN,0,0,canberra,0,0.4603225806451613,10,-1,0,11,0.6
 ABR,ZR,0,0,0,0,0,10,-1,0,-1,0.6
 ABR,RF,50,10,0,14,0.5690048939641109,20,-1,0,-1,0.7
 ABR,SVM,0,0,linear,0,0.5409461663947798,20,100,0,-1,0.7
 ABR,KNN,0,0,canberra,0,0.5203915171288744,20,-1,0,11,0.65
 ABR,ZR,0,0,0,0,0,20,-1,0,-1,0.0
 ABR,RF,20,10,0,14,0.4939044481054366,30,-1,0,-1,0.26666666666666666
 ABR,SVM,0,0,linear,0,0.5337726523887973,30,100,0,-1,0.36666666666666664
 ABR,KNN,0,0,canberra,0,0.4675453047775947,30,-1,0,3,0.43333333333333335
 ABR,ZR,0,0,0,0,0,30,-1,0,-1,0.2
 ABR,RF,30,10,0,14,0.48433333333333334,40,-1,0,-1,0.525
 ABR,SVM,0,0,linear,0,0.4796666666666667,40,0.5,0,-1,1.0
 ABR,KNN,0,0,canberra,0,0.47,40,-1,0,9,0.375
 ABR,ZR,0,0,0,0,0,40,-1,0,-1,1.0
 ABR,RF,40,20,0,14,0.48532883642495783,50,-1,0,-1,0.76
 ABR,SVM,0,0,linear,0,0.5349072512647555,50,0.5,0,-1,0.66
 ABR,KNN,0,0,braycurtis,0,0.5177065767284992,50,-1,0,11,0.44
 ABR,ZR,0,0,0,0,0,50,-1,0,-1,0.66
 ABR,RF,10,10,0,14,0.44872231686541736,60,-1,0,-1,0.5
 ABR,SVM,0,0,rbf,0,0.5540034071550256,60,5,0,-1,0.45
 ABR,KNN,0,0,euclidean,0,0.5056218057921635,60,-1,0,7,0.45
 ABR,ZR,0,0,0,0,0,60,-1,0,-1,0.45
 ABR,RF,50,10,0,14,0.46413793103448275,70,-1,0,-1,0.6571428571428571
 ABR,SVM,0,0,rbf,0,0.5724137931034483,70,1,0,-1,0.6571428571428571
 ABR,KNN,0,0,canberra,0,0.4920689655172414,70,-1,0,11,0.4714285714285714
 ABR,ZR,0,0,0,0,0,70,-1,0,-1,0.6571428571428571
 ABR,RF,40,20,0,14,0.499825479930192,80,-1,0,-1,0.625
 ABR,SVM,0,0,rbf,0,0.5654450261780105,80,5,0,-1,0.6875
 ABR,KNN,0,0,canberra,0,0.4816753926701571,80,-1,0,5,0.525
 ABR,ZR,0,0,0,0,0,80,-1,0,-1,0.7625
 ABR,RF,20,20,0,14,0.5298059964726631,90,-1,0,-1,0.24444444444444444
 ABR,SVM,0,0,linear,0,0.5904761904761905,90,100,0,-1,0.9888888888888889
 ABR,KNN,0,0,euclidean,0,0.508641975308642,90,-1,0,7,0.7222222222222222
 ABR,ZR,0,0,0,0,0,90,-1,0,-1,0.9888888888888889
 ABR,RF,20,50,0,14,0.48857142857142855,100,-1,0,-1,0.32
 ABR,SVM,0,0,linear,0,0.5735714285714286,100,100,0,-1,1.0
 ABR,KNN,0,0,braycurtis,0,0.47285714285714286,100,-1,0,3,0.52
 ABR,ZR,0,0,0,0,0,100,-1,0,-1,1.0
 INXN,RF,20,30,0,14,0.5934328358208956,10,-1,0,-1,0.7
 INXN,SVM,0,0,linear,0,0.7194029850746269,10,100,0,-1,0.7
 INXN,KNN,0,0,chebyshev,0,0.6471641791044777,10,-1,0,11,0.7
