Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
LAZ,RF,40,30,0,11,0.4201388888888889,10,-1,0,-1,0.5
 LAZ,SVM,0,0,linear,0,0.4253472222222222,10,10,0,-1,0.6
 LAZ,KNN,0,0,euclidean,0,0.4263888888888889,10,-1,0,7,0.4
 LAZ,ZR,0,0,0,0,0,10,-1,0,-1,0.0
 LAZ,RF,20,10,0,11,0.5168421052631579,20,-1,0,-1,0.5
 LAZ,SVM,0,0,linear,0,0.5249122807017544,20,0.5,0,-1,0.35
 LAZ,KNN,0,0,hamming,0,0.5003508771929824,20,-1,0,7,0.55
 LAZ,ZR,0,0,0,0,0,20,-1,0,-1,0.6
 LAZ,RF,10,30,0,11,0.5037300177619893,30,-1,0,-1,0.43333333333333335
 LAZ,SVM,0,0,rbf,0,0.5179396092362345,30,1,0,-1,0.4
 LAZ,KNN,0,0,canberra,0,0.4937833037300178,30,-1,0,11,0.5666666666666667
 LAZ,ZR,0,0,0,0,0,30,-1,0,-1,0.7
 LAZ,RF,40,40,0,11,0.5172661870503598,40,-1,0,-1,0.475
 LAZ,SVM,0,0,linear,0,0.5377697841726619,40,0.5,0,-1,0.45
 LAZ,KNN,0,0,euclidean,0,0.5176258992805756,40,-1,0,9,0.475
 LAZ,ZR,0,0,0,0,0,40,-1,0,-1,0.475
 LAZ,RF,50,10,0,11,0.516,50,-1,0,-1,0.58
 LAZ,SVM,0,0,linear,0,0.5367272727272727,50,0.5,0,-1,0.58
 LAZ,KNN,0,0,euclidean,0,0.5134545454545455,50,-1,0,7,0.6
 LAZ,ZR,0,0,0,0,0,50,-1,0,-1,0.58
 LAZ,RF,40,40,0,11,0.5278084714548803,60,-1,0,-1,0.36666666666666664
 LAZ,SVM,0,0,rbf,0,0.5307550644567219,60,10,0,-1,0.36666666666666664
 LAZ,KNN,0,0,chebyshev,0,0.539963167587477,60,-1,0,11,0.48333333333333334
 LAZ,ZR,0,0,0,0,0,60,-1,0,-1,0.35
 LAZ,RF,10,10,0,11,0.5231343283582089,70,-1,0,-1,0.24285714285714285
 LAZ,SVM,0,0,linear,0,0.5548507462686567,70,1,0,-1,0.12857142857142856
 LAZ,KNN,0,0,chebyshev,0,0.5462686567164179,70,-1,0,5,0.6428571428571429
 LAZ,ZR,0,0,0,0,0,70,-1,0,-1,0.12857142857142856
 LAZ,RF,40,10,0,11,0.5143396226415095,80,-1,0,-1,0.45
 LAZ,SVM,0,0,rbf,0,0.5120754716981132,80,5,0,-1,0.3875
 LAZ,KNN,0,0,chebyshev,0,0.5562264150943397,80,-1,0,7,0.55
 LAZ,ZR,0,0,0,0,0,80,-1,0,-1,0.3
 LAZ,RF,40,40,0,11,0.5254302103250478,90,-1,0,-1,0.4888888888888889
 LAZ,SVM,0,0,poly,0,0.5273422562141491,90,5,3,-1,0.5111111111111111
 LAZ,KNN,0,0,chebyshev,0,0.5411089866156787,90,-1,0,5,0.6222222222222222
 LAZ,ZR,0,0,0,0,0,90,-1,0,-1,0.4444444444444444
 LAZ,RF,30,20,0,11,0.5186046511627908,100,-1,0,-1,0.39
 LAZ,SVM,0,0,poly,0,0.5182170542635659,100,1,3,-1,0.4
 LAZ,KNN,0,0,chebyshev,0,0.5279069767441861,100,-1,0,7,0.43
 LAZ,ZR,0,0,0,0,0,100,-1,0,-1,0.48
 IX,RF,20,30,0,11,0.4474406991260924,10,-1,0,-1,0.7
 IX,SVM,0,0,poly,0,0.4377028714107366,10,1,3,-1,0.8
 IX,KNN,0,0,canberra,0,0.41198501872659177,10,-1,0,11,0.7
 IX,ZR,0,0,0,0,0,10,-1,0,-1,0.2
 IX,RF,10,10,0,11,0.4607052896725441,20,-1,0,-1,0.55
 IX,SVM,0,0,rbf,0,0.46146095717884134,20,1,0,-1,0.45
 IX,KNN,0,0,chebyshev,0,0.47455919395465995,20,-1,0,9,0.4
 IX,ZR,0,0,0,0,0,20,-1,0,-1,0.75
 IX,RF,10,10,0,11,0.4850253807106599,30,-1,0,-1,0.16666666666666666
 IX,SVM,0,0,rbf,0,0.482994923857868,30,10,0,-1,0.16666666666666666
 IX,KNN,0,0,chebyshev,0,0.4817258883248731,30,-1,0,11,0.1
 IX,ZR,0,0,0,0,0,30,-1,0,-1,0.0
