timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-04-07,20.05,20.6,20.05,20.5,6.5957,3707500,0.0,1.0
2004-04-08,20.5,20.5,20.36,20.43,6.5731,301200,0.0,1.0
2004-04-12,20.45,20.45,19.42,19.52,6.2804,852900,0.0,1.0
2004-04-13,19.51,19.55,19.35,19.51,6.2771,226800,0.0,1.0
2004-04-14,19.4014,19.48,19.4,19.43,6.2514,143900,0.0,1.0
2004-04-15,19.43,19.64,19.43,19.6,6.3061,22700,0.0,1.0
2004-04-16,19.6,19.6,19.5,19.5,6.2739,33600,0.0,1.0
2004-04-19,19.5,19.58,19.5,19.51,6.2771,16300,0.0,1.0
2004-04-20,19.5,19.77,19.5,19.7,6.3383,13400,0.0,1.0
2004-04-21,19.6504,19.65,19.0,19.3,6.2096,120000,0.0,1.0
2004-04-22,19.3,19.55,19.25,19.55,6.29,11200,0.0,1.0
2004-04-23,19.51,19.52,19.5018,19.5,6.2739,7600,0.0,1.0
2004-04-26,19.5,19.55,19.45,19.5,6.2739,11700,0.0,1.0
2004-04-27,19.45,19.95,19.4,19.75,6.3544,18000,0.0,1.0
2004-04-28,19.8,19.83,19.55,19.55,6.29,15500,0.0,1.0
2004-04-29,19.6,19.62,19.4,19.58,6.2997,33400,0.0,1.0
2004-04-30,19.55,19.55,19.36,19.45,6.2578,79100,0.0,1.0
2004-05-03,19.45,19.5,19.35,19.48,6.2675,13200,0.0,1.0
2004-05-04,19.5,19.6,19.3,19.4,6.2418,60800,0.0,1.0
2004-05-05,19.37,19.59,19.35,19.59,6.3029,9900,0.0,1.0
2004-05-06,19.6,20.01,19.5,20.0,6.4348,83200,0.0,1.0
2004-05-07,19.8,19.8,19.28,19.3,6.2096,31300,0.0,1.0
2004-05-10,19.15,19.22,18.8,19.22,6.1838,75300,0.0,1.0
2004-05-11,19.2,19.2,19.01,19.02,6.1195,28600,0.0,1.0
2004-05-12,19.2,19.36,19.15,19.2,6.1774,26900,0.0,1.0
