timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,6.0,6.0,5.875,5.938,5.1184,23800,0.0,1.0
1999-09-14,5.875,5.938,5.688,5.813,5.0107,51300,0.0,1.0
1999-09-15,5.813,5.875,5.75,5.75,4.9568,19600,0.0,1.0
1999-09-16,5.813,5.8126,5.75,5.813,5.0107,14200,0.0,1.0
1999-09-17,5.75,5.875,5.75,5.813,5.0107,44600,0.0,1.0
1999-09-20,5.75,5.875,5.75,5.75,4.9568,21300,0.0,1.0
1999-09-21,5.8755,6.25,5.875,6.25,5.3878,184600,0.0,1.0
1999-09-22,6.438,6.563,6.313,6.375,5.4956,183600,0.0,1.0
1999-09-23,6.375,6.563,6.188,6.5,5.6033,65000,0.0,1.0
1999-09-24,6.6255,6.813,6.625,6.625,5.7111,166200,0.0,1.0
1999-09-27,7.25,8.125,7.188,8.0,6.8964,809600,0.0,1.0
1999-09-28,8.688,9.0,7.875,8.0,6.8964,599700,0.0,1.0
1999-09-29,7.813,8.063,7.563,8.063,6.9503,279600,0.0,1.0
1999-09-30,8.063,8.063,7.5,7.75,6.6809,156400,0.0,1.0
1999-10-01,8.0,8.5,8.0,8.313,7.1658,299000,0.0,1.0
1999-10-04,8.813,9.438,8.625,9.313,8.0278,375900,0.0,1.0
1999-10-05,9.5,9.688,9.313,9.438,8.1356,403700,0.0,1.0
1999-10-06,9.0,9.438,8.813,9.313,8.0278,369700,0.0,1.0
1999-10-07,9.188,9.625,9.188,9.5,8.1895,255600,0.0,1.0
1999-10-08,9.438,9.688,8.938,9.0,7.7584,348900,0.0,1.0
1999-10-11,8.75,9.125,8.688,9.063,7.8123,136900,0.0,1.0
1999-10-12,9.188,9.375,9.0,9.125,7.8662,417400,0.0,1.0
1999-10-13,9.188,9.375,9.188,9.25,7.974,119300,0.0,1.0
1999-10-14,9.313,9.313,8.8135,9.0,7.7584,136200,0.0,1.0
1999-10-15,8.563,9.063,8.438,8.938,7.7046,187100,0.0,1.0
1999-10-18,9.0,9.0,8.75,8.75,7.5429,163600,0.0,1.0
1999-10-19,8.75,8.7498,8.563,8.75,7.5429,110800,0.0,1.0
1999-10-20,8.813,8.875,8.25,8.313,7.1658,140700,0.0,1.0
1999-10-21,8.25,8.25,7.688,8.0,6.8964,357500,0.0,1.0
1999-10-22,8.125,8.1245,7.813,8.0,6.8964,99800,0.0,1.0
1999-10-25,8.188,8.313,8.125,8.188,7.058,195200,0.0,1.0
1999-10-26,8.063,8.125,7.688,7.75,6.6809,188400,0.0,1.0
1999-10-27,7.938,8.063,7.5,7.75,6.6809,257000,0.0,1.0
1999-10-28,8.188,8.25,7.8746,8.0,6.8964,257900,0.0,1.0
1999-10-29,8.0,8.063,7.75,7.938,6.8425,198100,0.0,1.0
1999-11-01,7.813,8.125,7.688,8.125,7.0041,159200,0.0,1.0
1999-11-02,8.063,8.125,7.813,7.875,6.7886,126900,0.0,1.0
1999-11-03,8.0002,8.0,7.563,7.625,6.5731,87600,0.0,1.0
1999-11-04,7.625,7.625,7.375,7.563,6.5192,129400,0.0,1.0
1999-11-05,7.5,7.5,7.063,7.25,6.2499,104000,0.0,1.0
1999-11-08,7.25,7.3131,7.063,7.188,6.196,123500,0.0,1.0
1999-11-09,7.25,7.5,7.125,7.438,6.4115,116500,0.0,1.0
1999-11-10,7.5,8.0,7.375,7.875,6.7886,277800,0.0,1.0
1999-11-11,7.938,7.938,7.563,7.625,6.5731,122300,0.0,1.0
1999-11-12,7.625,7.625,7.25,7.375,6.3576,141000,0.0,1.0
1999-11-15,7.438,7.438,7.313,7.438,6.4115,79800,0.0,1.0
1999-11-16,7.5,7.625,7.313,7.375,6.3576,108000,0.0,1.0
1999-11-17,7.375,7.563,7.375,7.438,6.4115,37600,0.0,1.0
1999-11-18,7.5,7.563,7.375,7.5,6.4654,155400,0.0,1.0
1999-11-19,7.5,7.563,7.5,7.563,6.5192,39500,0.0,1.0
1999-11-22,7.563,7.625,7.438,7.438,6.4115,95700,0.0,1.0
1999-11-23,7.625,7.8743,7.563,7.813,6.7348,112600,0.0,1.0
1999-11-24,7.938,8.063,7.813,8.0,6.8964,126200,0.0,1.0
1999-11-26,8.125,8.125,8.0,8.063,6.9503,47300,0.0,1.0
1999-11-29,7.75,7.875,7.375,7.5,6.4654,99000,0.0,1.0
1999-11-30,7.438,7.563,7.375,7.563,6.5192,41100,0.0,1.0
1999-12-01,7.438,7.438,7.313,7.375,6.3576,29900,0.0,1.0
1999-12-02,7.25,7.313,7.063,7.25,6.2499,54200,0.0,1.0
1999-12-03,7.0,7.125,6.813,6.875,5.9266,93800,0.0,1.0
1999-12-06,6.75,6.813,6.625,6.813,5.8727,72800,0.0,1.0
1999-12-07,6.938,7.063,6.75,6.813,5.8727,136900,0.0,1.0
1999-12-08,6.875,6.875,6.688,6.75,5.8188,93000,0.0,1.0
1999-12-09,6.625,6.813,6.563,6.75,5.8188,81300,0.0,1.0
1999-12-10,6.75,6.875,6.688,6.75,5.8188,75400,0.0,1.0
1999-12-13,6.813,6.813,6.563,6.75,5.8188,98900,0.0,1.0
1999-12-14,6.813,6.813,6.5,6.5,5.6033,102000,0.0,1.0
1999-12-15,6.563,6.625,6.563,6.625,5.7111,176000,0.0,1.0
1999-12-16,6.5629,6.813,6.5,6.813,5.8727,160800,0.0,1.0
1999-12-17,7.063,7.125,6.938,7.125,6.1421,198600,0.0,1.0
1999-12-20,7.188,7.188,7.0,7.188,6.196,143900,0.0,1.0
1999-12-21,7.188,7.188,7.0628,7.188,6.196,60700,0.0,1.0
1999-12-22,7.063,7.25,7.0631,7.25,6.2499,46100,0.0,1.0
1999-12-23,7.25,7.5,7.063,7.5,6.4654,230300,0.0,1.0
1999-12-27,7.563,7.563,7.375,7.5,6.4654,64600,0.0,1.0
1999-12-28,7.5,7.563,7.438,7.5,6.4654,44400,0.0,1.0
1999-12-29,7.5004,7.563,7.438,7.438,6.4115,111000,0.0,1.0
1999-12-30,7.5,7.563,7.375,7.375,6.3576,115500,0.0,1.0
1999-12-31,7.5,7.563,7.375,7.438,6.4115,25000,0.0,1.0
2000-01-03,7.25,7.313,7.188,7.188,6.196,68400,0.0,1.0
2000-01-04,6.875,7.125,6.875,7.0,6.0343,172500,0.0,1.0
2000-01-05,7.063,7.0628,6.875,6.938,5.9805,79000,0.0,1.0
2000-01-06,6.875,7.125,6.875,7.063,6.0882,69700,0.0,1.0
2000-01-07,7.063,7.5,7.063,7.25,6.2499,167000,0.0,1.0
2000-01-10,7.313,7.375,7.25,7.313,6.3037,52300,0.0,1.0
2000-01-11,7.25,7.313,7.125,7.188,6.196,33800,0.0,1.0
2000-01-12,7.188,7.25,7.063,7.25,6.2499,126900,0.0,1.0
2000-01-13,7.25,7.313,7.188,7.188,6.196,40100,0.0,1.0
2000-01-14,7.25,7.438,7.1253,7.375,6.3576,93400,0.0,1.0
