timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,35.5,35.5,32.0,33.0,27.8828,4077100,0.0,1.0
1999-09-14,32.938,34.0,32.625,33.5,28.3053,1221500,0.0,1.0
1999-09-15,33.625,33.875,33.063,33.063,27.9357,611600,0.0,1.0
1999-09-16,33.125,33.125,32.625,33.0,27.8828,607300,0.0,1.0
1999-09-17,33.125,33.313,32.875,33.0,27.8828,608000,0.0,1.0
1999-09-20,32.875,32.875,32.0,32.688,27.6188,966500,0.0,1.0
1999-09-21,32.313,32.625,31.813,31.938,26.9851,685900,0.0,1.0
1999-09-22,31.875,32.0,31.063,31.938,26.9851,735000,0.0,1.0
1999-09-23,31.938,31.938,30.0,30.063,25.4009,1266600,0.0,1.0
1999-09-24,30.063,30.063,29.563,29.563,24.9784,1215900,0.0,1.0
1999-09-27,29.6274,29.813,29.313,29.563,24.9784,564500,0.0,1.0
1999-09-28,29.75,29.75,28.0,29.375,24.82,635500,0.0,1.0
1999-09-29,29.5,30.375,29.438,30.188,25.5065,520000,0.0,1.0
1999-09-30,30.25,31.125,30.25,30.563,25.8233,494100,0.0,1.0
1999-10-01,30.5,30.625,30.0,30.0,25.348,624400,0.0,1.0
1999-10-04,30.5,30.688,29.9358,29.938,25.2952,750900,0.0,1.0
1999-10-05,29.938,30.0003,27.813,28.875,24.3975,896200,0.0,1.0
1999-10-06,28.75,28.875,27.563,27.688,23.3941,1371900,0.0,1.0
1999-10-07,27.75,27.813,26.5,27.313,23.0773,1112300,0.0,1.0
1999-10-08,27.25,29.375,27.002,29.0,24.5031,1008900,0.0,1.0
1999-10-11,28.8744,28.938,28.5,28.938,24.4503,304100,0.0,1.0
1999-10-12,28.75,28.938,27.688,27.75,23.4469,590300,0.0,1.0
1999-10-13,28.25,30.188,28.188,29.313,24.7672,923800,0.0,1.0
1999-10-14,29.313,30.063,28.25,29.0,24.5031,527400,0.0,1.0
1999-10-15,29.0,29.875,28.125,29.063,24.5559,940900,0.0,1.0
1999-10-18,29.063,29.5,28.813,29.25,24.7143,304900,0.0,1.0
1999-10-19,29.625,31.5,29.625,31.188,26.3514,713600,0.0,1.0
1999-10-20,31.188,31.938,31.188,31.813,26.8795,411800,0.0,1.0
1999-10-21,31.813,33.625,31.5,32.625,27.566,560200,0.0,1.0
1999-10-22,33.0,33.75,32.375,32.375,27.3548,587200,0.0,1.0
1999-10-25,32.563,32.75,31.8768,32.188,27.1963,244000,0.0,1.0
1999-10-26,32.188,32.313,30.875,31.25,26.4042,344600,0.0,1.0
1999-10-27,31.0,32.625,30.5,32.375,27.3548,459100,0.0,1.0
1999-10-28,33.375,33.875,32.875,33.25,28.0941,459000,0.0,1.0
1999-10-29,33.0,33.188,31.75,31.75,26.8267,522500,0.0,1.0
1999-11-01,33.0,33.938,32.874,33.875,28.6222,516400,0.0,1.0
1999-11-02,33.75,33.75,32.594,33.25,28.0941,691300,0.0,1.0
1999-11-03,33.188,34.75,32.7475,34.625,29.2559,658900,0.0,1.0
1999-11-04,34.875,35.25,33.188,34.75,29.3615,694700,0.0,1.0
1999-11-05,35.375,35.938,35.25,35.813,30.2592,632800,0.0,1.0
1999-11-08,35.5,35.75,35.063,35.313,29.8368,327300,0.0,1.0
1999-11-09,35.5636,35.813,35.0,35.625,30.1008,301100,0.0,1.0
1999-11-10,35.5,36.375,35.25,36.25,30.6289,404400,0.0,1.0
