timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-02-11,16.35,16.3486,14.4,14.4,5.3912,884900,0.0,0.3333
2008-02-12,14.6,14.8,12.955,13.6,5.0917,1269700,0.0,1.0
2008-02-13,13.9,14.13,13.0,13.79,5.1628,217200,0.0,1.0
2008-02-14,13.9,14.2,13.39,13.4,5.0168,532800,0.0,1.0
2008-02-15,13.3,13.45,12.8,13.18,4.9345,390500,0.0,1.0
2008-02-19,13.02,13.4,12.95,13.25,4.9607,78100,0.0,1.0
2008-02-20,12.95,13.2,12.9,13.0,4.8671,781800,0.0,1.0
2008-02-21,12.68,12.98,12.26,12.45,4.6611,257200,0.0,1.0
2008-02-22,12.44,13.14,12.4,13.04,4.882,542700,0.0,1.0
2008-02-25,12.85,13.9412,12.85,13.67,5.1179,305200,0.0,1.0
2008-02-26,13.75,13.8608,13.13,13.34,4.9944,425600,0.0,1.0
2008-02-27,13.19,13.19,12.51,12.7,4.7547,187300,0.0,1.0
2008-02-28,12.81,12.81,12.39,12.41,4.6462,84500,0.0,1.0
2008-02-29,12.81,12.81,12.15,12.17,4.5563,94400,0.0,1.0
2008-03-03,12.15,12.21,12.05,12.18,4.5601,141200,0.0,1.0
2008-03-04,12.25,12.26,11.55,11.75,4.3991,95400,0.0,1.0
2008-03-05,11.65,11.7688,11.6,11.73,4.3916,89100,0.0,1.0
2008-03-06,11.6,11.78,11.6,11.75,4.3991,205800,0.0,1.0
2008-03-07,11.65,11.8,11.55,11.65,4.3616,187600,0.0,1.0
2008-03-10,11.77,11.775,11.26,11.55,4.3242,245100,0.0,1.0
2008-03-11,11.84,12.2,11.4,11.41,4.2718,159500,0.0,1.0
2008-03-12,11.4906,11.67,11.32,11.32,4.2381,173300,0.0,1.0
2008-03-13,11.25,11.65,11.1,11.51,4.3092,168800,0.0,1.0
2008-03-14,11.5,11.55,11.02,11.44,4.283,152700,0.0,1.0
2008-03-17,11.0,11.15,10.77,10.9,4.0808,84500,0.0,1.0
2008-03-18,11.8,11.8001,10.52,10.92,4.0883,152900,0.0,1.0
2008-03-19,11.13,11.29,10.66,10.66,3.991,74500,0.0,1.0
2008-03-20,10.67,11.82,10.45,11.51,4.3092,281600,0.0,1.0
2008-03-24,11.1,11.87,10.99,11.23,4.2044,72000,0.0,1.0
2008-03-25,10.8,12.2,10.75,11.94,4.4702,70100,0.0,1.0
2008-03-26,11.9,11.9,11.27,11.62,4.3504,43200,0.0,1.0
2008-03-27,11.72,11.75,11.17,11.38,4.2606,44000,0.0,1.0
2008-03-28,11.38,11.54,11.27,11.35,4.2493,28000,0.0,1.0
2008-03-31,11.5,11.71,11.3,11.43,4.2793,125900,0.0,1.0
2008-04-01,11.38,11.85,11.33,11.74,4.3953,39500,0.0,1.0
2008-04-02,11.74,11.75,11.02,11.08,4.1482,111600,0.0,1.0
2008-04-03,11.13,11.58,10.95,11.1,4.1557,204500,0.0,1.0
2008-04-04,11.1499,11.56,10.85,11.02,4.1258,182900,0.0,1.0
2008-04-07,10.96,11.5,10.81,11.03,4.1295,105700,0.0,1.0
2008-04-08,11.1,11.1201,10.73,10.79,4.0397,63800,0.0,1.0
2008-04-09,10.71,10.88,10.41,10.48,3.9236,106100,0.0,1.0
2008-04-10,10.5,10.718,10.15,10.41,3.8974,132400,0.0,1.0
2008-04-11,10.35,10.45,10.24,10.41,3.8974,102500,0.0,1.0
2008-04-14,10.41,10.77,10.36,10.67,3.9947,57900,0.0,1.0
2008-04-15,10.67,11.18,10.64,11.11,4.1595,44400,0.0,1.0
2008-04-16,11.38,11.43,11.2,11.29,4.2269,89600,0.0,1.0
2008-04-17,11.0702,11.8,11.07,11.68,4.3729,237400,0.0,1.0
2008-04-18,11.97,12.03,11.4,11.97,4.4814,109800,0.0,1.0
2008-04-21,11.82,11.82,10.5095,10.97,4.1071,218500,0.0,1.0
2008-04-22,11.04,11.04,10.42,10.55,3.9498,167800,0.0,1.0
2008-04-23,10.57,10.7,9.5005,9.69,3.6278,74600,0.0,1.0
2008-04-24,9.81,10.0,9.6,9.74,3.6466,54100,0.0,1.0
2008-04-25,9.8,10.1806,9.73,10.15,3.8001,124100,0.0,1.0
2008-04-28,10.17,10.97,9.62,10.21,3.8225,93700,0.0,1.0
2008-04-29,10.22,10.22,9.87,9.9,3.7065,56500,0.0,1.0
2008-04-30,9.91,9.99,9.7,9.75,3.6503,33500,0.0,1.0
2008-05-01,9.85,10.18,9.56,9.6,3.5941,80000,0.0,1.0
2008-05-02,9.6,9.6,9.09,9.15,3.4257,108700,0.0,1.0
2008-05-05,9.15,9.24,9.1002,9.2,3.4444,46600,0.0,1.0
2008-05-06,9.14,9.25,9.14,9.16,3.4294,84400,0.0,1.0
2008-05-07,9.16,9.21,8.67,8.77,3.2834,147200,0.0,1.0
2008-05-08,8.77,8.97,8.6,8.6,3.2197,84400,0.0,1.0
2008-05-09,8.75,8.7996,8.51,8.61,3.2235,130000,0.0,1.0
2008-05-12,8.61,9.137,8.61,8.95,3.3508,103900,0.0,1.0
2008-05-13,8.9,8.938,8.59,8.65,3.2385,99900,0.0,1.0
2008-05-14,8.62,8.7,8.32,8.41,3.2423,170000,0.25,1.0
2008-05-15,8.4,8.57,8.12,8.23,3.1729,210900,0.0,1.0
2008-05-16,8.33,8.43,8.02,8.39,3.2346,60700,0.0,1.0
2008-05-19,8.31,8.6,8.26,8.4,3.2385,86800,0.0,1.0
2008-05-20,8.45,8.45,8.0,8.07,3.1112,177300,0.0,1.0
2008-05-21,8.01,8.05,7.44,7.49,2.8876,205000,0.0,1.0
2008-05-22,7.4997,7.64,7.44,7.51,2.8953,192400,0.0,1.0
2008-05-23,7.46,8.34,7.46,8.1,3.1228,670200,0.0,1.0
2008-05-27,7.95,8.09,7.61,8.02,3.092,150200,0.0,1.0
2008-05-28,8.0,8.24,7.94,8.24,3.1768,81500,0.0,1.0
2008-05-29,8.3,8.8008,8.05,8.7,3.3541,107900,0.0,1.0
2008-05-30,8.72,9.5,8.47,9.5,3.6626,103800,0.0,1.0
2008-06-02,9.15,9.45,8.8,9.26,3.57,106800,0.0,1.0
2008-06-03,9.36,9.6,9.15,9.46,3.6471,269100,0.0,1.0
2008-06-04,9.5097,9.51,9.2,9.38,3.6163,160400,0.0,1.0
2008-06-05,9.28,9.58,9.25,9.48,3.6548,118700,0.0,1.0
2008-06-06,9.4,9.5,9.23,9.42,3.6317,138000,0.0,1.0
2008-06-09,9.42,9.44,9.17,9.2,3.5469,96800,0.0,1.0
2008-06-10,9.0997,9.1,8.58,8.63,3.3271,113800,0.0,1.0
2008-06-11,8.48,8.48,7.96,8.1,3.1228,187600,0.0,1.0
2008-06-12,8.05,8.17,7.91,8.03,3.0958,157600,0.0,1.0
2008-06-13,8.09,8.19,7.78,7.97,3.0727,220300,0.0,1.0
2008-06-16,7.95,7.95,7.45,7.67,2.957,128400,0.0,1.0
2008-06-17,7.67,7.71,7.58,7.68,2.9609,245700,0.0,1.0
2008-06-18,7.66,7.74,7.29,7.48,2.8838,320200,0.0,1.0
2008-06-19,7.41,7.53,6.96,7.01,2.7026,434300,0.0,1.0
2008-06-20,6.99,7.12,6.45,6.7,2.5831,359700,0.0,1.0
2008-06-23,6.69,6.85,6.45,6.45,2.4867,238400,0.0,1.0
2008-06-24,6.45,6.51,6.05,6.06,2.3363,188100,0.0,1.0
2008-06-25,6.03,6.76,6.03,6.61,2.5484,378300,0.0,1.0
2008-06-26,6.49,6.59,6.02,6.02,2.3209,154500,0.0,1.0
2008-06-27,6.03,6.03,5.51,5.7,2.1975,805000,0.0,1.0
2008-06-30,5.94,6.01,5.54,5.7,2.1975,207400,0.0,1.0
2008-07-01,5.65,5.88,5.26,5.32,2.051,196400,0.0,1.0
2008-07-02,5.45,5.6,4.93,5.28,2.0356,342200,0.0,1.0
2008-07-03,5.18,5.48,4.58,5.45,2.1011,133800,0.0,1.0
2008-07-07,5.42,5.489,4.85,5.25,2.024,189500,0.0,1.0
2008-07-08,5.26,6.53,5.23,6.35,2.4481,274900,0.0,1.0
2008-07-09,6.29,6.46,5.96,5.97,2.3016,89200,0.0,1.0
2008-07-10,5.87,6.26,5.77,5.88,2.2669,69600,0.0,1.0
2008-07-11,5.76,6.43,5.7,6.09,2.3479,202700,0.0,1.0
2008-07-14,6.15,6.25,5.78,5.86,2.2592,60500,0.0,1.0
2008-07-15,5.75,6.2001,5.69,5.81,2.2399,110100,0.0,1.0
2008-07-16,5.71,6.09,5.08,6.09,2.3479,203700,0.0,1.0
2008-07-17,6.06,6.25,5.7,5.9,2.2746,64600,0.0,1.0
2008-07-18,5.76,6.14,5.75,5.83,2.2477,51100,0.0,1.0
2008-07-21,5.8,5.92,5.71,5.87,2.2631,38700,0.0,1.0
2008-07-22,5.78,6.43,5.78,6.38,2.4597,167300,0.0,1.0
2008-07-23,6.45,6.71,6.24,6.6,2.5445,101200,0.0,1.0
2008-07-24,6.61,6.74,6.45,6.53,2.5175,128600,0.0,1.0
2008-07-25,6.6,6.72,6.25,6.4,2.4674,106700,0.0,1.0
2008-07-28,6.0,6.14,5.9,5.98,2.3055,52100,0.0,1.0
2008-07-29,5.68,5.68,4.88,5.21,2.0086,269600,0.0,1.0
2008-07-30,5.22,5.39,5.04,5.3,2.0433,152100,0.0,1.0
2008-07-31,5.17,5.4,5.15,5.4,2.0819,153400,0.0,1.0
2008-08-01,5.45,5.45,4.96,5.14,1.9816,115900,0.0,1.0
2008-08-04,5.12,5.43,4.95,5.07,1.9546,75400,0.0,1.0
2008-08-05,5.07,5.44,4.94,5.43,2.0934,167700,0.0,1.0
2008-08-06,5.48,5.56,4.98,5.44,2.0973,139300,0.0,1.0
2008-08-07,5.3,5.3,4.85,5.0,1.9277,103100,0.0,1.0
2008-08-08,5.03,5.2,4.95,5.09,1.9624,200200,0.0,1.0
2008-08-11,5.07,5.54,5.0,5.08,1.9585,173700,0.0,1.0
2008-08-12,5.22,5.27,5.08,5.27,2.0318,135900,0.0,1.0
2008-08-13,5.15,5.21,4.93,5.1,2.0641,149700,0.25,1.0
2008-08-14,5.12,5.33,5.01,5.23,2.1167,77200,0.0,1.0
2008-08-15,5.35,5.35,4.94,5.2,2.1046,97700,0.0,1.0
2008-08-18,5.2,5.3,5.07,5.2,2.1046,111600,0.0,1.0
2008-08-19,5.07,5.29,5.02,5.07,2.052,74100,0.0,1.0
2008-08-20,5.05,5.2601,4.96,5.04,2.0398,133600,0.0,1.0
2008-08-21,5.05,5.13,4.89,4.97,2.0115,70500,0.0,1.0
2008-08-22,4.95,5.04,4.77,4.87,1.971,304100,0.0,1.0
2008-08-25,4.88,4.88,4.67,4.67,1.8901,274100,0.0,1.0
2008-08-26,4.74,4.82,4.68,4.74,1.9184,104500,0.0,1.0
2008-08-27,4.7399,4.83,4.68,4.71,1.9063,189700,0.0,1.0
2008-08-28,4.71,5.08,4.68,5.02,2.0318,129600,0.0,1.0
2008-08-29,4.89,4.95,4.79,4.85,1.9629,168600,0.0,1.0
2008-09-02,4.99,5.1,4.91,5.01,2.0277,118500,0.0,1.0
2008-09-03,4.97,5.28,4.95,5.24,2.1208,149900,0.0,1.0
2008-09-04,5.2,5.29,5.14,5.19,2.1006,92200,0.0,1.0
2008-09-05,5.2,5.36,5.19,5.34,2.1613,54700,0.0,1.0
2008-09-08,5.53,5.86,5.33,5.81,2.3515,112500,0.0,1.0
2008-09-09,5.81,5.98,5.66,5.86,2.3717,194600,0.0,1.0
2008-09-10,5.86,5.86,5.56,5.66,2.2908,99100,0.0,1.0
2008-09-11,5.64,5.96,5.5,5.94,2.4041,113800,0.0,1.0
2008-09-12,5.99,6.03,5.85,5.9,2.3879,111400,0.0,1.0
2008-09-15,5.75,5.88,5.64,5.7,2.307,48900,0.0,1.0
2008-09-16,5.65,6.21,5.6,6.21,2.5134,159700,0.0,1.0
2008-09-17,6.11,6.23,5.82,6.02,2.4365,182900,0.0,1.0
2008-09-18,6.2,6.71,6.01,6.44,2.6065,297100,0.0,1.0
2008-09-19,6.84,7.54,6.38,7.07,2.8615,437400,0.0,1.0
2008-09-22,7.0,7.07,6.21,6.49,2.6267,66700,0.0,1.0
2008-09-23,6.56,6.61,6.0,6.08,2.4608,45200,0.0,1.0
2008-09-24,6.11,6.11,5.32,5.32,2.1532,84000,0.0,1.0
2008-09-25,5.83,6.99,5.38,5.45,2.2058,93200,0.0,1.0
2008-09-26,5.32,5.47,5.0,5.19,2.1006,134700,0.0,1.0
2008-09-29,5.05,5.19,4.79,5.0,2.0237,123100,0.0,1.0
2008-09-30,5.2,5.29,5.05,5.16,2.0884,175900,0.0,1.0
2008-10-01,5.08,5.12,4.85,5.0,2.0237,71000,0.0,1.0
2008-10-02,4.92,5.03,4.38,4.38,1.7727,214000,0.0,1.0
2008-10-03,4.4,4.54,4.15,4.15,1.6796,185500,0.0,1.0
2008-10-06,4.02,4.86,4.02,4.75,1.9225,117900,0.0,1.0
2008-10-07,4.7,4.98,4.54,4.58,1.8537,88000,0.0,1.0
2008-10-08,4.43,4.54,4.15,4.17,1.6877,236000,0.0,1.0
2008-10-09,4.24,4.32,3.9,3.95,1.5987,176000,0.0,1.0
2008-10-10,3.7498,4.46,3.718,4.46,1.8051,198500,0.0,1.0
2008-10-13,4.57,4.8,3.58,3.98,1.6108,90600,0.0,1.0
2008-10-14,4.18,4.18,3.6697,3.82,1.5461,69900,0.0,1.0
2008-10-15,3.66,3.75,3.2,3.2,1.339,63200,0.125,1.0
2008-10-16,3.3,3.96,3.14,3.92,1.6402,113700,0.0,1.0
2008-10-17,3.63,4.03,3.45,3.76,1.5733,140700,0.0,1.0
2008-10-20,3.88,3.93,3.56,3.93,1.6444,321500,0.0,1.0
2008-10-21,3.8,3.97,3.8004,3.88,1.6235,58400,0.0,1.0
2008-10-22,3.72,3.9198,3.5,3.52,1.4729,57500,0.0,1.0
2008-10-23,3.59,3.67,3.27,3.54,1.4812,77000,0.0,1.0
2008-10-24,3.25,3.37,3.18,3.29,1.3766,69100,0.0,1.0
2008-10-27,3.22,3.31,3.02,3.02,1.2636,93800,0.0,1.0
2008-10-28,2.96,3.13,2.76,2.91,1.2176,77000,0.0,1.0
2008-10-29,2.99,3.07,2.71,2.71,1.1339,104000,0.0,1.0
2008-10-30,2.68,2.87,2.65,2.82,1.18,74400,0.0,1.0
2008-10-31,2.81,3.31,2.79,3.31,1.385,196700,0.0,1.0
