timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-08-26,9.0,9.0397,9.0,9.0,2.2601,5870900,0.0,1.0
2003-08-27,9.0,9.15,9.0,9.1,2.2801,1621500,0.0,1.0
2003-08-28,9.13,9.32,9.12,9.25,2.3203,675600,0.0,1.0
2003-08-29,9.25,9.3,9.2,9.27,2.3203,463100,0.0,1.0
2003-09-02,9.22,9.22,9.05,9.18,2.3002,2620400,0.0,1.0
2003-09-03,9.18,9.18,9.1,9.15,2.2801,1566000,0.0,1.0
2003-09-04,9.2,9.3496,9.16,9.3,2.3203,339600,0.0,1.0
2003-09-05,9.3,9.45,9.25,9.3,2.3354,385500,0.0,1.0
2003-09-08,9.4,9.5,9.38,9.4,2.3605,704400,0.0,1.0
2003-09-09,9.4,9.4,9.25,9.3,2.3354,64500,0.0,1.0
2003-09-10,9.2999,9.3,9.05,9.1,2.2852,146600,0.0,1.0
2003-09-11,9.15,9.15,9.1,9.12,2.2902,123400,0.0,1.0
2003-09-12,9.2,9.3,9.11,9.3,2.3354,190500,0.0,1.0
2003-09-15,9.27,9.27,9.15,9.18,2.3053,268900,0.0,1.0
2003-09-16,9.15,9.2,9.15,9.18,2.3053,128600,0.0,1.0
2003-09-17,9.18,9.18,9.11,9.15,2.2977,64900,0.0,1.0
2003-09-18,9.15,9.1499,9.07,9.12,2.2902,386600,0.0,1.0
2003-09-19,9.15,9.25,9.15,9.2,2.3103,326500,0.0,1.0
2003-09-22,9.19,9.23,9.15,9.17,2.3027,106900,0.0,1.0
2003-09-23,9.17,9.5,9.15,9.37,2.353,871200,0.0,1.0
2003-09-24,9.32,9.35,9.2,9.2,2.3103,91200,0.0,1.0
2003-09-25,9.2,9.2,9.1,9.12,2.2902,112800,0.0,1.0
2003-09-26,9.12,9.12,8.85,8.85,2.2224,671300,0.0,1.0
2003-09-29,8.95,8.96,8.8895,8.95,2.2475,532900,0.0,1.0
2003-09-30,8.95,9.0,8.95,8.97,2.2525,324700,0.0,1.0
2003-10-01,9.0008,9.09,9.0,9.01,2.2626,354600,0.0,1.0
2003-10-02,9.05,9.07,8.97,9.02,2.2651,111100,0.0,1.0
2003-10-03,9.0,9.1,9.0,9.1,2.2852,81600,0.0,1.0
2003-10-06,9.1,9.25,9.1,9.2,2.3103,793800,0.0,1.0
2003-10-07,9.2,9.29,9.15,9.17,2.3027,244800,0.0,1.0
2003-10-08,9.17,9.4,9.17,9.27,2.3279,104000,0.0,1.0
2003-10-09,9.21,9.3299,9.15,9.2,2.3103,1044700,0.0,1.0
2003-10-10,9.23,9.24,9.1503,9.2,2.3103,137800,0.0,1.0
2003-10-13,9.15,9.2001,9.15,9.15,2.2977,63900,0.0,1.0
2003-10-14,9.2,9.2,9.15,9.2,2.3103,142800,0.0,1.0
2003-10-15,9.22,9.26,9.16,9.24,2.3203,296600,0.0,1.0
2003-10-16,9.25,9.35,9.19,9.23,2.3178,278900,0.0,1.0
2003-10-17,9.25,9.28,9.2,9.25,2.3228,88100,0.0,1.0
2003-10-20,9.2,9.35,9.2,9.26,2.3253,176300,0.0,1.0
2003-10-21,9.25,9.2798,9.2,9.25,2.3228,402700,0.0,1.0
2003-10-22,9.2,9.33,9.1896,9.3,2.3354,268700,0.0,1.0
2003-10-23,9.28,9.33,9.2,9.2,2.3103,729700,0.0,1.0
2003-10-24,9.2,9.24,9.0,9.04,2.2701,365200,0.0,1.0
2003-10-27,9.09,9.17,9.02,9.13,2.2927,71600,0.0,1.0
2003-10-28,9.1,9.12,9.05,9.1,2.2852,103800,0.0,1.0
2003-10-29,9.1,9.2,9.1,9.2,2.3103,108800,0.0,1.0
2003-10-30,9.15,9.18,9.12,9.18,2.3053,55200,0.0,1.0
2003-10-31,9.15,9.2503,9.15,9.15,2.2977,214300,0.0,1.0
2003-11-03,9.15,9.24,9.1,9.1,2.2852,59000,0.0,1.0
2003-11-04,9.1,9.25,9.1,9.21,2.3128,47500,0.0,1.0
2003-11-05,9.2,9.24,9.15,9.23,2.3178,25800,0.0,1.0
2003-11-06,9.23,9.3,9.16,9.3,2.3354,85700,0.0,1.0
2003-11-07,9.2703,9.35,9.2,9.3,2.3354,407800,0.0,1.0
2003-11-10,9.3,9.38,9.3,9.38,2.3555,96100,0.0,1.0
2003-11-11,9.35,9.35,9.23,9.23,2.3178,23600,0.0,1.0
2003-11-12,9.3003,9.35,9.25,9.28,2.3304,46800,0.0,1.0
2003-11-13,9.25,9.45,9.25,9.45,2.3731,104700,0.0,1.0
2003-11-14,9.35,9.45,9.35,9.4,2.3605,17500,0.0,1.0
2003-11-17,9.35,9.47,9.35,9.42,2.3655,1300,0.0,1.0
2003-11-18,9.35,9.43,9.32,9.33,2.3429,12300,0.0,1.0
2003-11-19,9.3,9.35,9.3003,9.35,2.3479,21200,0.0,1.0
2003-11-20,9.3,9.33,9.2502,9.29,2.3329,14900,0.0,1.0
2003-11-21,9.27,9.39,9.21,9.21,2.3128,32400,0.0,1.0
2003-11-24,9.21,9.45,9.19,9.29,2.3329,113500,0.0,1.0
2003-11-25,9.38,9.38,9.25,9.38,2.3555,31200,0.0,1.0
2003-11-26,9.4,9.5,9.37,9.42,2.3655,27700,0.0,1.0
2003-11-28,9.5,9.5,9.46,9.5,2.3856,13200,0.0,1.0
