timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,5.25,5.438,5.25,5.313,2.1241,4500,0.0,1.0
1999-09-14,5.313,5.313,5.313,5.313,2.1241,200,0.0,1.0
1999-09-15,5.313,5.4379,5.313,5.438,2.1741,1800,0.0,1.0
1999-09-16,5.4375,5.4375,5.4375,5.4375,2.1741,0,0.0,1.0
1999-09-17,5.4375,5.4375,5.4375,5.4375,2.1741,0,0.0,1.0
1999-09-20,5.375,5.375,5.313,5.313,2.1241,1700,0.0,1.0
1999-09-21,5.25,5.25,5.25,5.25,2.0991,12600,0.0,1.0
1999-09-22,5.313,5.375,5.25,5.375,2.1491,3900,0.0,1.0
1999-09-23,5.313,5.313,5.313,5.313,2.1241,22600,0.0,1.0
1999-09-24,5.25,5.375,5.25,5.25,2.0991,14500,0.0,1.0
1999-09-27,5.188,5.188,5.188,5.188,2.0741,600,0.0,1.0
1999-09-28,5.063,5.25,5.063,5.063,2.0721,18100,0.12,1.0
1999-09-29,5.125,5.25,5.125,5.25,2.1488,4200,0.0,1.0
1999-09-30,5.25,5.25,5.25,5.25,2.1488,0,0.0,1.0
1999-10-01,5.125,5.125,5.0001,5.0,2.0465,4900,0.0,1.0
1999-10-04,5.125,5.125,5.125,5.125,2.0976,17700,0.0,1.0
1999-10-05,5.125,5.125,5.063,5.063,2.0721,5000,0.0,1.0
1999-10-06,5.0,5.188,5.0,5.188,2.1232,3600,0.0,1.0
1999-10-07,5.125,5.125,5.125,5.125,2.0976,4400,0.0,1.0
1999-10-08,5.125,5.125,5.125,5.125,2.0976,1000,0.0,1.0
1999-10-11,5.063,5.063,4.875,5.0,2.0465,22400,0.0,1.0
1999-10-12,5.0,5.0,5.0,5.0,2.0465,38500,0.0,1.0
1999-10-13,4.875,5.0,4.8749,5.0,2.0465,3000,0.0,1.0
1999-10-14,4.938,4.938,4.938,4.938,2.0209,1800,0.0,1.0
1999-10-15,4.938,5.0,4.938,4.938,2.0209,6700,0.0,1.0
1999-10-18,5.0001,5.063,5.0,5.0,2.0465,2300,0.0,1.0
1999-10-19,4.875,4.938,4.875,4.938,2.0209,16600,0.0,1.0
1999-10-20,4.875,4.938,4.875,4.938,2.0209,22800,0.0,1.0
1999-10-21,4.938,4.938,4.875,4.875,1.9953,9200,0.0,1.0
1999-10-22,4.875,4.875,4.875,4.875,1.9953,25100,0.0,1.0
1999-10-25,4.875,5.0,4.875,5.0,2.0465,16100,0.0,1.0
1999-10-26,5.0001,5.0,4.875,4.875,1.9953,12500,0.0,1.0
1999-10-27,4.813,4.813,4.813,4.813,1.9697,1000,0.0,1.0
1999-10-28,4.875,5.063,4.875,5.0,2.0465,19000,0.0,1.0
1999-10-29,5.0,5.125,5.0,5.063,2.0721,6600,0.0,1.0
1999-11-01,5.0,5.0,4.875,4.875,1.9953,10800,0.0,1.0
1999-11-02,4.875,5.0,4.875,5.0,2.0465,1000,0.0,1.0
1999-11-03,5.0,5.063,5.0,5.0,2.0465,3800,0.0,1.0
1999-11-04,5.063,5.125,5.063,5.125,2.0976,6100,0.0,1.0
1999-11-05,5.063,5.063,5.063,5.063,2.0721,1000,0.0,1.0
1999-11-08,5.0,5.063,5.0,5.0,2.0465,5900,0.0,1.0
1999-11-09,5.0001,5.0,5.0,5.0,2.0465,400,0.0,1.0
1999-11-10,5.0,5.063,5.0,5.063,2.0721,2400,0.0,1.0
1999-11-11,5.0,5.313,5.0,5.188,2.1232,8600,0.0,1.0
1999-11-12,5.188,5.188,5.0,5.0,2.0465,14000,0.0,1.0
1999-11-15,5.0,5.063,4.875,5.063,2.0721,26200,0.0,1.0
