timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,50.188,52.625,50.188,51.938,2.8663,443200,0.0,1.0
1999-09-14,52.125,54.0,52.0,52.813,2.9146,1041600,0.0,1.0
1999-09-15,52.75,53.0,51.75,51.75,2.856,297600,0.0,1.0
1999-09-16,51.625,54.25,51.563,54.063,2.9836,464000,0.0,1.0
1999-09-17,54.063,56.625,53.75,55.0,3.0353,1640000,0.0,1.0
1999-09-20,55.375,55.3758,55.0,55.25,3.0491,209600,0.0,1.0
1999-09-21,55.125,55.75,54.75,54.813,3.025,881600,0.0,1.0
1999-09-22,54.75,54.75,53.75,53.875,2.9733,201600,0.0,1.0
1999-09-23,53.8723,53.875,52.625,52.625,2.9043,152000,0.0,1.0
1999-09-24,52.625,52.625,50.938,51.0,2.8146,260800,0.0,1.0
1999-09-27,50.563,50.563,49.313,49.938,2.756,262400,0.0,1.0
1999-09-28,49.75,49.75,48.5,48.5,2.6766,233600,0.0,1.0
1999-09-29,48.6283,49.5,48.25,49.313,2.7215,348800,0.0,1.0
1999-09-30,49.5,49.938,49.2505,49.563,2.7353,345600,0.0,1.0
1999-10-01,49.5,51.5,49.375,51.438,2.8387,904000,0.0,1.0
1999-10-04,51.625,52.25,50.75,51.063,2.818,203200,0.0,1.0
1999-10-05,51.25,52.375,50.563,51.125,2.8215,292800,0.0,1.0
1999-10-06,51.1257,52.063,51.0,51.313,2.8318,163200,0.0,1.0
1999-10-07,51.25,51.25,50.5,50.875,2.8077,76800,0.0,1.0
1999-10-08,50.75,51.0632,50.313,50.375,2.7801,180800,0.0,1.0
1999-10-11,50.5,50.5,49.625,50.063,2.7629,259200,0.0,1.0
1999-10-12,51.0,51.0,49.75,50.75,2.8008,771200,0.0,1.0
1999-10-13,50.625,50.625,48.875,48.875,2.6973,233600,0.0,1.0
1999-10-14,50.0,50.5,48.1301,48.188,2.6594,656000,0.0,1.0
1999-10-15,46.75,46.938,45.75,46.875,2.5869,712000,0.0,1.0
1999-10-18,46.875,47.625,46.813,47.375,2.6145,264000,0.0,1.0
1999-10-19,47.313,48.75,47.219,48.563,2.6801,272000,0.0,1.0
1999-10-20,48.813,49.75,48.6228,49.625,2.7387,652800,0.0,1.0
1999-10-21,49.625,50.0004,49.563,49.75,2.7456,128000,0.0,1.0
1999-10-22,49.813,50.75,49.813,50.75,2.8008,235200,0.0,1.0
