timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-04-27,39.0,40.0,38.0,38.0,38.0,1229800,0.0,1.0
2018-04-30,37.5,38.99,37.25,38.0,38.0,34300,0.0,1.0
2018-05-01,37.5,38.0,37.0,37.5,37.5,21800,0.0,1.0
2018-05-02,37.0976,37.5,36.68,37.0,37.0,455400,0.0,1.0
2018-05-03,37.0025,37.0,33.345,34.75,34.75,2026000,0.0,1.0
2018-05-04,34.06,35.48,34.06,34.5,34.5,298800,0.0,1.0
2018-05-07,34.5307,36.65,34.53,35.75,35.75,516500,0.0,1.0
2018-05-08,36.25,37.0,35.8,36.15,36.15,2162400,0.0,1.0
2018-05-09,37.06,43.11,36.5,40.91,40.91,23189300,0.0,1.0
2018-05-10,41.5,41.6017,38.07,38.63,38.63,4888100,0.0,1.0
2018-05-11,38.3844,38.5,37.55,38.05,38.05,3056700,0.0,1.0
2018-05-14,37.74,39.45,37.57,39.19,39.19,4899200,0.0,1.0
2018-05-15,38.46,40.38,38.34,40.0,40.0,5201600,0.0,1.0
2018-05-16,40.6,42.9684,40.55,42.1,42.1,3697400,0.0,1.0
2018-05-17,42.18,45.3,41.52,43.9,43.9,2509700,0.0,1.0
2018-05-18,43.82,45.94,42.97,44.89,44.89,3853200,0.0,1.0
2018-05-21,45.25,45.51,44.0,44.51,44.51,1122600,0.0,1.0
2018-05-22,44.2,45.36,44.12,44.71,44.71,1073400,0.0,1.0
2018-05-23,44.43,45.39,44.32,44.55,44.55,886000,0.0,1.0
2018-05-24,44.64,46.11,44.2,45.53,45.53,1012500,0.0,1.0
2018-05-25,44.84,45.36,43.8131,43.99,43.99,1188700,0.0,1.0
2018-05-29,43.38,44.73,43.38,43.86,43.86,854000,0.0,1.0
2018-05-30,44.39,44.49,43.41,43.78,43.78,873300,0.0,1.0
2018-05-31,43.39,44.03,43.15,43.19,43.19,1115100,0.0,1.0
2018-06-01,43.3,43.3,40.7744,41.25,41.25,681100,0.0,1.0
2018-06-04,41.32,41.54,38.9,40.93,40.93,998800,0.0,1.0
2018-06-05,40.94,41.26,39.62,39.91,39.91,593400,0.0,1.0
2018-06-06,39.88,41.19,39.11,41.09,41.09,953300,0.0,1.0
2018-06-07,41.75,43.0614,41.75,42.25,42.25,471100,0.0,1.0
2018-06-08,42.1,42.285,40.16,41.51,41.51,1055900,0.0,1.0
2018-06-11,41.5,43.64,41.22,42.08,42.08,1468300,0.0,1.0
2018-06-12,42.34,42.46,40.31,40.9,40.9,670800,0.0,1.0
2018-06-13,40.88,40.88,39.05,39.87,39.87,1035400,0.0,1.0
2018-06-14,39.9,40.15,37.59,38.15,38.15,1169800,0.0,1.0
2018-06-15,38.13,38.28,37.14,37.55,37.55,2211700,0.0,1.0
2018-06-18,37.7,38.26,37.33,37.94,37.94,489000,0.0,1.0
2018-06-19,37.62,38.03,36.65,37.78,37.78,764700,0.0,1.0
2018-06-20,37.94,38.28,37.15,38.1,38.1,538400,0.0,1.0
2018-06-21,38.11,38.11,36.2195,36.93,36.93,907000,0.0,1.0
2018-06-22,38.03,39.16,37.8,38.69,38.69,1182300,0.0,1.0
2018-06-25,37.81,38.35,36.8,37.81,37.81,597500,0.0,1.0
2018-06-26,37.97,38.7,37.13,38.36,38.36,700100,0.0,1.0
2018-06-27,38.75,40.86,38.55,39.42,39.42,912400,0.0,1.0
2018-06-28,39.32,39.99,38.06,39.93,39.93,768600,0.0,1.0
2018-06-29,39.9,42.49,39.865,41.75,41.75,696600,0.0,1.0
2018-07-02,41.17,41.72,40.43,41.23,41.23,383000,0.0,1.0
2018-07-03,42.17,42.17,40.17,40.27,40.27,135200,0.0,1.0
2018-07-05,39.635,40.47,38.72,38.75,38.75,448300,0.0,1.0
2018-07-06,38.61,39.61,38.427,39.53,39.53,247500,0.0,1.0
2018-07-09,40.0,41.14,39.79,40.43,40.43,332100,0.0,1.0
2018-07-10,40.65,41.09,40.01,40.9,40.9,479400,0.0,1.0
2018-07-11,41.3,41.7516,39.87,40.16,40.16,683100,0.0,1.0
2018-07-12,40.3,40.66,39.36,40.47,40.47,572800,0.0,1.0
2018-07-13,40.64,41.02,40.22,40.55,40.55,927200,0.0,1.0
2018-07-16,40.2,40.259,37.8011,37.96,37.96,338200,0.0,1.0
2018-07-17,38.2,39.3017,38.03,38.96,38.96,583600,0.0,1.0
2018-07-18,38.85,39.08,37.98,38.51,38.51,624100,0.0,1.0
2018-07-19,38.06,38.84,37.44,38.01,38.01,531200,0.0,1.0
2018-07-20,37.99,38.44,37.48,37.55,37.55,261400,0.0,1.0
2018-07-23,37.71,37.71,35.75,35.81,35.81,502700,0.0,1.0
2018-07-24,36.04,36.435,35.43,35.94,35.94,423100,0.0,1.0
2018-07-25,35.6,36.16,35.0201,35.9,35.9,310700,0.0,1.0
2018-07-26,36.91,39.55,36.605,39.14,39.14,1263200,0.0,1.0
2018-07-27,39.13,39.46,38.511,38.89,38.89,812400,0.0,1.0
2018-07-30,39.4,40.43,39.15,40.32,40.32,363300,0.0,1.0
2018-07-31,40.34,41.67,39.279,41.0,41.0,686600,0.0,1.0
2018-08-01,40.72,41.29,39.87,40.05,40.05,560300,0.0,1.0
2018-08-02,39.63,41.46,38.77,40.57,40.57,404800,0.0,1.0
2018-08-03,40.56,41.349,40.05,40.47,40.47,419300,0.0,1.0
2018-08-06,40.54,41.6,40.06,41.29,41.29,355300,0.0,1.0
2018-08-07,42.07,43.67,41.9,42.45,42.45,337400,0.0,1.0
2018-08-08,42.06,43.4,41.23,42.57,42.57,481500,0.0,1.0
2018-08-09,42.31,42.62,41.74,42.34,42.34,385900,0.0,1.0
2018-08-10,42.18,43.45,41.7,43.23,43.23,420400,0.0,1.0
2018-08-13,43.26,43.99,42.46,42.5,42.5,331800,0.0,1.0
2018-08-14,42.99,44.14,42.31,43.8,43.8,503300,0.0,1.0
2018-08-15,43.52,43.52,41.3319,41.61,41.61,503700,0.0,1.0
2018-08-16,41.78,43.692,40.93,43.36,43.36,429700,0.0,1.0
2018-08-17,43.0883,43.46,42.22,43.15,43.15,367300,0.0,1.0
2018-08-20,43.23,44.07,42.66,43.26,43.26,328200,0.0,1.0
2018-08-21,43.43,44.49,42.71,43.75,43.75,576900,0.0,1.0
2018-08-22,43.92,44.35,43.255,43.9,43.9,267300,0.0,1.0
2018-08-23,43.51,44.11,42.78,43.45,43.45,311300,0.0,1.0
2018-08-24,43.62,44.2321,43.397,43.91,43.91,165200,0.0,1.0
2018-08-27,43.9,44.25,43.175,43.86,43.86,230300,0.0,1.0
2018-08-28,43.75,44.75,43.31,44.18,44.18,351800,0.0,1.0
2018-08-29,44.24,45.645,43.801,45.27,45.27,558600,0.0,1.0
2018-08-30,45.22,45.94,44.23,44.48,44.48,422400,0.0,1.0
2018-08-31,44.52,45.3,43.81,45.22,45.22,341000,0.0,1.0
2018-09-04,45.09,45.95,44.14,45.03,45.03,615300,0.0,1.0
2018-09-05,44.73,45.64,43.65,44.58,44.58,844600,0.0,1.0
2018-09-06,43.76,44.6613,42.72,42.92,42.92,937800,0.0,1.0
2018-09-07,42.45,43.65,41.5017,43.58,43.58,346100,0.0,1.0
2018-09-10,43.69,44.9,42.53,43.03,43.03,525900,0.0,1.0
2018-09-11,42.71,43.99,42.22,43.86,43.86,320700,0.0,1.0
2018-09-12,44.29,44.29,42.463,42.93,42.93,602600,0.0,1.0
2018-09-13,42.78,43.81,42.2,42.24,42.24,775500,0.0,1.0
2018-09-14,42.18,43.2,42.03,42.51,42.51,644200,0.0,1.0
2018-09-17,42.71,44.68,42.52,43.3,43.3,1032700,0.0,1.0
2018-09-18,43.5,44.59,43.03,43.78,43.78,398600,0.0,1.0
2018-09-19,43.65,44.99,42.86,43.85,43.85,537700,0.0,1.0
2018-09-20,44.0,45.24,43.32,44.97,44.97,646900,0.0,1.0
2018-09-21,45.47,46.11,43.47,44.48,44.48,3028100,0.0,1.0
2018-09-24,44.5,45.88,43.68,44.3,44.3,345500,0.0,1.0
2018-09-25,44.53,45.4581,44.31,44.79,44.79,349000,0.0,1.0
2018-09-26,44.66,46.06,43.94,44.1,44.1,422700,0.0,1.0
2018-09-27,44.16,45.185,43.2,44.03,44.03,309600,0.0,1.0
2018-09-28,43.78,44.7,43.5,43.56,43.56,613300,0.0,1.0
2018-10-01,43.77,44.19,43.16,43.76,43.76,331200,0.0,1.0
2018-10-02,43.67,44.15,42.85,43.01,43.01,330000,0.0,1.0
2018-10-03,43.04,45.5261,43.04,44.82,44.82,352800,0.0,1.0
2018-10-04,44.51,45.63,43.88,44.6,44.6,491800,0.0,1.0
2018-10-05,44.61,45.7,44.17,45.17,45.17,393100,0.0,1.0
2018-10-08,44.81,45.5,44.29,45.25,45.25,269400,0.0,1.0
2018-10-09,45.28,45.84,43.86,45.42,45.42,516400,0.0,1.0
2018-10-10,45.06,45.9,43.565,43.73,43.73,656400,0.0,1.0
2018-10-11,43.23,43.608,41.1,42.86,42.86,519400,0.0,1.0
2018-10-12,43.89,43.89,41.67,42.45,42.45,363100,0.0,1.0
2018-10-15,42.55,43.47,41.96,43.22,43.22,292900,0.0,1.0
2018-10-16,43.38,44.08,42.695,43.9,43.9,244200,0.0,1.0
2018-10-17,43.52,43.84,42.22,42.79,42.79,229000,0.0,1.0
2018-10-18,42.26,42.72,40.96,41.09,41.09,384600,0.0,1.0
2018-10-19,41.09,41.4599,40.355,40.69,40.69,295000,0.0,1.0
2018-10-22,40.74,41.135,39.71,40.37,40.37,404300,0.0,1.0
2018-10-23,39.29,40.22,37.34,38.66,38.66,520800,0.0,1.0
2018-10-24,38.82,39.41,37.0917,37.12,37.12,383800,0.0,1.0
2018-10-25,37.76,39.07,37.415,38.47,38.47,397100,0.0,1.0
2018-10-26,37.7,39.94,37.01,39.1,39.1,346000,0.0,1.0
2018-10-29,39.35,39.4,37.2527,37.82,37.82,422300,0.0,1.0
2018-10-30,37.85,39.48,37.4,39.35,39.35,673900,0.0,1.0
2018-10-31,39.3,39.89,37.685,38.99,38.99,1363500,0.0,1.0
2018-11-01,39.21,40.38,38.54,40.28,40.28,683700,0.0,1.0
2018-11-02,40.45,41.97,40.45,41.5,41.5,652100,0.0,1.0
2018-11-05,41.52,42.28,40.14,40.56,40.56,447400,0.0,1.0
2018-11-06,40.33,40.84,39.05,40.37,40.37,453000,0.0,1.0
2018-11-07,40.68,41.89,39.4657,40.52,40.52,311300,0.0,1.0
2018-11-08,40.32,40.73,38.64,38.92,38.92,175400,0.0,1.0
2018-11-09,38.28,39.08,37.37,38.03,38.03,497300,0.0,1.0
2018-11-12,38.19,39.34,37.62,37.73,37.73,332700,0.0,1.0
2018-11-13,37.7903,38.538,36.09,36.19,36.19,523700,0.0,1.0
2018-11-14,37.3083,37.31,34.33,36.19,36.19,890200,0.0,1.0
