timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-11-03,9.31,10.41,9.01,9.51,9.51,4971100,0.0,1.0
2017-11-06,9.81,10.71,9.6,10.43,10.43,830800,0.0,1.0
2017-11-07,10.75,12.05,10.75,11.95,11.95,909000,0.0,1.0
2017-11-08,12.46,12.75,11.08,11.43,11.43,1324900,0.0,1.0
2017-11-09,11.32,11.37,10.751,11.04,11.04,244400,0.0,1.0
2017-11-10,11.15,11.248,10.92,11.02,11.02,145100,0.0,1.0
2017-11-13,11.0,11.43,10.5,10.96,10.96,388500,0.0,1.0
2017-11-14,10.9,11.99,10.845,11.66,11.66,352900,0.0,1.0
2017-11-15,11.62,11.699,11.251,11.47,11.47,149600,0.0,1.0
2017-11-16,11.33,11.791,11.33,11.73,11.73,116100,0.0,1.0
2017-11-17,11.79,12.0,11.5,11.73,11.73,99000,0.0,1.0
2017-11-20,11.69,11.98,11.67,11.76,11.76,132500,0.0,1.0
2017-11-21,11.76,11.96,11.58,11.81,11.81,214600,0.0,1.0
2017-11-22,11.8594,11.975,11.512,11.73,11.73,157100,0.0,1.0
2017-11-24,11.74,11.8497,11.51,11.72,11.72,37100,0.0,1.0
2017-11-27,11.8,11.95,11.61,11.8,11.8,103200,0.0,1.0
2017-11-28,12.0,13.52,11.98,13.46,13.46,980800,0.0,1.0
2017-11-29,13.5,13.8,12.25,12.57,12.57,747300,0.0,1.0
2017-11-30,12.59,13.0,11.73,11.95,11.95,342900,0.0,1.0
2017-12-01,11.75,12.27,11.273,11.62,11.62,313700,0.0,1.0
2017-12-04,11.68,12.19,11.0,11.29,11.29,364300,0.0,1.0
2017-12-05,11.25,11.47,10.72,10.89,10.89,447100,0.0,1.0
2017-12-06,10.78,11.6,10.73,10.98,10.98,190000,0.0,1.0
2017-12-07,10.95,11.475,10.825,11.22,11.22,268100,0.0,1.0
2017-12-08,11.16,11.35,11.0,11.0,11.0,123800,0.0,1.0
2017-12-11,11.0,11.32,10.94,11.0,11.0,138200,0.0,1.0
2017-12-12,11.12,11.12,10.69,10.86,10.86,199500,0.0,1.0
2017-12-13,10.93,11.28,10.76,11.17,11.17,197300,0.0,1.0
2017-12-14,11.2,11.39,10.63,10.8,10.8,324600,0.0,1.0
2017-12-15,10.8,11.03,10.61,10.65,10.65,836300,0.0,1.0
2017-12-18,10.89,10.92,10.75,10.91,10.91,140100,0.0,1.0
2017-12-19,10.93,10.98,10.76,10.86,10.86,90900,0.0,1.0
2017-12-20,10.9,11.6099,10.9,11.42,11.42,132000,0.0,1.0
2017-12-21,11.5006,11.75,11.45,11.55,11.55,68800,0.0,1.0
2017-12-22,11.51,11.5092,11.14,11.19,11.19,41100,0.0,1.0
2017-12-26,11.2599,11.37,11.23,11.31,11.31,32800,0.0,1.0
2017-12-27,11.32,11.32,11.01,11.28,11.28,130800,0.0,1.0
2017-12-28,11.33,11.33,11.14,11.31,11.31,119600,0.0,1.0
2017-12-29,11.31,11.39,10.92,11.33,11.33,146500,0.0,1.0
2018-01-02,11.29,11.57,10.915,11.35,11.35,187600,0.0,1.0
2018-01-03,11.33,11.5,10.92,11.25,11.25,191000,0.0,1.0
2018-01-04,11.2602,11.41,10.92,10.97,10.97,141800,0.0,1.0
2018-01-05,10.99,11.05,10.88,10.97,10.97,108800,0.0,1.0
2018-01-08,11.01,11.01,10.5,10.64,10.64,127300,0.0,1.0
