timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,5.7923,5.833,5.771,5.792,4.1183,230400,0.0,1.0
1999-09-14,5.771,5.9173,5.771,5.917,4.2072,238800,0.0,1.0
1999-09-15,5.896,5.896,5.8135,5.833,4.1479,99900,0.0,1.0
1999-09-16,5.792,5.875,5.792,5.792,4.1183,87000,0.0,1.0
1999-09-17,5.792,5.854,5.75,5.854,4.1628,41700,0.0,1.0
1999-09-20,5.854,5.896,5.8328,5.854,4.1628,44700,0.0,1.0
1999-09-21,5.938,6.2711,5.917,6.271,4.459,671100,0.0,1.0
1999-09-22,6.292,6.396,6.292,6.354,4.5183,716700,0.0,1.0
1999-09-23,6.354,6.354,6.104,6.292,4.4739,357000,0.0,1.0
1999-09-24,6.333,6.458,6.292,6.438,4.5776,620700,0.0,1.0
1999-09-27,6.833,7.292,6.833,7.188,5.1109,1458300,0.0,1.0
1999-09-28,7.375,7.833,7.208,7.208,5.1257,1812000,0.0,1.0
1999-09-29,7.271,7.375,7.042,7.083,5.0368,446400,0.0,1.0
1999-09-30,7.083,7.125,6.854,6.938,4.9331,442200,0.0,1.0
1999-10-01,7.063,7.313,7.063,7.292,5.1849,380100,0.0,1.0
1999-10-04,7.625,7.8328,7.563,7.792,5.5405,846600,0.0,1.0
1999-10-05,8.0002,8.0,7.5,7.583,5.3923,769200,0.0,1.0
1999-10-06,7.604,7.625,7.375,7.583,5.3923,480300,0.0,1.0
1999-10-07,7.542,7.708,7.542,7.583,5.3923,228900,0.0,1.0
1999-10-08,7.5,7.771,7.375,7.438,5.2886,291600,0.0,1.0
1999-10-11,7.354,7.625,7.354,7.583,5.3923,225300,0.0,1.0
1999-10-12,7.646,7.646,7.438,7.438,5.2886,288600,0.0,1.0
1999-10-13,7.479,7.604,7.479,7.5,5.3331,292800,0.0,1.0
1999-10-14,7.542,7.542,7.333,7.354,5.2294,169800,0.0,1.0
1999-10-15,7.354,7.5,7.333,7.333,5.2146,226800,0.0,1.0
1999-10-18,7.333,7.354,7.229,7.292,5.1849,221100,0.0,1.0
1999-10-19,7.2493,7.25,7.021,7.042,5.0072,191100,0.0,1.0
1999-10-20,7.042,7.063,6.979,6.979,4.9627,98400,0.0,1.0
1999-10-21,6.917,6.979,6.792,6.958,4.9479,212400,0.0,1.0
1999-10-22,6.875,6.875,6.75,6.792,4.8294,108000,0.0,1.0
1999-10-25,6.771,6.854,6.625,6.667,4.7405,265200,0.0,1.0
1999-10-26,6.625,6.646,6.354,6.354,4.5183,300300,0.0,1.0
1999-10-27,6.438,6.458,6.375,6.458,4.5924,217200,0.0,1.0
1999-10-28,6.5,6.583,6.5,6.583,4.6813,280800,0.0,1.0
1999-10-29,6.625,6.792,6.604,6.688,4.7553,239700,0.0,1.0
1999-11-01,6.667,6.667,6.479,6.5,4.622,136200,0.0,1.0
1999-11-02,6.479,6.604,6.479,6.583,4.6813,259200,0.0,1.0
1999-11-03,6.583,6.708,6.583,6.625,4.7109,116400,0.0,1.0
1999-11-04,6.625,6.854,6.604,6.792,4.8294,255300,0.0,1.0
1999-11-05,6.833,6.833,6.729,6.729,4.785,92700,0.0,1.0
1999-11-08,6.729,6.729,6.604,6.729,4.785,256200,0.0,1.0
1999-11-09,6.708,6.917,6.708,6.833,4.859,321900,0.0,1.0
1999-11-10,6.75,7.042,6.75,6.958,4.9479,717300,0.0,1.0
1999-11-11,6.979,6.979,6.729,6.729,4.785,232800,0.0,1.0
