timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-10-02,3.4646,3.606,3.4293,3.4293,2.0297,1400,0.0,1.0
2000-10-03,3.4293,3.6414,3.4293,3.6414,2.1553,11200,0.0,1.0
2000-10-04,3.5,3.5,3.3586,3.3586,1.9879,2000,0.0,1.0
2000-10-05,3.3939,3.3939,3.3586,3.3939,2.0088,2000,0.0,1.0
2000-10-06,3.4646,3.606,3.4293,3.606,2.1343,7800,0.0,1.0
2000-10-09,3.6767,3.6767,3.606,3.6767,2.1762,24900,0.0,1.0
2000-10-10,3.6767,3.8181,3.606,3.6767,2.1762,105400,0.0,1.0
2000-10-11,3.7474,3.8181,3.606,3.606,2.1343,20500,0.0,1.0
2000-10-12,3.7474,3.7474,3.2878,3.3232,1.9669,59100,0.0,1.0
2000-10-13,3.3939,3.4646,3.3939,3.3939,2.0088,3600,0.0,1.0
2000-10-16,3.5353,3.5353,3.2171,3.3586,1.9879,18700,0.0,1.0
2000-10-17,3.2878,3.2878,3.0404,3.2171,1.9042,113200,0.0,1.0
2000-10-18,3.2171,3.2878,3.005,3.2878,1.946,11200,0.0,1.0
2000-10-19,3.2878,3.3586,3.2525,3.3232,1.9669,56000,0.0,1.0
2000-10-20,3.3232,3.3232,3.3232,3.3232,1.9669,500,0.0,1.0
2000-10-23,3.2525,3.606,3.2525,3.606,2.1343,43000,0.0,1.0
2000-10-24,3.6767,3.8181,3.6767,3.8181,2.2599,5400,0.0,1.0
2000-10-25,3.8181,3.8889,3.7474,3.7474,2.218,13500,0.0,1.0
2000-10-26,3.8181,3.8535,3.7474,3.7474,2.218,7400,0.0,1.0
2000-10-27,3.7828,3.7828,3.7828,3.7828,2.239,200,0.0,1.0
2000-10-30,3.7828,3.7828,3.606,3.606,2.1343,5400,0.0,1.0
2000-10-31,3.5353,3.5353,3.3939,3.4293,2.0297,8200,0.0,1.0
2000-11-01,3.5,3.5,3.5,3.5,2.0716,1600,0.0,1.0
2000-11-02,3.4293,3.5,3.2525,3.3232,1.9669,8200,0.0,1.0
2000-11-03,3.3939,3.4646,3.3232,3.3939,2.0088,201300,0.0,1.0
2000-11-06,3.3232,3.3586,3.3232,3.3586,1.9879,3000,0.0,1.0
2000-11-07,3.3586,3.5707,3.3586,3.4646,2.0506,256100,0.0,1.0
2000-11-08,3.5353,3.7121,3.5353,3.6767,2.1762,149700,0.0,1.0
2000-11-09,3.5353,3.6767,3.5353,3.5707,2.1134,31600,0.0,1.0
2000-11-10,3.5353,3.5353,3.5353,3.5353,2.0925,2000,0.0,1.0
2000-11-13,3.4646,3.4646,3.3232,3.3939,2.0088,2400,0.0,1.0
2000-11-14,3.3939,3.3939,3.3232,3.3939,2.0088,26900,0.0,1.0
2000-11-15,3.3232,3.3232,3.2525,3.2525,1.9251,2400,0.0,1.0
2000-11-16,3.3232,3.3232,3.2525,3.2525,1.9251,1800,0.0,1.0
2000-11-17,3.1818,3.1818,3.1818,3.1818,1.8832,1400,0.0,1.0
2000-11-20,2.9697,2.9697,2.7929,2.7929,1.6531,17900,0.0,1.0
2000-11-21,2.8283,2.8283,2.7929,2.8283,1.674,14700,0.0,1.0
2000-11-22,2.8283,2.899,2.8283,2.8283,1.674,476200,0.0,1.0
2000-11-24,2.7576,2.7576,2.7576,2.7576,1.6321,500,0.0,1.0
2000-11-27,2.8283,2.8283,2.7222,2.7929,1.6531,2600,0.0,1.0
2000-11-28,2.8636,2.8636,2.7929,2.8283,1.674,22100,0.0,1.0
2000-11-29,3.1111,3.1111,2.8283,2.8283,1.674,97600,0.0,1.0
2000-11-30,2.7576,2.8283,2.6868,2.7576,1.6321,15200,0.0,1.0
2000-12-01,2.7222,2.7576,2.7222,2.7576,1.6321,36800,0.0,1.0
2000-12-04,2.7576,2.7576,2.6515,2.7222,1.6112,36600,0.0,1.0
2000-12-05,2.7576,2.8636,2.7576,2.8636,1.6949,41700,0.0,1.0
2000-12-06,2.8283,2.8283,2.6868,2.6868,1.5903,9700,0.0,1.0
2000-12-07,2.7222,2.7222,2.7222,2.7222,1.6112,100,0.0,1.0
2000-12-08,2.8283,2.8636,2.8283,2.8283,1.674,101000,0.0,1.0
2000-12-11,2.6868,2.7576,2.6868,2.7576,1.6321,24200,0.0,1.0
2000-12-12,2.6868,2.6868,2.6161,2.6161,1.5484,42000,0.0,1.0
2000-12-13,2.6161,2.7222,2.6161,2.7222,1.6112,79200,0.0,1.0
2000-12-14,2.6515,2.7222,2.5808,2.5808,1.5275,9400,0.0,1.0
2000-12-15,2.6868,2.6868,2.6868,2.6868,1.5903,7200,0.0,1.0
2000-12-18,2.7576,2.7576,2.6161,2.6161,1.5484,52800,0.0,1.0
2000-12-19,2.5101,2.5101,2.3687,2.3687,1.402,26400,0.0,1.0
2000-12-20,2.3687,2.3687,2.2626,2.298,1.3601,96800,0.0,1.0
2000-12-21,2.298,2.3333,2.1919,2.1919,1.2973,13900,0.0,1.0
2000-12-22,2.2273,2.2273,2.1565,2.1565,1.2764,11200,0.0,1.0
2000-12-26,2.1212,2.1212,2.1212,2.1212,1.2555,3300,0.0,1.0
2000-12-27,2.0505,2.1919,2.0151,2.0151,1.1927,15800,0.0,1.0
2000-12-28,2.0151,2.0151,1.7677,1.803,1.0672,78400,0.0,1.0
2000-12-29,1.697,1.7677,1.6262,1.7323,1.0253,93000,0.0,1.0
2001-01-02,1.697,2.0151,1.697,1.8737,1.109,44800,0.0,1.0
2001-01-03,1.9444,1.9444,1.8737,1.9444,1.1509,21400,0.0,1.0
2001-01-04,1.8737,2.1212,1.8737,2.1212,1.2555,29600,0.0,1.0
2001-01-05,2.1919,2.2626,2.0858,2.2626,1.3392,30300,0.0,1.0
2001-01-08,2.1212,2.1919,2.0858,2.1212,1.2555,64200,0.0,1.0
2001-01-09,2.2273,2.5101,2.2273,2.3687,1.402,63300,0.0,1.0
2001-01-10,2.3333,2.5808,2.3333,2.5454,1.5066,37200,0.0,1.0
2001-01-11,2.5454,2.7929,2.5454,2.7929,1.6531,165400,0.0,1.0
2001-01-12,2.7576,2.7576,2.5808,2.6515,1.5694,52000,0.0,1.0
2001-01-16,2.7222,2.7576,2.6161,2.6515,1.5694,68200,0.0,1.0
2001-01-17,2.6515,2.8283,2.6515,2.6868,1.5903,27700,0.0,1.0
2001-01-18,2.6515,2.7929,2.6515,2.6868,1.5903,8200,0.0,1.0
2001-01-19,2.7576,3.2525,2.7576,3.2525,1.9251,22700,0.0,1.0
2001-01-22,3.3232,3.3939,3.0404,3.1818,1.8832,19200,0.0,1.0
2001-01-23,3.3939,3.5353,3.1464,3.1818,1.8832,36200,0.0,1.0
2001-01-24,3.2525,3.2525,3.1464,3.1464,1.8623,4100,0.0,1.0
2001-01-25,3.0757,3.0757,3.005,3.005,1.7786,11200,0.0,1.0
2001-01-26,2.9697,2.9697,2.7929,2.7929,1.6531,16100,0.0,1.0
2001-01-29,2.6868,2.6868,2.5737,2.6586,1.5736,6200,0.0,1.0
2001-01-30,2.6868,2.8565,2.6699,2.7095,1.6037,1010800,0.0,1.0
2001-01-31,2.8679,3.0545,2.8679,3.0149,1.7845,278100,0.0,1.0
2001-02-01,3.0149,3.1054,3.0149,3.0998,1.8347,680500,0.0,1.0
2001-02-02,3.1563,3.3939,3.1563,3.2638,1.9318,201000,0.0,1.0
2001-02-05,3.2525,3.2525,3.1111,3.1111,1.8414,189600,0.0,1.0
2001-02-06,3.0715,3.0828,3.0432,3.0545,1.8079,79500,0.0,1.0
2001-02-07,2.8848,2.8848,2.7717,2.8,1.6573,165700,0.0,1.0
2001-02-08,2.8283,2.8848,2.8283,2.8396,1.6807,149100,0.0,1.0
2001-02-09,2.8169,2.8169,2.7717,2.783,1.6472,84800,0.0,1.0
2001-02-12,2.8283,2.947,2.8283,2.9414,1.741,14700,0.0,1.0
2001-02-13,2.998,3.0828,2.998,3.0375,1.7979,20200,0.0,1.0
2001-02-14,3.0319,3.0319,3.0319,3.0319,1.7945,100,0.0,1.0
2001-02-15,3.1054,3.5353,3.1054,3.4222,2.0255,354400,0.0,1.0
2001-02-16,3.4278,3.4278,2.8565,3.3091,1.9586,548800,0.0,1.0
2001-02-20,3.1959,3.1959,2.9301,2.9301,1.7343,214400,0.0,1.0
2001-02-21,2.9131,2.9697,2.9131,2.9697,1.7577,241100,0.0,1.0
2001-02-22,2.8848,2.8848,2.8283,2.8565,1.6907,59200,0.0,1.0
2001-02-23,2.7717,2.8509,2.7717,2.8283,1.674,27700,0.0,1.0
2001-02-26,2.8226,2.8226,2.7717,2.7717,1.6405,1000,0.0,1.0
2001-02-27,2.8,2.8,2.7717,2.8,1.6573,8000,0.0,1.0
2001-02-28,2.7095,2.8,2.6642,2.6868,1.5903,86600,0.0,1.0
2001-03-01,2.6755,2.6755,2.5454,2.5454,1.5066,1900,0.0,1.0
2001-03-02,2.602,2.6303,2.602,2.602,1.5401,3400,0.0,1.0
2001-03-05,2.6586,2.8,2.6586,2.8,1.6573,43300,0.0,1.0
2001-03-06,2.8283,2.8735,2.8283,2.8565,1.6907,44500,0.0,1.0
2001-03-07,2.8339,2.8396,2.783,2.8283,1.674,133500,0.0,1.0
2001-03-08,2.8283,2.8283,2.7151,2.7604,1.6338,147500,0.0,1.0
2001-03-09,2.7321,2.7321,2.6982,2.6982,1.597,59400,0.0,1.0
2001-03-12,2.5454,2.602,2.4889,2.4889,1.4731,289200,0.0,1.0
2001-03-13,2.4719,2.4776,2.4323,2.4493,1.4497,102400,0.0,1.0
2001-03-14,2.4493,2.4493,2.404,2.4266,1.4363,121500,0.0,1.0
2001-03-15,2.4606,2.5171,2.4606,2.5171,1.4899,324300,0.0,1.0
2001-03-16,2.4889,2.4889,2.4889,2.4889,1.4731,6500,0.0,1.0
2001-03-19,2.421,2.4323,2.421,2.4323,1.4396,2900,0.0,1.0
2001-03-20,2.4323,2.4889,2.3757,2.3757,1.4062,77000,0.0,1.0
2001-03-21,2.3757,2.404,2.3757,2.3757,1.4062,142000,0.0,1.0
2001-03-22,2.4323,2.4549,2.3927,2.404,1.4229,809100,0.0,1.0
2001-03-23,2.4719,2.5115,2.4606,2.5058,1.4832,134500,0.0,1.0
2001-03-26,2.7208,2.7717,2.7208,2.7434,1.6238,25600,0.0,1.0
