timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-01-12,2.74,2.75,2.55,2.64,2.279,104200,0.0,0.037
2004-01-13,2.61,2.8497,2.44,2.6,2.2445,164700,0.0,1.0
2004-01-14,2.51,2.55,2.41,2.41,2.0805,48500,0.0,1.0
2004-01-15,2.4,2.41,2.15,2.2,1.8992,278200,0.0,1.0
2004-01-16,2.29,2.42,2.16,2.34,2.0201,361700,0.0,1.0
2004-01-20,2.45,2.7,2.4,2.51,2.1668,222700,0.0,1.0
2004-01-21,2.49,2.49,2.36,2.42,2.0891,269500,0.0,1.0
2004-01-22,2.42,2.45,2.33,2.36,2.0373,135300,0.0,1.0
2004-01-23,2.36,2.36,2.25,2.29,1.9769,47800,0.0,1.0
2004-01-26,2.37,2.37,2.23,2.29,1.9769,95700,0.0,1.0
2004-01-27,2.2902,2.39,2.22,2.36,2.0373,195800,0.0,1.0
2004-01-28,2.39,2.39,2.2,2.3,1.9855,69400,0.0,1.0
2004-01-29,2.25,2.27,2.11,2.23,1.9251,184100,0.0,1.0
2004-01-30,2.29,2.3,2.19,2.26,1.951,33100,0.0,1.0
2004-02-02,2.19,2.26,2.1097,2.14,1.8474,116600,0.0,1.0
2004-02-03,2.3,2.33,2.2001,2.2,1.8992,96700,0.0,1.0
2004-02-04,2.26,2.26,2.16,2.25,1.9424,34100,0.0,1.0
2004-02-05,2.23,2.27,2.18,2.23,1.9251,59200,0.0,1.0
2004-02-06,2.32,2.32,2.23,2.25,1.9424,147200,0.0,1.0
2004-02-09,2.25,2.28,2.25,2.26,1.951,155300,0.0,1.0
2004-02-10,2.39,2.39,2.31,2.31,1.9942,86600,0.0,1.0
2004-02-11,2.38,2.54,2.33,2.52,2.1755,214700,0.0,1.0
2004-02-12,2.59,2.65,2.5,2.63,2.2704,181200,0.0,1.0
2004-02-13,2.67,2.75,2.5,2.72,2.3481,119500,0.0,1.0
2004-02-17,2.77,2.81,2.7,2.75,2.374,183000,0.0,1.0
2004-02-18,2.8,2.8,2.65,2.65,2.2877,57300,0.0,1.0
2004-02-19,2.65,2.7,2.61,2.7,2.3308,70600,0.0,1.0
2004-02-20,2.52,2.62,2.43,2.53,2.1841,208700,0.0,1.0
2004-02-23,2.48,2.48,2.43,2.46,2.1237,37300,0.0,1.0
2004-02-24,2.42,2.62,2.42,2.59,2.2359,116200,0.0,1.0
2004-02-25,2.59,2.59,2.4,2.44,2.1064,104500,0.0,1.0
2004-02-26,2.46,2.46,2.38,2.41,2.0805,129300,0.0,1.0
2004-02-27,2.41,2.44,2.4,2.43,2.0978,197000,0.0,1.0
2004-03-01,2.47,2.55,2.43,2.47,2.1323,119200,0.0,1.0
2004-03-02,2.49,2.6,2.34,2.4,2.0719,95200,0.0,1.0
2004-03-03,2.39,2.43,2.34,2.41,2.0805,154500,0.0,1.0
2004-03-04,2.48,2.61,2.4,2.56,2.21,164700,0.0,1.0
2004-03-05,2.62,2.72,2.61,2.66,2.2963,337300,0.0,1.0
2004-03-08,2.75,2.75,2.61,2.63,2.2704,52300,0.0,1.0
2004-03-09,2.68,2.7,2.6297,2.66,2.2963,96500,0.0,1.0
2004-03-10,2.69,2.69,2.6,2.61,2.2531,45200,0.0,1.0
2004-03-11,2.6,2.75,2.6,2.75,2.374,63800,0.0,1.0
2004-03-12,2.6898,2.69,2.6,2.67,2.3049,67200,0.0,1.0
2004-03-15,2.77,2.77,2.62,2.67,2.3049,119800,0.0,1.0
2004-03-16,2.78,2.78,2.61,2.61,2.2531,37900,0.0,1.0
2004-03-17,2.7,2.7,2.5997,2.68,2.3136,65400,0.0,1.0
2004-03-18,2.74,3.07,2.72,3.07,2.6503,410200,0.0,1.0
2004-03-19,3.08,3.08,2.92,2.98,2.5726,406400,0.0,1.0
2004-03-22,3.02,3.16,2.8799,3.07,2.6503,357700,0.0,1.0
2004-03-23,3.04,3.04,2.95,3.04,2.6244,200500,0.0,1.0
2004-03-24,3.0,3.08,2.95,3.08,2.6589,61600,0.0,1.0
2004-03-25,3.0,3.06,2.99,3.03,2.6157,109600,0.0,1.0
2004-03-26,3.08,3.19,3.04,3.16,2.7279,235900,0.0,1.0
2004-03-29,3.23,3.3,3.09,3.14,2.7107,508500,0.0,1.0
2004-03-30,3.2,3.2,3.15,3.17,2.7366,56400,0.0,1.0
2004-03-31,3.35,3.39,3.27,3.39,2.9265,372800,0.0,1.0
2004-04-01,3.43,3.49,3.39,3.42,2.9524,208900,0.0,1.0
2004-04-02,3.28,3.45,3.11,3.21,2.7711,398600,0.0,1.0
2004-04-05,3.15,3.2,2.96,3.02,2.6071,328600,0.0,1.0
2004-04-06,3.13,3.13,3.01,3.06,2.6416,157000,0.0,1.0
2004-04-07,3.05,3.14,3.04,3.04,2.6244,186400,0.0,1.0
2004-04-08,3.04,3.05,2.95,2.98,2.5726,103700,0.0,1.0
2004-04-12,2.98,3.0,2.91,2.98,2.5726,129300,0.0,1.0
2004-04-13,2.9,2.91,2.7498,2.84,2.4517,441400,0.0,1.0
2004-04-14,2.74,2.79,2.52,2.63,2.2704,521900,0.0,1.0
2004-04-15,2.53,2.79,2.52,2.75,2.374,317000,0.0,1.0
2004-04-16,2.92,2.92,2.77,2.85,2.4603,185700,0.0,1.0
2004-04-19,2.88,2.97,2.82,2.87,2.4776,163300,0.0,1.0
2004-04-20,2.8,2.88,2.56,2.56,2.21,464000,0.0,1.0
2004-04-21,2.52,2.59,2.42,2.57,2.2186,549700,0.0,1.0
2004-04-22,2.67,2.67,2.52,2.58,2.2272,94600,0.0,1.0
2004-04-23,2.67,2.67,2.52,2.58,2.2272,52300,0.0,1.0
2004-04-26,2.59,2.68,2.59,2.65,2.2877,54300,0.0,1.0
2004-04-27,2.69,2.69,2.3802,2.49,2.1496,256300,0.0,1.0
2004-04-28,2.4,2.4,2.09,2.09,1.8042,462000,0.0,1.0
2004-04-29,2.16,2.23,2.12,2.18,1.8819,292700,0.0,1.0
2004-04-30,2.18,2.24,2.05,2.1,1.8129,172800,0.0,1.0
2004-05-03,2.13,2.19,2.05,2.1,1.8129,141100,0.0,1.0
2004-05-04,2.19,2.24,2.13,2.2,1.8992,318600,0.0,1.0
2004-05-05,2.3898,2.39,2.15,2.3,1.9855,230600,0.0,1.0
2004-05-06,2.27,2.32,2.16,2.32,2.0028,179400,0.0,1.0
2004-05-07,2.26,2.27,2.0,2.06,1.7783,528900,0.0,1.0
2004-05-10,2.0,2.09,1.9,2.09,1.8042,372900,0.0,1.0
2004-05-11,2.11,2.12,2.0,2.03,1.7524,103100,0.0,1.0
2004-05-12,2.1,2.12,2.02,2.07,1.787,163300,0.0,1.0
2004-05-13,2.08,2.08,1.91,1.92,1.6575,39400,0.0,1.0
2004-05-14,1.88,2.03,1.88,2.01,1.7352,88700,0.0,1.0
2004-05-17,2.07,2.14,1.97,2.05,1.7697,161600,0.0,1.0
2004-05-18,2.06,2.06,1.96,1.98,1.7093,116100,0.0,1.0
2004-05-19,2.0,2.17,2.0,2.07,1.787,1055400,0.0,1.0
2004-05-20,2.11,2.11,2.05,2.08,1.7956,183400,0.0,1.0
2004-05-21,2.15,2.15,2.0598,2.1,1.8129,180900,0.0,1.0
2004-05-24,2.12,2.13,2.11,2.13,1.8388,73500,0.0,1.0
2004-05-25,2.18,2.21,2.12,2.18,1.8819,407100,0.0,1.0
2004-05-26,2.22,2.3,2.13,2.3,1.9855,338100,0.0,1.0
2004-05-27,2.36,2.36,2.25,2.31,1.9942,191400,0.0,1.0
2004-05-28,2.32,2.43,2.2,2.4,2.0719,156600,0.0,1.0
2004-06-01,2.55,2.55,2.31,2.37,2.046,254600,0.0,1.0
2004-06-02,2.25,2.3498,2.18,2.22,1.9165,163600,0.0,1.0
2004-06-03,2.22,2.25,2.16,2.16,1.8647,72800,0.0,1.0
2004-06-04,2.15,2.27,2.15,2.21,1.9078,110700,0.0,1.0
2004-06-07,2.24,2.26,2.16,2.22,1.9165,185500,0.0,1.0
2004-06-08,2.22,2.23,2.09,2.12,1.8301,144000,0.0,1.0
2004-06-09,2.1,2.12,2.0,2.04,1.7611,171500,0.0,1.0
2004-06-10,2.01,2.07,2.01,2.06,1.7783,84100,0.0,1.0
2004-06-14,1.98,2.05,1.77,1.81,1.5625,367400,0.0,1.0
2004-06-15,1.88,1.92,1.77,1.9,1.6402,337900,0.0,1.0
2004-06-16,1.86,1.86,1.65,1.78,1.5366,403400,0.0,1.0
2004-06-17,1.82,1.93,1.81,1.91,1.6489,158500,0.0,1.0
2004-06-18,2.01,2.05,1.93,1.98,1.7093,250100,0.0,1.0
2004-06-21,1.99,1.99,1.93,1.96,1.692,106300,0.0,1.0
2004-06-22,1.98,1.98,1.9299,1.95,1.6834,54100,0.0,1.0
2004-06-23,1.98,1.98,1.84,1.87,1.6143,150700,0.0,1.0
2004-06-24,1.92,2.02,1.89,2.01,1.7352,300000,0.0,1.0
2004-06-25,1.97,2.1,1.97,2.09,1.8042,79400,0.0,1.0
2004-06-28,2.15,2.16,2.08,2.1,1.8129,131200,0.0,1.0
2004-06-29,2.11,2.18,2.06,2.06,1.7783,91100,0.0,1.0
2004-06-30,2.1,2.17,2.1001,2.12,1.8301,79900,0.0,1.0
2004-07-01,2.19,2.19,1.95,2.07,1.787,29600,0.0,1.0
2004-07-02,2.07,2.19,2.07,2.19,1.8906,81900,0.0,1.0
2004-07-06,2.2,2.2,2.08,2.19,1.8906,141300,0.0,1.0
2004-07-07,2.25,2.3,2.21,2.28,1.9683,115400,0.0,1.0
2004-07-08,2.34,2.39,2.31,2.37,2.046,142800,0.0,1.0
2004-07-09,2.42,2.51,2.38,2.46,2.1237,365400,0.0,1.0
2004-07-12,2.5,2.55,2.4901,2.52,2.1755,179900,0.0,1.0
2004-07-13,2.5,2.54,2.3899,2.52,2.1755,133000,0.0,1.0
2004-07-14,2.49,2.57,2.47,2.56,2.21,119600,0.0,1.0
2004-07-15,2.56,2.56,2.4999,2.52,2.1755,86700,0.0,1.0
2004-07-16,2.52,2.52,2.42,2.48,2.1409,70200,0.0,1.0
2004-07-19,2.48,2.48,2.31,2.32,2.0028,140400,0.0,1.0
2004-07-20,2.3,2.31,2.2,2.23,1.9251,102100,0.0,1.0
2004-07-21,2.19,2.27,2.17,2.23,1.9251,175800,0.0,1.0
2004-07-22,2.22,2.22,2.12,2.14,1.8474,83800,0.0,1.0
2004-07-23,2.12,2.12,2.06,2.09,1.8042,51800,0.0,1.0
2004-07-26,2.19,2.19,2.0199,2.08,1.7956,62600,0.0,1.0
2004-07-27,2.05,2.11,2.0,2.09,1.8042,233100,0.0,1.0
2004-07-28,2.1,2.1,2.01,2.09,1.8042,174900,0.0,1.0
2004-07-29,2.1,2.16,2.02,2.05,1.7697,55300,0.0,1.0
2004-07-30,2.14,2.15,2.1,2.11,1.8215,53900,0.0,1.0
2004-08-02,2.1,2.19,2.0901,2.15,1.856,45700,0.0,1.0
2004-08-03,2.14,2.22,2.11,2.13,1.8388,120700,0.0,1.0
