timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,35.375,35.5,35.313,35.5,15.1852,47700,0.0,1.0
1999-09-14,35.625,35.625,35.375,35.438,15.1585,83900,0.0,1.0
1999-09-15,35.375,35.438,35.25,35.313,15.105,121200,0.0,1.0
1999-09-16,35.313,35.5,35.25,35.313,15.105,72200,0.0,1.0
1999-09-17,35.375,35.375,35.125,35.375,15.1317,125400,0.0,1.0
1999-09-20,35.313,35.313,35.0,35.063,14.9981,44100,0.0,1.0
1999-09-21,35.125,35.125,34.75,34.813,14.8911,23900,0.0,1.0
1999-09-22,34.5626,34.625,34.063,34.125,14.597,158200,0.0,1.0
1999-09-23,34.0,34.125,33.813,33.813,14.4634,79900,0.0,1.0
1999-09-24,33.875,33.875,33.563,33.625,14.3832,128000,0.0,1.0
1999-09-27,33.875,33.875,33.3138,33.313,14.2495,307100,0.0,1.0
1999-09-28,32.813,33.1261,32.563,33.125,14.394,188500,0.52,1.0
1999-09-29,33.2515,33.313,32.938,33.063,14.3668,60000,0.0,1.0
1999-09-30,33.063,33.875,32.9991,33.875,14.7199,3941600,0.0,1.0
1999-10-01,34.0,34.0,33.125,33.938,14.747,104800,0.0,1.0
1999-10-04,33.938,34.0,33.75,34.0,14.7742,52900,0.0,1.0
1999-10-05,34.0,34.375,33.938,34.25,14.8828,150800,0.0,1.0
1999-10-06,34.125,34.563,34.125,34.5,14.9915,36400,0.0,1.0
1999-10-07,34.313,34.438,33.25,33.313,14.4755,117400,0.0,1.0
1999-10-08,33.313,33.6259,33.188,33.5,14.5569,63600,0.0,1.0
1999-10-11,33.5,33.8108,33.375,33.813,14.6927,42400,0.0,1.0
1999-10-12,33.9387,33.938,33.438,33.5,14.5569,42100,0.0,1.0
1999-10-13,33.438,33.625,33.125,33.313,14.4755,29600,0.0,1.0
1999-10-14,33.438,33.438,32.563,32.688,14.2039,119400,0.0,1.0
1999-10-15,32.313,32.313,31.063,31.25,13.5792,705100,0.0,1.0
1999-10-18,31.5,31.813,31.25,31.5,13.6879,436100,0.0,1.0
1999-10-19,31.563,31.75,31.375,31.5,13.6879,209200,0.0,1.0
1999-10-20,31.563,31.813,31.5004,31.813,13.8237,232000,0.0,1.0
1999-10-21,31.938,31.938,31.5,31.5,13.6879,49100,0.0,1.0
1999-10-22,31.5,31.8742,31.5,31.688,13.7693,162800,0.0,1.0
1999-10-25,31.625,31.75,31.5,31.688,13.7693,117100,0.0,1.0
1999-10-26,31.563,31.75,31.563,31.625,13.7422,69200,0.0,1.0
