timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-10-21,32.81,53.85,32.81,41.0,41.0,270900,0.0,1.0
2014-10-22,41.0,41.9888,39.75,39.75,39.75,332800,0.0,1.0
2014-10-23,39.75,39.76,39.4,39.45,39.45,207200,0.0,1.0
2014-10-24,39.48,39.48,38.5,38.74,38.74,104200,0.0,1.0
2014-10-27,38.25,38.5,38.25,38.4,38.4,121300,0.0,1.0
2014-10-28,38.0,38.45,37.67,38.08,38.08,319600,0.0,1.0
2014-10-29,38.3,38.3,38.13,38.25,38.25,44200,0.0,1.0
2014-10-30,38.25,38.25,37.75,37.75,37.75,139900,0.0,1.0
2014-10-31,38.25,38.4,37.0,37.97,37.97,8271100,0.0,1.0
2014-11-03,37.52,38.89,37.51,38.45,38.45,3640900,0.0,1.0
2014-11-04,38.5,38.68,35.9,36.97,36.97,3757700,0.0,1.0
2014-11-05,35.9,38.45,35.56,38.13,38.13,3063700,0.0,1.0
2014-11-06,37.2,40.79,37.2,38.95,38.95,2623300,0.0,1.0
2014-11-07,38.5,39.18,36.75,36.96,36.96,4045600,0.0,1.0
2014-11-10,35.61,37.38,35.61,35.82,35.82,2577700,0.0,1.0
2014-11-11,36.07,36.79,35.65,36.5,36.5,1535000,0.0,1.0
2014-11-12,36.66,38.23,36.56,38.1,38.1,1528700,0.0,1.0
2014-11-13,37.56,38.18,37.22,37.51,37.51,2058600,0.0,1.0
2014-11-14,37.09,37.61,37.0103,37.4,37.4,1071600,0.0,1.0
2014-11-17,37.11,37.85,36.82,37.76,37.76,810700,0.0,1.0
2014-11-18,37.91,39.76,37.65,39.33,39.33,1116900,0.0,1.0
2014-11-19,38.92,39.28,38.15,39.01,39.01,883500,0.0,1.0
2014-11-20,38.44,39.8,38.44,39.71,39.71,832400,0.0,1.0
2014-11-21,39.92,39.92,38.4105,39.29,39.29,747300,0.0,1.0
2014-11-24,39.22,39.29,38.48,38.86,38.86,976700,0.0,1.0
2014-11-25,38.61,38.93,38.49,38.82,38.82,789900,0.0,1.0
2014-11-26,38.82,39.17,38.6,39.1,39.1,361000,0.0,1.0
2014-11-28,38.99,39.74,38.6,39.21,39.21,226500,0.0,1.0
2014-12-01,39.04,39.49,38.305,38.79,38.79,673200,0.0,1.0
2014-12-02,38.3,38.69,37.35,37.53,37.53,727600,0.0,1.0
2014-12-03,37.5,38.12,36.75,37.51,37.51,984500,0.0,1.0
2014-12-04,37.52,39.26,37.293,39.13,39.13,649500,0.0,1.0
2014-12-05,38.85,39.02,38.19,38.62,38.62,414200,0.0,1.0
2014-12-08,38.1193,39.19,38.12,39.1,39.1,350800,0.0,1.0
2014-12-09,38.64,39.5,38.37,39.4,39.4,453000,0.0,1.0
2014-12-10,39.93,39.93,38.5,38.76,38.76,575800,0.0,1.0
2014-12-11,38.7508,39.67,38.69,39.3,39.3,400200,0.0,1.0
2014-12-12,39.27,39.58,38.6422,38.67,38.67,375200,0.0,1.0
2014-12-15,38.62,38.8,38.12,38.51,38.51,310300,0.0,1.0
2014-12-16,38.5,39.444,38.26,38.53,38.53,366700,0.0,1.0
2014-12-17,38.72,38.98,38.26,38.69,38.69,299200,0.0,1.0
2014-12-18,38.89,39.27,38.66,39.09,39.09,652500,0.0,1.0
2014-12-19,39.02,40.35,39.02,40.14,40.14,804800,0.0,1.0
2014-12-22,40.25,44.6,40.03,43.0,43.0,1102100,0.0,1.0
2014-12-23,43.0,43.14,41.63,42.86,42.86,639400,0.0,1.0
2014-12-24,43.0,43.392,42.6,42.62,42.62,176200,0.0,1.0
2014-12-26,42.78,42.7835,41.69,41.71,41.71,204900,0.0,1.0
2014-12-29,42.37,43.0,41.81,42.84,42.84,727000,0.0,1.0
2014-12-30,42.83,45.35,42.75,44.62,44.62,507100,0.0,1.0
2014-12-31,44.68,46.14,44.49,45.47,45.47,439400,0.0,1.0
2015-01-02,45.37,46.409,45.25,46.25,46.25,698300,0.0,1.0
2015-01-05,46.0,46.11,44.22,44.77,44.77,1058300,0.0,1.0
2015-01-06,44.98,45.91,44.78,45.65,45.65,705900,0.0,1.0
2015-01-07,46.25,47.68,46.034,46.71,46.71,850500,0.0,1.0
2015-01-08,47.01,48.77,46.26,48.24,48.24,1614100,0.0,1.0
2015-01-09,48.08,48.52,46.76,47.83,47.83,664900,0.0,1.0
2015-01-12,48.23,48.66,47.65,48.3,48.3,420100,0.0,1.0
2015-01-13,48.74,48.91,45.84,46.5,46.5,738000,0.0,1.0
2015-01-14,46.0,47.313,45.68,46.78,46.78,556200,0.0,1.0
2015-01-15,46.75,46.75,44.83,44.96,44.96,837200,0.0,1.0
2015-01-16,44.72,46.05,44.44,45.54,45.54,634000,0.0,1.0
2015-01-20,45.65,46.0,45.334,45.47,45.47,298400,0.0,1.0
2015-01-21,45.2,46.41,45.2,45.94,45.94,427900,0.0,1.0
