timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-07-27,15.0,15.1,15.0,15.01,4.9369,23400,0.0,1.0
2001-07-30,15.01,15.06,15.0,15.06,4.9534,13000,0.0,1.0
2001-07-31,15.01,15.2,15.0,15.2,4.9994,17600,0.0,1.0
2001-08-01,15.1,15.1,15.06,15.06,4.9534,4000,0.0,1.0
2001-08-02,15.05,15.09,15.01,15.05,4.9501,6600,0.0,1.0
2001-08-03,15.01,15.07,15.01,15.04,4.9468,9700,0.0,1.0
2001-08-06,15.09,15.09,15.05,15.08,4.96,6000,0.0,1.0
2001-08-07,15.0797,15.09,15.08,15.08,4.96,5000,0.0,1.0
2001-08-08,15.1,15.099,15.02,15.03,4.9435,3600,0.0,1.0
2001-08-09,15.02,15.09,15.0,15.0,4.9336,19200,0.0,1.0
2001-08-10,15.0,15.0,15.0,15.0,4.9336,12700,0.0,1.0
2001-08-13,15.05,15.05,15.0,15.0,4.9336,11600,0.0,1.0
2001-08-14,15.0,15.0,15.0,15.0,4.9336,20400,0.0,1.0
2001-08-15,15.03,15.05,15.0,15.04,4.9468,12200,0.0,1.0
2001-08-16,15.05,15.07,15.0,15.0,4.9336,12300,0.0,1.0
2001-08-17,15.0,15.08,15.0,15.08,4.96,30100,0.0,1.0
2001-08-20,15.02,15.02,15.02,15.02,4.9402,1300,0.0,1.0
2001-08-21,15.02,15.05,15.0,15.02,4.9402,23600,0.0,1.0
2001-08-22,15.05,15.05,15.02,15.02,4.9402,1500,0.0,1.0
2001-08-23,15.03,15.04,15.01,15.04,4.9468,5100,0.0,1.0
2001-08-24,15.0,15.04,15.0,15.04,4.9468,1900,0.0,1.0
2001-08-27,15.05,15.05,15.0,15.0,4.9336,8400,0.0,1.0
2001-08-28,15.04,15.06,15.02,15.02,4.9402,10600,0.0,1.0
2001-08-29,15.0696,15.09,15.01,15.01,4.9369,3600,0.0,1.0
2001-08-30,15.07,15.09,15.01,15.09,4.9632,15000,0.0,1.0
2001-08-31,15.1,15.14,15.0,15.0,4.9336,14000,0.0,1.0
2001-09-04,15.0,15.0,15.0,15.0,4.9336,2200,0.0,1.0
2001-09-05,15.08,15.1002,15.08,15.1,4.9665,1400,0.0,1.0
2001-09-06,15.05,15.05,15.0191,15.02,4.9402,2700,0.0,1.0
2001-09-07,15.02,15.02,15.02,15.02,4.9402,0,0.0,1.0
2001-09-10,15.02,15.02,15.02,15.02,4.9402,0,0.0,1.0
2001-09-17,15.0,15.02,14.96,14.96,4.9205,12300,0.0,1.0
2001-09-18,15.01,15.01,14.93,14.94,4.9139,5500,0.0,1.0
2001-09-19,14.94,14.94,14.85,14.85,4.8843,10500,0.0,1.0
2001-09-20,14.85,14.88,14.79,14.79,4.8646,4500,0.0,1.0
2001-09-21,14.75,14.76,14.75,14.76,4.8547,1400,0.0,1.0
2001-09-24,14.65,14.65,14.3,14.3,4.7034,24600,0.0,1.0
2001-09-25,14.35,14.4,14.35,14.4,4.7363,12400,0.0,1.0
2001-09-26,14.49,14.53,14.4,14.4,4.7363,4000,0.0,1.0
2001-09-27,14.45,14.4514,14.45,14.45,4.777,500,0.073,1.0
2001-09-28,14.55,14.57,14.43,14.55,4.81,11600,0.0,1.0
2001-10-01,14.5,14.74,14.5,14.74,4.8728,16200,0.0,1.0
2001-10-02,14.75,14.84,14.7,14.84,4.9059,7900,0.0,1.0
2001-10-03,14.95,15.05,14.9512,15.04,4.972,9500,0.0,1.0
2001-10-04,15.04,15.05,14.91,15.0,4.9588,9600,0.0,1.0
2001-10-05,15.04,15.04,15.0,15.0,4.9588,6300,0.0,1.0
2001-10-08,15.01,15.01,14.95,14.95,4.9422,5500,0.0,1.0
2001-10-09,14.99,15.01,14.95,14.95,4.9422,5300,0.0,1.0
2001-10-10,15.0,15.01,14.87,14.87,4.9158,5700,0.0,1.0
2001-10-11,14.75,14.75,14.7495,14.75,4.8979,1000,0.066,1.0
2001-10-12,14.76,14.76,14.76,14.76,4.9012,600,0.0,1.0
2001-10-15,14.76,14.84,14.71,14.71,4.8846,4600,0.0,1.0
2001-10-16,14.79,14.79,14.79,14.79,4.9112,5000,0.0,1.0
2001-10-17,14.82,14.84,14.68,14.77,4.9045,4500,0.0,1.0
2001-10-18,14.68,14.68,14.62,14.62,4.8547,2700,0.0,1.0
2001-10-19,14.62,14.62,14.62,14.62,4.8547,0,0.0,1.0
2001-10-22,14.7,14.81,14.7,14.81,4.9178,5500,0.0,1.0
2001-10-23,14.68,14.7496,14.68,14.75,4.8979,2600,0.0,1.0
2001-10-24,14.75,14.75,14.75,14.75,4.8979,4000,0.0,1.0
2001-10-25,14.75,14.7891,14.71,14.71,4.8846,10900,0.0,1.0
2001-10-26,14.72,14.75,14.65,14.75,4.8979,6100,0.0,1.0
2001-10-29,14.7397,14.74,14.59,14.6,4.8481,5400,0.0,1.0
2001-10-30,14.65,14.65,14.4003,14.45,4.7982,15200,0.0,1.0
2001-10-31,14.5,14.5,14.5,14.5,4.8149,3900,0.0,1.0
2001-11-01,14.5,14.5,14.5,14.5,4.8149,7000,0.0,1.0
2001-11-02,14.46,14.5,14.46,14.5,4.8149,12800,0.0,1.0
2001-11-05,14.5,14.5006,14.41,14.47,4.8049,13000,0.0,1.0
2001-11-06,14.5,14.69,14.5,14.68,4.8746,17000,0.0,1.0
2001-11-07,14.7,14.6999,14.7,14.7,4.8813,6600,0.0,1.0
2001-11-08,14.65,14.7,14.6492,14.7,4.8813,15100,0.0,1.0
2001-11-09,14.72,14.78,14.72,14.78,4.9078,2300,0.0,1.0
2001-11-12,14.87,14.95,14.7994,14.95,4.9643,11600,0.0,1.0
2001-11-13,14.94,14.95,14.93,14.93,4.982,8100,0.073,1.0
2001-11-14,14.93,14.98,14.93,14.95,4.9886,9400,0.0,1.0
2001-11-15,14.9,14.92,14.9,14.9,4.972,5300,0.0,1.0
2001-11-16,14.89,14.95,14.86,14.86,4.9586,7500,0.0,1.0
2001-11-19,14.88,14.92,14.88,14.92,4.9786,4900,0.0,1.0
2001-11-20,14.92,14.97,14.8797,14.97,4.9953,20200,0.0,1.0
2001-11-21,14.97,14.97,14.94,14.95,4.9886,9500,0.0,1.0
2001-11-23,14.98,14.98,14.98,14.98,4.9987,600,0.0,1.0
2001-11-26,14.96,14.96,14.87,14.87,4.9619,10500,0.0,1.0
2001-11-27,14.93,14.94,14.9,14.94,4.9853,5700,0.0,1.0
2001-11-28,14.95,14.95,14.95,14.95,4.9886,2200,0.0,1.0
2001-11-29,14.96,14.98,14.87,14.98,4.9987,7200,0.0,1.0
2001-11-30,14.96,14.96,14.88,14.88,4.9653,3500,0.0,1.0
2001-12-03,14.97,14.98,14.9,14.9,4.972,3100,0.0,1.0
2001-12-04,14.88,14.91,14.8,14.9,4.972,9600,0.0,1.0
2001-12-05,14.85,14.9,14.85,14.9,4.972,2700,0.0,1.0
2001-12-06,14.9,14.9,14.9,14.9,4.972,9000,0.0,1.0
2001-12-07,14.9,14.9,14.65,14.75,4.9219,8100,0.0,1.0
2001-12-10,14.64,14.75,14.6,14.6,4.8718,2700,0.0,1.0
2001-12-11,14.56,14.7,14.48,14.62,4.8785,7000,0.0,1.0
2001-12-12,14.59,14.62,14.5896,14.62,4.903,1500,0.073,1.0
2001-12-13,14.62,14.65,14.5,14.5,4.8628,4200,0.0,1.0
2001-12-14,14.5,14.5,14.43,14.43,4.8393,8100,0.0,1.0
2001-12-17,14.4487,14.45,14.18,14.18,4.7554,16800,0.0,1.0
2001-12-18,14.17,14.17,13.9,13.95,4.6783,28200,0.0,1.0
2001-12-19,14.01,14.11,14.01,14.07,4.7186,9700,0.0,1.0
2001-12-20,14.0,14.04,13.87,13.87,4.6515,18600,0.0,1.0
2001-12-21,13.86,13.86,13.75,13.85,4.6448,6500,0.0,1.0
2001-12-24,13.75,13.75,13.4,13.4,4.4939,12200,0.0,1.0
2001-12-26,13.37,13.57,13.3597,13.57,4.5509,7000,0.0,1.0
2001-12-27,13.57,13.62,13.51,13.55,4.5442,12900,0.0,1.0
2001-12-28,13.55,13.6,13.39,13.39,4.4905,35000,0.0,1.0
2001-12-31,13.4,13.46,13.36,13.46,4.514,22200,0.0,1.0
2002-01-02,13.5,13.57,13.5,13.57,4.5509,3400,0.0,1.0
2002-01-03,13.58,13.66,13.58,13.66,4.5811,3800,0.0,1.0
2002-01-04,13.69,13.7,13.69,13.7,4.5945,1700,0.0,1.0
2002-01-07,13.74,13.82,13.74,13.76,4.6146,5300,0.0,1.0
2002-01-08,13.82,13.98,13.82,13.96,4.6817,10300,0.0,1.0
2002-01-09,13.98,13.99,13.98,13.99,4.6917,2300,0.0,1.0
2002-01-10,14.0,14.1,13.88,14.0,4.6951,10800,0.0,1.0
2002-01-11,14.0,14.0,14.0,14.0,4.7197,1000,0.073,1.0
2002-01-14,13.99,14.1,13.99,14.1,4.7534,3600,0.0,1.0
2002-01-15,14.13,14.1312,14.05,14.05,4.7365,1900,0.0,1.0
2002-01-16,14.15,14.24,14.1,14.24,4.8006,12300,0.0,1.0
2002-01-17,14.28,14.33,14.28,14.29,4.8175,3400,0.0,1.0
2002-01-18,14.37,14.59,14.37,14.59,4.9186,7800,0.0,1.0
2002-01-22,14.64,14.67,14.62,14.67,4.9456,3100,0.0,1.0
2002-01-23,14.67,14.67,14.6,14.6,4.922,2700,0.0,1.0
2002-01-24,14.55,14.55,14.55,14.55,4.9051,1000,0.0,1.0
2002-01-25,14.55,14.6293,14.55,14.6,4.922,14500,0.0,1.0
2002-01-28,14.61,14.68,14.6,14.68,4.9489,6700,0.0,1.0
2002-01-29,14.69,14.95,14.6,14.94,5.0366,17200,0.0,1.0
2002-01-30,14.91,14.97,14.82,14.83,4.9995,10000,0.0,1.0
