timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,59.5,60.688,59.125,60.5,19.4459,2660500,0.0,1.0
1999-09-14,60.063,60.75,53.25,54.75,17.5978,12431700,0.0,1.0
1999-09-15,55.625,56.188,53.813,54.5,17.5174,7185100,0.0,1.0
1999-09-16,54.75,55.563,54.188,55.125,17.7183,4605900,0.0,1.0
1999-09-17,55.625,56.75,55.25,56.25,18.0799,4650700,0.0,1.0
1999-09-20,56.438,59.563,56.438,59.313,19.0642,5192200,0.0,1.0
1999-09-21,58.938,60.75,58.375,60.25,19.3656,4949200,0.0,1.0
1999-09-22,60.0,60.125,58.938,59.75,19.2049,4285300,0.0,1.0
1999-09-23,60.0,60.5,57.5,58.0,18.6424,3469200,0.0,1.0
1999-09-24,57.875,57.875,56.25,56.75,18.2406,4376400,0.0,1.0
1999-09-27,57.0,59.063,57.0,58.25,18.7227,2603700,0.0,1.0
1999-09-28,58.625,59.1802,56.063,57.813,18.5821,3775200,0.0,1.0
1999-09-29,57.563,60.0,57.313,59.125,19.004,2200500,0.0,1.0
1999-09-30,60.0,63.063,59.813,62.0,19.9281,4439400,0.0,1.0
1999-10-01,61.5,61.498,59.0,61.0,19.6066,3475900,0.0,1.0
1999-10-04,61.0,62.5,60.75,60.938,19.5865,2195200,0.0,1.0
1999-10-05,61.063,63.375,59.8774,61.25,19.687,3039900,0.0,1.0
1999-10-06,62.438,66.0,62.25,64.25,20.6512,5224000,0.0,1.0
1999-10-07,64.25,67.375,64.125,66.313,21.3142,3367800,0.0,1.0
1999-10-08,65.938,67.75,65.563,67.25,21.6155,2995800,0.0,1.0
1999-10-11,67.5,69.25,66.0,66.75,21.4548,3406200,0.0,1.0
1999-10-12,66.5,67.25,64.75,66.438,21.3543,3646900,0.0,1.0
1999-10-13,65.938,68.125,64.563,64.938,20.8722,3415000,0.0,1.0
1999-10-14,64.938,64.938,63.0,63.0,20.2495,3348000,0.0,1.0
1999-10-15,61.5,63.313,60.563,61.75,19.8477,3068500,0.0,1.0
1999-10-18,61.9396,61.938,57.25,59.25,19.0441,4502200,0.0,1.0
1999-10-19,60.938,61.438,57.75,58.25,18.7227,3735900,0.0,1.0
1999-10-20,58.0,58.5,56.125,57.25,18.4013,6224400,0.0,1.0
1999-10-21,57.0,59.563,56.5,58.25,18.7227,3864300,0.0,1.0
1999-10-22,58.25,59.688,58.25,59.313,19.0642,3658500,0.0,1.0
