timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,49.938,51.188,49.938,50.5,4.4105,123100,0.2311,1.0
1999-09-14,50.188,51.063,49.8735,50.75,4.4324,81500,0.0,1.0
1999-09-15,50.875,50.938,49.313,49.75,4.345,140400,0.0,1.0
1999-09-16,49.688,49.688,48.813,49.688,4.3396,83300,0.0,1.0
1999-09-17,50.375,50.625,49.938,50.438,4.4051,99000,0.0,1.0
1999-09-20,50.438,50.438,49.75,49.75,4.345,126100,0.0,1.0
1999-09-21,49.563,49.688,48.375,48.563,4.2413,146100,0.0,1.0
1999-09-22,48.375,48.438,47.625,47.875,4.1813,100200,0.0,1.0
1999-09-23,48.0,48.063,46.188,46.375,4.0503,151100,0.0,1.0
1999-09-24,46.25,46.75,46.0,46.75,4.083,79600,0.0,1.0
1999-09-27,47.375,47.813,46.9977,47.063,4.1103,99700,0.0,1.0
1999-09-28,47.25,48.938,47.125,48.75,4.2577,595700,0.0,1.0
1999-09-29,48.813,49.188,48.375,49.0,4.2795,240700,0.0,1.0
1999-09-30,49.063,49.875,49.063,49.813,4.3505,254000,0.0,1.0
1999-10-01,49.688,49.688,48.5002,48.625,4.2468,79200,0.0,1.0
1999-10-04,48.813,51.0,48.5,50.813,4.4378,139600,0.0,1.0
1999-10-05,50.875,51.625,50.313,51.0,4.4542,143100,0.0,1.0
1999-10-06,51.0,52.5,51.0,52.5,4.5852,151900,0.0,1.0
1999-10-07,52.625,54.0,52.625,53.875,4.7053,219700,0.0,1.0
1999-10-08,53.875,55.5,53.625,55.5,4.8472,198600,0.0,1.0
1999-10-11,55.75,56.5,55.0644,56.313,4.9182,129400,0.0,1.0
1999-10-12,55.75,56.625,55.5,55.75,4.8691,292600,0.0,1.0
1999-10-13,55.25,55.438,53.25,53.5,4.6725,182000,0.0,1.0
1999-10-14,53.75,53.875,52.75,53.313,4.6562,293800,0.0,1.0
1999-10-15,52.313,52.938,51.688,51.688,4.5143,199600,0.0,1.0
