timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,22.688,22.75,22.438,22.688,27.8778,14800,0.0,1.0
1999-09-14,22.563,22.563,21.563,21.938,26.9562,164600,0.0,1.0
1999-09-15,22.063,22.438,22.063,22.438,27.5706,52200,0.0,1.0
1999-09-16,22.688,22.8757,22.125,22.438,27.5706,34200,0.0,1.0
1999-09-17,22.313,22.813,22.313,22.625,27.801,45600,0.0,1.0
1999-09-20,22.75,22.75,22.313,22.563,27.7242,56400,0.0,1.0
1999-09-21,22.625,22.625,22.063,22.125,27.1866,41900,0.0,1.0
1999-09-22,22.25,22.563,22.25,22.438,27.5706,40400,0.0,1.0
1999-09-23,23.375,24.625,23.125,23.5,28.8762,385000,0.0,1.0
1999-09-24,23.563,23.625,22.125,22.5,27.6474,392400,0.0,1.0
1999-09-27,22.625,23.313,22.625,23.25,28.569,222900,0.0,1.0
1999-09-28,23.375,23.5,22.813,23.188,28.4922,114300,0.0,1.0
1999-09-29,23.188,23.688,23.1872,23.25,28.569,132200,0.0,1.0
1999-09-30,23.25,23.25,22.813,22.813,28.0314,106800,0.0,1.0
1999-10-01,22.875,22.875,22.438,22.438,27.5706,65100,0.0,1.0
1999-10-04,22.5,22.938,22.0,22.938,28.185,147000,0.0,1.0
1999-10-05,23.25,23.313,23.0,23.188,28.4922,49100,0.0,1.0
1999-10-06,23.125,23.25,23.063,23.188,28.4922,30700,0.0,1.0
1999-10-07,23.25,23.563,22.438,22.813,28.0314,113400,0.0,1.0
1999-10-08,22.875,23.188,22.813,22.938,28.185,73400,0.0,1.0
1999-10-11,22.875,23.438,22.813,23.438,28.7994,39100,0.0,1.0
1999-10-12,23.5,23.625,23.438,23.438,28.7994,318900,0.0,1.0
1999-10-13,23.5,23.688,23.0,23.688,29.1066,110500,0.0,1.0
1999-10-14,23.813,23.875,23.25,23.688,29.1066,116400,0.0,1.0
1999-10-15,23.375,23.438,22.75,23.063,28.3386,51400,0.0,1.0
1999-10-18,23.0,23.125,21.938,22.0,27.033,59100,0.0,1.0
1999-10-19,22.125,22.438,22.063,22.438,27.5706,96000,0.0,1.0
1999-10-20,22.438,22.438,19.5,21.125,25.9579,149200,0.0,1.0
1999-10-21,21.25,22.25,21.25,21.938,26.9562,86900,0.0,1.0
1999-10-22,21.875,21.875,19.875,19.938,24.4987,259800,0.0,1.0
1999-10-25,19.813,19.875,17.6241,17.938,22.0411,193200,0.0,1.0
1999-10-26,18.375,19.0,18.063,18.375,22.5787,132700,0.0,1.0
