timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-09-29,15.01,15.01,15.0,15.01,7.7329,17100,0.0,1.0
2003-09-30,15.0,15.01,15.0,15.01,7.7329,2200,0.0,1.0
2003-10-01,15.01,15.01,14.9997,15.01,7.7329,9100,0.0,1.0
2003-10-02,15.01,15.01,15.01,15.01,7.7329,3900,0.0,1.0
2003-10-03,15.01,15.01,15.01,15.01,7.7329,1300,0.0,1.0
2003-10-06,15.0495,15.05,15.01,15.05,7.7535,9700,0.0,1.0
2003-10-07,15.0,15.01,15.0,15.0,7.7277,12700,0.0,1.0
2003-10-08,15.0,15.0,15.0,15.0,7.7277,0,0.0,1.0
2003-10-09,15.01,15.01,15.0,15.01,7.7329,15700,0.0,1.0
2003-10-10,15.01,15.07,15.01,15.07,7.7638,1500,0.0,1.0
2003-10-13,15.1,15.1,15.1,15.1,7.7793,2400,0.0,1.0
2003-10-14,15.02,15.03,15.02,15.03,7.7432,6100,0.0,1.0
2003-10-15,15.03,15.03,15.03,15.03,7.7432,0,0.0,1.0
2003-10-16,15.0,15.02,15.0,15.02,7.738,10600,0.0,1.0
2003-10-17,15.02,15.02,15.0,15.0,7.7277,16300,0.0,1.0
2003-10-20,15.0,15.0,15.0,15.0,7.7277,0,0.0,1.0
2003-10-21,15.02,15.02,15.02,15.02,7.738,4100,0.0,1.0
2003-10-22,15.01,15.02,15.0,15.0,7.7277,6900,0.0,1.0
2003-10-23,15.01,15.01,15.0,15.01,7.7329,8600,0.0,1.0
2003-10-24,15.01,15.01,15.01,15.01,7.7329,0,0.0,1.0
2003-10-27,15.0,15.0,15.0,15.0,7.7277,19000,0.0,1.0
2003-10-28,15.0008,15.0,15.0,15.0,7.7277,16100,0.0,1.0
2003-10-29,15.01,15.0097,15.0,15.01,7.7329,21100,0.0,1.0
2003-10-30,15.01,15.01,15.0101,15.01,7.7329,5900,0.0,1.0
2003-10-31,15.0,15.01,15.0008,15.01,7.7329,4300,0.0,1.0
2003-11-03,15.01,15.05,15.0,15.0,7.7277,2100,0.0,1.0
2003-11-04,14.9,14.9,14.8483,14.86,7.6556,7900,0.0,1.0
2003-11-05,14.85,14.85,14.85,14.85,7.6505,600,0.0,1.0
2003-11-06,14.85,14.85,14.79,14.82,7.635,3800,0.0,1.0
2003-11-07,14.9,15.05,14.87,14.87,7.6608,13900,0.0,1.0
2003-11-10,14.9,15.05,14.9,15.05,7.7535,10000,0.0,1.0
2003-11-11,15.04,15.1,15.04,15.1,7.7793,2500,0.0,1.0
2003-11-12,15.1016,15.1,15.1,15.1,7.7793,3000,0.0,1.0
2003-11-13,15.05,15.08,14.92,14.92,7.6865,4400,0.0,1.0
2003-11-14,15.0,15.08,14.95,15.08,7.769,11000,0.0,1.0
2003-11-17,15.0,15.05,15.0,15.05,7.7535,1400,0.0,1.0
2003-11-18,15.0,15.0,14.95,15.0,7.7277,8400,0.0,1.0
2003-11-19,15.0,15.0,14.9509,15.0,7.7277,2000,0.0,1.0
2003-11-20,15.0,15.1,14.93,15.1,7.7793,6400,0.0,1.0
2003-11-21,15.0,15.2,14.95,15.2,7.8308,5700,0.0,1.0
2003-11-24,15.15,15.25,15.15,15.15,7.8437,4200,0.075,1.0
2003-11-25,15.25,15.3,15.25,15.26,7.9007,2700,0.0,1.0
2003-11-26,15.26,15.3002,15.25,15.25,7.8955,6500,0.0,1.0
2003-11-28,15.35,15.4495,15.35,15.45,7.999,2300,0.0,1.0
2003-12-01,15.5,15.5,15.2498,15.28,7.911,11900,0.0,1.0
2003-12-02,15.25,15.25,15.2,15.2,7.8696,600,0.0,1.0
2003-12-03,15.3,15.45,15.3,15.33,7.9369,8300,0.0,1.0
2003-12-04,15.42,15.47,15.25,15.25,7.8955,10400,0.0,1.0
2003-12-05,15.35,15.45,15.35,15.45,7.999,2600,0.0,1.0
2003-12-08,15.25,15.5,15.25,15.5,8.0249,6400,0.0,1.0
2003-12-09,15.55,15.69,15.5,15.51,8.0301,8700,0.0,1.0
2003-12-10,15.45,15.45,15.3,15.3,7.9214,14600,0.0,1.0
2003-12-11,15.3,15.3003,15.3,15.3,7.9604,500,0.075,1.0
2003-12-12,15.32,15.5,15.18,15.5,8.0645,4700,0.0,1.0
2003-12-15,15.55,15.5502,15.35,15.4,8.0124,4800,0.0,1.0
2003-12-16,15.4,15.52,15.4,15.52,8.0749,2800,0.0,1.0
2003-12-17,15.6,15.6,15.56,15.56,8.0957,2100,0.0,1.0
2003-12-18,15.59,15.6,15.45,15.5,8.0645,9700,0.0,1.0
2003-12-19,15.5,15.5,15.5,15.5,8.0645,0,0.0,1.0
2003-12-22,15.4,15.4,15.36,15.36,7.9916,4900,0.0,1.0
2003-12-23,15.45,15.53,15.45,15.53,8.0801,2000,0.0,1.0
2003-12-24,15.53,15.53,15.53,15.53,8.0801,300,0.0,1.0
2003-12-26,15.43,15.43,15.33,15.33,7.976,5300,0.0,1.0
2003-12-29,15.3806,15.39,15.25,15.39,8.0072,13700,0.0,1.0
2003-12-30,15.39,15.39,15.39,15.39,8.0072,4600,0.0,1.0
2003-12-31,15.39,15.39,15.39,15.39,8.0072,0,0.0,1.0
2004-01-02,15.39,15.39,15.22,15.31,7.9656,10900,0.0,1.0
2004-01-05,15.43,15.43,15.21,15.35,7.9864,16400,0.0,1.0
2004-01-06,15.39,15.39,15.25,15.34,7.9812,5300,0.0,1.0
2004-01-07,15.34,15.34,15.3,15.3,7.9604,3300,0.0,1.0
2004-01-08,15.35,15.53,15.35,15.53,8.0801,4000,0.0,1.0
2004-01-09,15.51,15.51,15.47,15.47,8.0489,2000,0.0,1.0
2004-01-12,15.4,15.41,15.34,15.41,8.0176,15400,0.0,1.0
2004-01-13,15.27,15.35,15.27,15.35,8.0255,2800,0.075,1.0
2004-01-14,15.28,15.28,15.28,15.28,7.9889,1300,0.0,1.0
2004-01-15,15.37,15.37,15.28,15.28,7.9889,8200,0.0,1.0
2004-01-16,15.29,15.35,15.29,15.29,7.9941,9800,0.0,1.0
2004-01-20,15.2801,15.35,15.28,15.35,8.0255,6100,0.0,1.0
2004-01-21,15.38,15.38,15.28,15.28,7.9889,4000,0.0,1.0
2004-01-22,15.34,15.34,15.29,15.32,8.0098,8100,0.0,1.0
2004-01-23,15.25,15.34,15.25,15.34,8.0203,2800,0.0,1.0
2004-01-26,15.43,15.43,15.43,15.43,8.0673,4400,0.0,1.0
2004-01-27,15.44,15.47,15.4308,15.43,8.0673,9500,0.0,1.0
2004-01-28,15.52,15.52,15.45,15.5,8.1039,6300,0.0,1.0
2004-01-29,15.4417,15.53,15.35,15.53,8.1196,20800,0.0,1.0
2004-01-30,15.4,15.45,15.3,15.3,7.9993,12300,0.0,1.0
2004-02-02,15.35,15.43,15.3,15.4,8.0516,8500,0.0,1.0
2004-02-03,15.4,15.4,15.27,15.27,7.9837,3200,0.0,1.0
2004-02-04,15.25,15.34,15.09,15.1,7.8948,15700,0.0,1.0
