timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,23.313,23.563,23.313,23.5,4.3823,92700,0.0,1.0
1999-09-14,23.25,23.438,23.0,23.188,4.324,61100,0.0,1.0
1999-09-15,23.188,23.188,22.875,22.875,4.2657,23500,0.0,1.0
1999-09-16,23.125,23.438,23.125,23.25,4.3356,67100,0.0,1.0
1999-09-17,24.0008,24.125,24.0,24.0,4.4755,41700,0.0,1.0
1999-09-20,23.75,23.938,23.5,23.563,4.3939,26800,0.0,1.0
1999-09-21,23.313,23.5,23.0,23.0,4.289,54900,0.0,1.0
1999-09-22,23.5,23.5,23.25,23.375,4.359,60300,0.0,1.0
1999-09-23,23.313,23.625,23.125,23.25,4.3356,221500,0.0,1.0
1999-09-24,22.75,23.125,22.75,23.125,4.3123,55500,0.0,1.0
1999-09-27,23.0,23.3143,22.875,23.313,4.3473,73700,0.0,1.0
1999-09-28,23.063,23.313,22.875,23.25,4.3356,67900,0.0,1.0
1999-09-29,23.125,23.25,22.75,23.063,4.3007,76800,0.0,1.0
1999-09-30,23.063,23.25,23.063,23.25,4.3356,46000,0.0,1.0
1999-10-01,23.375,23.563,23.375,23.438,4.3706,111900,0.0,1.0
1999-10-04,23.25,23.875,23.125,23.875,4.4522,67900,0.0,1.0
1999-10-05,24.063,24.375,23.875,24.0,4.4755,108800,0.0,1.0
1999-10-06,24.0,24.125,23.75,23.938,4.4638,25100,0.0,1.0
1999-10-07,23.5,23.625,23.5,23.5,4.3823,18300,0.0,1.0
1999-10-08,23.25,23.5,23.0,23.0,4.289,38400,0.0,1.0
1999-10-11,22.938,22.938,22.625,22.75,4.2424,47000,0.0,1.0
1999-10-12,23.0,23.25,22.813,23.125,4.3123,51200,0.0,1.0
1999-10-13,23.125,23.375,22.9998,23.063,4.3007,57600,0.0,1.0
1999-10-14,23.25,23.5,23.063,23.375,4.359,12100,0.0,1.0
1999-10-15,23.125,23.25,23.0,23.125,4.3123,8400,0.0,1.0
1999-10-18,22.75,22.75,22.5,22.75,4.2424,13800,0.0,1.0
1999-10-19,22.25,22.4381,22.125,22.125,4.1259,49700,0.0,1.0
1999-10-20,22.5,22.5011,22.375,22.375,4.1725,47400,0.0,1.0
1999-10-21,22.25,22.25,22.0,22.125,4.1259,13000,0.0,1.0
1999-10-22,22.188,22.4387,22.125,22.438,4.1841,81900,0.0,1.0
1999-10-25,22.125,22.125,21.875,21.875,4.0792,23900,0.0,1.0
1999-10-26,22.125,22.625,21.938,21.938,4.0909,83000,0.0,1.0
1999-10-27,21.75,21.875,21.563,21.75,4.0559,27000,0.0,1.0
1999-10-28,21.5,22.063,21.5,22.0,4.1025,78600,0.0,1.0
1999-10-29,21.375,21.4389,21.0,21.125,3.9394,183500,0.0,1.0
1999-11-01,20.813,20.813,20.25,20.313,3.7879,117900,0.0,1.0
1999-11-02,19.938,20.313,19.9379,20.188,3.8912,31300,0.3201,1.0
1999-11-03,20.5,20.625,20.438,20.625,3.9755,152600,0.0,1.0
1999-11-04,21.25,21.5,21.25,21.313,4.108,14400,0.0,1.0
1999-11-05,21.438,21.438,20.75,20.75,3.9996,53400,0.0,1.0
1999-11-08,20.5,20.625,20.375,20.563,3.9635,38200,0.0,1.0
1999-11-09,20.625,20.875,20.625,20.625,3.9755,21400,0.0,1.0
1999-11-10,21.125,21.438,21.0,21.25,4.096,21000,0.0,1.0
1999-11-11,21.5,21.625,21.438,21.5,4.1442,30700,0.0,1.0
1999-11-12,22.0,22.188,21.938,22.063,4.2526,25800,0.0,1.0
1999-11-15,22.625,22.625,22.438,22.625,4.361,30100,0.0,1.0
1999-11-16,22.813,23.25,22.813,23.25,4.4815,60500,0.0,1.0
1999-11-17,23.125,23.125,22.75,22.938,4.4212,76400,0.0,1.0
1999-11-18,23.438,23.5,23.375,23.438,4.5176,35900,0.0,1.0
1999-11-19,23.5,23.625,23.438,23.625,4.5538,51600,0.0,1.0
1999-11-22,23.563,23.5646,23.438,23.5,4.5297,152400,0.0,1.0
1999-11-23,23.375,23.375,23.125,23.25,4.4815,140400,0.0,1.0
1999-11-24,22.4988,22.75,22.375,22.688,4.3731,244900,0.0,1.0
1999-11-26,22.625,22.75,22.563,22.75,4.3851,42100,0.0,1.0
1999-11-29,22.625,23.0013,22.563,23.0,4.4333,64600,0.0,1.0
1999-11-30,22.125,22.25,21.75,21.875,4.2164,22500,0.0,1.0
1999-12-01,22.125,22.25,21.875,22.125,4.2646,48900,0.0,1.0
1999-12-02,22.5,22.75,22.438,22.688,4.3731,40400,0.0,1.0
1999-12-03,22.938,23.0,22.75,23.0,4.4333,36300,0.0,1.0
1999-12-06,22.75,22.75,22.1871,22.313,4.3008,118100,0.0,1.0
1999-12-07,22.25,22.438,22.25,22.375,4.3128,75100,0.0,1.0
1999-12-08,22.125,22.375,22.0,22.25,4.2887,18500,0.0,1.0
1999-12-09,22.438,22.625,22.375,22.375,4.3128,16300,0.0,1.0
1999-12-10,22.375,22.375,22.188,22.313,4.3008,11500,0.0,1.0
1999-12-13,22.25,22.25,21.75,22.0,4.2405,68900,0.0,1.0
1999-12-14,22.313,22.625,22.3123,22.5,4.3369,58200,0.0,1.0
1999-12-15,22.75,23.375,22.625,23.25,4.4815,41700,0.0,1.0
1999-12-16,23.938,24.2487,23.938,24.25,4.6742,214100,0.0,1.0
1999-12-17,25.125,25.5,25.063,25.375,4.8911,355600,0.0,1.0
1999-12-20,25.75,26.0,25.625,25.875,4.9875,489000,0.0,1.0
1999-12-21,25.5,25.688,25.438,25.563,4.9272,98900,0.0,1.0
1999-12-22,25.313,25.625,25.063,25.375,4.8911,56300,0.0,1.0
1999-12-23,25.625,25.938,25.625,25.938,4.9995,42900,0.0,1.0
1999-12-27,25.5,25.813,25.5,25.5,4.9152,40200,0.0,1.0
1999-12-28,25.688,25.875,25.438,25.875,4.9875,50100,0.0,1.0
1999-12-29,25.813,26.125,25.813,26.063,5.0236,47000,0.0,1.0
1999-12-30,26.0,26.25,25.75,26.25,5.0597,32200,0.0,1.0
1999-12-31,26.25,26.563,26.125,26.563,5.12,26200,0.0,1.0
2000-01-03,26.564,26.563,25.875,25.875,4.9875,57600,0.0,1.0
2000-01-04,27.063,27.063,26.6249,26.813,5.1682,94500,0.0,1.0
2000-01-05,26.75,27.125,26.5,27.125,5.2284,198400,0.0,1.0
