timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-01-10,22.0,22.0,18.35,19.0,5.3128,237900,0.0,1.0
2008-01-11,19.0,19.7506,19.0,19.4,5.4247,62200,0.0,1.0
2008-01-14,19.5,20.7,19.5,20.05,5.6064,26200,0.0,1.0
2008-01-15,21.05,21.1,19.85,19.95,5.5785,125100,0.0,1.0
2008-01-16,19.93,20.1497,19.75,19.8,5.5365,311100,0.0,1.0
2008-01-17,19.9001,20.0,19.5,19.9,5.5645,133000,0.0,1.0
2008-01-18,19.9,20.0,19.75,20.0,5.5925,189400,0.0,1.0
2008-01-22,19.25,20.25,19.02,19.65,5.4946,136200,0.0,1.0
2008-01-23,19.0,20.75,19.0,20.6,5.7602,215100,0.0,1.0
2008-01-24,20.4,20.5,19.9,20.5,5.7323,181900,0.0,1.0
2008-01-25,20.75,21.25,20.25,21.0,5.8721,110700,0.0,1.0
2008-01-28,21.0,21.4,20.75,21.15,5.914,57300,0.0,1.0
2008-01-29,21.1497,21.5,21.0,21.0,5.8721,38800,0.0,1.0
2008-01-30,21.0,21.35,20.86,21.1,5.9,85300,0.0,1.0
2008-01-31,21.0,21.5,20.5,20.95,5.8581,3367600,0.0,1.0
2008-02-01,21.6,21.6,19.79,20.51,5.7351,1074400,0.0,1.0
2008-02-04,20.75,20.75,20.0,20.19,5.6456,1037700,0.0,1.0
2008-02-05,20.1,20.2,19.75,19.82,5.5421,681400,0.0,1.0
2008-02-06,19.95,20.0,19.2,19.3,5.3967,595600,0.0,1.0
2008-02-07,19.3,19.5,19.0,19.25,5.3827,1154700,0.0,1.0
2008-02-08,19.22,19.55,19.11,19.46,5.4415,675100,0.0,1.0
2008-02-11,19.27,19.37,19.2,19.3,5.3967,504900,0.0,1.0
2008-02-12,19.15,19.4494,19.06,19.1,5.3408,909300,0.0,1.0
2008-02-13,19.15,19.15,18.8103,18.95,5.2989,387900,0.0,1.0
2008-02-14,19.0,20.385,18.91,19.07,5.3324,766000,0.0,1.0
2008-02-15,19.25,19.52,19.0,19.23,5.3771,226900,0.0,1.0
2008-02-19,19.2495,19.4,19.0,19.07,5.3324,197800,0.0,1.0
2008-02-20,19.1,19.16,18.75,18.9,5.2849,435700,0.0,1.0
2008-02-21,18.7,19.0,18.51,18.85,5.2709,159100,0.0,1.0
2008-02-22,18.77,19.2,18.5,19.12,5.3464,354900,0.0,1.0
2008-02-25,19.22,19.6,19.0,19.25,5.3827,162600,0.0,1.0
