timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,17.375,18.063,17.25,17.938,2.7794,113400,0.0,1.0
1999-09-14,18.0,18.125,17.5,18.0,2.7891,124100,0.0,1.0
1999-09-15,18.0627,18.313,18.063,18.313,2.8375,335900,0.0,1.0
1999-09-16,18.313,18.5,17.563,18.125,2.8084,109700,0.0,1.0
1999-09-17,18.125,18.75,18.1246,18.25,2.8278,394400,0.0,1.0
1999-09-20,18.313,18.375,18.0,18.375,2.8472,62700,0.0,1.0
1999-09-21,18.25,19.125,18.125,18.438,2.8569,219300,0.0,1.0
1999-09-22,18.5,18.563,18.0,18.25,2.8278,96700,0.0,1.0
1999-09-23,18.313,19.375,18.25,18.813,2.915,228500,0.0,1.0
1999-09-24,18.75,18.75,18.3745,18.5,2.8665,192300,0.0,1.0
1999-09-27,18.313,18.875,18.313,18.75,2.9053,374200,0.0,1.0
1999-09-28,18.625,18.75,18.5,18.688,2.8956,308400,0.0,1.0
1999-09-29,18.688,18.688,18.5,18.688,2.8956,59600,0.0,1.0
1999-09-30,18.688,18.688,17.0,17.25,2.6729,383500,0.0,1.0
1999-10-01,17.375,17.625,17.375,17.625,2.731,127800,0.0,1.0
1999-10-04,17.75,18.188,17.625,18.188,2.8181,134900,0.0,1.0
1999-10-05,18.313,18.75,18.0642,18.25,2.8278,108400,0.0,1.0
1999-10-06,18.25,19.375,18.188,19.188,2.9731,159800,0.0,1.0
1999-10-07,19.25,19.5,19.0,19.063,2.9537,125700,0.0,1.0
1999-10-08,18.938,19.75,18.875,19.563,3.0312,95000,0.0,1.0
1999-10-11,19.688,19.75,19.563,19.625,3.0409,177000,0.0,1.0
1999-10-12,19.5,19.5,18.0,18.063,2.7987,164000,0.0,1.0
1999-10-13,17.9996,18.063,17.563,17.625,2.731,125400,0.0,1.0
1999-10-14,17.375,17.5,16.5643,16.75,2.5954,284900,0.0,1.0
1999-10-15,16.5,17.5,16.0,17.313,2.6825,302000,0.0,1.0
1999-10-18,17.375,17.375,16.875,17.25,2.6729,51600,0.0,1.0
1999-10-19,17.25,18.0,17.25,18.0,2.7891,119000,0.0,1.0
1999-10-20,18.25,18.25,17.875,17.875,2.7697,388000,0.0,1.0
1999-10-21,17.7497,18.25,17.625,18.25,2.8278,28900,0.0,1.0
1999-10-22,18.313,18.313,18.0,18.188,2.8181,67200,0.0,1.0
1999-10-25,18.125,18.125,17.688,17.938,2.7794,53100,0.0,1.0
1999-10-26,17.938,18.0,17.125,17.313,2.6825,192100,0.0,1.0
1999-10-27,17.375,17.375,16.938,17.0,2.6341,147100,0.0,1.0
1999-10-28,17.0002,17.25,17.0,17.0,2.6341,134200,0.0,1.0
1999-10-29,17.0,17.25,16.5,16.5,2.5566,160900,0.0,1.0
1999-11-01,16.5,16.563,16.25,16.5,2.5566,191700,0.0,1.0
1999-11-02,16.5,16.5,16.188,16.375,2.5373,199000,0.0,1.0
1999-11-03,16.375,16.625,16.0,16.125,2.4985,380300,0.0,1.0
1999-11-04,16.125,16.125,14.375,14.625,2.2661,409300,0.0,1.0
1999-11-05,14.625,15.5,14.625,15.25,2.363,371500,0.0,1.0
1999-11-08,15.2508,15.625,14.75,14.875,2.3049,225800,0.0,1.0
1999-11-09,14.875,15.125,14.375,14.563,2.2564,238800,0.0,1.0
1999-11-10,14.5,14.75,14.375,14.563,2.2564,146900,0.0,1.0
1999-11-11,14.938,15.0,14.375,14.375,2.2274,298100,0.0,1.0
1999-11-12,14.375,14.625,14.25,14.375,2.2274,500800,0.0,1.0
1999-11-15,14.5,15.313,14.5,15.25,2.363,88100,0.0,1.0
1999-11-16,15.3741,15.5,15.0,15.188,2.3533,84800,0.0,1.0
1999-11-17,15.188,15.188,14.438,14.625,2.2661,76900,0.0,1.0
1999-11-18,14.563,15.0,14.5635,14.75,2.2855,129600,0.0,1.0
1999-11-19,14.563,14.875,14.25,14.813,2.2952,96400,0.0,1.0
1999-11-22,14.938,15.125,14.625,14.625,2.2661,64900,0.0,1.0
1999-11-23,14.563,14.938,14.563,14.875,2.3049,75900,0.0,1.0
1999-11-24,15.0007,15.375,14.875,15.313,2.3726,87600,0.0,1.0
1999-11-26,15.313,15.438,15.2502,15.438,2.392,107000,0.0,1.0
1999-11-29,15.4375,16.0,15.375,15.813,2.4501,105600,0.0,1.0
1999-11-30,15.813,16.2494,15.5,15.5,2.4017,74700,0.0,1.0
1999-12-01,15.5621,15.625,15.125,15.313,2.3726,43000,0.0,1.0
1999-12-02,15.0,15.0,12.75,13.25,2.0531,918600,0.0,1.0
1999-12-03,13.25,13.875,13.0,13.75,2.1305,306600,0.0,1.0
1999-12-06,13.813,14.0,13.5,13.75,2.1305,138600,0.0,1.0
1999-12-07,13.625,13.875,13.25,13.563,2.1015,103200,0.0,1.0
1999-12-08,13.563,14.25,13.063,13.938,2.1596,164400,0.0,1.0
1999-12-09,13.938,13.938,13.25,13.375,2.0724,551500,0.0,1.0
1999-12-10,13.375,13.375,12.875,12.938,2.0046,337900,0.0,1.0
1999-12-13,12.875,12.938,12.625,12.75,1.9756,366900,0.0,1.0
1999-12-14,12.75,12.813,12.563,12.625,1.9562,239600,0.0,1.0
1999-12-15,12.688,12.938,12.563,12.75,1.9756,146600,0.0,1.0
1999-12-16,12.938,13.375,12.813,13.188,2.0434,211900,0.0,1.0
1999-12-17,13.5,13.563,13.0,13.313,2.0627,219900,0.0,1.0
1999-12-20,13.438,13.438,12.875,12.875,1.995,287600,0.0,1.0
1999-12-21,13.25,13.938,13.125,13.813,2.1402,254000,0.0,1.0
1999-12-22,13.813,14.313,13.813,14.063,2.179,183400,0.0,1.0
1999-12-23,13.938,14.313,13.938,14.25,2.208,108700,0.0,1.0
1999-12-27,14.063,14.875,14.063,14.75,2.2855,212000,0.0,1.0
1999-12-28,14.625,15.125,14.6249,15.0,2.3242,235600,0.0,1.0
1999-12-29,15.0,15.25,14.875,15.0,2.3242,154300,0.0,1.0
1999-12-30,15.0,15.375,14.8121,15.0,2.3242,209600,0.0,1.0
1999-12-31,15.0,15.0,14.75,14.813,2.2952,38800,0.0,1.0
2000-01-03,14.875,15.313,14.875,15.313,2.3726,153600,0.0,1.0
2000-01-04,15.375,15.375,15.0,15.188,2.3533,131800,0.0,1.0
2000-01-05,14.875,15.125,14.75,15.125,2.3436,212300,0.0,1.0
2000-01-06,15.0,15.0,13.563,13.938,2.1596,452500,0.0,1.0
2000-01-07,13.938,14.25,13.75,14.125,2.1886,146000,0.0,1.0
2000-01-10,14.1248,14.875,14.125,14.875,2.3049,96700,0.0,1.0
2000-01-11,14.75,14.875,14.625,14.813,2.2952,40500,0.0,1.0
2000-01-12,14.688,14.875,14.5626,14.813,2.2952,79300,0.0,1.0
2000-01-13,14.875,16.813,14.875,16.0,2.4792,253500,0.0,1.0
2000-01-14,16.0,16.0,15.5,15.5,2.4017,51300,0.0,1.0
2000-01-18,15.5,15.5,15.0,15.125,2.3436,32600,0.0,1.0
2000-01-19,15.125,15.625,15.125,15.5,2.4017,31300,0.0,1.0
2000-01-20,15.375,15.438,15.1251,15.438,2.392,145700,0.0,1.0
2000-01-21,15.375,15.875,15.375,15.875,2.4598,128200,0.0,1.0
2000-01-24,15.813,15.9392,15.813,15.875,2.4598,64900,0.0,1.0
2000-01-25,15.813,15.875,15.625,15.75,2.4404,48500,0.0,1.0
2000-01-26,15.875,16.063,15.875,15.938,2.4695,123900,0.0,1.0
2000-01-27,15.938,16.063,15.5,15.875,2.4598,45700,0.0,1.0
2000-01-28,16.0,16.438,15.938,16.375,2.5373,82900,0.0,1.0
2000-01-31,16.188,16.188,15.1872,15.688,2.4307,95500,0.0,1.0
2000-02-01,15.813,15.938,15.688,15.813,2.4501,117400,0.0,1.0
2000-02-02,15.813,16.125,15.25,15.438,2.392,92500,0.0,1.0
2000-02-03,15.25,15.25,14.438,14.5,2.2467,138600,0.0,1.0
2000-02-04,14.5,14.5,14.188,14.313,2.2177,242000,0.0,1.0
2000-02-07,14.188,14.188,13.875,13.938,2.1596,178800,0.0,1.0
2000-02-08,14.0,14.375,14.0,14.125,2.1886,93100,0.0,1.0
2000-02-09,14.0,14.125,13.938,14.0,2.1693,70000,0.0,1.0
2000-02-10,14.0,14.125,13.875,14.063,2.179,83900,0.0,1.0
2000-02-11,13.938,14.0624,13.75,14.0,2.1693,89800,0.0,1.0
2000-02-14,14.0,14.063,13.625,13.75,2.1305,39700,0.0,1.0
2000-02-15,13.625,14.063,13.25,14.063,2.179,59600,0.0,1.0
2000-02-16,14.0,14.0,13.25,13.375,2.0724,35400,0.0,1.0
2000-02-17,13.313,13.5,13.0,13.25,2.0531,55900,0.0,1.0
2000-02-18,13.313,13.875,13.0,13.875,2.1499,55900,0.0,1.0
2000-02-22,14.0,14.0,13.563,13.563,2.1015,40200,0.0,1.0
2000-02-23,13.438,13.438,13.188,13.375,2.0724,39700,0.0,1.0
2000-02-24,13.438,13.438,13.125,13.313,2.0627,131800,0.0,1.0
2000-02-25,13.438,13.75,13.25,13.25,2.0531,90900,0.0,1.0
2000-02-28,13.125,13.313,13.0,13.188,2.0434,57100,0.0,1.0
2000-02-29,13.3749,14.625,13.375,14.625,2.2661,100100,0.0,1.0
2000-03-01,15.0,16.0,15.0,15.5,2.4017,207400,0.0,1.0
2000-03-02,15.563,15.563,15.063,15.563,2.4114,139100,0.0,1.0
2000-03-03,15.375,16.5,15.375,16.0,2.4792,309100,0.0,1.0
2000-03-06,16.0,16.0,15.0,15.0,2.3242,105100,0.0,1.0
2000-03-07,15.0,15.688,14.875,15.25,2.363,61400,0.0,1.0
2000-03-08,15.125,15.5,14.75,15.438,2.392,126800,0.0,1.0
2000-03-09,15.313,15.875,15.25,15.688,2.4307,170500,0.0,1.0
2000-03-10,15.75,16.125,15.625,15.875,2.4598,97800,0.0,1.0
2000-03-13,15.813,16.0,15.438,15.875,2.4598,41400,0.0,1.0
2000-03-14,15.75,15.75,15.375,15.563,2.4114,28000,0.0,1.0
2000-03-15,15.438,16.188,15.313,16.0,2.4792,67300,0.0,1.0
2000-03-16,16.0,17.313,16.0,17.125,2.6535,247600,0.0,1.0
2000-03-17,17.0,17.375,16.625,17.188,2.6632,110600,0.0,1.0
2000-03-20,17.188,17.813,17.063,17.188,2.6632,67200,0.0,1.0
2000-03-21,17.063,17.563,16.938,17.125,2.6535,49400,0.0,1.0
2000-03-22,17.125,17.125,16.75,16.75,2.5954,62700,0.0,1.0
2000-03-23,16.75,16.813,16.5,16.625,2.576,32800,0.0,1.0
2000-03-24,16.5,16.688,16.501,16.625,2.576,13300,0.0,1.0
2000-03-27,16.563,16.688,16.438,16.438,2.547,18500,0.0,1.0
2000-03-28,16.313,16.313,15.625,15.625,2.4211,50600,0.0,1.0
2000-03-29,15.5,15.688,15.438,15.688,2.4307,28900,0.0,1.0
2000-03-30,15.688,16.25,15.3133,16.25,2.5179,67300,0.0,1.0
2000-03-31,16.188,16.188,15.8745,16.125,2.4985,54700,0.0,1.0
2000-04-03,15.875,16.125,15.813,16.125,2.4985,58100,0.0,1.0
2000-04-04,16.063,16.063,16.0,16.0,2.4792,131800,0.0,1.0
2000-04-05,16.0,16.75,16.0,16.688,2.5857,92200,0.0,1.0
2000-04-06,15.75,16.188,15.0,15.5,2.4017,334900,0.0,1.0
2000-04-07,15.25,15.25,14.813,14.875,2.3049,505000,0.0,1.0
2000-04-10,14.5,14.625,14.188,14.188,2.1983,136100,0.0,1.0
2000-04-11,14.188,14.281,14.0,14.063,2.179,99500,0.0,1.0
2000-04-12,14.188,14.313,13.688,13.688,2.1208,92100,0.0,1.0
2000-04-13,13.813,13.813,13.313,13.313,2.0627,32600,0.0,1.0
2000-04-14,13.188,13.5,12.75,12.75,1.9756,184300,0.0,1.0
2000-04-17,12.875,13.5,12.875,13.0,2.0143,37400,0.0,1.0
2000-04-18,13.0005,13.5,13.0,13.0,2.0143,405900,0.0,1.0
2000-04-19,13.0,13.125,13.0,13.125,2.0337,55300,0.0,1.0
2000-04-20,13.0,13.063,12.875,12.938,2.0046,78900,0.0,1.0
2000-04-24,12.938,13.0,12.375,12.563,1.9465,65400,0.0,1.0
2000-04-25,12.563,13.0,12.438,12.875,1.995,131800,0.0,1.0
2000-04-26,12.938,13.125,12.5,12.563,1.9465,62700,0.0,1.0
2000-04-27,12.688,12.75,12.625,12.75,1.9756,71000,0.0,1.0
2000-04-28,12.813,12.938,12.625,12.813,1.9853,69500,0.0,1.0
2000-05-01,12.813,13.0,12.688,12.75,1.9756,21600,0.0,1.0
2000-05-02,12.625,12.688,12.5,12.625,1.9562,17500,0.0,1.0
2000-05-03,12.688,12.688,12.5,12.688,1.9659,49400,0.0,1.0
2000-05-04,12.0,12.5,12.0,12.125,1.8787,178900,0.0,1.0
2000-05-05,12.0,12.125,11.938,11.938,1.8497,128500,0.0,1.0
2000-05-08,11.938,12.0,10.813,11.313,1.7528,176100,0.0,1.0
2000-05-09,11.375,11.75,11.313,11.75,1.8206,94000,0.0,1.0
2000-05-10,11.688,11.75,11.125,11.375,1.7625,75600,0.0,1.0
2000-05-11,11.5,11.563,11.438,11.438,1.7722,48500,0.0,1.0
2000-05-12,11.5,11.625,11.5,11.563,1.7916,154800,0.0,1.0
2000-05-15,11.5,11.5,11.188,11.188,1.7335,161200,0.0,1.0
2000-05-16,11.25,11.438,11.188,11.313,1.7528,78000,0.0,1.0
2000-05-17,11.188,11.75,11.188,11.688,1.811,65100,0.0,1.0
2000-05-18,11.813,12.125,11.625,11.938,1.8497,37400,0.0,1.0
2000-05-19,11.938,12.25,11.938,12.188,1.8884,78300,0.0,1.0
2000-05-22,12.375,12.75,12.375,12.563,1.9465,73700,0.0,1.0
2000-05-23,12.5,13.0,12.5,13.0,2.0143,67600,0.0,1.0
2000-05-24,12.938,13.188,12.813,13.063,2.024,46000,0.0,1.0
2000-05-25,13.0,13.5,12.938,13.188,2.0434,62300,0.0,1.0
2000-05-26,13.125,13.75,13.1252,13.625,2.1112,39100,0.0,1.0
2000-05-30,13.5,14.125,13.5,14.063,2.179,177500,0.0,1.0
2000-05-31,14.0,14.0,13.188,13.563,2.1015,113700,0.0,1.0
2000-06-01,13.438,13.438,12.313,12.875,1.995,196400,0.0,1.0
2000-06-02,12.875,12.875,12.438,12.438,1.9272,58000,0.0,1.0
2000-06-05,12.563,12.563,12.313,12.375,1.9175,14800,0.0,1.0
2000-06-06,12.25,12.563,12.25,12.5,1.9368,37700,0.0,1.0
2000-06-07,12.5,12.563,12.25,12.313,1.9078,21800,0.0,1.0
2000-06-08,12.25,12.563,12.0,12.438,1.9272,57100,0.0,1.0
2000-06-09,12.5,12.5,12.188,12.25,1.8981,12300,0.0,1.0
2000-06-12,12.25,12.438,12.188,12.188,1.8884,24900,0.0,1.0
2000-06-13,11.875,12.375,11.875,12.375,1.9175,24500,0.0,1.0
2000-06-14,12.0,12.5,12.0,12.438,1.9272,43300,0.0,1.0
2000-06-15,12.5,12.5,12.25,12.313,1.9078,40000,0.0,1.0
2000-06-16,12.375,12.438,12.375,12.438,1.9272,16600,0.0,1.0
2000-06-19,12.313,12.4383,12.313,12.313,1.9078,10100,0.0,1.0
2000-06-20,12.25,12.438,12.0,12.438,1.9272,74700,0.0,1.0
