timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,37.75,37.75,37.375,37.375,0.7934,4800,0.0,1.0
1999-09-14,37.125,37.125,36.7489,36.75,0.7802,4800,0.0,1.0
1999-09-15,36.75,37.0,36.75,37.0,0.7855,4000,0.0,1.0
1999-09-16,4.625,4.625,4.625,4.625,0.7855,0,0.0,1.0
1999-09-17,4.625,4.625,4.625,4.625,0.7855,0,0.0,1.0
1999-09-20,37.625,37.625,37.625,37.625,0.7987,14400,0.0,1.0
1999-09-21,37.375,37.375,37.125,37.125,0.7881,4000,0.0,1.0
1999-09-22,36.875,36.875,36.0,36.0,0.7642,8800,0.0,1.0
1999-09-23,36.25,36.25,35.25,35.25,0.7483,10400,0.0,1.0
1999-09-24,35.25,35.25,35.2516,35.25,0.7483,3200,0.0,1.0
1999-09-27,35.375,35.375,34.5,34.5,0.7324,6400,0.0,1.0
1999-09-28,34.75,34.75,34.7484,34.75,0.7377,800,0.0,1.0
1999-09-29,34.5,34.5,34.5,34.5,0.7324,3200,0.0,1.0
1999-09-30,34.25,34.25,34.2502,34.25,0.7271,1600,0.0,1.0
1999-10-01,34.5,34.5,34.0,34.0,0.7218,3200,0.0,1.0
1999-10-04,34.125,34.125,34.125,34.125,0.7244,10400,0.0,1.0
1999-10-05,33.875,34.375,33.75,34.375,0.7297,19200,0.0,1.0
1999-10-06,4.2969,4.2969,4.2969,4.2969,0.7297,0,0.0,1.0
1999-10-07,34.438,34.438,34.438,34.438,0.7311,6400,0.0,1.0
1999-10-08,34.938,39.5,34.75,39.5,0.8385,276000,0.0,1.0
1999-10-11,39.0,39.0,37.375,37.375,0.7934,68000,0.0,1.0
1999-10-12,36.0034,36.0,35.875,35.875,0.7616,185600,0.0,1.0
1999-10-13,36.0,36.0,35.813,35.813,0.7603,4800,0.0,1.0
1999-10-14,36.0,36.125,36.0,36.125,0.7669,4000,0.0,1.0
1999-10-15,4.5156,4.5156,4.5156,4.5156,0.7669,0,0.0,1.0
1999-10-18,35.875,35.875,32.0,32.0,0.6793,47200,0.0,1.0
1999-10-19,31.0008,32.25,30.0,30.0,0.6369,88800,0.0,1.0
1999-10-20,30.375,32.0,30.375,32.0,0.6793,64800,0.0,1.0
1999-10-21,31.75,31.75,31.0,31.125,0.6608,9600,0.0,1.0
1999-10-22,31.375,31.5,31.25,31.25,0.6634,4800,0.0,1.0
1999-10-25,31.0,31.5,30.5,30.75,0.6528,26400,0.0,1.0
1999-10-26,30.625,31.0,30.0,30.375,0.6448,20000,0.0,1.0
1999-10-27,30.0,30.625,30.0,30.625,0.6501,11200,0.0,1.0
1999-10-28,30.625,31.625,30.625,31.625,0.6714,47200,0.0,1.0
1999-10-29,31.25,32.375,31.25,32.375,0.6873,15200,0.0,1.0
1999-11-01,32.125,32.1247,31.125,31.625,0.6714,23200,0.0,1.0
1999-11-02,32.0,32.0,32.0001,32.0,0.6793,800,0.0,1.0
1999-11-03,31.625,31.625,31.25,31.25,0.6634,6400,0.0,1.0
1999-11-04,31.625,31.625,30.625,31.125,0.6608,26400,0.0,1.0
1999-11-05,31.375,31.375,31.0,31.0,0.6581,4800,0.0,1.0
1999-11-08,3.875,3.875,3.875,3.875,0.6581,0,0.0,1.0
1999-11-09,30.9979,31.375,31.0,31.375,0.6661,16000,0.0,1.0
1999-11-10,31.125,31.124,31.0,31.0,0.6581,32000,0.0,1.0
1999-11-11,31.125,31.125,30.75,30.75,0.6528,21600,0.0,1.0
1999-11-12,30.75,30.75,30.75,30.75,0.6528,26400,0.0,1.0
1999-11-15,30.625,31.0,30.625,30.625,0.6501,13600,0.0,1.0
1999-11-16,31.0,31.5,31.0,31.0,0.6581,6400,0.0,1.0
1999-11-17,30.75,30.75,30.625,30.625,0.6501,14400,0.0,1.0
1999-11-18,30.875,30.875,30.625,30.875,0.6554,10400,0.0,1.0
1999-11-19,30.625,31.25,30.5,31.0,0.6581,17600,0.0,1.0
1999-11-22,31.5,31.5,30.75,31.0,0.6581,24800,0.0,1.0
1999-11-23,31.25,31.25,30.875,31.125,0.6608,12800,0.0,1.0
1999-11-24,30.875,30.875,30.7555,30.75,0.6528,6400,0.0,1.0
1999-11-26,3.8438,3.8438,3.8438,3.8438,0.6528,0,0.0,1.0
1999-11-29,30.75,30.75,29.938,30.25,0.6737,25600,0.18,1.0
1999-11-30,30.5,31.0,30.5,30.625,0.6821,23200,0.0,1.0
1999-12-01,30.375,30.563,30.1257,30.563,0.6807,16000,0.0,1.0
1999-12-02,30.625,30.875,30.375,30.375,0.6765,30400,0.0,1.0
1999-12-03,30.375,30.375,30.3753,30.375,0.6765,800,0.0,1.0
1999-12-06,30.25,30.625,30.125,30.625,0.6821,20800,0.0,1.0
1999-12-07,30.5,30.625,30.0024,30.0,0.6682,14400,0.0,1.0
1999-12-08,29.75,30.125,29.375,30.125,0.6709,41600,0.0,1.0
1999-12-09,30.375,30.5,30.25,30.5,0.6793,8000,0.0,1.0
1999-12-10,30.75,30.813,30.438,30.438,0.6779,20000,0.0,1.0
1999-12-13,30.188,30.188,29.938,29.938,0.6668,4800,0.0,1.0
1999-12-14,29.813,30.4993,29.75,30.0,0.6682,63200,0.0,1.0
1999-12-15,29.75,29.75,29.75,29.75,0.6626,20800,0.0,1.0
1999-12-16,29.75,30.0,29.625,30.0,0.6682,35200,0.0,1.0
1999-12-17,30.0,30.375,29.875,30.375,0.6765,47200,0.0,1.0
1999-12-20,30.125,30.25,30.0,30.125,0.6709,20000,0.0,1.0
1999-12-21,30.0,30.313,30.0,30.313,0.6751,19200,0.0,1.0
1999-12-22,30.0,30.125,30.0,30.0,0.6682,21600,0.0,1.0
1999-12-23,30.125,30.125,30.125,30.125,0.6709,1600,0.0,1.0
1999-12-27,30.0,30.5,30.0,30.5,0.6793,31200,0.0,1.0
1999-12-28,30.25,30.5,30.0,30.0,0.6682,41600,0.0,1.0
1999-12-29,30.0,30.0,30.0,30.0,0.6682,5600,0.0,1.0
1999-12-30,30.0,30.0,30.0,30.0,0.6682,9600,0.0,1.0
1999-12-31,30.0,30.25,30.0,30.125,0.6709,6400,0.0,1.0
2000-01-03,30.125,30.125,30.0,30.0,0.6682,25600,0.0,1.0
2000-01-04,30.0,31.75,30.0,30.5,0.6793,62400,0.0,1.0
2000-01-05,30.438,30.875,30.188,30.875,0.6876,13600,0.0,1.0
2000-01-06,30.75,31.25,30.75,31.25,0.696,36000,0.0,1.0
2000-01-07,31.5,31.5,31.5003,31.5,0.7016,17600,0.0,1.0
2000-01-10,31.75,31.75,31.25,31.5,0.7016,5600,0.0,1.0
2000-01-11,31.688,31.688,31.688,31.688,0.7057,1600,0.0,1.0
2000-01-12,31.4402,31.438,30.75,31.0,0.6904,20000,0.0,1.0
2000-01-13,31.0,31.375,31.0,31.125,0.6932,19200,0.0,1.0
2000-01-14,31.375,31.4987,30.875,30.875,0.6876,13600,0.0,1.0
2000-01-18,30.625,31.063,30.563,30.813,0.6863,15200,0.0,1.0
