timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,31.0,31.375,30.875,31.375,8.7981,16800,0.0,1.0
1999-09-14,31.125,31.125,30.75,30.75,8.6228,99400,0.0,1.0
1999-09-15,30.813,30.813,30.625,30.75,8.6228,6600,0.0,1.0
1999-09-16,30.75,30.75,29.625,29.625,8.3074,91400,0.0,1.0
1999-09-17,29.5,29.75,29.438,29.75,8.3424,60800,0.0,1.0
1999-09-20,29.75,29.9386,29.625,29.625,8.3074,32400,0.0,1.0
1999-09-21,29.563,29.938,29.5,29.813,8.3599,29400,0.0,1.0
1999-09-22,29.625,30.625,29.625,30.625,8.5878,17600,0.0,1.0
1999-09-23,30.438,30.5,30.125,30.188,8.4651,21000,0.0,1.0
1999-09-24,30.25,30.313,30.125,30.188,8.4651,141800,0.0,1.0
1999-09-27,30.438,31.563,30.438,31.188,8.7455,26400,0.0,1.0
1999-09-28,31.313,32.0,31.313,32.0,8.9733,39800,0.0,1.0
1999-09-29,31.938,31.9979,31.875,32.0,8.9733,70600,0.0,1.0
1999-09-30,32.0,32.0,31.813,32.0,8.9733,55000,0.0,1.0
1999-10-01,31.75,31.8125,31.563,31.813,8.9208,9800,0.0,1.0
1999-10-04,31.938,32.0,31.5,31.813,8.9208,167800,0.0,1.0
1999-10-05,31.813,31.875,31.688,31.875,8.9383,67800,0.0,1.0
1999-10-06,31.813,31.875,31.563,31.625,8.9638,30800,0.17,1.0
1999-10-07,31.5,31.563,31.1252,31.563,8.9461,41600,0.0,1.0
1999-10-08,31.438,31.5,31.25,31.5,8.9284,26400,0.0,1.0
1999-10-11,31.438,31.438,30.75,31.25,8.8575,21200,0.0,1.0
1999-10-12,31.125,31.125,30.938,30.938,8.7689,5800,0.0,1.0
1999-10-13,30.938,31.0,30.344,30.375,8.6095,10600,0.0,1.0
1999-10-14,30.375,30.75,30.375,30.688,8.6981,32600,0.0,1.0
1999-10-15,30.875,30.875,30.313,30.438,8.6272,20200,0.0,1.0
1999-10-18,30.3753,30.438,30.063,30.313,8.5918,7000,0.0,1.0
1999-10-19,30.188,30.313,29.188,29.188,8.2729,16200,0.0,1.0
1999-10-20,29.125,29.125,27.438,27.563,7.8123,63200,0.0,1.0
1999-10-21,27.438,27.438,26.875,27.0,7.6529,74800,0.0,1.0
1999-10-22,26.875,26.875,25.625,26.75,7.582,186600,0.0,1.0
1999-10-25,27.0,27.0,26.063,26.563,7.5289,96400,0.0,1.0
1999-10-26,26.688,27.125,26.688,27.0,7.6529,64600,0.0,1.0
1999-10-27,27.0,27.875,27.0,27.625,7.83,29400,0.0,1.0
1999-10-28,27.5,27.938,27.25,27.625,7.83,15400,0.0,1.0
