timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,64.25,64.5,62.5,62.938,22.2552,1270000,0.0,1.0
1999-09-14,62.625,62.688,61.0,61.813,21.8574,1348300,0.0,1.0
1999-09-15,62.063,63.25,61.563,61.563,21.769,1058100,0.0,1.0
1999-09-16,61.813,61.938,56.875,57.25,20.244,4248700,0.0,1.0
1999-09-17,57.0,57.0623,51.938,53.75,19.0064,6434700,0.0,1.0
1999-09-20,52.0,53.438,51.3738,52.5,18.5644,4485000,0.0,1.0
1999-09-21,52.5022,54.125,52.0,52.688,18.6307,2752900,0.0,1.0
1999-09-22,53.25,54.25,52.563,53.188,18.8075,2334400,0.0,1.0
1999-09-23,54.125,56.0,53.313,53.75,19.0064,2338800,0.0,1.0
1999-09-24,53.5,54.75,53.438,54.375,19.2274,1514700,0.0,1.0
1999-09-27,54.438,54.688,52.75,53.938,19.0727,1780200,0.0,1.0
1999-09-28,53.75,54.438,52.0,52.0,18.3876,1454200,0.0,1.0
1999-09-29,53.313,53.438,52.5,53.438,18.9096,1673800,0.025,1.0
1999-09-30,53.438,55.5,53.188,54.5,19.2856,1290000,0.0,1.0
1999-10-01,54.375,56.6263,54.375,56.375,19.949,1178100,0.0,1.0
1999-10-04,56.375,57.5,53.813,54.688,19.3519,1993000,0.0,1.0
1999-10-05,54.688,54.688,53.7528,53.813,19.0423,1592200,0.0,1.0
1999-10-06,53.75,54.5013,53.0,54.0,19.1086,3077800,0.0,1.0
1999-10-07,54.25,54.25,52.688,53.188,18.8211,1500000,0.0,1.0
1999-10-08,53.0,54.5,53.0,54.0,19.1086,1273500,0.0,1.0
1999-10-11,54.125,55.375,53.875,55.0,19.4625,592900,0.0,1.0
1999-10-12,54.875,55.0,53.5,53.938,19.0865,990600,0.0,1.0
1999-10-13,53.563,53.688,52.5,52.5,18.5778,1007700,0.0,1.0
1999-10-14,49.0,51.688,45.375,51.375,18.1797,6157000,0.0,1.0
1999-10-15,50.0,50.5,47.563,49.625,17.5605,2930100,0.0,1.0
1999-10-18,49.0,50.25,48.25,49.563,17.5383,2604600,0.0,1.0
1999-10-19,49.5031,51.25,48.813,49.125,17.3835,3126400,0.0,1.0
1999-10-20,49.125,49.75,48.0,49.5,17.5162,2143000,0.0,1.0
1999-10-21,48.75,49.25,47.563,48.313,17.096,2701900,0.0,1.0
1999-10-22,42.625,43.5,40.25,42.5,15.0392,11002300,0.0,1.0
1999-10-25,42.75,45.4394,42.563,44.5,15.7469,3941200,0.0,1.0
