timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-10-25,21.41,21.65,20.11,20.23,10.6612,2734400,0.0,1.0
2012-10-26,21.52,21.52,20.11,20.84,10.9827,302200,0.0,1.0
2012-10-31,20.83,21.14,20.34,20.84,10.9827,102000,0.0,1.0
2012-11-01,20.99,21.03,20.7,20.75,10.9353,82700,0.0,1.0
2012-11-02,20.9,20.95,20.42,20.57,10.8404,124200,0.0,1.0
2012-11-05,20.79,20.79,20.2697,20.41,10.7561,91200,0.0,1.0
2012-11-06,20.55,20.55,20.1607,20.27,10.6823,83200,0.0,1.0
2012-11-07,20.2,20.23,19.52,20.0,10.54,99300,0.0,1.0
2012-11-08,19.6,20.0078,19.56,19.71,10.3872,37900,0.0,1.0
2012-11-09,20.05,20.05,19.56,19.59,10.324,23100,0.0,1.0
2012-11-12,19.66,20.07,19.66,19.85,10.461,48700,0.0,1.0
2012-11-13,19.73,19.849,19.556,19.65,10.3556,18600,0.0,1.0
2012-11-14,19.8,19.8,19.25,19.48,10.266,67000,0.0,1.0
2012-11-15,19.48,19.48,19.02,19.24,10.1395,43500,0.0,1.0
2012-11-16,19.3,19.39,19.25,19.39,10.2186,45400,0.0,1.0
2012-11-19,19.0,19.669,19.0,19.58,10.3187,40800,0.0,1.0
2012-11-20,19.69,19.6997,19.45,19.62,10.3398,10000,0.0,1.0
2012-11-21,19.69,19.82,19.64,19.81,10.4399,11700,0.0,1.0
2012-11-23,19.89,19.93,19.6,19.9,10.4873,12200,0.0,1.0
2012-11-26,19.93,20.02,19.43,19.74,10.403,10200,0.0,1.0
2012-11-27,19.74,19.74,19.48,19.64,10.3503,15900,0.0,1.0
2012-11-28,19.15,19.8,19.1,19.55,10.3029,17900,0.0,1.0
2012-11-29,19.5,19.63,19.3,19.46,10.2554,15500,0.0,1.0
2012-11-30,19.8,19.8,19.0,19.35,10.1975,38400,0.0,1.0
2012-12-03,19.34,19.58,19.3,19.36,10.2027,34700,0.0,1.0
2012-12-04,18.95,19.337,18.7,18.9,9.9603,133700,0.0,1.0
2012-12-05,19.35,19.35,18.4,18.65,9.8286,81300,0.0,1.0
2012-12-06,18.01,18.75,16.66,18.43,9.7126,245800,0.0,1.0
2012-12-07,18.6,18.647,18.43,18.45,9.7232,40800,0.0,1.0
2012-12-10,18.49,18.65,18.2,18.6,9.8022,53300,0.0,1.0
