timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,42.063,42.063,40.625,40.875,25.3631,1384900,0.0,1.0
1999-09-14,40.625,42.938,40.625,42.063,26.1,927300,0.0,1.0
1999-09-15,42.25,43.0,40.563,40.813,25.3243,1214600,0.0,1.0
1999-09-16,41.5,42.625,40.0,42.438,26.3326,2402100,0.0,1.0
1999-09-17,43.313,46.0,43.063,45.5,28.2329,2346400,0.0,1.0
1999-09-20,45.563,45.938,44.7494,45.625,28.3105,1741100,0.0,1.0
1999-09-21,45.5,45.625,43.813,44.5,27.6124,1229000,0.0,1.0
1999-09-22,45.0,46.5,44.75,45.75,28.3881,751100,0.0,1.0
1999-09-23,45.75,46.75,45.0,45.375,28.1554,1148200,0.0,1.0
1999-09-24,45.063,45.75,42.125,43.0,26.6817,1226800,0.0,1.0
1999-09-27,43.75,44.188,43.0,43.0,26.6817,957800,0.0,1.0
1999-09-28,42.938,43.125,41.25,41.813,25.9448,1518200,0.0,1.0
1999-09-29,41.438,42.25,41.375,42.0,26.0612,1585500,0.0,1.0
1999-09-30,43.5,44.438,42.625,43.5,26.9919,1224200,0.0,1.0
1999-10-01,43.5,44.75,43.5,44.688,27.7288,1445300,0.0,1.0
1999-10-04,44.75,46.188,44.5,45.813,28.4269,1161900,0.0,1.0
1999-10-05,45.75,45.75,44.313,44.688,27.7288,1668000,0.0,1.0
1999-10-06,44.75,45.0,43.75,44.875,27.8451,1136400,0.0,1.0
1999-10-07,44.75,45.125,44.5,44.75,27.7676,796100,0.0,1.0
1999-10-08,44.875,45.063,43.563,43.938,27.2634,894500,0.0,1.0
1999-10-11,43.938,44.25,43.563,43.875,27.2246,729700,0.0,1.0
1999-10-12,43.75,44.0,41.938,42.313,26.2551,717100,0.0,1.0
1999-10-13,42.625,42.75,41.063,41.063,25.4795,600400,0.0,1.0
1999-10-14,41.125,42.125,40.7517,41.438,25.7122,1159400,0.0,1.0
1999-10-15,41.438,41.5,40.25,40.375,25.0529,1117400,0.0,1.0
1999-10-18,40.25,40.313,38.125,40.063,24.8589,1135900,0.0,1.0
1999-10-19,40.125,40.875,39.563,39.875,24.7426,1227700,0.0,1.0
1999-10-20,41.25,42.688,41.188,41.813,25.9448,1255600,0.0,1.0
1999-10-21,41.375,42.688,40.875,42.688,26.4878,643000,0.0,1.0
1999-10-22,42.625,43.375,41.0,41.875,25.9836,788600,0.0,1.0
1999-10-25,40.75,41.25,40.375,41.0,25.4407,1174600,0.0,1.0
1999-10-26,41.0,41.5,39.563,39.625,24.5875,1213000,0.0,1.0
1999-10-27,39.4981,39.875,38.688,39.125,24.2772,1445300,0.0,1.0
1999-10-28,40.875,41.813,40.5,41.75,25.9061,1531300,0.0,1.0
1999-10-29,43.25,44.938,42.75,44.5,27.6124,1532600,0.0,1.0
1999-11-01,44.75,44.875,43.5,43.813,27.1858,1000500,0.0,1.0
1999-11-02,43.813,45.689,43.813,44.313,27.4961,1360400,0.0,1.0
1999-11-03,45.75,46.188,45.25,45.313,28.1166,1286000,0.0,1.0
1999-11-04,45.625,47.0,45.1205,46.813,29.0474,1212800,0.0,1.0
1999-11-05,47.0,47.875,46.813,47.0,29.1637,944000,0.0,1.0
1999-11-08,47.125,47.813,47.0,47.563,29.5127,811300,0.0,1.0
1999-11-09,47.563,47.563,45.75,46.313,28.7371,1085300,0.0,1.0
1999-11-10,46.563,46.625,45.688,45.938,28.5044,653300,0.0,1.0
1999-11-11,46.0,46.938,45.875,46.688,28.9698,843800,0.0,1.0
1999-11-12,46.938,47.438,46.0,46.5,28.8534,723400,0.0,1.0
1999-11-15,46.25,47.625,46.188,46.938,29.1249,1241700,0.0,1.0
1999-11-16,48.5,50.0,48.125,50.0,31.0252,1256900,0.0,1.0
1999-11-17,51.0,51.875,49.25,49.563,30.7537,1365400,0.0,1.0
1999-11-18,49.563,49.688,47.9393,48.875,30.3271,826300,0.0,1.0
1999-11-19,48.625,48.625,47.313,48.25,29.9393,652400,0.0,1.0
1999-11-22,48.563,48.563,47.438,48.063,29.823,716100,0.0,1.0
1999-11-23,47.6278,47.688,46.5,47.0,29.1637,663800,0.0,1.0
1999-11-24,47.0,47.813,46.5014,47.625,29.5515,531300,0.0,1.0
1999-11-26,47.5,47.5,46.563,47.188,29.3447,339400,0.105,1.0
1999-11-29,46.938,46.938,45.625,45.813,28.4897,897200,0.0,1.0
1999-11-30,45.875,46.0,44.125,44.125,27.4402,1038600,0.0,1.0
1999-12-01,44.188,45.75,43.875,44.875,27.9066,1734300,0.0,1.0
1999-12-02,44.5,48.125,44.438,48.0,29.85,2513900,0.0,1.0
1999-12-03,47.75,49.938,47.375,49.75,30.9383,1869100,0.0,1.0
1999-12-06,49.75,50.5,48.75,50.5,31.4047,1526700,0.0,1.0
1999-12-07,50.0,50.063,48.563,48.813,30.3553,1338000,0.0,1.0
1999-12-08,49.0,49.0,46.125,47.457,29.5099,2394400,0.0,1.0
1999-12-09,46.75,47.75,46.0,46.25,28.7617,1044800,0.0,1.0
1999-12-10,46.75,46.75,46.188,46.25,28.7617,767000,0.0,1.0
1999-12-13,46.0,46.375,45.313,45.313,28.1787,863100,0.0,1.0
1999-12-14,45.313,46.375,45.313,46.0,28.6063,3073400,0.0,1.0
1999-12-15,45.938,46.0,44.0,44.25,27.518,1414200,0.0,1.0
