timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-11-11,19.0,19.0,18.48,18.87,5.0921,6031900,0.0,1.0
2011-11-14,19.0,19.09,18.9,18.92,5.1056,1219400,0.0,1.0
2011-11-15,19.0,19.08,18.9,19.01,5.1298,886100,0.0,1.0
2011-11-16,19.09,19.4,19.02,19.3,5.2081,1218800,0.0,1.0
2011-11-17,19.25,19.4,19.2,19.33,5.2162,713400,0.0,1.0
2011-11-18,19.26,19.34,19.15,19.25,5.1946,510500,0.0,1.0
2011-11-21,19.19,19.4994,19.06,19.26,5.1973,443800,0.0,1.0
2011-11-22,19.3,19.38,19.17,19.3,5.2081,312700,0.0,1.0
2011-11-23,19.25,19.3,19.06,19.06,5.1433,563000,0.0,1.0
2011-11-25,19.15,19.469,19.06,19.06,5.1433,291200,0.0,1.0
2011-11-28,19.45,19.45,19.16,19.39,5.2324,703900,0.0,1.0
2011-11-29,19.49,19.74,19.25,19.71,5.3187,667200,0.0,1.0
2011-11-30,19.94,19.95,19.73,19.93,5.3781,881900,0.0,1.0
2011-12-01,19.95,19.95,19.8,19.91,5.3727,416100,0.0,1.0
2011-12-02,19.95,20.26,19.82,19.96,5.3862,643600,0.0,1.0
2011-12-05,20.0,20.0,19.56,19.8,5.343,690800,0.0,1.0
2011-12-06,19.93,20.13,19.78,19.91,5.3727,1611000,0.0,1.0
2011-12-07,19.99,20.4,19.95,20.4,5.5049,854500,0.0,1.0
2011-12-08,20.5,20.91,20.4,20.85,5.6264,1092900,0.0,1.0
2011-12-09,20.9,21.87,20.8599,21.87,5.9016,1285800,0.0,1.0
2011-12-12,21.8,22.0,21.5592,21.87,5.9016,911500,0.0,1.0
2011-12-13,21.3493,21.68,21.05,21.17,5.8683,549600,0.58,1.0
2011-12-14,21.04,21.0504,20.15,20.55,5.6965,610000,0.0,1.0
2011-12-15,20.75,20.85,20.16,20.18,5.5939,395900,0.0,1.0
2011-12-16,20.25,20.9,20.18,20.7,5.7381,452300,0.0,1.0
2011-12-19,20.802,21.5,20.55,20.648,5.7242,349900,0.0,1.0
2011-12-20,20.96,21.38,20.95,21.23,5.885,273300,0.0,1.0
2011-12-21,21.5,22.19,20.9617,22.04,6.1095,445800,0.0,1.0
2011-12-22,22.18,22.49,22.0,22.3,6.1816,412700,0.0,1.0
2011-12-23,22.3,22.44,22.1,22.17,6.1456,191100,0.0,1.0
2011-12-27,22.24,22.51,22.16,22.51,6.2398,163400,0.0,1.0
2011-12-28,22.68,22.942,22.565,22.76,6.3091,217100,0.0,1.0
2011-12-29,22.89,23.83,22.74,23.61,6.5447,367300,0.0,1.0
2011-12-30,23.73,24.25,23.68,24.04,6.6639,320100,0.0,1.0
2012-01-03,24.3796,24.38,23.62,23.83,6.6057,504000,0.0,1.0
2012-01-04,23.82,24.0,23.7212,23.9,6.6251,273400,0.0,1.0
2012-01-05,23.83,24.493,23.83,24.4,6.7637,405900,0.0,1.0
2012-01-06,24.5,24.72,24.32,24.32,6.7415,531200,0.0,1.0
2012-01-09,24.49,24.58,23.75,23.96,6.6417,553800,0.0,1.0
2012-01-10,24.16,24.39,23.55,24.0,6.6528,502100,0.0,1.0
2012-01-11,23.85,23.97,22.67,23.01,6.3784,707000,0.0,1.0
2012-01-12,23.0291,23.1,20.78,22.55,6.2509,2223200,0.0,1.0
2012-01-13,22.59,23.0,22.05,22.9,6.3479,702200,0.0,1.0
2012-01-17,23.5,23.85,22.81,23.3,6.4588,555600,0.0,1.0
2012-01-18,23.341,23.94,23.09,23.54,6.5253,482800,0.0,1.0
2012-01-19,23.58,23.78,23.07,23.22,6.4366,592100,0.0,1.0
2012-01-20,23.18,23.3,22.55,23.11,6.4061,618000,0.0,1.0
2012-01-23,23.27,23.94,23.12,23.81,6.6002,1124700,0.0,1.0
2012-01-24,23.73,24.439,23.5,24.13,6.6889,631900,0.0,1.0
2012-01-25,24.3,24.57,24.06,24.57,6.8108,709100,0.0,1.0
2012-01-26,24.83,24.99,24.12,24.2,6.7083,782300,0.0,1.0
2012-01-27,24.33,24.46,24.0,24.16,6.6972,446100,0.0,1.0
2012-01-30,24.28,24.75,24.25,24.37,6.7554,404700,0.0,1.0
2012-01-31,24.55,24.75,24.4,24.52,6.797,437400,0.0,1.0
2012-02-01,24.75,24.8889,24.53,24.75,6.8607,412600,0.0,1.0
2012-02-02,24.81,25.25,24.71,24.924,6.9079,363200,0.0,1.0
2012-02-03,25.19,25.84,24.95,25.61,7.0991,394100,0.0,1.0
2012-02-06,25.6197,26.25,25.62,25.84,7.1629,454800,0.0,1.0
2012-02-07,25.95,27.15,25.95,26.83,7.4373,656300,0.0,1.0
2012-02-08,27.86,27.86,25.63,26.65,7.3874,803700,0.0,1.0
2012-02-09,27.51,27.86,26.75,27.25,7.5537,751800,0.0,1.0
2012-02-10,27.01,28.0,26.75,28.0,7.7616,623300,0.0,1.0
2012-02-13,27.73,27.88,26.57,26.74,7.4124,1184000,0.0,1.0
2012-02-14,26.9,26.949,25.52,26.46,7.3347,982000,0.0,1.0
2012-02-15,25.75,26.84,25.35,26.82,7.6448,621000,0.7277,1.0
2012-02-16,26.63,27.184,26.51,26.96,7.6847,339200,0.0,1.0
2012-02-17,27.13,27.35,26.75,27.238,7.7645,280300,0.0,1.0
2012-02-21,27.29,27.9,27.1,27.58,7.8614,422400,0.0,1.0
2012-02-22,27.77,27.77,26.98,27.06,7.7132,266300,0.0,1.0
2012-02-23,27.0,27.4,26.9104,27.39,7.8073,180700,0.0,1.0
2012-02-24,27.41,27.8,27.25,27.26,7.7702,231600,0.0,1.0
2012-02-27,27.26,27.75,27.26,27.38,7.8044,202100,0.0,1.0
2012-02-28,27.6,28.501,27.48,28.15,8.0239,376000,0.0,1.0
2012-02-29,28.0,28.39,27.05,27.79,7.9213,550900,0.0,1.0
2012-03-01,27.95,27.95,27.2,27.77,7.9156,303600,0.0,1.0
2012-03-02,27.84,28.171,27.75,28.01,7.984,245300,0.0,1.0
2012-03-05,28.07,28.949,27.9,28.94,8.2491,488800,0.0,1.0
2012-03-06,28.58,28.59,27.65,28.06,7.9982,496300,0.0,1.0
2012-03-07,28.0,28.89,27.9,28.66,8.1693,319000,0.0,1.0
2012-03-08,28.85,29.25,28.643,28.99,8.2633,314100,0.0,1.0
2012-03-09,29.14,29.9,29.14,29.62,8.4429,341100,0.0,1.0
2012-03-12,29.55,30.24,29.25,30.0,8.5512,336500,0.0,1.0
2012-03-13,30.2,30.21,29.82,29.92,8.5284,215800,0.0,1.0
2012-03-14,29.99,29.99,29.2,29.29,8.3488,263300,0.0,1.0
2012-03-15,29.2383,29.24,27.655,28.02,7.9868,598200,0.0,1.0
2012-03-16,28.2,28.31,27.79,27.9,7.9526,237300,0.0,1.0
2012-03-19,27.85,28.64,27.73,28.53,8.1322,297500,0.0,1.0
2012-03-20,28.53,28.619,28.101,28.159,8.0267,167300,0.0,1.0
2012-03-21,28.16,28.3,27.41,27.41,7.813,304700,0.0,1.0
2012-03-22,27.25,27.25,25.07,25.82,7.3597,1138500,0.0,1.0
2012-03-23,25.68,26.94,25.27,26.38,7.5194,471000,0.0,1.0
2012-03-26,26.65,27.0,26.54,26.68,7.6049,186500,0.0,1.0
2012-03-27,26.85,27.0013,26.35,26.54,7.565,219700,0.0,1.0
2012-03-28,26.44,26.48,25.26,25.32,7.2172,435000,0.0,1.0
2012-03-29,25.29,25.558,24.27,24.83,7.0776,684000,0.0,1.0
2012-03-30,24.89,26.27,24.89,26.161,7.4567,294800,0.0,1.0
2012-04-02,26.26,26.68,25.9487,26.42,7.5308,217800,0.0,1.0
2012-04-03,26.47,26.884,26.359,26.56,7.5707,151300,0.0,1.0
2012-04-04,26.5,26.56,25.92,26.55,7.5678,172400,0.0,1.0
2012-04-05,26.56,26.56,26.11,26.25,7.4823,111100,0.0,1.0
2012-04-09,26.0,26.08,25.3,25.48,7.2628,251300,0.0,1.0
2012-04-10,25.56,25.56,24.5208,24.65,7.0262,280500,0.0,1.0
2012-04-11,24.8,25.46,24.66,24.97,7.1175,224600,0.0,1.0
2012-04-12,24.93,25.96,24.93,25.32,7.2172,394200,0.0,1.0
2012-04-13,25.26,25.539,25.09,25.38,7.2343,198300,0.0,1.0
2012-04-16,25.5,25.83,24.89,25.14,7.1659,169400,0.0,1.0
2012-04-17,25.18,25.58,24.93,24.98,7.1203,240100,0.0,1.0
2012-04-18,24.8297,24.87,22.8,23.71,6.7583,1720800,0.0,1.0
2012-04-19,23.63,24.5,23.102,24.28,6.9208,577700,0.0,1.0
2012-04-20,24.35,24.8005,23.42,23.49,6.6956,602800,0.0,1.0
2012-04-23,23.24,23.59,22.55,23.29,6.6386,824400,0.0,1.0
2012-04-24,23.35,24.16,23.2,23.66,6.7441,343200,0.0,1.0
2012-04-25,23.83,24.3,23.76,23.92,6.8182,268100,0.0,1.0
2012-04-26,23.95,24.15,23.5597,23.57,6.7184,344900,0.0,1.0
2012-04-27,23.64,23.682,22.85,23.25,6.6272,752000,0.0,1.0
2012-04-30,23.44,24.1,23.364,23.85,6.7982,447900,0.0,1.0
2012-05-01,24.34,25.3092,24.2,25.08,7.1488,748600,0.0,1.0
2012-05-02,24.3,24.75,23.486,23.8,6.784,932700,0.0,1.0
2012-05-03,23.8,24.27,23.15,23.79,6.7811,572000,0.0,1.0
2012-05-04,23.56,23.91,23.15,23.71,6.7583,319300,0.0,1.0
2012-05-07,23.58,23.75,23.3,23.57,6.7184,218000,0.0,1.0
2012-05-08,23.5,23.75,22.77,23.37,6.6614,455800,0.0,1.0
2012-05-09,23.12,23.899,23.0,23.71,6.7583,244800,0.0,1.0
2012-05-10,23.95,24.45,23.67,23.75,6.7697,297100,0.0,1.0
2012-05-11,22.07,22.5,20.47,21.27,6.0628,1793000,0.0,1.0
2012-05-14,21.5,21.9,21.35,21.5,6.1284,602700,0.0,1.0
2012-05-15,21.5,21.92,19.56,20.16,5.7464,1298800,0.0,1.0
2012-05-16,20.13,20.15,19.06,19.5,5.5583,859100,0.0,1.0
2012-05-17,18.8508,19.11,17.65,18.1,5.3396,1039000,0.6588,1.0
2012-05-18,18.13,18.17,17.37,18.0,5.3101,595500,0.0,1.0
2012-05-21,17.9,19.15,17.41,18.98,5.5992,464300,0.0,1.0
2012-05-22,19.0,19.8,18.9,19.17,5.6553,344400,0.0,1.0
2012-05-23,19.08,19.5,18.05,18.68,5.5107,381000,0.0,1.0
2012-05-24,18.81,18.96,18.12,18.55,5.4724,197000,0.0,1.0
2012-05-25,18.55,19.57,18.55,19.46,5.7408,259600,0.0,1.0
2012-05-29,20.03,20.32,19.66,19.94,5.8824,273900,0.0,1.0
2012-05-30,19.8489,19.87,19.2,19.3,5.6936,184200,0.0,1.0
2012-05-31,19.54,19.704,18.87,19.48,5.7467,185100,0.0,1.0
2012-06-01,18.95,19.45,18.67,18.9,5.5756,330000,0.0,1.0
2012-06-04,18.9,19.08,18.25,18.39,5.4252,365700,0.0,1.0
2012-06-05,18.49,19.18,18.32,18.92,5.5815,29400,0.0,1.0
2012-06-06,19.2,19.97,19.071,19.63,5.791,228300,0.0,1.0
