timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2004-05-26,20.0,20.01,20.0,20.0,4.8655,27100,0.0,1.0
2004-05-27,19.9988,20.01,20.0,20.0,4.8655,20900,0.0,1.0
2004-05-28,20.0,20.01,20.0,20.0,4.8655,107500,0.0,1.0
2004-06-01,20.0,20.01,20.0,20.0,4.8655,173400,0.0,1.0
2004-06-02,19.9986,20.0,20.0,20.0,4.8655,21800,0.0,1.0
2004-06-03,20.0,20.0103,19.94,20.0,4.8655,68400,0.0,1.0
2004-06-04,20.0,20.0,20.0,20.0,4.8655,14600,0.0,1.0
2004-06-07,20.0,20.0,19.7,19.95,4.8533,23600,0.0,1.0
2004-06-08,19.95,19.96,19.75,19.85,4.829,129700,0.0,1.0
2004-06-09,19.8,19.8,19.55,19.56,4.7584,47500,0.0,1.0
2004-06-10,19.57,19.7,19.52,19.52,4.7487,27400,0.0,1.0
2004-06-14,19.51,19.52,19.42,19.43,4.7268,36000,0.0,1.0
2004-06-15,19.42,19.42,19.36,19.36,4.7098,12400,0.0,1.0
2004-06-16,19.35,19.35,19.2,19.2,4.6709,21300,0.0,1.0
2004-06-17,19.15,19.2,18.85,18.86,4.5881,44600,0.0,1.0
2004-06-18,18.95,19.0,18.92,18.93,4.6052,14000,0.0,1.0
2004-06-21,19.03,19.05,18.95,18.95,4.61,16800,0.0,1.0
2004-06-22,18.96,19.01,18.77,18.78,4.5687,16600,0.0,1.0
2004-06-23,18.78,18.78,18.56,18.56,4.5152,12000,0.0,1.0
2004-06-24,18.7,18.699,18.33,18.34,4.4616,27300,0.0,1.0
2004-06-25,18.32,18.32,17.57,17.57,4.2743,45300,0.0,1.0
2004-06-28,17.65,17.7,17.37,17.37,4.2257,18100,0.0,1.0
2004-06-29,17.41,17.55,17.3,17.3,4.2086,11000,0.0,1.0
2004-06-30,17.36,17.7001,17.36,17.5,4.2573,13900,0.0,1.0
2004-07-01,17.51,17.75,17.51,17.75,4.3181,3300,0.0,1.0
2004-07-02,17.81,18.0,17.81,17.9,4.3546,4700,0.0,1.0
2004-07-06,17.95,18.09,17.86,17.9,4.3546,12300,0.0,1.0
2004-07-07,17.83,18.3,17.83,18.25,4.4397,11500,0.0,1.0
2004-07-08,18.15,18.45,18.15,18.3,4.4519,12900,0.0,1.0
2004-07-09,18.3,18.3,17.9,18.15,4.4154,13900,0.0,1.0
2004-07-12,18.08,18.2,17.9,18.0,4.3789,8800,0.0,1.0
2004-07-13,17.95,18.1,17.9,17.9,4.3546,12400,0.0,1.0
2004-07-14,18.0,18.02,17.7486,17.75,4.3181,15000,0.0,1.0
