timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-07-31,28.5,28.5,27.875,27.875,1.8927,104000,0.0,1.0
2000-08-01,28.0,28.0009,27.438,28.0,1.9011,62400,0.0,1.0
2000-08-02,29.0,29.4373,29.0,29.25,1.986,46400,0.0,1.0
2000-08-03,29.2496,29.688,29.188,29.313,1.9903,74400,0.0,1.0
2000-08-04,29.25,29.438,29.0,29.375,1.9945,61600,0.0,1.0
2000-08-07,29.25,29.25,28.5,28.563,1.9393,31200,0.0,1.0
2000-08-08,29.438,30.0,29.188,29.438,1.9987,54400,0.0,1.0
2000-08-09,29.313,30.0,29.313,29.75,2.02,114400,0.0,1.0
2000-08-10,30.25,30.25,30.063,30.25,2.0539,44800,0.0,1.0
2000-08-11,30.25,30.563,30.25,30.563,2.0751,12000,0.0,1.0
2000-08-14,30.75,31.0,30.75,30.875,2.0963,116000,0.0,1.0
2000-08-15,31.313,31.375,30.688,30.688,2.0836,25600,0.0,1.0
2000-08-16,30.625,31.438,30.625,31.375,2.1303,49600,0.0,1.0
2000-08-17,31.688,32.188,31.688,32.063,2.177,53600,0.0,1.0
2000-08-18,32.1253,32.125,31.625,31.813,2.16,46400,0.0,1.0
2000-08-21,31.938,31.938,31.688,31.75,2.1558,22400,0.0,1.0
2000-08-22,31.75,31.75,31.375,31.563,2.143,27200,0.0,1.0
2000-08-23,31.688,32.5,31.688,32.5,2.2067,218400,0.0,1.0
2000-08-24,32.375,32.375,32.125,32.125,2.1812,65600,0.0,1.0
2000-08-25,32.438,32.688,32.313,32.625,2.2152,19200,0.0,1.0
2000-08-28,32.625,33.25,32.563,33.25,2.2576,101600,0.0,1.0
2000-08-29,33.313,33.813,32.375,32.375,2.1982,65600,0.0,1.0
2000-08-30,32.188,32.313,32.188,32.188,2.1855,13600,0.0,1.0
2000-08-31,32.438,32.75,32.438,32.5,2.2067,15200,0.0,1.0
2000-09-01,32.5,32.5,32.0,32.0,2.1727,52000,0.0,1.0
2000-09-05,32.313,32.625,32.125,32.625,2.2152,32000,0.0,1.0
