timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,13.0,13.2488,12.938,13.25,3.91,39600,0.0,1.0
1999-09-14,13.25,13.438,12.813,12.813,3.7809,72900,0.0,1.0
1999-09-15,12.938,13.313,12.9375,13.25,3.91,48400,0.0,1.0
1999-09-16,13.125,13.5633,13.0,13.438,3.9653,110100,0.0,1.0
1999-09-17,13.313,13.5,13.125,13.5,3.9838,101000,0.0,1.0
1999-09-20,13.125,13.375,13.0,13.188,3.8915,118300,0.0,1.0
1999-09-21,13.125,13.5,13.125,13.188,3.8915,102000,0.0,1.0
1999-09-22,13.125,13.375,12.9995,13.25,3.91,175900,0.0,1.0
1999-09-23,13.25,13.625,13.25,13.5,3.9838,251200,0.0,1.0
1999-09-24,13.5,13.625,13.438,13.563,4.0022,103600,0.0,1.0
1999-09-27,13.5,13.875,13.438,13.625,4.0206,199600,0.0,1.0
1999-09-28,13.688,13.688,13.313,13.5,3.9838,212100,0.0,1.0
1999-09-29,13.438,14.125,13.375,14.0,4.1313,308400,0.0,1.0
1999-09-30,14.0,14.563,13.813,14.375,4.242,559400,0.0,1.0
1999-10-01,14.313,14.5,14.063,14.25,4.2051,109900,0.0,1.0
1999-10-04,14.25,14.688,14.25,14.688,4.3342,116100,0.0,1.0
1999-10-05,14.625,14.75,14.0,14.125,4.1682,163900,0.0,1.0
1999-10-06,14.25,14.438,14.25,14.375,4.242,82000,0.0,1.0
1999-10-07,14.313,14.375,14.2501,14.375,4.242,107000,0.0,1.0
1999-10-08,14.313,14.563,14.125,14.313,4.2235,179000,0.0,1.0
1999-10-11,14.313,14.563,14.25,14.25,4.2051,156000,0.0,1.0
1999-10-12,14.375,14.375,13.625,13.625,4.0206,141600,0.0,1.0
1999-10-13,13.625,13.875,13.5,13.563,4.0022,143500,0.0,1.0
1999-10-14,13.563,13.625,13.5,13.563,4.0022,200800,0.0,1.0
1999-10-15,13.563,13.563,13.375,13.5,3.9838,93300,0.0,1.0
1999-10-18,13.438,13.5,13.313,13.438,3.9653,125200,0.0,1.0
1999-10-19,13.313,13.5,13.313,13.438,3.9653,109600,0.0,1.0
