timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-05-09,5.5,5.5,5.5,5.5,5.3903,0,0.0,1.0
2007-05-10,5.5,5.5,5.5,5.5,5.3903,0,0.0,1.0
2007-05-11,5.5,5.5,5.5,5.5,5.3903,0,0.0,1.0
2007-05-14,5.48,5.48,5.46,5.46,5.3511,42500,0.0,1.0
2007-05-15,5.46,5.46,5.46,5.46,5.3511,0,0.0,1.0
2007-05-16,5.49,5.5,5.49,5.5,5.3903,5000,0.0,1.0
2007-05-17,5.5,5.5,5.5,5.5,5.3903,0,0.0,1.0
2007-05-18,5.5,5.5,5.5,5.5,5.3903,0,0.0,1.0
2007-05-21,5.5,5.5,5.5,5.5,5.3903,0,0.0,1.0
2007-05-22,5.5,5.5,5.5,5.5,5.3903,0,0.0,1.0
2007-05-23,5.5,5.5,5.5,5.5,5.3903,0,0.0,1.0
2007-05-24,5.5,5.5,5.5,5.5,5.3903,3000,0.0,1.0
2007-05-25,5.5,5.5,5.5,5.5,5.3903,0,0.0,1.0
2007-05-29,5.49,5.49,5.49,5.49,5.3805,5000,0.0,1.0
2007-05-30,5.49,5.49,5.49,5.49,5.3805,0,0.0,1.0
2007-05-31,5.49,5.49,5.49,5.49,5.3805,0,0.0,1.0
2007-06-01,5.55,5.55,5.55,5.55,5.4393,2000,0.0,1.0
2007-06-04,5.55,5.55,5.55,5.55,5.4393,0,0.0,1.0
2007-06-05,5.5,5.5,5.5,5.5,5.3903,1000,0.0,1.0
2007-06-06,5.49,5.49,5.49,5.49,5.3805,500,0.0,1.0
2007-06-07,5.49,5.49,5.49,5.49,5.3805,0,0.0,1.0
2007-06-08,5.49,5.49,5.49,5.49,5.3805,0,0.0,1.0
2007-06-11,5.49,5.49,5.49,5.49,5.3805,4500,0.0,1.0
2007-06-12,5.49,5.49,5.49,5.49,5.3805,0,0.0,1.0
2007-06-13,5.49,5.49,5.49,5.49,5.3805,0,0.0,1.0
2007-06-14,5.5,5.5,5.5,5.5,5.3903,4000,0.0,1.0
2007-06-15,5.4998,5.5,5.5,5.5,5.3903,500,0.0,1.0
2007-06-18,5.51,5.51,5.51,5.51,5.4001,3000,0.0,1.0
2007-06-19,5.51,5.51,5.51,5.51,5.4001,2000,0.0,1.0
