timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,39.563,40.938,39.563,40.375,32.0436,910000,0.0,1.0
1999-09-14,40.625,40.8728,39.25,39.25,31.1508,1120100,0.0,1.0
1999-09-15,39.25,40.125,38.75,38.938,30.9028,713900,0.0,1.0
1999-09-16,38.938,39.0,37.0,37.188,29.5139,885900,0.0,1.0
1999-09-17,37.75,38.438,37.75,38.313,30.4067,770900,0.0,1.0
1999-09-20,40.625,40.625,39.188,39.938,31.6964,955100,0.0,1.0
1999-09-21,39.813,39.8112,38.375,38.75,30.754,830400,0.0,1.0
1999-09-22,39.0,39.938,38.5,39.688,31.498,869100,0.0,1.0
1999-09-23,40.125,40.75,39.5,39.5,31.3492,1054600,0.0,1.0
1999-09-24,39.625,39.688,38.375,39.625,31.4484,1251800,0.0,1.0
1999-09-27,41.0,41.063,39.438,39.5,31.3492,875600,0.0,1.0
1999-09-28,39.5,39.5,36.875,39.313,31.2004,1186800,0.0,1.0
1999-09-29,39.25,40.438,38.813,39.688,31.498,691500,0.0,1.0
1999-09-30,39.688,39.813,38.438,39.0,30.9524,1240500,0.0,1.0
1999-10-01,38.813,39.188,38.438,38.563,30.6051,757900,0.0,1.0
1999-10-04,40.0,40.25,39.0,39.938,31.6964,935200,0.0,1.0
1999-10-05,41.0,42.5,40.125,42.125,33.4325,2044300,0.0,1.0
1999-10-06,42.125,45.313,42.063,44.813,35.5654,2512500,0.0,1.0
1999-10-07,46.625,46.625,44.563,45.25,35.9127,1506300,0.0,1.0
1999-10-08,45.0,48.0,43.8728,46.438,36.8552,2477300,0.0,1.0
1999-10-11,46.438,47.25,45.688,46.125,36.6071,712500,0.0,1.0
1999-10-12,46.125,46.125,44.813,45.0,35.7143,513400,0.0,1.0
1999-10-13,44.25,45.5,41.813,43.25,34.3254,1222700,0.0,1.0
1999-10-14,41.0,41.1218,39.0,39.25,31.1508,3869600,0.0,1.0
1999-10-15,38.0,38.563,35.875,36.0,28.5714,2955200,0.0,1.0
1999-10-18,37.5655,39.25,37.25,39.25,31.1508,2085600,0.0,1.0
1999-10-19,40.5,41.3748,39.438,39.5,31.3492,1205000,0.0,1.0
1999-10-20,39.688,40.563,39.4971,40.188,31.8948,1040100,0.0,1.0
1999-10-21,40.188,41.5,39.75,41.375,32.8373,648100,0.0,1.0
1999-10-22,43.8761,44.188,42.563,43.313,34.375,1117000,0.0,1.0
1999-10-25,43.313,43.313,41.8185,42.563,33.7797,1115500,0.0,1.0
1999-10-26,42.813,43.938,42.688,43.0,34.127,947100,0.0,1.0
1999-10-27,43.75,46.438,43.625,46.25,36.7063,1472200,0.0,1.0
1999-10-28,51.25,51.313,49.125,50.5,40.0794,4148200,0.0,1.0
1999-10-29,51.438,54.125,51.0,53.0,42.0635,3043100,0.0,1.0
1999-11-01,52.5,52.875,49.375,50.188,39.8313,1882000,0.0,1.0
1999-11-02,50.0,52.938,50.0,51.0,40.4762,1329000,0.0,1.0
1999-11-03,51.188,51.9369,50.5,50.75,40.2778,728100,0.0,1.0
1999-11-04,50.75,52.188,50.688,51.688,41.0218,1028300,0.0,1.0
1999-11-05,54.5,54.875,53.063,53.125,42.1627,2151800,0.0,1.0
1999-11-08,53.063,53.125,49.5,49.938,39.6329,2952500,0.0,1.0
