timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-02-02,15.0,15.4,14.14,15.0,45.946,693400,0.0,1.0
2007-02-05,15.02,15.06,14.85,14.86,45.5172,57600,0.0,1.0
2007-02-06,14.85,15.05,14.85,14.91,45.6703,35200,0.0,1.0
2007-02-07,15.0,15.05,14.92,15.03,46.0379,14600,0.0,1.0
2007-02-08,15.05,15.05,14.86,15.0,45.946,9800,0.0,1.0
2007-02-09,15.0,15.13,14.86,14.95,45.7929,13200,0.0,1.0
2007-02-12,14.9,14.92,14.45,14.69,44.9965,16100,0.0,1.0
2007-02-13,14.5,14.8,14.45,14.53,44.5064,14600,0.0,1.0
2007-02-14,14.6,14.99,14.5,14.89,45.6091,11700,0.0,1.0
2007-02-15,14.83,14.99,14.48,14.65,44.8739,16900,0.0,1.0
2007-02-16,14.65,14.9,14.5,14.75,45.1802,9700,0.0,1.0
2007-02-20,14.63,15.0,14.51,14.81,45.364,39700,0.0,1.0
2007-02-21,14.71,14.8,14.61,14.77,45.2415,10400,0.0,1.0
2007-02-22,14.7,14.8,14.61,14.69,44.9965,9800,0.0,1.0
2007-02-23,14.7,15.0,14.66,14.76,45.2109,11700,0.0,1.0
2007-02-26,14.83,15.0,14.78,15.0,45.946,5600,0.0,1.0
2007-02-27,14.8,14.87,14.62,14.773,45.2415,15200,0.0,1.0
2007-02-28,14.8097,14.88,14.5,14.5,44.4145,22400,0.0,1.0
2007-03-01,14.6,14.65,14.35,14.5,44.4145,11600,0.0,1.0
2007-03-02,14.57,14.7,14.41,14.57,44.6289,7600,0.0,1.0
2007-03-05,14.36,14.48,14.3491,14.45,44.2613,7800,0.0,1.0
2007-03-06,14.46,14.49,14.28,14.31,43.8325,11600,0.0,1.0
2007-03-07,14.26,14.5,14.25,14.5,44.4145,10200,0.0,1.0
2007-03-08,14.5,14.75,14.4512,14.75,45.1802,4600,0.0,1.0
2007-03-09,14.8,14.9,14.58,14.72,45.0883,6600,0.0,1.0
2007-03-12,14.62,14.75,14.57,14.73,45.119,5700,0.0,1.0
2007-03-13,14.6,14.82,14.6009,14.76,45.2109,6900,0.0,1.0
2007-03-14,14.95,15.0,14.72,14.96,45.8235,7700,0.0,1.0
2007-03-15,14.83,15.15,14.83,15.12,46.3136,10200,0.0,1.0
2007-03-16,15.18,15.2,14.75,15.15,46.4055,17000,0.0,1.0
2007-03-19,15.2,15.31,14.9,15.3,46.8649,13800,0.0,1.0
2007-03-20,15.1993,15.65,15.16,15.5,47.4775,23400,0.0,1.0
2007-03-21,15.51,15.73,15.29,15.7,48.0901,37200,0.0,1.0
2007-03-22,15.6,16.3898,15.6,16.34,50.0505,25800,0.0,1.0
2007-03-23,16.26,16.3,16.05,16.22,49.6829,10600,0.0,1.0
2007-03-26,16.23,16.28,15.87,16.03,49.101,10200,0.0,1.0
