timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-02-22,11.45,11.5,11.45,11.5,8.6243,71800,0.0,1.0
2012-02-23,11.57,11.7,11.26,11.6,8.6993,110000,0.0,1.0
2012-02-24,11.93,11.93,11.53,11.6,8.6993,40000,0.0,1.0
2012-02-27,11.6,11.6,11.52,11.6,8.6993,13800,0.0,1.0
2012-02-28,11.6,11.63,11.56,11.56,8.6693,30300,0.0,1.0
2012-02-29,11.68,11.68,11.5,11.5,8.6243,167500,0.0,1.0
2012-03-01,11.5,11.66,11.5,11.55,8.6618,14900,0.0,1.0
2012-03-02,11.55,11.56,11.4998,11.51,8.6318,40800,0.0,1.0
2012-03-05,11.55,11.55,11.53,11.53,8.6468,50100,0.0,1.0
2012-03-06,11.45,11.48,11.26,11.35,8.5119,1700,0.0,1.0
2012-03-07,11.48,11.75,11.48,11.6,8.6993,87600,0.0,1.0
2012-03-08,11.62,11.71,11.44,11.71,8.7818,32800,0.0,1.0
2012-03-09,11.7,11.7,11.7,11.7,8.7743,900,0.0,1.0
2012-03-12,11.76,11.76,11.44,11.52,8.6393,2400,0.0,1.0
2012-03-13,11.65,11.65,11.36,11.65,8.7368,1100,0.0,1.0
2012-03-14,11.6,11.6,11.49,11.52,8.6393,32400,0.0,1.0
2012-03-15,11.5,11.5,11.36,11.5,8.6243,2100,0.0,1.0
2012-03-16,11.55,11.57,11.35,11.57,8.6768,27300,0.0,1.0
2012-03-19,11.7,11.7,11.42,11.42,8.5644,27100,0.0,1.0
2012-03-20,11.3499,11.74,11.35,11.5,8.6243,47200,0.0,1.0
2012-03-21,11.62,11.6208,11.398,11.5,8.6243,1800,0.0,1.0
2012-03-22,11.42,11.5,11.3997,11.45,8.5869,40300,0.0,1.0
2012-03-23,11.5,11.51,10.87,11.5,8.6243,39800,0.0,1.0
2012-03-26,11.55,11.55,11.4,11.5,8.6243,25500,0.0,1.0
2012-03-27,11.4897,11.53,11.05,11.53,8.6468,19500,0.0,1.0
2012-03-28,11.503,11.5502,11.4,11.48,8.6093,34000,0.0,1.0
2012-03-29,11.44,11.51,11.39,11.4,8.5494,71100,0.0,1.0
2012-03-30,11.48,11.5,11.38,11.45,8.5869,19700,0.0,1.0
2012-04-02,11.59,12.2,11.59,11.97,8.9768,32100,0.0,1.0
2012-04-03,11.85,12.08,11.66,12.08,9.0593,151400,0.0,1.0
2012-04-04,11.96,12.18,11.96,12.14,9.1043,5800,0.0,1.0
2012-04-05,12.0197,12.15,11.75,12.15,9.1118,6600,0.0,1.0
2012-04-09,12.03,12.13,12.03,12.1,9.0743,2900,0.0,1.0
2012-04-10,12.1,12.25,11.88,12.25,9.1868,12100,0.0,1.0
2012-04-11,12.36,12.48,12.35,12.35,9.2618,400,0.0,1.0
2012-04-12,12.31,12.44,11.8203,12.41,9.3068,45900,0.0,1.0
