timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,23.813,23.813,23.25,23.25,196.9413,400,0.0,1.0
1999-09-14,23.75,23.75,23.75,23.75,201.1765,0,0.0,1.0
1999-09-15,23.25,23.75,23.25,23.531,199.3236,200,0.0,1.0
1999-09-16,23.344,23.531,23.0,23.0,194.8236,100,0.0,1.0
1999-09-17,23.406,23.406,23.0,23.0,194.8236,200,0.0,1.0
1999-09-20,230.0,230.0,230.0,230.0,194.8236,0,0.0,1.0
1999-09-21,23.188,23.875,23.188,23.438,198.5296,100,0.0,1.0
1999-09-22,24.0,24.0,23.25,23.375,198.0001,400,0.0,1.0
1999-09-23,23.125,23.125,22.75,22.75,192.706,200,0.0,1.0
1999-09-24,227.5,227.5,227.5,227.5,192.706,0,0.0,1.0
1999-09-27,22.688,22.688,22.5,22.5,190.5884,100,0.0,1.0
1999-09-28,22.313,22.625,22.313,22.625,191.7665,200,0.14,1.0
1999-09-29,21.75,23.0,21.75,22.875,193.8855,3400,0.0,1.0
1999-09-30,22.4997,23.0,22.5,22.875,193.8855,2400,0.0,1.0
1999-10-01,22.875,22.875,22.875,22.875,193.8855,600,0.0,1.0
1999-10-04,22.875,22.875,22.875,22.875,193.8855,100,0.0,1.0
1999-10-05,22.875,23.375,22.75,23.375,198.1234,1000,0.0,1.0
1999-10-06,23.625,24.0,23.625,24.0,203.4208,200,0.0,1.0
1999-10-07,24.0,24.125,23.688,24.125,204.4803,1400,0.0,1.0
1999-10-08,24.25,24.5,24.219,24.219,205.2749,0,0.0,1.0
1999-10-11,24.875,25.0,24.875,25.0,211.8966,0,0.0,1.0
1999-10-12,24.0,24.0,23.0,23.25,197.0639,100,0.0,1.0
1999-10-13,22.75,23.625,22.75,23.625,200.2423,0,0.0,1.0
1999-10-14,22.75,22.781,22.75,22.781,193.0908,0,0.0,1.0
1999-10-15,22.75,23.438,22.25,23.438,198.6531,100,0.0,1.0
1999-10-18,23.25,23.5,23.25,23.5,199.1828,0,0.0,1.0
1999-10-19,23.5,23.75,23.5,23.75,201.3018,200,0.0,1.0
1999-10-20,23.75,24.0,23.75,24.0,203.4208,4600,0.0,1.0
1999-10-21,23.0,23.563,23.0,23.563,199.7126,100,0.0,1.0
1999-10-22,23.563,23.563,22.625,22.625,191.7665,200,0.0,1.0
1999-10-25,23.5,23.625,22.123,23.625,200.2423,300,0.0,1.0
1999-10-26,236.25,236.25,236.25,236.25,200.2423,0,0.0,1.0
1999-10-27,24.063,24.125,23.938,23.969,203.156,100,0.0,1.0
1999-10-28,23.938,25.0,23.938,25.0,211.8966,700,0.0,1.0
1999-10-29,23.438,24.75,23.438,24.75,209.7777,800,0.0,1.0
1999-11-01,24.938,25.0,24.938,24.938,211.3669,100,0.0,1.0
1999-11-02,23.875,25.0009,23.875,23.938,202.8911,300,0.0,1.0
1999-11-03,24.252,25.0,24.25,25.0,211.8966,0,0.0,1.0
1999-11-04,25.0,25.0,25.0,25.0,211.8966,100,0.0,1.0
1999-11-05,25.0,25.938,24.5,25.25,214.0157,800,0.0,1.0
1999-11-08,252.5,252.5,252.5,252.5,214.0157,0,0.0,1.0
1999-11-09,25.75,26.0,25.75,26.0,220.3725,300,0.0,1.0
1999-11-10,260.0,260.0,260.0,260.0,220.3725,0,0.0,1.0
1999-11-11,25.844,25.844,25.844,25.844,219.0482,100,0.0,1.0
1999-11-12,26.0,26.0,26.0,26.0,220.3725,200,0.0,1.0
1999-11-15,25.688,25.688,25.688,25.688,217.7238,100,0.0,1.0
1999-11-16,26.0,26.0,25.688,25.688,217.7238,0,0.0,1.0
1999-11-17,25.688,25.688,25.688,25.688,217.7238,100,0.0,1.0
1999-11-18,25.375,25.375,25.375,25.375,215.0751,0,0.0,1.0
1999-11-19,26.0,26.0,25.938,25.938,219.8428,300,0.0,1.0
