timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,5.125,5.125,5.0,5.0,23.643,11100,0.0,1.0
1999-09-14,5.125,5.25,4.938,5.0,23.643,11200,0.0,1.0
1999-09-15,5.1246,5.125,4.875,5.0,23.643,9100,0.0,1.0
1999-09-16,5.0,5.0,4.813,4.875,23.0519,4300,0.0,1.0
1999-09-17,4.938,5.0,4.875,5.0,23.643,6400,0.0,1.0
1999-09-20,5.0,5.063,4.813,4.813,22.7564,7800,0.0,1.0
1999-09-21,4.813,4.813,4.5,4.688,22.1653,17200,0.0,1.0
1999-09-22,4.625,4.75,4.625,4.688,22.1653,7000,0.0,1.0
1999-09-23,4.813,4.8129,4.5,4.5,21.2787,11600,0.0,1.0
1999-09-24,4.5,4.563,4.5,4.5,21.2787,7200,0.0,1.0
1999-09-27,4.5632,4.75,4.563,4.688,22.1653,5900,0.0,1.0
1999-09-28,4.688,4.75,4.438,4.438,20.9832,6000,0.0,1.0
1999-09-29,4.438,4.625,4.3746,4.563,21.5743,7500,0.0,1.0
1999-09-30,4.5,4.4999,4.125,4.125,19.5055,12300,0.0,1.0
1999-10-01,4.25,4.5,4.2499,4.375,20.6876,8200,0.0,1.0
1999-10-04,4.125,4.375,4.125,4.25,20.0966,10800,0.0,1.0
1999-10-05,4.313,4.375,4.0,4.063,19.21,33100,0.0,1.0
1999-10-06,4.063,4.063,3.7499,3.813,18.0278,24000,0.0,1.0
1999-10-07,3.813,3.938,3.563,3.563,16.8457,30400,0.0,1.0
1999-10-08,3.625,3.625,3.313,3.375,15.959,28300,0.0,1.0
1999-10-11,3.438,3.875,3.438,3.875,18.3233,51100,0.0,1.0
1999-10-12,3.875,4.125,3.875,3.938,18.6189,51500,0.0,1.0
1999-10-13,4.0,4.25,4.0,4.188,19.801,16200,0.0,1.0
1999-10-14,4.125,4.125,4.0,4.063,19.21,6800,0.0,1.0
1999-10-15,3.938,4.125,3.875,4.0,18.9144,12700,0.0,1.0
1999-10-18,4.0,4.0,3.75,4.0,18.9144,10900,0.0,1.0
1999-10-19,4.063,4.188,3.9999,4.0,18.9144,8800,0.0,1.0
1999-10-20,3.938,4.0631,3.938,4.0,18.9144,7700,0.0,1.0
1999-10-21,4.0,4.063,3.813,3.813,18.0278,6900,0.0,1.0
1999-10-22,3.875,4.125,3.875,3.938,18.6189,17300,0.0,1.0
1999-10-25,4.063,4.063,3.813,3.813,18.0278,5000,0.0,1.0
1999-10-26,3.813,4.0,3.688,3.75,17.7323,8600,0.0,1.0
1999-10-27,3.625,3.813,3.5,3.625,17.1412,13600,0.0,1.0
1999-10-28,3.625,3.875,3.563,3.875,18.3233,10500,0.0,1.0
1999-10-29,3.875,3.938,3.75,3.938,18.6189,11100,0.0,1.0
1999-11-01,3.938,4.0,3.563,3.688,17.4367,13800,0.0,1.0
1999-11-02,3.688,3.75,3.5627,3.563,16.8457,6800,0.0,1.0
1999-11-03,3.625,3.813,3.625,3.688,17.4367,9300,0.0,1.0
1999-11-04,3.938,4.0,3.75,4.0,18.9144,15600,0.0,1.0
1999-11-05,3.875,4.0,3.875,4.0,18.9144,6700,0.0,1.0
1999-11-08,3.9998,4.0,3.813,3.875,18.3233,8400,0.0,1.0
1999-11-09,3.813,3.813,3.5,3.625,17.1412,15700,0.0,1.0
1999-11-10,3.625,3.875,3.625,3.813,18.0278,10800,0.0,1.0
1999-11-11,3.813,4.0,3.813,3.875,18.3233,13200,0.0,1.0
1999-11-12,4.0,4.0,3.688,3.75,17.7323,9000,0.0,1.0
1999-11-15,3.875,3.938,3.688,3.688,17.4367,13700,0.0,1.0
1999-11-16,3.688,3.8752,3.688,3.875,18.3233,18200,0.0,1.0
1999-11-17,3.813,4.063,3.813,4.0,18.9144,50500,0.0,1.0
1999-11-18,4.125,4.625,4.125,4.5,21.2787,43600,0.0,1.0
1999-11-19,4.5,4.5,4.063,4.25,20.0966,17500,0.0,1.0
1999-11-22,4.188,4.188,4.0,4.063,19.21,11300,0.0,1.0
1999-11-23,4.0634,4.188,3.938,4.0,18.9144,16700,0.0,1.0
1999-11-24,3.875,4.0,3.813,3.938,18.6189,65200,0.0,1.0
1999-11-26,3.938,4.0,3.8129,3.875,18.3233,1800,0.0,1.0
1999-11-29,3.813,3.875,3.375,3.375,15.959,34100,0.0,1.0
1999-11-30,3.5,3.75,3.5,3.5,16.5501,17500,0.0,1.0
1999-12-01,3.438,3.563,3.313,3.375,15.959,18300,0.0,1.0
1999-12-02,3.375,3.438,3.188,3.188,15.0724,23700,0.0,1.0
1999-12-03,3.125,3.5,3.125,3.125,14.7769,22300,0.0,1.0
1999-12-06,3.188,3.188,2.938,3.0,14.1858,37400,0.0,1.0
1999-12-07,3.0,3.0,2.938,2.938,13.8903,12400,0.0,1.0
1999-12-08,2.938,2.938,2.625,2.875,13.5947,58200,0.0,1.0
1999-12-09,2.75,3.188,2.75,3.063,14.4814,40900,0.0,1.0
1999-12-10,3.188,3.188,2.938,2.938,13.8903,12900,0.0,1.0
1999-12-13,2.938,3.125,2.938,3.0,14.1858,24400,0.0,1.0
1999-12-14,3.063,3.125,2.938,3.0,14.1858,21000,0.0,1.0
1999-12-15,2.938,3.188,2.938,2.938,13.8903,26400,0.0,1.0
1999-12-16,2.813,2.938,2.7502,2.875,13.5947,20500,0.0,1.0
1999-12-17,2.813,2.938,2.813,2.938,13.8903,18000,0.0,1.0
1999-12-20,2.875,3.125,2.875,3.063,14.4814,23600,0.0,1.0
1999-12-21,2.938,2.938,2.813,2.813,13.2992,12100,0.0,1.0
1999-12-22,2.75,2.875,2.75,2.75,13.0037,17200,0.0,1.0
1999-12-23,2.875,2.875,2.688,2.75,13.0037,35400,0.0,1.0
1999-12-27,2.75,3.0,2.75,2.938,13.8903,25800,0.0,1.0
1999-12-28,2.938,3.0,2.75,2.875,13.5947,22700,0.0,1.0
1999-12-29,2.813,2.938,2.75,2.875,13.5947,21600,0.0,1.0
1999-12-30,2.875,2.875,2.625,2.688,12.7081,38600,0.0,1.0
1999-12-31,2.688,2.875,2.688,2.875,13.5947,33200,0.0,1.0
2000-01-03,2.938,2.9999,2.688,2.688,12.7081,12900,0.0,1.0
2000-01-04,2.688,2.813,2.625,2.625,12.4126,14500,0.0,1.0
2000-01-05,2.625,2.938,2.625,2.875,13.5947,12200,0.0,1.0
2000-01-06,2.875,3.063,2.813,3.063,14.4814,28700,0.0,1.0
2000-01-07,3.063,3.063,2.813,2.813,13.2992,37900,0.0,1.0
2000-01-10,2.875,2.875,2.625,2.75,13.0037,20500,0.0,1.0
2000-01-11,2.6879,2.75,2.625,2.688,12.7081,20800,0.0,1.0
2000-01-12,2.563,2.625,2.438,2.563,12.1171,39600,0.0,1.0
2000-01-13,2.5,2.688,2.5,2.625,12.4126,12500,0.0,1.0
2000-01-14,2.5631,2.688,2.563,2.625,12.4126,12700,0.0,1.0
2000-01-18,2.625,3.063,2.625,3.0,14.1858,45400,0.0,1.0
2000-01-19,3.0,3.188,2.938,3.063,14.4814,46100,0.0,1.0
2000-01-20,3.188,3.313,3.0,3.0,14.1858,21200,0.0,1.0
2000-01-21,3.0,3.5,3.0,3.5,16.5501,37900,0.0,1.0
2000-01-24,3.625,3.688,3.313,3.438,16.2546,26900,0.0,1.0
2000-01-25,3.5,3.5,3.25,3.313,15.6635,6700,0.0,1.0
2000-01-26,3.375,3.5,3.25,3.313,15.6635,10400,0.0,1.0
2000-01-27,3.25,3.313,3.063,3.188,15.0724,13100,0.0,1.0
2000-01-28,3.125,3.313,3.125,3.25,15.368,11800,0.0,1.0
2000-01-31,3.25,3.3127,3.188,3.25,15.368,39200,0.0,1.0
2000-02-01,3.25,3.375,3.25,3.313,15.6635,17700,0.0,1.0
2000-02-02,3.25,3.375,3.25,3.375,15.959,5700,0.0,1.0
2000-02-03,3.313,3.5001,3.313,3.438,16.2546,10800,0.0,1.0
2000-02-04,3.5002,3.563,3.188,3.313,15.6635,30100,0.0,1.0
2000-02-07,3.188,3.313,3.125,3.25,15.368,18200,0.0,1.0
2000-02-08,3.25,3.5,3.25,3.25,15.368,21900,0.0,1.0
2000-02-09,3.313,3.3752,3.125,3.125,14.7769,12400,0.0,1.0
2000-02-10,3.188,3.188,2.8747,3.0,14.1858,31000,0.0,1.0
2000-02-11,3.063,3.125,3.063,3.063,14.4814,8500,0.0,1.0
2000-02-14,3.125,3.125,3.0,3.125,14.7769,11300,0.0,1.0
2000-02-15,3.063,3.5,3.063,3.438,16.2546,38700,0.0,1.0
2000-02-16,3.5,3.938,3.5,3.875,18.3233,90800,0.0,1.0
2000-02-17,3.875,4.188,3.875,4.125,19.5055,48700,0.0,1.0
2000-02-18,4.25,4.25,3.875,4.0,18.9144,33800,0.0,1.0
2000-02-22,3.938,3.9379,3.813,3.813,18.0278,14900,0.0,1.0
2000-02-23,3.75,3.813,3.5,3.563,16.8457,17400,0.0,1.0
2000-02-24,3.688,3.688,3.5,3.563,16.8457,11700,0.0,1.0
2000-02-25,3.5,3.563,3.375,3.5,16.5501,14500,0.0,1.0
2000-02-28,3.625,3.75,3.563,3.75,17.7323,8600,0.0,1.0
2000-02-29,3.625,4.2498,3.563,4.188,19.801,34900,0.0,1.0
2000-03-01,4.188,4.313,4.125,4.313,20.3921,27700,0.0,1.0
2000-03-02,4.25,4.25,4.0,4.125,19.5055,13000,0.0,1.0
2000-03-03,4.0,4.25,3.875,4.25,20.0966,28200,0.0,1.0
2000-03-06,4.125,4.25,4.063,4.188,19.801,22500,0.0,1.0
2000-03-07,4.25,5.188,4.25,5.0,23.643,82700,0.0,1.0
2000-03-08,5.0,5.125,4.5,4.875,23.0519,64400,0.0,1.0
2000-03-09,4.75,4.875,4.625,4.75,22.4609,20300,0.0,1.0
2000-03-10,4.563,4.875,4.5,4.813,22.7564,15300,0.0,1.0
2000-03-13,4.5,5.125,4.5,4.938,23.3475,53600,0.0,1.0
2000-03-14,5.0,5.0,4.625,4.75,22.4609,23700,0.0,1.0
2000-03-15,4.625,4.75,4.563,4.75,22.4609,8300,0.0,1.0
2000-03-16,4.625,4.688,4.5,4.625,21.8698,17600,0.0,1.0
2000-03-17,4.563,5.188,4.563,5.063,23.9386,43900,0.0,1.0
2000-03-20,5.063,5.188,4.875,5.0,23.643,42800,0.0,1.0
2000-03-21,5.0,5.313,5.0,5.063,23.9386,40000,0.0,1.0
2000-03-22,5.125,5.375,5.063,5.313,25.1207,27300,0.0,1.0
2000-03-23,5.3752,5.625,5.25,5.5,26.0073,47900,0.0,1.0
2000-03-24,5.438,5.625,5.4381,5.5,26.0073,23000,0.0,1.0
2000-03-27,5.5,5.625,5.313,5.438,25.7118,27600,0.0,1.0
2000-03-28,5.313,5.375,5.188,5.25,24.8252,29600,0.0,1.0
2000-03-29,5.188,5.375,5.188,5.25,24.8252,18100,0.0,1.0
2000-03-30,5.313,5.938,5.1882,5.5,26.0073,37500,0.0,1.0
2000-03-31,5.625,5.688,5.25,5.5,26.0073,26400,0.0,1.0
2000-04-03,5.375,5.5,5.25,5.313,25.1207,10300,0.0,1.0
2000-04-04,5.313,5.375,4.688,5.063,23.9386,25200,0.0,1.0
2000-04-05,5.0,5.063,4.625,4.688,22.1653,27200,0.0,1.0
2000-04-06,4.625,5.0,4.625,4.938,23.3475,18800,0.0,1.0
2000-04-07,4.813,5.063,4.75,4.875,23.0519,14800,0.0,1.0
2000-04-10,4.9383,5.063,4.813,4.813,22.7564,14700,0.0,1.0
2000-04-11,4.813,4.875,4.75,4.75,22.4609,9500,0.0,1.0
2000-04-12,4.8132,5.0,4.813,4.875,23.0519,14900,0.0,1.0
2000-04-13,4.813,4.938,4.688,4.938,23.3475,11200,0.0,1.0
2000-04-14,4.75,4.875,4.063,4.25,20.0966,41200,0.0,1.0
2000-04-17,4.25,4.625,4.25,4.375,20.6876,16300,0.0,1.0
2000-04-18,4.438,4.625,4.375,4.5,21.2787,16700,0.0,1.0
2000-04-19,4.375,4.875,4.25,4.688,22.1653,16000,0.0,1.0
2000-04-20,4.875,4.875,4.563,4.688,22.1653,7400,0.0,1.0
2000-04-24,4.625,4.6252,4.25,4.438,20.9832,12400,0.0,1.0
2000-04-25,4.5,4.6251,4.375,4.375,20.6876,5800,0.0,1.0
2000-04-26,4.375,4.625,4.375,4.5,21.2787,2200,0.0,1.0
2000-04-27,4.375,4.5,4.25,4.438,20.9832,17300,0.0,1.0
2000-04-28,4.438,4.75,4.4381,4.75,22.4609,8500,0.0,1.0
2000-05-01,4.875,5.25,4.688,5.188,24.5296,18100,0.0,1.0
2000-05-02,5.25,5.625,5.2498,5.375,25.4163,25500,0.0,1.0
2000-05-03,5.5,5.5,5.313,5.375,25.4163,15400,0.0,1.0
2000-05-04,5.375,5.5,5.188,5.5,26.0073,8500,0.0,1.0
2000-05-05,5.563,6.313,5.5,6.313,29.8493,56800,0.0,1.0
2000-05-08,6.375,6.438,5.875,5.938,28.0761,51700,0.0,1.0
2000-05-09,6.125,6.313,6.125,6.25,29.5538,44500,0.0,1.0
2000-05-10,6.125,6.188,5.875,6.063,28.6672,37700,0.0,1.0
2000-05-11,6.063,6.188,6.063,6.063,28.6672,37600,0.0,1.0
2000-05-12,6.188,7.0,6.188,6.625,31.327,40100,0.0,1.0
2000-05-15,7.0,7.25,6.8754,6.938,32.8047,59500,0.0,1.0
2000-05-16,7.375,7.5,6.375,6.688,31.6225,55100,0.0,1.0
2000-05-17,6.563,7.438,6.25,7.25,34.2824,71100,0.0,1.0
2000-05-18,7.375,7.5,6.875,7.125,33.6913,38400,0.0,1.0
2000-05-19,6.875,7.875,6.875,7.688,36.3512,55900,0.0,1.0
2000-05-22,7.75,7.938,7.375,7.688,36.3512,36900,0.0,1.0
2000-05-23,7.688,7.813,7.5,7.563,35.7601,54000,0.0,1.0
2000-05-24,7.563,7.563,6.75,7.5,35.4645,48500,0.0,1.0
2000-05-25,7.5,7.813,7.313,7.438,35.169,30300,0.0,1.0
2000-05-26,7.5002,7.625,7.375,7.563,35.7601,37000,0.0,1.0
2000-05-30,7.5624,7.563,7.375,7.438,35.169,28000,0.0,1.0
2000-05-31,7.438,7.625,7.1886,7.5,35.4645,59400,0.0,1.0
2000-06-01,7.563,8.125,7.438,7.875,37.2378,113500,0.0,1.0
2000-06-02,7.938,8.0,7.688,7.813,36.9422,16600,0.0,1.0
2000-06-05,7.688,7.688,7.125,7.375,34.8735,37100,0.0,1.0
2000-06-06,7.375,7.563,7.313,7.5,35.4645,87400,0.0,1.0
2000-06-07,7.375,7.438,7.25,7.375,34.8735,26200,0.0,1.0
2000-06-08,7.375,7.438,7.2501,7.438,35.169,11300,0.0,1.0
2000-06-09,7.5,7.5,7.313,7.438,35.169,8700,0.0,1.0
2000-06-12,7.375,7.875,7.375,7.813,36.9422,38700,0.0,1.0
2000-06-13,7.938,8.125,7.875,7.875,37.2378,63100,0.0,1.0
2000-06-14,7.938,8.5,7.688,8.188,38.7155,108300,0.0,1.0
2000-06-15,8.25,8.375,8.0001,8.313,39.3065,29900,0.0,1.0
2000-06-16,8.25,8.75,8.25,8.625,40.7842,33700,0.0,1.0
2000-06-19,8.875,8.875,7.75,7.938,37.5333,41300,0.0,1.0
2000-06-20,7.938,8.25,7.625,8.125,38.4199,21900,0.0,1.0
2000-06-21,8.063,8.25,8.0,8.125,38.4199,25200,0.0,1.0
2000-06-22,8.188,8.188,7.75,7.875,37.2378,11100,0.0,1.0
2000-06-23,7.875,8.063,7.875,8.0,37.8288,19200,0.0,1.0
2000-06-26,7.938,8.75,7.938,8.75,41.3753,32600,0.0,1.0
2000-06-27,8.75,8.938,8.25,8.813,41.6708,29500,0.0,1.0
2000-06-28,8.75,8.813,8.125,8.625,40.7842,37800,0.0,1.0
2000-06-29,8.75,9.125,8.563,9.0,42.5574,43500,0.0,1.0
2000-06-30,9.0,9.125,8.0,8.0,37.8288,60300,0.0,1.0
2000-07-03,8.25,8.5,8.25,8.375,39.6021,18400,0.0,1.0
2000-07-05,8.5,8.5,7.875,8.25,39.011,41400,0.0,1.0
2000-07-06,8.25,8.25,7.8752,8.063,38.1244,22800,0.0,1.0
2000-07-07,7.938,8.313,7.75,8.313,39.3065,23300,0.0,1.0
2000-07-10,8.375,8.625,8.063,8.063,38.1244,21500,0.0,1.0
2000-07-11,8.125,8.75,8.125,8.625,40.7842,29000,0.0,1.0
2000-07-12,8.688,8.813,8.375,8.5,40.1931,23600,0.0,1.0
2000-07-13,8.375,8.563,8.25,8.25,39.011,18100,0.0,1.0
2000-07-14,8.188,8.375,8.1255,8.188,38.7155,7000,0.0,1.0
2000-07-17,8.188,8.25,7.875,8.125,38.4199,16500,0.0,1.0
2000-07-18,8.25,8.75,8.063,8.688,41.0798,21400,0.0,1.0
2000-07-19,8.813,8.813,7.8755,8.0,37.8288,30000,0.0,1.0
2000-07-20,7.875,7.875,7.125,7.688,36.3512,39900,0.0,1.0
2000-07-21,7.75,7.75,7.0,7.438,35.169,28200,0.0,1.0
2000-07-24,7.375,7.375,6.125,6.25,29.5538,61300,0.0,1.0
2000-07-25,6.5,6.813,6.438,6.625,31.327,51500,0.0,1.0
2000-07-26,6.75,7.125,6.5,7.125,33.6913,16200,0.0,1.0
2000-07-27,7.25,7.5,6.75,7.063,33.3958,19100,0.0,1.0
2000-07-28,7.188,7.3749,7.125,7.188,33.9869,10500,0.0,1.0
2000-07-31,7.188,7.188,6.875,6.938,32.8047,19000,0.0,1.0
2000-08-01,6.875,7.313,6.813,7.313,34.5779,21800,0.0,1.0
2000-08-02,7.313,7.563,7.25,7.5,35.4645,14100,0.0,1.0
2000-08-03,7.625,7.938,7.625,7.875,37.2378,32300,0.0,1.0
2000-08-04,7.938,8.25,7.875,8.125,38.4199,22400,0.0,1.0
2000-08-07,8.375,8.625,7.875,8.625,40.7842,30000,0.0,1.0
2000-08-08,8.75,8.875,8.0,8.25,39.011,31100,0.0,1.0
2000-08-09,8.375,8.75,8.25,8.438,39.8976,28100,0.0,1.0
2000-08-10,8.313,8.938,8.25,8.938,42.2619,22200,0.0,1.0
2000-08-11,8.75,8.938,8.688,8.813,41.6708,16900,0.0,1.0
2000-08-14,8.75,8.8743,8.5,8.563,40.4887,17100,0.0,1.0
2000-08-15,8.5,8.5624,8.063,8.188,38.7155,32400,0.0,1.0
2000-08-16,8.125,8.5,8.0001,8.5,40.1931,19300,0.0,1.0
2000-08-17,8.5,9.125,8.375,9.0,42.5574,55300,0.0,1.0
2000-08-18,9.0,9.063,8.688,9.0,42.5574,12300,0.0,1.0
2000-08-21,9.25,9.5,9.125,9.5,44.9217,48500,0.0,1.0
2000-08-22,9.688,10.063,9.563,9.625,45.5128,81500,0.0,1.0
2000-08-23,9.875,10.125,9.688,9.688,45.8084,36600,0.0,1.0
2000-08-24,9.8137,9.938,9.688,9.938,46.9905,34600,0.0,1.0
2000-08-25,9.938,9.938,9.688,9.938,46.9905,24700,0.0,1.0
2000-08-28,9.938,10.5,9.938,10.375,49.0593,48300,0.0,1.0
2000-08-29,10.625,10.875,10.25,10.25,48.4682,38400,0.0,1.0
2000-08-30,10.25,10.313,9.813,10.063,47.5816,14800,0.0,1.0
2000-08-31,9.9988,10.0,9.75,9.938,46.9905,34600,0.0,1.0
