timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-08-23,25.56,25.94,25.52,25.53,21.4019,1586000,0.0,1.0
2016-08-24,25.57,25.62,25.53,25.6,21.4606,949200,0.0,1.0
2016-08-25,25.6,25.66,25.57,25.59,21.4522,877000,0.0,1.0
2016-08-26,25.6,25.74,25.6,25.67,21.5193,820700,0.0,1.0
2016-08-29,25.7,25.83,25.7,25.78,21.6115,898900,0.0,1.0
2016-08-30,25.8,25.98,25.79,25.89,21.7037,830200,0.0,1.0
2016-08-31,25.96,26.08,25.88,26.0,21.7959,1441200,0.0,1.0
2016-09-01,26.0,26.09,25.92,25.97,21.7708,473400,0.0,1.0
2016-09-02,26.02,26.05,25.96,25.99,21.7876,484200,0.0,1.0
2016-09-06,26.02,26.05,25.98,26.04,21.8295,346100,0.0,1.0
2016-09-07,26.04,26.0479,25.86,25.95,21.754,507200,0.0,1.0
2016-09-08,25.97,25.9678,25.84,25.87,21.687,271700,0.0,1.0
2016-09-09,25.7999,25.83,25.6,25.68,21.5277,439400,0.0,1.0
2016-09-12,25.68,25.74,25.4,25.67,21.5193,507600,0.0,1.0
2016-09-13,25.74,25.74,25.43,25.56,21.4271,520100,0.0,1.0
2016-09-14,25.5921,25.62,25.47,25.57,21.4355,308400,0.0,1.0
2016-09-15,25.6,25.72,25.56,25.7,21.5445,306900,0.0,1.0
2016-09-16,25.7013,25.8,25.636,25.68,21.5277,237100,0.0,1.0
2016-09-19,25.74,25.9,25.72,25.89,21.7037,223000,0.0,1.0
2016-09-20,25.9402,26.0,25.88,25.9,21.7121,292500,0.0,1.0
2016-09-21,25.9,25.98,25.82,25.95,21.754,380800,0.0,1.0
2016-09-22,25.95,26.03,25.95,25.96,21.7624,535900,0.0,1.0
2016-09-23,25.99,26.19,25.96,26.18,21.9468,280500,0.0,1.0
2016-09-26,26.16,26.16,26.03,26.05,21.8379,201000,0.0,1.0
2016-09-27,26.06,26.16,26.05,26.05,21.8379,200000,0.0,1.0
2016-09-28,26.1,26.15,26.05,26.05,21.8379,182800,0.0,1.0
2016-09-29,26.1005,26.1,25.77,25.8,21.6283,711400,0.0,1.0
2016-09-30,25.99,25.99,25.82,25.85,21.6702,143100,0.0,1.0
2016-10-03,25.9495,25.99,25.8,25.81,21.6367,177000,0.0,1.0
2016-10-04,25.86,26.0,25.85,25.98,21.7792,465300,0.0,1.0
2016-10-05,25.98,26.03,25.87,25.94,21.7456,196300,0.0,1.0
2016-10-06,25.94,25.969,25.789,25.87,21.687,290500,0.0,1.0
2016-10-07,25.91,25.92,25.76,25.76,21.5948,125900,0.0,1.0
2016-10-10,26.01,26.01,25.61,25.65,21.5025,204100,0.0,1.0
2016-10-11,25.71,25.71,25.4,25.5,21.3768,258300,0.0,1.0
2016-10-12,25.5,25.55,25.35,25.44,21.3265,228000,0.0,1.0
2016-10-13,25.46,25.6,25.44,25.57,21.4355,179500,0.0,1.0
