timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,52.5,53.5583,51.375,51.75,42.4238,109900,0.0,1.0
1999-09-14,52.0,57.8754,51.75,57.5,47.1376,562700,0.0,1.0
1999-09-15,58.0,59.063,54.125,54.75,44.8832,509200,0.0,1.0
1999-09-16,54.688,59.563,54.0565,58.625,48.0599,365400,0.0,1.0
1999-09-17,58.688,60.0,57.25,58.688,48.1111,308300,0.0,1.0
1999-09-20,59.5,59.75,56.5,56.938,46.6765,285100,0.0,1.0
1999-09-21,55.25,56.875,54.5,56.125,46.0104,225300,0.0,1.0
1999-09-22,56.625,56.75,55.375,56.25,46.1129,132100,0.0,1.0
1999-09-23,56.75,58.438,56.563,56.625,46.4203,244700,0.0,1.0
1999-09-24,56.0,56.0005,50.125,53.0,43.4486,476500,0.0,1.0
1999-09-27,53.75,57.5,53.75,55.938,45.8567,265000,0.0,1.0
1999-09-28,55.625,55.625,53.125,54.063,44.3434,174500,0.03,1.0
1999-09-29,53.813,56.938,53.813,56.0,45.9326,152900,0.0,1.0
1999-09-30,56.188,57.5,54.5,57.5,47.1629,351300,0.0,1.0
1999-10-01,57.5,57.688,53.5,53.5,43.882,594800,0.0,1.0
1999-10-04,55.5,57.063,55.0,57.063,46.8041,334400,0.0,1.0
1999-10-05,57.0,59.2533,56.75,58.0,47.573,233000,0.0,1.0
1999-10-06,58.375,59.625,57.7492,59.0,48.3932,164900,0.0,1.0
1999-10-07,59.75,60.5,58.0,58.5,47.9831,283400,0.0,1.0
1999-10-08,58.5,58.5,55.063,56.0,45.9326,199100,0.0,1.0
1999-10-11,56.75,58.375,56.75,57.375,47.0604,144000,0.0,1.0
1999-10-12,57.5,59.625,57.5,58.625,48.0857,199600,0.0,1.0
1999-10-13,58.375,59.25,57.75,58.0,47.573,134000,0.0,1.0
1999-10-14,58.25,58.375,56.0,56.25,46.1376,83600,0.0,1.0
1999-10-15,55.0041,57.625,54.313,56.25,46.1376,191300,0.0,1.0
1999-10-18,55.75,56.25,52.75,53.75,44.0871,249400,0.0,1.0
1999-10-19,54.25,55.75,49.625,49.938,40.96,220900,0.0,1.0
1999-10-20,48.0,48.688,38.75,46.0,37.7303,1180800,0.0,1.0
1999-10-21,44.5,49.375,43.063,48.938,40.1397,565500,0.0,1.0
1999-10-22,49.188,50.125,47.0,49.625,40.7036,153100,0.0,1.0
1999-10-25,47.997,49.0,47.75,48.063,39.422,202100,0.0,1.0
1999-10-26,48.0,48.0,46.25,47.25,38.7556,193100,0.0,1.0
1999-10-27,49.5,50.5,48.25,49.313,40.4473,313600,0.0,1.0
1999-10-28,50.125,52.875,50.1279,52.375,42.9593,196200,0.0,1.0
1999-10-29,56.375,57.0,56.0,56.625,46.4452,337300,0.0,1.0
1999-11-01,56.0,59.5,55.625,58.125,47.6755,362800,0.0,1.0
1999-11-02,58.375,58.375,57.0,57.063,46.8041,309500,0.0,1.0
1999-11-03,58.0,59.75,57.75,58.625,48.0857,233200,0.0,1.0
1999-11-04,58.688,60.5,58.688,60.0,49.2134,255900,0.0,1.0
1999-11-05,61.0,61.5,59.563,60.125,49.316,197200,0.0,1.0
1999-11-08,59.5,62.563,59.375,62.25,51.059,313600,0.0,1.0
1999-11-09,63.7442,65.625,62.75,65.0,53.3146,386800,0.0,1.0
1999-11-10,65.0,68.0,64.4986,66.313,54.3911,321800,0.0,1.0
1999-11-11,66.563,69.563,66.563,68.813,56.4417,308400,0.0,1.0
1999-11-12,69.0,69.063,66.938,67.938,55.724,226800,0.0,1.0
1999-11-15,69.0,70.0,68.75,69.25,56.8005,248900,0.0,1.0
1999-11-16,69.313,69.75,68.0,68.0,55.7753,200500,0.0,1.0
1999-11-17,68.25,70.75,68.25,69.5,57.0056,365300,0.0,1.0
1999-11-18,69.5,75.0,69.5,75.0,61.5168,184800,0.0,1.0
1999-11-19,74.0,75.0,71.6288,73.75,60.4916,254900,0.0,1.0
1999-11-22,74.625,75.438,74.063,74.625,61.2092,254500,0.0,1.0
1999-11-23,74.875,75.188,74.188,74.375,61.0042,205700,0.0,1.0
1999-11-24,74.0,74.125,70.75,71.625,58.7486,173900,0.0,1.0
1999-11-26,72.125,75.0,72.125,74.375,61.0042,129100,0.0,1.0
1999-11-29,74.5,81.0,74.375,79.25,65.0028,321100,0.0,1.0
1999-11-30,79.3134,81.75,78.5,80.188,65.7718,239500,0.0,1.0
1999-12-01,80.0,81.5,79.625,80.0,65.618,295300,0.0,1.0
1999-12-02,80.625,82.0,80.5701,81.75,67.0533,169700,0.0,1.0
1999-12-03,82.5,84.875,82.0,82.625,67.771,184900,0.0,1.0
1999-12-06,83.245,86.25,82.5,83.938,68.8476,216900,0.0,1.0
1999-12-07,84.188,85.5,83.5,85.5,70.1292,135200,0.0,1.0
1999-12-08,84.75,84.875,77.4996,80.5,66.0281,329200,0.0,1.0
1999-12-09,80.75,80.875,72.25,79.0,64.7977,605400,0.0,1.0
1999-12-10,78.875,78.875,74.563,76.625,62.8497,258700,0.0,1.0
1999-12-13,76.0,77.625,72.2455,72.75,59.6713,338400,0.0,1.0
1999-12-14,67.0,72.5,66.75,71.0,58.2359,587500,0.0,1.0
1999-12-15,70.5,74.75,68.375,73.5,60.2865,717800,0.0,1.0
1999-12-16,74.25,76.625,73.75,74.375,61.0042,280600,0.0,1.0
1999-12-17,74.5,75.25,69.8133,70.125,57.5182,244900,0.0,1.0
1999-12-20,70.125,70.875,65.25,65.375,53.6222,536100,0.0,1.0
1999-12-21,65.25,68.0044,59.563,67.25,52.4944,1400500,0.0,1.0
1999-12-22,68.25,69.875,66.625,69.75,57.2107,358500,0.0,1.0
1999-12-23,70.0,73.0,70.0,71.25,58.441,316000,0.0,1.0
1999-12-27,72.25,72.5,69.5,72.0,59.0562,292200,0.0,1.0
