timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,35.687,35.688,35.625,35.688,20.5934,300,0.0,1.0
1999-09-14,35.75,35.875,35.5,35.5,20.4852,1400,0.0,1.0
1999-09-15,35.375,35.625,34.875,34.875,20.1245,5600,0.0,1.0
1999-09-16,34.875,35.0,34.563,34.625,19.9802,4000,0.0,1.0
1999-09-17,34.563,34.688,34.25,34.563,19.9442,15900,0.0,1.0
1999-09-20,34.688,34.813,34.563,34.75,20.0524,1700,0.0,1.0
1999-09-21,34.688,34.813,34.375,34.688,20.0163,55900,0.0,1.0
1999-09-22,34.625,34.938,34.625,34.813,20.0884,2400,0.0,1.0
1999-09-23,34.938,35.0,34.875,34.875,20.1245,1600,0.0,1.0
1999-09-24,34.813,34.813,34.313,34.438,19.8721,117500,0.0,1.0
1999-09-27,34.563,34.563,34.375,34.563,19.9442,12600,0.0,1.0
1999-09-28,34.438,34.625,33.813,34.0,19.6196,9200,0.0,1.0
1999-09-29,33.875,33.875,33.563,33.625,19.4032,22900,0.0,1.0
1999-09-30,33.563,34.0,33.5,33.938,19.5835,11300,0.0,1.0
1999-10-01,33.875,33.875,33.375,33.813,19.5114,10900,0.0,1.0
1999-10-04,33.938,33.938,33.813,33.875,19.5475,11600,0.0,1.0
1999-10-05,33.875,33.875,33.5,33.75,19.4753,5200,0.0,1.0
1999-10-06,33.625,33.75,33.438,33.563,19.3671,5200,0.0,1.0
1999-10-07,33.375,33.375,33.063,33.25,19.1868,6800,0.0,1.0
1999-10-08,33.125,33.563,33.0613,33.5,19.3311,7000,0.0,1.0
1999-10-11,33.375,33.688,33.375,33.563,19.3671,3700,0.0,1.0
1999-10-12,33.438,33.438,33.0,33.375,19.2589,4200,0.0,1.0
1999-10-13,33.5005,33.5,33.0,33.125,19.1147,3900,0.0,1.0
1999-10-14,33.0,33.188,32.75,32.938,19.0065,4200,0.0,1.0
1999-10-15,32.938,32.938,32.0,32.313,18.6458,10700,0.0,1.0
1999-10-18,32.313,32.375,32.25,32.25,18.6098,1700,0.0,1.0
1999-10-19,32.375,32.375,31.75,31.75,18.3212,7400,0.0,1.0
1999-10-20,31.563,32.063,31.25,32.063,18.5016,8200,0.0,1.0
1999-10-21,31.875,32.0,31.5,31.563,18.213,4500,0.0,1.0
1999-10-22,31.375,32.375,31.25,32.375,18.6819,5600,0.0,1.0
1999-10-25,32.438,32.625,32.125,32.563,18.7901,5600,0.0,1.0
1999-10-26,32.438,32.438,32.0,32.125,18.5376,3600,0.0,1.0
1999-10-27,32.314,32.5,32.0,32.25,18.6098,5900,0.0,1.0
1999-10-28,32.375,32.5,31.0,31.0,17.8885,12300,0.0,1.0
1999-10-29,31.125,31.875,30.6287,31.688,18.2852,10800,0.0,1.0
1999-11-01,31.625,31.9401,31.25,31.938,18.4294,25900,0.0,1.0
1999-11-02,32.125,33.5,32.125,33.375,19.2589,12200,0.0,1.0
1999-11-03,33.5,34.0,33.5,33.875,19.5475,14500,0.0,1.0
1999-11-04,33.875,34.063,33.75,34.0,19.6196,14100,0.0,1.0
1999-11-05,34.125,34.375,34.0,34.0,19.6196,11600,0.0,1.0
1999-11-08,33.875,34.125,33.625,34.125,19.6917,101300,0.0,1.0
1999-11-09,34.125,34.125,33.75,33.75,19.4753,23700,0.0,1.0
1999-11-10,34.0,33.999,33.5,33.625,19.4032,31100,0.0,1.0
1999-11-11,33.5,34.0,33.5004,33.625,19.4032,4300,0.0,1.0
1999-11-12,33.625,33.75,33.625,33.75,19.4753,2500,0.0,1.0
1999-11-15,33.625,33.875,33.625,33.75,19.4753,5500,0.0,1.0
1999-11-16,33.625,34.125,33.438,33.5,19.3311,7600,0.0,1.0
