timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2015-05-15,24.94,25.496,24.47,24.5,18.8117,526100,0.0,1.0
2015-05-18,24.41,24.99,23.2,23.75,18.2358,777500,0.0,1.0
2015-05-19,23.67,24.0189,23.45,23.57,18.0976,1173000,0.0,1.0
2015-05-20,23.52,23.95,23.2,23.5,18.0439,354600,0.0,1.0
2015-05-21,23.42,23.69,23.07,23.53,18.0669,539600,0.0,1.0
2015-05-22,23.42,23.72,23.08,23.56,18.0899,736400,0.0,1.0
2015-05-26,23.66,25.16,23.64,24.9,19.1188,1401100,0.0,1.0
2015-05-27,24.57,26.15,24.444,26.01,19.9711,1482900,0.0,1.0
2015-05-28,26.92,27.87,26.26,26.73,20.683,1510600,0.2,1.0
2015-05-29,26.93,27.32,26.73,27.07,20.946,1081400,0.0,1.0
2015-06-01,27.19,27.78,27.06,27.11,20.977,1047300,0.0,1.0
2015-06-02,27.22,28.11,26.385,27.07,20.946,714900,0.0,1.0
2015-06-03,27.29,27.37,26.56,27.01,20.8996,706000,0.0,1.0
2015-06-04,27.01,27.06,25.92,26.24,20.3038,605200,0.0,1.0
2015-06-05,26.1981,26.73,26.0,26.59,20.5746,349100,0.0,1.0
2015-06-08,26.69,26.82,26.43,26.6,20.5824,331300,0.0,1.0
2015-06-09,26.68,26.79,25.7,26.24,20.3038,581600,0.0,1.0
2015-06-10,26.26,26.94,26.07,26.22,20.2883,482700,0.0,1.0
2015-06-11,26.03,26.46,25.53,26.01,20.1258,428900,0.0,1.0
2015-06-12,25.88,26.0,25.34,25.46,19.7003,458600,0.0,1.0
2015-06-15,25.6,25.728,24.93,24.94,19.2979,319000,0.0,1.0
2015-06-16,25.05,25.2465,24.82,24.87,19.2437,474800,0.0,1.0
2015-06-17,24.84,25.11,24.49,24.77,19.1664,623400,0.0,1.0
2015-06-18,25.05,25.36,24.28,24.42,18.8955,957600,0.0,1.0
2015-06-19,24.46,25.06,24.36,24.47,18.9342,930600,0.0,1.0
2015-06-22,25.0,25.14,24.54,24.58,19.0193,495200,0.0,1.0
2015-06-23,23.67,23.8,22.5,22.64,17.5182,3584900,0.0,1.0
2015-06-24,22.3,23.69,22.25,23.54,18.2146,11887200,0.0,1.0
2015-06-25,23.52,23.71,23.2413,23.5,18.1837,2466000,0.0,1.0
2015-06-26,23.44,23.51,22.78,22.98,17.7813,2322100,0.0,1.0
2015-06-29,22.78,23.0293,22.16,22.19,17.17,1629000,0.0,1.0
2015-06-30,22.35,22.59,21.79,21.89,16.9379,1697200,0.0,1.0
2015-07-01,21.83,22.36,21.44,21.57,16.6903,3047400,0.0,1.0
2015-07-02,21.67,22.285,21.5999,21.88,16.9302,1798400,0.0,1.0
2015-07-06,21.67,22.14,21.65,22.1,17.1004,1021600,0.0,1.0
2015-07-07,22.19,22.63,21.76,22.36,17.3016,1478200,0.0,1.0
2015-07-08,22.58,22.58,21.84,22.12,17.1159,718400,0.0,1.0
2015-07-09,22.33,22.39,21.73,21.78,16.8528,1064400,0.0,1.0
2015-07-10,21.88,22.24,21.66,22.16,17.1468,989800,0.0,1.0
2015-07-13,22.23,22.41,21.9446,22.26,17.2242,739100,0.0,1.0
2015-07-14,22.23,22.28,21.86,22.1,17.1004,665500,0.0,1.0
2015-07-15,22.07,22.082,21.28,21.31,16.4891,755500,0.0,1.0
2015-07-16,21.31,21.91,21.31,21.35,16.5201,791900,0.0,1.0
2015-07-17,21.33,21.48,20.32,20.35,15.7463,1219500,0.0,1.0
2015-07-20,20.33,20.515,19.27,19.36,14.9803,1365600,0.0,1.0
2015-07-21,19.425,20.05,19.26,19.35,14.9725,2674300,0.0,1.0
2015-07-22,19.25,19.6,18.88,19.46,15.0576,1169400,0.0,1.0
2015-07-23,19.35,19.91,19.21,19.47,15.0654,915300,0.0,1.0
2015-07-24,19.4,19.53,18.58,18.98,14.6862,1561700,0.0,1.0
2015-07-27,18.89,19.96,18.81,19.71,15.2511,1761700,0.0,1.0
2015-07-28,19.75,19.82,19.31,19.35,14.9725,1466000,0.0,1.0
2015-07-29,19.35,19.459,18.87,19.07,14.7559,1851100,0.0,1.0
2015-07-30,18.97,19.24,18.8,19.06,14.7481,1686900,0.0,1.0
2015-07-31,19.19,19.95,19.08,19.29,14.9261,4930900,0.0,1.0
2015-08-03,19.29,19.51,18.59,18.83,14.5702,1570300,0.0,1.0
2015-08-04,18.441,18.5,15.94,16.0,12.3804,4431600,0.0,1.0
2015-08-05,16.14,17.32,15.89,17.0,13.1541,3954000,0.0,1.0
2015-08-06,16.8,16.8207,15.6,15.65,12.1096,1675500,0.0,1.0
2015-08-07,15.6,16.29,15.6,15.94,12.3339,1716200,0.0,1.0
2015-08-10,16.0,16.36,15.76,16.07,12.4345,1362100,0.0,1.0
2015-08-11,16.03,16.17,15.69,15.85,12.2643,1243400,0.0,1.0
2015-08-12,15.68,16.515,15.53,16.33,12.6357,1731800,0.0,1.0
2015-08-13,16.34,16.86,16.17,16.61,12.8524,707200,0.0,1.0
2015-08-14,16.55,16.89,16.31,16.89,13.069,819500,0.0,1.0
2015-08-17,16.83,17.2951,16.61,17.29,13.3785,792900,0.0,1.0
2015-08-18,17.29,17.32,16.95,17.02,13.1696,620700,0.0,1.0
2015-08-19,16.93,17.37,16.77,17.31,13.394,1216100,0.0,1.0
2015-08-20,17.11,17.565,17.02,17.2,13.3089,2358100,0.0,1.0
2015-08-21,17.0194,17.07,16.43,16.57,12.8214,894000,0.0,1.0
2015-08-24,15.86,16.8581,15.23,16.21,12.5429,1364900,0.0,1.0
2015-08-25,16.65,16.65,16.01,16.03,12.4036,770500,0.0,1.0
2015-08-26,16.29,16.357,15.24,15.92,12.3185,2082500,0.0,1.0
2015-08-27,16.0,16.49,15.7694,16.41,12.6976,1006000,0.0,1.0
2015-08-28,16.18,16.79,15.5,16.29,12.7682,1143500,0.21,1.0
2015-08-31,16.23,16.29,15.85,16.06,12.5879,650600,0.0,1.0
2015-09-01,15.85,16.04,15.3,15.58,12.2117,1139200,0.0,1.0
2015-09-02,15.72,15.9,15.42,15.75,12.3449,517800,0.0,1.0
2015-09-03,15.69,16.21,15.69,16.04,12.5722,699500,0.0,1.0
2015-09-04,15.9,16.0992,15.53,15.56,12.196,567100,0.0,1.0
2015-09-08,15.7,16.19,15.49,15.66,12.2744,802900,0.0,1.0
2015-09-09,15.76,15.77,15.21,15.26,11.9608,437200,0.0,1.0
2015-09-10,15.2,15.3898,14.78,14.92,11.6944,1158300,0.0,1.0
2015-09-11,14.8596,14.94,14.32,14.58,11.4279,1112100,0.0,1.0
2015-09-14,14.72,14.72,14.18,14.36,11.2554,472600,0.0,1.0
2015-09-15,14.43,14.88,14.4,14.84,11.6316,611600,0.0,1.0
2015-09-16,14.84,15.5,14.76,15.35,12.0314,1078200,0.0,1.0
2015-09-17,15.41,15.94,15.35,15.43,12.0941,930700,0.0,1.0
2015-09-18,15.28,15.89,15.22,15.63,12.2509,1089400,0.0,1.0
2015-09-21,15.8401,15.9,14.98,15.17,11.8903,698400,0.0,1.0
2015-09-22,14.99,14.99,14.43,14.52,11.3808,1343900,0.0,1.0
2015-09-23,14.61,14.78,13.8,14.0,10.9733,973800,0.0,1.0
2015-09-24,13.73,14.05,13.44,13.53,10.6049,1762900,0.0,1.0
2015-09-25,13.62,13.63,12.71,12.8,10.0327,1489200,0.0,1.0
2015-09-28,12.76,13.01,12.03,12.04,9.437,2655800,0.0,1.0
2015-09-29,12.09,12.17,11.23,11.44,8.9667,2621900,0.0,1.0
2015-09-30,11.53,11.97,10.79,11.61,9.1,2814700,0.0,1.0
2015-10-01,11.49,11.9898,11.31,11.56,9.0608,1842700,0.0,1.0
2015-10-02,11.36,12.97,11.295,12.93,10.1346,1969200,0.0,1.0
2015-10-05,12.97,14.46,12.89,14.4,11.2868,2249600,0.0,1.0
2015-10-06,14.33,14.5085,14.01,14.37,11.2633,1233000,0.0,1.0
2015-10-07,14.5105,14.71,14.25,14.71,11.5298,1134900,0.0,1.0
2015-10-08,14.67,15.082,14.51,14.92,11.6944,1077300,0.0,1.0
2015-10-09,14.91,15.14,14.45,14.94,11.71,1233800,0.0,1.0
2015-10-12,14.88,15.02,13.83,14.04,11.0046,1128500,0.0,1.0
2015-10-13,13.94,14.38,13.79,14.05,11.0124,872800,0.0,1.0
2015-10-14,14.07,14.41,13.97,14.35,11.2476,603100,0.0,1.0
2015-10-15,14.43,15.06,14.09,15.05,11.7962,761900,0.0,1.0
2015-10-16,15.13,15.13,14.2,14.54,11.3965,540200,0.0,1.0
2015-10-19,14.39,14.9,14.33,14.6,11.4435,475300,0.0,1.0
2015-10-20,14.54,14.9,14.35,14.71,11.5298,559100,0.0,1.0
2015-10-21,14.38,14.63,14.019,14.21,11.1379,1150800,0.0,1.0
2015-10-22,14.23,14.99,14.185,14.53,11.3887,1049800,0.0,1.0
2015-10-23,14.74,14.74,13.77,14.02,10.9889,1034200,0.0,1.0
2015-10-26,14.04,14.27,13.47,13.52,10.597,1016100,0.0,1.0
2015-10-27,13.5,13.7,13.02,13.06,10.2365,894800,0.0,1.0
2015-10-28,13.04,13.78,12.93,13.57,10.6362,1451300,0.0,1.0
2015-10-29,13.65,14.4,13.51,14.17,11.1065,1373700,0.0,1.0
2015-10-30,14.1393,14.475,14.01,14.44,11.3181,1034700,0.0,1.0
2015-11-02,14.42,14.99,14.12,14.98,11.7414,806700,0.0,1.0
2015-11-03,14.88,15.325,14.8305,15.06,11.8041,810200,0.0,1.0
2015-11-04,15.27,16.03,15.0,15.99,12.533,1130800,0.0,1.0
2015-11-05,15.89,16.7,15.71,15.97,12.5173,1170600,0.0,1.0
2015-11-06,15.86,16.71,15.64,16.46,12.9014,1251500,0.0,1.0
2015-11-09,16.4,16.79,16.19,16.59,13.0033,1090900,0.0,1.0
2015-11-10,16.59,16.63,16.3,16.56,12.9798,1353900,0.0,1.0
2015-11-11,16.61,16.61,15.64,15.85,12.4233,1240300,0.0,1.0
2015-11-12,15.7913,16.02,14.715,14.85,11.6395,1424200,0.0,1.0
2015-11-13,14.76,15.13,14.48,14.68,11.5062,778600,0.0,1.0
2015-11-16,14.61,15.47,14.524,15.46,12.1176,503600,0.0,1.0
2015-11-17,15.46,15.5907,14.35,14.75,11.5611,819500,0.0,1.0
2015-11-18,14.8,15.01,14.27,14.96,11.7257,552600,0.0,1.0
2015-11-19,14.93,15.09,14.68,14.81,11.6081,1100100,0.0,1.0
2015-11-20,14.94,15.0,14.17,14.32,11.2241,908200,0.0,1.0
2015-11-23,14.29,14.77,14.04,14.5,11.3652,429300,0.0,1.0
2015-11-24,14.4,15.4612,14.34,15.29,11.9844,645200,0.0,1.0
2015-11-25,15.21,15.27,14.59,14.85,11.6395,565000,0.0,1.0
2015-11-27,14.49,14.62,13.565,13.86,11.0231,448300,0.215,1.0
2015-11-30,13.84,14.45,13.76,14.14,11.2458,558900,0.0,1.0
2015-12-01,14.57,14.57,13.87,14.03,11.1583,902000,0.0,1.0
2015-12-02,13.91,14.09,12.93,13.09,10.4107,968800,0.0,1.0
2015-12-03,13.09,13.8,13.01,13.08,10.4028,969400,0.0,1.0
2015-12-04,13.05,13.28,12.51,12.55,9.9812,1123200,0.0,1.0
2015-12-07,12.49,12.49,11.5894,11.95,9.5041,1751900,0.0,1.0
2015-12-08,11.82,12.32,11.51,12.3,9.7824,793700,0.0,1.0
2015-12-09,12.25,13.37,12.2486,13.15,10.4584,753400,0.0,1.0
2015-12-10,13.2,13.54,12.7995,13.0,10.3391,664800,0.0,1.0
2015-12-11,12.71,12.83,12.205,12.29,9.7745,755300,0.0,1.0
2015-12-14,12.31,12.409,11.35,11.73,9.3291,1092900,0.0,1.0
2015-12-15,11.81,12.52,11.74,12.43,9.8858,670300,0.0,1.0
2015-12-16,12.61,13.97,12.45,13.95,11.0947,1583400,0.0,1.0
2015-12-17,14.0,14.7,14.0,14.58,11.5957,1606500,0.0,1.0
2015-12-18,14.55,14.92,14.0,14.77,11.7469,1536300,0.0,1.0
2015-12-21,14.78,14.885,14.02,14.37,11.4287,1243700,0.0,1.0
2015-12-22,14.39,15.105,14.2,14.85,11.8105,758400,0.0,1.0
2015-12-23,15.05,15.558,14.9,15.17,12.065,801800,0.0,1.0
2015-12-24,15.15,15.39,14.89,15.1,12.0093,212800,0.0,1.0
2015-12-28,15.01,15.26,14.84,14.98,11.9139,478300,0.0,1.0
2015-12-29,15.06,15.25,14.5,14.74,11.723,590600,0.0,1.0
2015-12-30,14.64,14.91,14.41,14.52,11.548,449500,0.0,1.0
2015-12-31,14.43,14.91,13.99,14.76,11.7389,661400,0.0,1.0
2016-01-04,14.57,14.92,14.33,14.82,11.7866,686600,0.0,1.0
2016-01-05,14.87,14.885,14.3,14.5,11.5321,525500,0.0,1.0
2016-01-06,14.3,14.365,13.8196,13.95,11.0947,740100,0.0,1.0
2016-01-07,13.59,13.754,13.19,13.21,10.5062,409900,0.0,1.0
2016-01-08,13.31,13.4,13.1,13.19,10.4902,652500,0.0,1.0
2016-01-11,13.15,13.59,13.15,13.5,10.7368,483300,0.0,1.0
2016-01-12,13.61,13.63,12.64,13.01,10.3471,579700,0.0,1.0
2016-01-13,13.02,13.33,12.2,12.49,9.9335,559500,0.0,1.0
2016-01-14,12.5406,13.44,12.45,13.26,10.5459,1045700,0.0,1.0
2016-01-15,12.84,13.05,11.97,12.64,10.0528,784700,0.0,1.0
2016-01-19,12.74,12.78,12.1006,12.13,9.6472,613000,0.0,1.0
2016-01-20,11.97,12.11,10.9,11.97,9.52,989500,0.0,1.0
2016-01-21,11.9196,12.72,11.85,12.37,9.8381,570400,0.0,1.0
2016-01-22,12.69,12.9,12.48,12.85,10.2198,598500,0.0,1.0
2016-01-25,12.7,12.769,11.98,12.17,9.679,392600,0.0,1.0
2016-01-26,12.26,12.7,12.08,12.6,10.021,458100,0.0,1.0
2016-01-27,12.5104,13.08,12.18,13.0,10.3391,607200,0.0,1.0
2016-01-28,13.18,13.7,13.02,13.26,10.5459,545100,0.0,1.0
2016-01-29,13.28,13.85,12.61,13.24,10.53,887500,0.0,1.0
2016-02-01,13.09,13.28,12.735,13.04,10.371,606000,0.0,1.0
2016-02-02,12.87,13.52,12.5,13.31,10.5857,737100,0.0,1.0
2016-02-03,13.33,13.6,12.93,13.17,10.4743,435800,0.0,1.0
2016-02-04,13.15,13.708,12.85,12.93,10.2835,700800,0.0,1.0
2016-02-05,12.81,13.1,12.34,12.35,9.8222,598500,0.0,1.0
2016-02-08,12.19,12.62,11.8,12.1,9.6234,812200,0.0,1.0
2016-02-09,11.94,12.14,11.4492,12.09,9.6154,521300,0.0,1.0
2016-02-10,12.03,12.03,11.555,11.67,9.2814,531800,0.0,1.0
2016-02-11,11.44,11.46,10.688,10.89,8.661,460100,0.0,1.0
2016-02-12,10.95,11.27,10.49,11.11,8.836,623400,0.0,1.0
2016-02-16,11.325,12.1,11.3,11.61,9.2336,768600,0.0,1.0
2016-02-17,11.87,13.081,11.83,12.73,10.1244,659100,0.0,1.0
2016-02-18,12.82,12.905,12.32,12.7,10.1005,359900,0.0,1.0
2016-02-19,12.6,12.8,12.29,12.69,10.0926,428400,0.0,1.0
2016-02-22,12.88,13.17,12.42,12.7,10.1005,546200,0.0,1.0
2016-02-23,12.63,12.78,12.01,12.04,9.5756,546300,0.0,1.0
2016-02-24,11.82,12.593,11.75,12.52,9.9574,574700,0.0,1.0
2016-02-25,12.53,12.87,12.28,12.86,10.2278,517400,0.0,1.0
2016-02-26,12.56,12.72,12.39,12.44,10.0699,375300,0.225,1.0
2016-02-29,12.41,13.2,12.34,13.07,10.5799,1017900,0.0,1.0
2016-03-01,13.08,13.91,13.01,13.76,11.1385,1058100,0.0,1.0
2016-03-02,13.63,13.762,12.86,13.72,11.1061,697200,0.0,1.0
2016-03-03,13.78,14.12,13.49,13.72,11.1061,689900,0.0,1.0
2016-03-04,13.67,13.83,13.43,13.5,10.928,548600,0.0,1.0
2016-03-07,13.57,14.15,13.475,13.8,11.1708,669400,0.0,1.0
2016-03-08,13.85,13.87,13.48,13.63,11.0332,786600,0.0,1.0
2016-03-09,13.71,14.03,13.35,13.89,11.2437,660600,0.0,1.0
2016-03-10,13.96,14.35,13.76,14.31,11.5837,752300,0.0,1.0
2016-03-11,14.49,14.93,14.49,14.77,11.956,1030500,0.0,1.0
2016-03-14,14.71,14.8,13.95,14.45,11.697,521500,0.0,1.0
2016-03-15,14.32,14.4,13.83,14.05,11.3732,468300,0.0,1.0
2016-03-16,14.03,14.19,13.87,14.06,11.3813,675600,0.0,1.0
2016-03-17,14.14,14.1791,13.93,14.06,11.3813,589100,0.0,1.0
2016-03-18,14.16,14.33,13.915,14.04,11.3651,781900,0.0,1.0
2016-03-21,14.03,14.24,13.98,14.15,11.4542,346000,0.0,1.0
2016-03-22,14.11,14.24,13.89,14.07,11.3894,273000,0.0,1.0
2016-03-23,14.05,14.05,13.37,13.38,10.8309,508500,0.0,1.0
2016-03-24,13.21,13.72,13.0495,13.69,11.0818,383300,0.0,1.0
2016-03-28,13.76,13.91,13.48,13.73,11.1142,266800,0.0,1.0
2016-03-29,13.54,14.4003,13.439,14.36,11.6242,384400,0.0,1.0
2016-03-30,14.39,14.56,14.11,14.17,11.4703,533700,0.0,1.0
2016-03-31,14.2,14.47,14.08,14.24,11.527,301200,0.0,1.0
2016-04-01,14.0806,14.51,13.78,14.43,11.6808,400400,0.0,1.0
2016-04-04,14.41,14.51,13.95,14.13,11.438,371900,0.0,1.0
2016-04-05,14.08,14.13,13.778,14.04,11.3651,412900,0.0,1.0
2016-04-06,14.05,14.11,13.8,14.07,11.3894,359000,0.0,1.0
2016-04-07,14.04,14.45,13.905,14.09,11.4056,753200,0.0,1.0
2016-04-08,14.22,14.5,14.05,14.31,11.5837,335000,0.0,1.0
2016-04-11,14.4,14.7055,14.38,14.4,11.6565,321900,0.0,1.0
2016-04-12,14.4,14.67,14.32,14.5,11.7375,266800,0.0,1.0
2016-04-13,14.53,14.84,14.4,14.65,11.8589,938500,0.0,1.0
2016-04-14,14.65,14.9,14.64,14.77,11.956,411100,0.0,1.0
2016-04-15,14.77,14.97,14.62,14.88,12.0451,345300,0.0,1.0
2016-04-18,14.7,14.91,14.44,14.87,12.037,444700,0.0,1.0
2016-04-19,14.89,15.3609,14.73,15.2,12.3041,819700,0.0,1.0
2016-04-20,15.15,15.18,14.58,14.71,11.9075,875300,0.0,1.0
2016-04-21,14.7,14.83,14.5293,14.75,11.9398,1936800,0.0,1.0
2016-04-22,14.82,15.22,14.806,15.19,12.296,996200,0.0,1.0
2016-04-25,15.23,15.69,15.23,15.66,12.6765,779900,0.0,1.0
2016-04-26,15.77,16.15,15.62,16.09,13.0246,1083400,0.0,1.0
2016-04-27,16.11,16.42,15.973,16.28,13.1784,869600,0.0,1.0
2016-04-28,16.24,16.49,16.17,16.21,13.1217,511700,0.0,1.0
2016-04-29,16.34,16.52,16.1,16.18,13.0974,562700,0.0,1.0
2016-05-02,16.15,16.43,16.0892,16.36,13.2431,414800,0.0,1.0
2016-05-03,16.22,16.42,15.575,15.85,12.8303,669300,0.0,1.0
2016-05-04,15.84,16.33,15.84,16.02,12.9679,766200,0.0,1.0
2016-05-05,16.29,16.5,15.48,15.52,12.5631,691700,0.0,1.0
2016-05-06,15.48,16.05,15.43,15.94,12.9031,702000,0.0,1.0
2016-05-09,15.74,15.88,14.59,15.19,12.296,726800,0.0,1.0
2016-05-10,15.19,15.3,14.89,15.24,12.3365,648200,0.0,1.0
2016-05-11,15.27,15.2701,14.88,15.1,12.2232,963200,0.0,1.0
2016-05-12,15.24,15.24,14.51,14.62,11.8346,716600,0.0,1.0
2016-05-13,14.55,14.95,14.31,14.81,11.9884,759100,0.0,1.0
2016-05-16,14.86,15.42,14.775,15.23,12.3284,612000,0.0,1.0
2016-05-17,15.2,15.5,14.955,15.28,12.3689,485800,0.0,1.0
2016-05-18,15.28,15.28,14.8,14.96,12.1098,800300,0.0,1.0
2016-05-19,14.8503,15.01,14.53,14.9,12.0613,629600,0.0,1.0
2016-05-20,14.94,15.22,14.855,15.16,12.2717,282700,0.0,1.0
2016-05-23,15.16,15.53,15.05,15.43,12.4903,371300,0.0,1.0
2016-05-24,15.57,15.83,15.39,15.74,12.7412,716700,0.0,1.0
2016-05-25,15.83,15.83,15.47,15.54,12.5793,532600,0.0,1.0
2016-05-26,15.55,15.81,15.43,15.66,12.6765,347700,0.0,1.0
2016-05-27,15.24,15.65,15.24,15.37,12.6272,335800,0.23,1.0
2016-05-31,15.41,15.73,15.36,15.46,12.7011,350400,0.0,1.0
2016-06-01,15.43,15.59,15.08,15.53,12.7586,467700,0.0,1.0
2016-06-02,15.48,15.686,15.42,15.51,12.7422,288200,0.0,1.0
2016-06-03,15.63,16.02,15.618,15.7,12.8983,497900,0.0,1.0
2016-06-06,15.74,16.0313,15.69,15.96,13.1119,510100,0.0,1.0
2016-06-07,15.97,16.28,15.85,16.21,13.3173,299900,0.0,1.0
2016-06-08,16.25,16.78,16.2,16.67,13.6952,538300,0.0,1.0
2016-06-09,16.55,16.62,16.25,16.58,13.6213,391300,0.0,1.0
2016-06-10,16.39,16.51,15.67,15.82,12.9969,557100,0.0,1.0
2016-06-13,15.81,16.06,15.59,15.6,12.8161,444200,0.0,1.0
2016-06-14,15.58,15.72,14.97,15.18,12.4711,636200,0.0,1.0
2016-06-15,15.16,15.2307,14.87,14.95,12.2821,866100,0.0,1.0
2016-06-16,14.84,14.9197,14.62,14.73,12.1014,578400,0.0,1.0
2016-06-17,14.6285,15.07,14.56,14.98,12.3068,1160800,0.0,1.0
2016-06-20,15.0,15.2,14.81,14.82,12.1753,739300,0.0,1.0
2016-06-21,14.91,14.97,14.51,14.53,11.9371,548300,0.0,1.0
2016-06-22,14.55,14.83,14.33,14.48,11.896,698200,0.0,1.0
2016-06-23,14.62,14.97,14.515,14.91,12.2493,781000,0.0,1.0
2016-06-24,14.29,14.76,14.03,14.7,12.0767,1136400,0.0,1.0
2016-06-27,14.54,14.66,14.057,14.59,11.9864,931300,0.0,1.0
2016-06-28,14.79,15.215,14.63,15.2,12.4875,501600,0.0,1.0
