timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-07-27,25.0,26.0,24.13,25.2,25.2,4774000,0.0,1.0
2018-07-30,24.8,25.25,23.0,23.25,23.25,885800,0.0,1.0
2018-07-31,23.25,24.47,23.25,23.91,23.91,292500,0.0,1.0
2018-08-01,23.81,24.1,23.3,23.8,23.8,201900,0.0,1.0
2018-08-02,23.71,26.41,23.25,24.8,24.8,282800,0.0,1.0
2018-08-03,25.25,25.5,24.43,25.08,25.08,70100,0.0,1.0
2018-08-06,25.12,26.48,25.05,26.41,26.41,77400,0.0,1.0
2018-08-07,26.5,26.95,26.0,26.19,26.19,29600,0.0,1.0
2018-08-08,26.35,26.56,25.561,26.4,26.4,29700,0.0,1.0
2018-08-09,26.5,27.09,25.35,26.78,26.78,195200,0.0,1.0
2018-08-10,26.8078,27.69,26.001,27.61,27.61,48400,0.0,1.0
2018-08-13,27.21,29.63,27.1032,29.63,29.63,65000,0.0,1.0
2018-08-14,29.7,30.4306,28.8,30.43,30.43,149800,0.0,1.0
2018-08-15,30.1809,30.5,27.4,29.49,29.49,107700,0.0,1.0
2018-08-16,29.61,29.632,28.59,29.2,29.2,50400,0.0,1.0
2018-08-17,29.05,29.05,28.0,28.57,28.57,11000,0.0,1.0
2018-08-20,28.4,28.3983,26.35,27.49,27.49,69400,0.0,1.0
2018-08-21,27.9,28.25,25.5,25.5,25.5,93500,0.0,1.0
2018-08-22,25.5,26.75,24.9,26.2,26.2,68400,0.0,1.0
2018-08-23,26.9,27.7,25.63,27.31,27.31,72900,0.0,1.0
2018-08-24,27.31,27.575,26.26,26.3,26.3,45200,0.0,1.0
2018-08-27,26.39,26.94,25.93,26.85,26.85,45800,0.0,1.0
2018-08-28,26.85,26.875,26.045,26.35,26.35,13900,0.0,1.0
2018-08-29,26.42,27.485,25.9,26.49,26.49,86600,0.0,1.0
2018-08-30,26.766,27.0,26.0,26.4,26.4,16300,0.0,1.0
2018-08-31,26.15,26.606,26.01,26.22,26.22,17100,0.0,1.0
2018-09-04,26.22,26.4918,26.0,26.42,26.42,19800,0.0,1.0
2018-09-05,26.27,26.5,26.0,26.25,26.25,21400,0.0,1.0
2018-09-06,26.182,26.45,24.3716,25.5,25.5,54200,0.0,1.0
2018-09-07,25.49,25.75,24.854,25.45,25.45,99300,0.0,1.0
2018-09-10,24.88,26.0,24.88,25.5,25.5,58300,0.0,1.0
2018-09-11,25.72,25.999,24.99,25.46,25.46,18400,0.0,1.0
2018-09-12,24.909,25.675,24.909,25.59,25.59,12100,0.0,1.0
2018-09-13,25.54,26.02,25.27,25.71,25.71,28600,0.0,1.0
2018-09-14,25.337,26.225,25.337,25.87,25.87,122400,0.0,1.0
2018-09-17,24.94,25.95,24.94,25.82,25.82,28200,0.0,1.0
2018-09-18,25.72,27.21,25.686,26.85,26.85,24000,0.0,1.0
2018-09-19,27.04,27.79,27.025,27.66,27.66,25100,0.0,1.0
2018-09-20,27.75,28.0,27.4,27.7,27.7,19200,0.0,1.0
2018-09-21,27.9005,28.25,27.501,28.15,28.15,15200,0.0,1.0
2018-09-24,28.15,29.0,27.2,28.9,28.9,74000,0.0,1.0
2018-09-25,28.65,29.8,28.45,29.8,29.8,17700,0.0,1.0
2018-09-26,29.6,30.4,29.33,29.8,29.8,87700,0.0,1.0
2018-09-27,29.84,30.089,29.01,29.67,29.67,9400,0.0,1.0
2018-09-28,29.5,29.594,28.101,28.53,28.53,11500,0.0,1.0
2018-10-01,29.006,30.99,29.0,30.74,30.74,53100,0.0,1.0
2018-10-02,30.9515,31.5,29.02,29.15,29.15,150100,0.0,1.0
2018-10-03,29.27,29.62,28.19,28.19,28.19,40100,0.0,1.0
2018-10-04,28.0,28.435,26.96,27.79,27.79,14700,0.0,1.0
2018-10-05,27.75,28.365,27.265,27.86,27.86,10000,0.0,1.0
2018-10-08,27.7,27.89,26.02,27.43,27.43,10200,0.0,1.0
2018-10-09,27.1,27.1,26.0,26.16,26.16,20400,0.0,1.0
2018-10-10,26.12,26.34,24.27,24.43,24.43,24700,0.0,1.0
2018-10-11,25.0,26.38,21.13,21.2,21.2,89200,0.0,1.0
2018-10-12,21.7,25.0,21.7,23.88,23.88,202400,0.0,1.0
2018-10-15,23.8704,24.49,23.5,23.6,23.6,9200,0.0,1.0
2018-10-16,23.6598,25.0,23.66,25.0,25.0,7300,0.0,1.0
2018-10-17,25.0,25.36,24.387,25.2,25.2,5500,0.0,1.0
2018-10-18,25.2,25.25,24.01,24.03,24.03,11000,0.0,1.0
2018-10-19,24.03,24.35,23.18,23.27,23.27,37600,0.0,1.0
2018-10-22,22.83,23.4,22.71,23.0,23.0,25100,0.0,1.0
2018-10-23,22.51,23.25,22.51,23.19,23.19,8200,0.0,1.0
2018-10-24,23.199,23.256,22.75,23.0,23.0,26200,0.0,1.0
2018-10-25,23.25,23.96,22.87,23.96,23.96,38800,0.0,1.0
2018-10-26,23.6,23.6,21.735,23.05,23.05,45200,0.0,1.0
2018-10-29,23.32,23.38,22.8,23.38,23.38,36100,0.0,1.0
2018-10-30,23.0,23.4,22.55,22.63,22.63,35500,0.0,1.0
2018-10-31,22.99,23.625,22.88,23.26,23.26,36400,0.0,1.0
