timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-06-14,28.0,30.5,28.0,28.75,23.7289,3279100,0.0,1.0
2007-06-15,29.5,29.8,28.88,29.08,24.0012,790100,0.0,1.0
2007-06-18,29.32,30.2,29.3,29.93,24.7028,1591000,0.0,1.0
2007-06-19,30.0,30.3,29.6,29.7,24.5129,1585100,0.0,1.0
2007-06-20,30.04,30.1,29.57,29.81,24.6037,855900,0.0,1.0
2007-06-21,30.06,31.95,29.61,31.21,25.7592,842700,0.0,1.0
2007-06-22,31.5,32.17,31.0,31.7,26.1637,1490700,0.0,1.0
2007-06-25,31.5,31.9965,31.01,31.3,25.8335,490000,0.0,1.0
2007-06-26,31.3,31.65,30.25,30.41,25.0989,853900,0.0,1.0
2007-06-27,30.6,30.8,29.5701,29.58,24.4139,1127300,0.0,1.0
2007-06-28,29.88,29.9,29.16,29.5,24.3479,488900,0.0,1.0
2007-06-29,29.99,30.3,27.93,28.5,23.5225,3085200,0.0,1.0
2007-07-02,28.55,29.1498,27.2,27.5,22.6972,10999000,0.0,1.0
2007-07-03,27.5,27.5,26.15,26.67,22.0121,8600100,0.0,1.0
2007-07-05,26.25,26.92,25.74,25.93,21.4014,8422000,0.0,1.0
2007-07-06,25.64,25.86,25.21,25.64,21.162,7211800,0.0,1.0
2007-07-09,25.72,26.54,25.44,25.54,21.0795,11675200,0.0,1.0
2007-07-10,25.6,25.65,24.8002,24.9,20.5513,8591800,0.0,1.0
2007-07-11,25.02,25.27,24.75,25.21,20.8071,10251400,0.0,1.0
2007-07-12,25.59,26.59,25.21,26.34,21.7398,10297300,0.0,1.0
2007-07-13,26.47,27.43,26.02,27.16,22.4165,6752500,0.0,1.0
2007-07-16,27.21,27.45,26.66,26.84,22.1524,9892000,0.0,1.0
2007-07-17,26.96,26.99,26.31,26.5,21.8718,5434600,0.0,1.0
2007-07-18,26.45,26.5,25.7,26.36,21.7563,4594800,0.0,1.0
2007-07-19,26.25,26.95,26.25,26.71,22.0452,4868900,0.0,1.0
2007-07-20,26.71,27.12,26.25,26.3,21.7068,5751300,0.0,1.0
2007-07-23,26.3,26.5074,26.1,26.12,21.5582,4711800,0.0,1.0
2007-07-24,25.5386,25.6,24.93,25.0,20.6338,5483800,0.0,1.0
2007-07-25,24.76,24.84,23.75,24.1,19.891,8391500,0.0,1.0
2007-07-26,23.26,24.88,22.75,24.62,20.3202,9834900,0.0,1.0
2007-07-27,24.26,24.7,23.33,23.33,19.2555,6678000,0.0,1.0
2007-07-30,23.4,23.93,22.37,23.57,19.4535,5056000,0.0,1.0
2007-07-31,23.65,24.0983,22.83,23.05,19.0244,4132300,0.0,1.0
2007-08-01,22.68,23.071,22.05,22.88,18.884,5583900,0.0,1.0
2007-08-02,22.5,24.05,22.48,23.37,19.2885,3032900,0.0,1.0
2007-08-03,22.66,23.11,21.53,21.99,18.1495,5256100,0.0,1.0
2007-08-06,22.2391,23.53,21.25,22.15,18.2815,6010700,0.0,1.0
2007-08-07,22.05,23.53,21.7178,22.88,18.884,3885200,0.0,1.0
2007-08-08,23.5,24.57,23.0,24.29,20.0478,5645200,0.0,1.0
2007-08-09,23.4012,23.96,22.06,22.16,18.2898,4554600,0.0,1.0
2007-08-10,21.75,21.95,20.35,20.86,17.2168,10813200,0.0,1.0
2007-08-13,21.26,22.29,21.26,22.1,18.2403,7115200,0.0,1.0
2007-08-14,22.29,22.66,21.71,21.96,18.1247,3845000,0.0,1.0
2007-08-15,21.89,22.4,21.16,21.66,17.8771,3690300,0.0,1.0
2007-08-16,20.5,23.14,20.47,22.85,18.8593,5503500,0.0,1.0
2007-08-17,23.89,23.99,22.91,23.18,19.1317,5668600,0.0,1.0
2007-08-20,23.1,23.5,22.48,23.45,19.3545,3786500,0.0,1.0
2007-08-21,23.09,23.96,23.07,23.67,19.5361,2471000,0.0,1.0
2007-08-22,23.6588,24.0,23.25,23.73,19.5856,3601000,0.0,1.0
2007-08-23,23.94,24.03,23.18,23.7,19.5608,2904000,0.0,1.0
2007-08-24,23.42,24.02,23.38,23.99,19.8002,2001000,0.0,1.0
2007-08-27,24.02,24.039,23.7,23.83,19.6681,1629600,0.0,1.0
2007-08-28,23.3176,23.55,22.56,22.71,18.7437,4219100,0.0,1.0
