timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-05-04,16.11,17.15,16.1,16.25,12.0113,7249500,0.0,1.0
2006-05-05,16.28,16.553,16.26,16.42,12.137,752700,0.0,1.0
2006-05-08,16.5,16.97,16.48,16.83,12.44,569400,0.0,1.0
2006-05-09,17.19,17.26,16.85,16.95,12.5287,412300,0.0,1.0
2006-05-10,17.15,17.35,17.03,17.29,12.78,593800,0.0,1.0
2006-05-11,17.39,17.71,17.35,17.68,13.0683,848500,0.0,1.0
2006-05-12,17.85,17.99,17.7,17.71,13.0905,567500,0.0,1.0
2006-05-15,17.7,17.7,16.3,16.39,12.1148,560000,0.0,1.0
2006-05-16,16.4,16.75,16.03,16.06,11.8709,407200,0.0,1.0
2006-05-17,16.4,16.4,15.6,15.67,11.5826,285400,0.0,1.0
2006-05-18,15.77,16.0,15.6,15.6,11.5309,105400,0.0,1.0
2006-05-19,15.7,15.72,14.55,15.15,11.1982,361500,0.0,1.0
2006-05-22,15.15,15.2,14.93,15.14,11.1909,441900,0.0,1.0
2006-05-23,15.24,16.3,15.24,16.0,11.8265,254000,0.0,1.0
2006-05-24,16.29,16.4,15.35,15.75,11.6417,206400,0.0,1.0
2006-05-25,15.83,15.87,14.89,15.33,11.3313,312300,0.0,1.0
2006-05-26,15.33,15.33,15.11,15.15,11.1982,244300,0.0,1.0
2006-05-30,15.2,15.46,14.79,15.0,11.0874,406500,0.0,1.0
2006-05-31,15.0,15.14,14.77,14.8,10.9395,223000,0.0,1.0
2006-06-01,14.9,15.1,14.25,14.66,10.8361,307500,0.0,1.0
2006-06-02,14.75,15.12,14.6,15.0,11.0874,190200,0.0,1.0
2006-06-05,15.1,15.4,15.01,15.04,11.1169,275100,0.0,1.0
2006-06-06,14.81,14.89,14.12,14.35,10.6069,302700,0.0,1.0
2006-06-07,14.38,14.84,13.83,14.49,10.7104,301100,0.0,1.0
2006-06-08,14.6,14.67,13.87,14.16,10.4665,351600,0.0,1.0
2006-06-09,14.4,14.7,14.22,14.35,10.6069,182700,0.0,1.0
2006-06-12,14.25,14.3003,12.97,13.2,9.7569,252100,0.0,1.0
2006-06-13,13.15,13.33,12.08,12.28,9.0769,549300,0.0,1.0
2006-06-14,12.5,12.6,12.3,12.49,9.2321,283700,0.0,1.0
2006-06-15,12.75,13.45,12.7,13.18,9.7421,436600,0.0,1.0
2006-06-16,13.18,13.93,13.01,13.75,10.1634,117100,0.0,1.0
2006-06-19,13.95,13.95,13.4,13.65,10.0895,163000,0.0,1.0
2006-06-20,13.75,14.0708,13.0,14.0,10.3482,113900,0.0,1.0
2006-06-21,14.08,14.8,14.0801,14.59,10.7843,230400,0.0,1.0
2006-06-22,14.91,14.91,14.25,14.48,10.703,93300,0.0,1.0
2006-06-23,14.5,14.51,14.258,14.3,10.57,124800,0.0,1.0
2006-06-26,14.3,14.44,14.1,14.44,10.6734,129600,0.0,1.0
2006-06-27,14.7,14.72,14.23,14.39,10.6365,89700,0.0,1.0
2006-06-28,14.65,15.08,14.5,14.95,11.0504,257300,0.0,1.0
2006-06-29,14.9,15.72,14.78,15.58,11.5161,346400,0.0,1.0
2006-06-30,16.0,16.0,15.2,15.2,11.2352,577800,0.0,1.0
2006-07-03,15.2,15.39,15.01,15.21,11.2426,82700,0.0,1.0
2006-07-05,15.29,15.32,14.8314,15.2,11.2352,107400,0.0,1.0
2006-07-06,15.1,15.2,14.96,15.12,11.1761,77800,0.0,1.0
2006-07-07,15.0,15.4614,15.0,15.17,11.213,102700,0.0,1.0
2006-07-10,15.19,15.62,15.19,15.62,11.5456,190000,0.0,1.0
2006-07-11,15.37,15.55,15.3094,15.54,11.4865,92800,0.0,1.0
2006-07-12,15.52,15.54,15.3005,15.45,11.42,106200,0.0,1.0
2006-07-13,15.4,15.41,15.02,15.22,11.25,168400,0.0,1.0
2006-07-14,15.05,15.75,14.93,15.29,11.3017,216500,0.0,1.0
2006-07-17,15.42,15.67,15.06,15.47,11.4348,79200,0.0,1.0
2006-07-18,15.55,15.57,15.07,15.28,11.2943,93100,0.0,1.0
2006-07-19,15.1,15.6,15.05,15.53,11.4791,119500,0.0,1.0
2006-07-20,15.7,15.74,15.21,15.44,11.4126,75100,0.0,1.0
2006-07-21,15.45,15.45,15.05,15.15,11.1982,63200,0.0,1.0
2006-07-24,15.4,15.45,15.29,15.45,11.42,207300,0.0,1.0
2006-07-25,15.42,15.89,15.2,15.76,11.6491,100400,0.0,1.0
2006-07-26,15.56,15.99,15.1,15.88,11.7378,129000,0.0,1.0
2006-07-27,16.0,16.25,15.81,15.95,11.7896,75100,0.0,1.0
2006-07-28,16.12,16.1393,15.91,16.03,11.8487,89000,0.0,1.0
2006-07-31,16.06,16.3,15.92,16.3,12.0483,173400,0.0,1.0
2006-08-01,16.55,16.55,16.1404,16.36,12.0926,145400,0.0,1.0
2006-08-02,16.55,16.55,16.25,16.46,12.1665,177500,0.0,1.0
2006-08-03,16.46,16.52,16.21,16.29,12.0409,115700,0.0,1.0
2006-08-04,16.49,16.5,15.9,16.0,11.8265,97300,0.0,1.0
2006-08-07,16.0,16.2,15.75,15.95,11.7896,159500,0.0,1.0
2006-08-08,16.0,16.03,15.71,15.79,11.6713,138500,0.0,1.0
2006-08-09,17.0,17.39,16.33,17.32,12.8022,928800,0.0,1.0
2006-08-10,17.12,17.48,17.1,17.48,12.9205,449000,0.0,1.0
2006-08-11,17.5,18.92,17.48,18.6,13.7483,679000,0.0,1.0
2006-08-14,18.85,19.75,18.72,19.3,14.2657,622300,0.0,1.0
2006-08-15,19.49,19.5,18.35,18.88,13.9553,426600,0.0,1.0
2006-08-16,19.12,19.39,18.55,19.29,14.2584,429200,0.0,1.0
2006-08-17,19.31,19.8,18.8,19.32,14.2805,417200,0.0,1.0
2006-08-18,19.4,19.9,19.158,19.9,14.7092,348600,0.0,1.0
2006-08-21,20.9986,21.0,20.25,20.5,15.1527,710600,0.0,1.0
2006-08-22,20.98,21.66,20.7,21.64,15.9954,888000,0.0,1.0
2006-08-23,22.4,22.85,20.85,21.78,16.0989,1160500,0.0,1.0
2006-08-24,21.9,22.2,21.01,21.31,15.7514,559900,0.0,1.0
2006-08-25,21.47,22.18,21.39,21.62,15.9806,418200,0.0,1.0
2006-08-28,21.8004,21.82,20.0,20.46,15.1232,807400,0.0,1.0
2006-08-29,20.46,20.49,19.04,19.93,14.7314,839500,0.0,1.0
2006-08-30,20.1,20.44,19.51,20.05,14.8201,493800,0.0,1.0
2006-08-31,20.24,21.33,19.82,20.91,15.4558,423000,0.0,1.0
2006-09-01,20.92,21.76,20.9211,21.1,15.5962,294000,0.0,1.0
2006-09-05,21.1,21.1,20.1,20.22,14.9458,424100,0.0,1.0
2006-09-06,19.56,19.65,18.5,19.14,14.1475,776800,0.0,1.0
2006-09-07,18.41,18.94,18.28,18.8,13.8962,451900,0.0,1.0
2006-09-08,18.66,18.98,17.67,18.06,13.3492,428600,0.0,1.0
2006-09-11,17.25,17.48,16.3,16.43,12.1444,922700,0.0,1.0
2006-09-12,16.03,16.78,16.012,16.69,12.3365,547400,0.0,1.0
2006-09-13,16.86,17.57,16.8,17.54,12.9648,472800,0.0,1.0
2006-09-14,17.8,17.83,16.9101,17.0,12.5657,281500,0.0,1.0
2006-09-15,17.2,17.85,16.82,17.76,13.1274,356500,0.0,1.0
2006-09-18,17.68,18.57,17.503,17.95,13.2679,340300,0.0,1.0
2006-09-19,17.96,18.4,16.57,16.92,12.5065,571900,0.0,1.0
2006-09-20,16.82,18.1,16.43,17.22,12.7283,435100,0.0,1.0
2006-09-21,17.22,17.35,16.6,16.61,12.2774,364200,0.0,1.0
2006-09-22,16.73,16.8177,16.3,16.44,12.1518,236900,0.0,1.0
2006-09-25,16.29,16.88,16.0,16.79,12.4105,201800,0.0,1.0
2006-09-26,16.89,17.3606,16.89,17.28,12.7726,163100,0.0,1.0
2006-09-27,17.94,18.4981,17.18,18.14,13.4083,565600,0.0,1.0
2006-09-28,18.19,18.44,18.09,18.31,13.534,318000,0.0,1.0
2006-09-29,18.31,18.5,18.27,18.5,13.6744,280300,0.0,1.0
2006-10-02,18.5,18.559,17.73,17.95,13.2679,212200,0.0,1.0
2006-10-03,17.45,17.6,16.651,16.81,12.4252,508800,0.0,1.0
2006-10-04,16.71,17.16,16.63,17.11,12.647,184400,0.0,1.0
2006-10-05,17.25,17.74,17.23,17.47,12.9131,172400,0.0,1.0
2006-10-06,17.72,17.72,17.04,17.18,12.6987,177900,0.0,1.0
2006-10-09,17.31,17.5498,17.15,17.45,12.8983,173200,0.0,1.0
2006-10-10,17.45,17.8,17.05,17.42,12.8761,160300,0.0,1.0
2006-10-11,17.4,17.66,17.34,17.57,12.987,89800,0.0,1.0
2006-10-12,18.0,18.06,17.35,17.66,13.0535,245400,0.0,1.0
2006-10-13,17.7,18.2219,17.65,18.18,13.4379,225800,0.0,1.0
2006-10-16,18.15,18.47,18.15,18.44,13.6301,200300,0.0,1.0
2006-10-17,18.4982,18.6,18.35,18.43,13.6227,301400,0.0,1.0
2006-10-18,18.5,18.5,17.96,18.05,13.3418,130800,0.0,1.0
2006-10-19,18.19,18.45,18.05,18.35,13.5635,125800,0.0,1.0
2006-10-20,18.44,18.48,18.14,18.32,13.5414,101000,0.0,1.0
