timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-10-16,12.25,13.51,12.15,13.15,2.878,16535600,0.0,1.0
2002-10-17,14.5,14.75,14.0,14.43,3.1491,1792800,0.0,1.0
2002-10-18,14.5,15.0,14.5,14.95,3.2716,1322800,0.0,1.0
2002-10-21,14.95,14.95,14.1,14.59,3.1841,947200,0.0,1.0
2002-10-22,14.49,14.51,14.01,14.5,3.1666,415600,0.0,1.0
2002-10-23,14.4,15.2,14.4,15.06,3.2979,708000,0.0,1.0
2002-10-24,15.56,16.8,15.501,16.3,3.569,1720400,0.0,1.0
2002-10-25,16.25,16.4,15.75,16.15,3.534,410000,0.0,1.0
2002-10-28,16.05,16.35,16.05,16.25,3.5515,204800,0.0,1.0
2002-10-29,16.35,16.36,15.98,16.05,3.4991,416000,0.0,1.0
2002-10-30,16.09,16.4,16.05,16.14,3.534,272800,0.0,1.0
2002-10-31,16.3,16.59,16.2,16.4,3.5865,430400,0.0,1.0
2002-11-01,16.42,16.46,15.6499,15.89,3.475,1243600,0.0,1.0
2002-11-04,15.99,16.12,15.795,16.02,3.5034,240400,0.0,1.0
2002-11-05,16.1,16.18,16.01,16.07,3.5144,28800,0.0,1.0
2002-11-06,16.2009,16.74,16.16,16.69,3.6499,454400,0.0,1.0
2002-11-07,16.99,17.1,16.65,16.98,3.7134,258000,0.0,1.0
2002-11-08,16.8,16.98,16.14,16.2,3.5428,650800,0.0,1.0
2002-11-11,16.4,16.5,16.26,16.45,3.5975,216800,0.0,1.0
2002-11-12,16.49,16.65,16.4,16.5,3.6084,204400,0.0,1.0
2002-11-13,16.55,16.6,16.26,16.5,3.6084,197200,0.0,1.0
2002-11-14,16.4,16.6,16.35,16.6,3.6303,134000,0.0,1.0
2002-11-15,16.6,17.6,16.6,17.41,3.8074,329200,0.0,1.0
2002-11-18,17.66,18.1,17.4,17.4,3.8052,670000,0.0,1.0
2002-11-19,17.55,18.0,17.55,17.95,3.9255,572400,0.0,1.0
2002-11-20,18.05,18.05,17.81,17.86,3.9058,307200,0.0,1.0
2002-11-21,17.92,18.8,17.92,18.5,4.0458,872400,0.0,1.0
2002-11-22,18.6,20.35,18.6,19.9,4.3519,872800,0.0,1.0
2002-11-25,20.5,21.15,20.3,20.85,4.5597,1102800,0.0,1.0
2002-11-26,21.35,21.8,20.0,20.0,4.3738,1236800,0.0,1.0
2002-11-27,20.25,20.6,19.85,20.55,4.4941,745200,0.0,1.0
2002-11-29,20.79,21.02,20.7,21.01,4.5947,264000,0.0,1.0
2002-12-02,21.6,22.8,21.1,22.51,4.9227,1314000,0.0,1.0
2002-12-03,22.76,23.15,22.1,22.54,4.9293,674400,0.0,1.0
2002-12-04,22.5,22.6,21.9,22.18,4.8506,536400,0.0,1.0
2002-12-05,22.25,22.45,21.65,21.7,4.7456,183200,0.0,1.0
2002-12-06,21.4,21.84,20.63,21.8,4.7675,458000,0.0,1.0
2002-12-09,21.95,22.7,21.95,22.4,4.8987,388800,0.0,1.0
2002-12-10,22.55,22.75,22.11,22.2,4.8549,163200,0.0,1.0
2002-12-11,22.26,22.26,21.85,21.96,4.8024,97200,0.0,1.0
2002-12-12,21.76,21.76,21.06,21.4,4.68,310400,0.0,1.0
2002-12-13,21.15,21.2,19.7,19.99,4.3716,653600,0.0,1.0
2002-12-16,19.74,20.42,19.74,20.2,4.4176,713600,0.0,1.0
2002-12-17,20.15,20.2,19.7,19.88,4.3476,174400,0.0,1.0
2002-12-18,19.7498,19.75,17.8,18.85,4.1223,953600,0.0,1.0
2002-12-19,18.5,18.9,18.46,18.5,4.0458,191200,0.0,1.0
2002-12-20,18.5,19.6,18.5,19.6,4.2863,258800,0.0,1.0
2002-12-23,19.7,20.0,19.61,20.0,4.3738,125200,0.0,1.0
2002-12-24,20.0,20.0,19.19,19.21,4.201,144400,0.0,1.0
2002-12-26,19.21,19.2894,19.01,19.05,4.1661,194000,0.0,1.0
2002-12-27,19.05,19.3,19.05,19.1,4.177,713200,0.0,1.0
2002-12-30,19.08,19.15,19.02,19.04,4.1639,191600,0.0,1.0
2002-12-31,19.08,19.4,19.08,19.2,4.1989,76000,0.0,1.0
2003-01-02,19.2,20.05,19.05,20.02,4.3782,344400,0.0,1.0
2003-01-03,20.0,20.0,19.8,19.85,4.341,639200,0.0,1.0
2003-01-06,19.97,21.54,19.85,21.45,4.6909,2369200,0.0,1.0
2003-01-07,21.45,22.19,20.95,20.95,4.5816,966800,0.0,1.0
2003-01-08,20.9,21.0799,20.6,21.0,4.5925,648400,0.0,1.0
2003-01-09,21.0,21.53,20.9,21.39,4.6778,920400,0.0,1.0
2003-01-10,21.29,22.0,21.2905,21.5,4.7019,364800,0.0,1.0
2003-01-13,21.7,21.86,21.4,21.55,4.7128,464400,0.0,1.0
2003-01-14,21.35,21.62,21.15,21.25,4.6472,590400,0.0,1.0
2003-01-15,21.25,21.25,20.5,21.0,4.5925,455200,0.0,1.0
2003-01-16,21.0,21.6,20.92,21.55,4.7128,172800,0.0,1.0
2003-01-17,21.52,21.87,21.45,21.65,4.7347,264000,0.0,1.0
