timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,12.375,12.438,12.25,12.313,6.4982,6400,0.412,1.0
1999-09-14,12.188,12.313,12.125,12.188,6.4323,7200,0.0,1.0
1999-09-15,12.125,12.188,11.438,11.438,6.0364,23700,0.0,1.0
1999-09-16,11.5,11.688,11.438,11.563,6.1024,20000,0.0,1.0
1999-09-17,11.5634,11.563,11.438,11.563,6.1024,6900,0.0,1.0
1999-09-20,11.625,11.625,11.438,11.5,6.0694,8100,0.0,1.0
1999-09-21,11.5,11.563,11.063,11.313,5.9705,16100,0.0,1.0
1999-09-22,11.25,11.25,11.125,11.188,5.9045,13100,0.0,1.0
1999-09-23,11.125,11.313,10.938,11.125,5.8715,14900,0.0,1.0
1999-09-24,11.063,11.25,11.0,11.125,5.8715,8100,0.0,1.0
1999-09-27,11.25,11.25,11.063,11.063,5.8385,5200,0.0,1.0
1999-09-28,11.063,11.188,10.9997,11.063,5.8385,13300,0.0,1.0
1999-09-29,11.0,11.25,11.0,11.063,5.8385,11300,0.0,1.0
1999-09-30,11.063,11.25,11.063,11.188,5.9045,9600,0.0,1.0
1999-10-01,11.188,11.188,11.0,11.125,5.8715,10000,0.0,1.0
1999-10-04,11.188,11.188,11.0,11.125,5.8715,12500,0.0,1.0
1999-10-05,11.063,11.25,11.063,11.125,5.8715,11600,0.0,1.0
1999-10-06,11.188,11.313,11.1255,11.313,5.9705,14400,0.0,1.0
1999-10-07,11.25,11.375,11.25,11.25,5.9375,8900,0.0,1.0
1999-10-08,11.188,11.313,11.188,11.188,5.9045,5400,0.0,1.0
1999-10-11,11.313,11.313,11.188,11.25,5.9375,12400,0.0,1.0
1999-10-12,11.313,11.313,11.188,11.25,5.9375,18800,0.0,1.0
1999-10-13,11.063,11.063,10.813,10.813,5.7593,12700,0.412,1.0
1999-10-14,10.813,10.813,10.563,10.75,5.726,8400,0.0,1.0
1999-10-15,10.563,10.563,10.0,10.375,5.5263,14200,0.0,1.0
1999-10-18,10.313,10.313,10.0633,10.125,5.3931,8400,0.0,1.0
1999-10-19,10.125,10.375,10.063,10.375,5.5263,12200,0.0,1.0
1999-10-20,10.25,10.563,10.25,10.563,5.6261,12300,0.0,1.0
1999-10-21,10.438,10.5,10.313,10.5,5.5929,12800,0.0,1.0
1999-10-22,10.375,10.75,10.375,10.5,5.5929,8500,0.0,1.0
1999-10-25,10.5,10.625,10.375,10.5,5.5929,14100,0.0,1.0
1999-10-26,10.625,11.188,10.5,11.0,5.8592,17400,0.0,1.0
1999-10-27,11.0,11.0003,10.625,10.875,5.7926,7600,0.0,1.0
1999-10-28,10.875,11.0,10.813,10.938,5.8259,8600,0.0,1.0
1999-10-29,10.875,10.9991,10.875,10.938,5.8259,10600,0.0,1.0
1999-11-01,10.938,11.125,10.938,11.063,5.8925,11900,0.0,1.0
1999-11-02,11.0,11.063,10.875,11.0,5.8592,14500,0.0,1.0
1999-11-03,10.938,11.0,10.875,11.0,5.8592,12700,0.0,1.0
1999-11-04,10.938,11.125,10.9384,11.0,5.8592,13300,0.0,1.0
1999-11-05,11.125,11.313,11.125,11.25,5.9923,13000,0.0,1.0
1999-11-08,11.313,11.375,11.125,11.375,6.0589,10600,0.0,1.0
1999-11-09,11.25,11.25,10.938,11.125,5.9258,19000,0.0,1.0
1999-11-10,10.875,11.0,10.8126,10.875,5.8467,7300,0.412,1.0
1999-11-11,10.813,10.813,10.625,10.75,5.7795,17400,0.0,1.0
1999-11-12,10.813,10.875,10.75,10.813,5.8131,8500,0.0,1.0
1999-11-15,10.875,10.938,10.625,10.688,5.7459,19500,0.0,1.0
1999-11-16,10.688,10.875,10.688,10.813,5.8131,7500,0.0,1.0
1999-11-17,10.688,10.75,10.625,10.75,5.7795,15100,0.0,1.0
1999-11-18,10.625,10.75,10.625,10.625,5.7123,13100,0.0,1.0
1999-11-19,10.625,10.75,10.625,10.75,5.7795,14500,0.0,1.0
1999-11-22,10.7503,10.75,10.5,10.563,5.6787,21100,0.0,1.0
1999-11-23,10.5,10.5,10.313,10.375,5.5779,11000,0.0,1.0
1999-11-24,10.438,10.438,10.188,10.375,5.5779,14500,0.0,1.0
1999-11-26,10.313,10.375,10.313,10.375,5.5779,2100,0.0,1.0
1999-11-29,10.438,10.438,10.313,10.375,5.5779,12100,0.0,1.0
1999-11-30,10.438,10.5,10.313,10.5,5.6451,14200,0.0,1.0
1999-12-01,10.4999,10.5,10.25,10.438,5.6115,22400,0.0,1.0
1999-12-02,10.313,10.438,10.25,10.438,5.6115,16600,0.0,1.0
1999-12-03,10.375,10.5,10.375,10.5,5.6451,20800,0.0,1.0
1999-12-06,10.438,10.5,10.313,10.313,5.5443,21700,0.0,1.0
1999-12-07,10.25,10.313,10.0,10.125,5.4435,23100,0.0,1.0
1999-12-08,10.0,10.188,9.938,10.0,5.3763,19200,0.0,1.0
1999-12-09,9.938,10.125,9.875,10.0,5.3763,16500,0.0,1.0
1999-12-10,10.0,10.375,9.938,10.25,5.5107,25600,0.0,1.0
1999-12-13,10.188,10.438,10.063,10.25,5.5667,18400,0.412,1.0
1999-12-14,10.188,10.25,9.813,9.875,5.363,26700,0.0,1.0
1999-12-15,9.875,10.063,9.875,10.0,5.4309,16400,0.0,1.0
1999-12-16,9.938,10.063,9.938,10.063,5.4648,12100,0.0,1.0
1999-12-17,10.125,10.188,9.938,10.125,5.4988,22200,0.0,1.0
1999-12-20,10.125,10.188,9.938,10.063,5.4648,24300,0.0,1.0
1999-12-21,10.0,10.125,10.0,10.063,5.4648,22600,0.0,1.0
1999-12-22,10.25,10.25,9.938,10.0,5.4309,25300,0.0,1.0
1999-12-23,10.125,10.125,9.938,10.0,5.4309,24100,0.0,1.0
1999-12-27,9.9377,10.125,9.938,10.0,5.4309,21900,0.0,1.0
1999-12-28,10.063,10.063,9.813,9.938,5.3969,44700,0.0,1.0
1999-12-29,9.938,10.063,9.938,10.0,5.4309,39900,0.0,1.0
1999-12-30,10.0,10.188,9.938,10.188,5.5327,19900,0.0,1.0
1999-12-31,10.125,10.375,10.1254,10.25,5.5667,30500,0.0,1.0
2000-01-03,10.438,10.625,10.375,10.375,5.6345,10900,0.0,1.0
2000-01-04,10.375,10.5,10.313,10.375,5.6345,9900,0.0,1.0
2000-01-05,10.438,10.5,10.313,10.438,5.6685,15300,0.0,1.0
2000-01-06,10.438,10.563,10.438,10.5,5.7024,12300,0.0,1.0
2000-01-07,10.438,10.563,10.375,10.5,5.7024,15200,0.0,1.0
2000-01-10,10.563,10.75,10.563,10.75,5.8382,10300,0.0,1.0
2000-01-11,10.6249,10.813,10.625,10.625,5.7703,10200,0.0,1.0
2000-01-12,10.563,10.625,10.5,10.625,5.7703,11400,0.0,1.0
2000-01-13,10.438,10.563,10.375,10.438,5.724,8600,0.412,1.0
2000-01-14,10.563,10.563,10.438,10.5,5.7582,6600,0.0,1.0
2000-01-18,10.5,10.5003,10.25,10.313,5.6554,17700,0.0,1.0
2000-01-19,10.25,10.4383,10.25,10.313,5.6554,7800,0.0,1.0
2000-01-20,10.438,10.5,10.313,10.375,5.6897,10800,0.0,1.0
2000-01-21,10.4383,10.625,10.375,10.5,5.7582,14100,0.0,1.0
2000-01-24,10.5,10.625,10.5,10.625,5.8268,4900,0.0,1.0
2000-01-25,10.563,11.125,10.563,11.0,6.0324,21000,0.0,1.0
2000-01-26,10.875,11.188,10.813,11.063,6.0667,7900,0.0,1.0
2000-01-27,11.063,11.25,11.063,11.188,6.1353,4500,0.0,1.0
2000-01-28,11.063,11.25,10.625,10.75,5.8953,6400,0.0,1.0
2000-01-31,11.0,11.0,10.625,10.875,5.9639,4800,0.0,1.0
2000-02-01,10.875,11.0,10.875,10.938,5.9982,8100,0.0,1.0
2000-02-02,11.063,11.0633,10.813,10.938,5.9982,14300,0.0,1.0
2000-02-03,11.0,11.125,10.938,11.063,6.0667,15200,0.0,1.0
