timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-07-19,11.5,11.67,11.5,11.5,8.3017,1628200,0.0,1.0
2013-07-22,11.55,11.74,11.53,11.62,8.3883,299400,0.0,1.0
2013-07-23,11.73,11.78,11.65,11.75,8.4822,61900,0.0,1.0
2013-07-24,11.7,11.8,11.62,11.65,8.41,28900,0.0,1.0
2013-07-25,11.71,11.71,11.6,11.64,8.4028,18500,0.0,1.0
2013-07-26,11.67,11.68,11.5,11.5,8.3017,120300,0.0,1.0
2013-07-29,11.58,11.6,11.54,11.58,8.3594,12200,0.0,1.0
2013-07-30,11.61,11.61,11.52,11.53,8.3234,29700,0.0,1.0
2013-07-31,11.53,11.55,11.5,11.5,8.3017,97300,0.0,1.0
2013-08-01,11.5,11.65,11.5,11.6,8.3739,47200,0.0,1.0
2013-08-02,11.6,11.6,11.55,11.55,8.3378,56600,0.0,1.0
2013-08-05,11.62,11.63,11.53,11.63,8.3955,66900,0.0,1.0
2013-08-06,11.52,11.61,11.23,11.6,8.3739,35300,0.0,1.0
2013-08-07,11.45,11.63,11.42,11.45,8.2656,59200,0.0,1.0
2013-08-08,11.63,11.65,11.57,11.6,8.3739,47200,0.0,1.0
2013-08-09,11.64,11.65,11.53,11.56,8.345,28500,0.0,1.0
2013-08-12,11.5507,11.65,11.5,11.62,8.3883,82500,0.0,1.0
2013-08-13,11.63,11.75,11.63,11.67,8.4244,75100,0.0,1.0
2013-08-14,11.62,11.75,11.61,11.73,8.4677,44700,0.0,1.0
2013-08-15,11.61,11.85,11.44,11.79,8.511,106000,0.0,1.0
2013-08-16,11.72,11.81,11.4299,11.49,8.2945,128000,0.0,1.0
2013-08-19,11.53,11.5598,11.29,11.46,8.2728,48700,0.0,1.0
2013-08-20,11.43,11.66,11.43,11.5,8.3017,22700,0.0,1.0
2013-08-21,11.57,11.65,11.5,11.56,8.345,26400,0.0,1.0
2013-08-22,11.53,11.6,11.35,11.51,8.3089,21300,0.0,1.0
2013-08-23,11.57,11.5692,11.4,11.47,8.28,13300,0.0,1.0
2013-08-26,11.49,11.5,11.34,11.36,8.2006,21700,0.0,1.0
2013-08-27,11.39,11.45,11.0002,11.43,8.2512,36900,0.0,1.0
2013-08-28,11.45,11.55,11.45,11.5,8.3017,25400,0.0,1.0
2013-08-29,11.55,11.55,11.095,11.22,8.0996,24400,0.0,1.0
2013-08-30,11.2491,11.3,11.05,11.26,8.1284,44500,0.0,1.0
2013-09-03,11.31,11.6,11.19,11.51,8.3089,36000,0.0,1.0
2013-09-04,11.6,11.69,11.46,11.64,8.4028,18800,0.0,1.0
2013-09-05,11.59,11.6,11.5,11.54,8.3306,15700,0.0,1.0
2013-09-06,11.69,11.69,11.44,11.49,8.2945,9900,0.0,1.0
2013-09-09,11.5,11.705,11.49,11.67,8.4244,47000,0.0,1.0
2013-09-10,11.72,11.72,11.51,11.69,8.4389,37600,0.0,1.0
2013-09-11,11.7,11.7,11.53,11.66,8.4172,25100,0.0,1.0
2013-09-12,11.65,11.7,11.56,11.67,8.4244,65400,0.0,1.0
2013-09-13,11.69,11.8498,11.57,11.85,8.5544,47500,0.0,1.0
2013-09-16,11.85,12.063,11.56,11.94,8.6193,105000,0.0,1.0
2013-09-17,11.9,12.39,11.9,12.22,8.8215,84500,0.0,1.0
2013-09-18,12.18,12.27,11.91,12.22,8.8215,74100,0.0,1.0
2013-09-19,12.36,12.36,12.0505,12.27,8.8576,81400,0.0,1.0
2013-09-20,12.29,12.74,11.92,11.98,8.6482,196100,0.0,1.0
2013-09-23,12.05,12.25,11.9,12.02,8.6771,121900,0.0,1.0
2013-09-24,11.96,12.08,11.9,11.99,8.6554,77400,0.0,1.0
2013-09-25,12.0,12.3,11.95,12.07,8.7132,104300,0.0,1.0
2013-09-26,12.17,12.4,11.99,12.1,8.7348,144900,0.0,1.0
2013-09-27,12.09,12.1,12.0,12.07,8.7132,56000,0.0,1.0
2013-09-30,12.0493,12.58,11.8,12.12,8.7493,672100,0.0,1.0
2013-10-01,12.18,12.7397,12.13,12.38,8.937,126300,0.0,1.0
2013-10-02,12.58,12.74,12.33,12.64,9.1246,175100,0.0,1.0
2013-10-03,12.56,12.56,12.24,12.41,8.9586,93200,0.0,1.0
2013-10-04,12.38,12.67,12.38,12.49,9.0164,46500,0.0,1.0
2013-10-07,12.42,12.6,12.13,12.49,9.0164,55700,0.0,1.0
2013-10-08,12.51,12.51,12.23,12.31,8.8864,66500,0.0,1.0
2013-10-09,12.3698,12.6,12.37,12.48,9.0091,87600,0.0,1.0
2013-10-10,12.59,12.9,12.41,12.76,9.2113,80200,0.0,1.0
2013-10-11,12.75,12.86,12.43,12.76,9.2113,87700,0.0,1.0
2013-10-14,12.7,13.0,12.7,12.85,9.2762,100400,0.0,1.0
2013-10-15,12.85,12.93,12.76,12.88,9.2979,82300,0.0,1.0
2013-10-16,12.73,12.88,12.65,12.81,9.3784,73600,0.18,1.0
2013-10-17,12.7796,12.93,12.75,12.87,9.4224,81500,0.0,1.0
2013-10-18,12.94,12.9593,12.76,12.8,9.3711,78300,0.0,1.0
2013-10-21,12.85,12.859,12.73,12.8,9.3711,62600,0.0,1.0
2013-10-22,12.81,12.85,12.71,12.8,9.3711,55500,0.0,1.0
2013-10-23,12.8,12.82,12.77,12.8,9.3711,54900,0.0,1.0
2013-10-24,12.8,12.85,12.7,12.76,9.3418,43200,0.0,1.0
2013-10-25,12.8,12.82,12.7,12.82,9.3858,32300,0.0,1.0
2013-10-28,12.85,12.85,12.75,12.77,9.3492,18800,0.0,1.0
2013-10-29,12.75,12.8,12.7401,12.8,9.3711,32000,0.0,1.0
2013-10-30,12.84,12.84,12.42,12.56,9.1954,56000,0.0,1.0
2013-10-31,12.6002,12.705,12.33,12.56,9.1954,98500,0.0,1.0
2013-11-01,12.63,12.64,12.36,12.45,9.1149,42600,0.0,1.0
2013-11-04,12.45,12.85,12.4505,12.78,9.3565,42600,0.0,1.0
2013-11-05,12.76,12.8,12.62,12.71,9.3052,37200,0.0,1.0
2013-11-06,12.7,12.705,12.45,12.59,9.2174,56300,0.0,1.0
2013-11-07,12.66,12.66,12.21,12.21,8.9392,40700,0.0,1.0
2013-11-08,12.21,12.25,12.1,12.19,8.9245,42500,0.0,1.0
2013-11-11,12.19,12.61,12.19,12.45,9.1149,46800,0.0,1.0
2013-11-12,12.45,12.84,12.25,12.69,9.2906,36000,0.0,1.0
2013-11-13,12.55,12.58,12.33,12.45,9.1149,81400,0.0,1.0
2013-11-14,12.45,12.45,12.35,12.38,9.0636,21100,0.0,1.0
2013-11-15,12.39,12.4,12.25,12.32,9.0197,45200,0.0,1.0
2013-11-18,12.33,12.35,12.12,12.23,8.9538,47200,0.0,1.0
2013-11-19,12.26,12.33,12.0,12.23,8.9538,41400,0.0,1.0
2013-11-20,12.25,12.25,11.885,12.09,8.8513,66100,0.0,1.0
2013-11-21,12.12,12.2302,12.08,12.13,8.8806,60100,0.0,1.0
2013-11-22,12.15,12.17,11.9,12.06,8.8293,30700,0.0,1.0
2013-11-25,12.08,12.08,11.95,12.02,8.8001,28800,0.0,1.0
2013-11-26,12.07,12.1,11.88,11.96,8.7561,92600,0.0,1.0
2013-11-27,12.0,12.1,11.95,11.98,8.7708,44300,0.0,1.0
2013-11-29,12.05,12.05,11.93,11.95,8.7488,11700,0.0,1.0
2013-12-02,11.89,11.9,11.36,11.46,8.3901,142700,0.0,1.0
2013-12-03,11.35,11.35,11.16,11.24,8.229,139400,0.0,1.0
2013-12-04,11.1491,11.34,11.05,11.26,8.2437,247300,0.0,1.0
2013-12-05,11.25,11.56,11.25,11.51,8.4267,338900,0.0,1.0
2013-12-06,11.46,11.7,11.1091,11.68,8.5511,1698000,0.0,1.0
2013-12-09,11.7,11.81,11.6,11.62,8.5072,436200,0.0,1.0
2013-12-10,11.66,11.74,11.585,11.64,8.5219,256200,0.0,1.0
2013-12-11,11.62,11.78,11.5,11.67,8.5438,180300,0.0,1.0
2013-12-12,11.7,11.7,11.59,11.6,8.4926,144800,0.0,1.0
2013-12-13,11.64,11.7,11.43,11.56,8.4633,182100,0.0,1.0
2013-12-16,11.62,12.16,11.4508,11.95,8.7488,250500,0.0,1.0
2013-12-17,11.95,12.14,11.71,12.0,8.7854,196600,0.0,1.0
2013-12-18,12.0,12.42,11.96,12.33,9.027,328100,0.0,1.0
2013-12-19,12.35,12.45,12.25,12.41,9.0856,158100,0.0,1.0
2013-12-20,12.35,12.7,12.27,12.7,9.2979,1263100,0.0,1.0
2013-12-23,12.6,12.86,12.58,12.8,9.3711,143600,0.0,1.0
2013-12-24,12.8,12.81,12.66,12.71,9.3052,85000,0.0,1.0
2013-12-26,12.7,12.84,12.65,12.7,9.2979,149500,0.0,1.0
2013-12-27,12.75,12.8,12.45,12.68,9.2833,138500,0.0,1.0
2013-12-30,12.64,12.75,12.42,12.46,9.1222,127800,0.0,1.0
2013-12-31,12.53,12.77,12.46,12.74,9.3272,140700,0.0,1.0
2014-01-02,12.68,12.68,12.44,12.57,9.2027,81100,0.0,1.0
2014-01-03,12.56,12.96,12.5,12.84,9.4004,157100,0.0,1.0
2014-01-06,13.06,13.18,12.7,12.78,9.3565,174100,0.0,1.0
2014-01-07,12.94,12.99,12.76,12.88,9.4297,176200,0.0,1.0
2014-01-08,12.96,13.08,12.78,12.84,9.4004,236700,0.0,1.0
2014-01-09,12.91,12.91,12.61,12.8,9.3711,178300,0.0,1.0
2014-01-10,12.8308,12.89,12.79,12.85,9.4077,115400,0.0,1.0
2014-01-13,12.87,12.9,12.75,12.84,9.4004,181600,0.0,1.0
2014-01-14,12.91,13.04,12.83,13.0,9.5175,138100,0.0,1.0
2014-01-15,13.08,13.25,13.0203,13.13,9.6127,141600,0.0,1.0
2014-01-16,13.15,13.3,13.1,13.15,9.6274,132900,0.0,1.0
2014-01-17,13.13,13.3,12.9,13.0,9.5175,109100,0.0,1.0
