timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-10-10,13.0,13.0,12.26,12.5,1.5131,6719500,0.0,1.0
2002-10-11,12.35,12.7,12.35,12.38,1.4986,486600,0.0,1.0
2002-10-14,12.4,12.8,12.4,12.7,1.5373,486600,0.0,1.0
2002-10-15,12.6,13.01,12.5,13.0,1.5737,352300,0.0,1.0
2002-10-16,12.95,13.4,12.9,13.25,1.6039,275400,0.0,1.0
2002-10-17,13.24,13.35,13.0,13.05,1.5797,197900,0.0,1.0
2002-10-18,13.04,13.2,13.03,13.05,1.5797,64100,0.0,1.0
2002-10-21,13.05,13.2,12.9999,13.09,1.5845,47900,0.0,1.0
2002-10-22,13.05,13.09,13.0,13.0,1.5737,23900,0.0,1.0
2002-10-23,13.05,13.1,13.05,13.06,1.5809,37900,0.0,1.0
2002-10-24,13.1,13.15,13.1,13.14,1.5906,28400,0.0,1.0
2002-10-25,13.14,13.2,13.06,13.2,1.5979,40600,0.0,1.0
2002-10-28,13.15,13.25,13.1001,13.25,1.6039,43400,0.0,1.0
2002-10-29,13.25,13.29,13.15,13.25,1.6039,44600,0.0,1.0
2002-10-30,13.2,13.25,13.2,13.2,1.5979,21100,0.0,1.0
2002-10-31,13.2,13.4,13.2,13.4,1.6221,35100,0.0,1.0
2002-11-01,13.45,13.45,13.3,13.3,1.61,14400,0.0,1.0
2002-11-04,13.35,13.35,13.3,13.3,1.61,2700,0.0,1.0
2002-11-05,13.3,13.3,13.21,13.3,1.61,13900,0.0,1.0
2002-11-06,13.3,13.35,13.3,13.35,1.616,22300,0.0,1.0
2002-11-07,13.32,13.51,13.3203,13.51,1.6354,76300,0.0,1.0
2002-11-08,13.4497,13.5,13.32,13.5,1.6342,34000,0.0,1.0
2002-11-11,13.4998,13.5,13.39,13.39,1.6209,6600,0.0,1.0
2002-11-12,13.35,13.45,13.25,13.45,1.6281,47300,0.0,1.0
2002-11-13,13.45,13.5,13.35,13.5,1.6342,28400,0.0,1.0
2002-11-14,13.5,13.51,13.5003,13.5,1.6342,21100,0.0,1.0
2002-11-15,13.5001,13.5,13.5,13.5,1.6342,4400,0.0,1.0
2002-11-18,13.6,13.7,13.6,13.7,1.6584,22800,0.0,1.0
2002-11-19,13.75,13.8,13.7,13.75,1.6644,62900,0.0,1.0
2002-11-20,13.71,13.8,13.71,13.75,1.6644,56800,0.0,1.0
2002-11-21,13.7,13.75,13.7,13.75,1.6644,22800,0.0,1.0
2002-11-22,13.75,13.8,13.71,13.8,1.6705,199000,0.0,1.0
2002-11-25,13.9,14.15,13.9,13.98,1.6923,197300,0.0,1.0
2002-11-26,13.95,14.0,13.95,14.0,1.6947,25000,0.0,1.0
2002-11-27,14.0,14.05,14.0,14.01,1.6959,47900,0.0,1.0
2002-11-29,14.08,14.08,13.95,13.95,1.6886,39000,0.0,1.0
2002-12-02,14.04,14.09,14.0,14.0,1.6947,34500,0.0,1.0
2002-12-03,13.95,14.08,13.95,14.05,1.7008,17800,0.0,1.0
2002-12-04,14.09,14.1,14.05,14.06,1.702,109800,0.0,1.0
2002-12-05,14.1,14.101,13.9,13.9,1.6826,357300,0.0,1.0
2002-12-06,13.9495,14.05,13.95,14.0,1.6947,7800,0.0,1.0
2002-12-09,14.05,14.05,13.95,14.0,1.6947,34500,0.0,1.0
2002-12-10,14.05,14.05,14.0,14.01,1.6959,176700,0.0,1.0
2002-12-11,14.09,14.3,14.09,14.25,1.725,44600,0.0,1.0
