timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,15.375,15.438,15.313,15.438,5.3039,11900,0.078,1.0
1999-09-14,15.375,15.438,15.313,15.438,5.3039,13500,0.0,1.0
1999-09-15,15.375,15.4364,15.375,15.438,5.3039,500,0.0,1.0
1999-09-16,15.313,15.313,15.25,15.313,5.2609,7300,0.0,1.0
1999-09-17,15.25,15.313,15.25,15.313,5.2609,3500,0.0,1.0
1999-09-20,15.25,15.313,15.25,15.313,5.2609,1100,0.0,1.0
1999-09-21,15.313,15.313,15.188,15.25,5.2394,4200,0.0,1.0
1999-09-22,15.188,15.188,15.063,15.188,5.218,4100,0.0,1.0
1999-09-23,15.063,15.188,15.063,15.125,5.1965,10000,0.0,1.0
1999-09-24,15.063,15.1241,15.063,15.125,5.1965,3200,0.0,1.0
1999-09-27,15.063,15.125,15.0,15.125,5.1965,4200,0.0,1.0
1999-09-28,15.125,15.125,15.0,15.0,5.1536,2400,0.0,1.0
1999-09-29,15.0,15.063,15.0,15.063,5.175,6100,0.0,1.0
1999-09-30,15.063,15.063,15.063,15.063,5.175,2500,0.0,1.0
1999-10-01,14.938,15.063,14.938,15.063,5.175,11500,0.0,1.0
1999-10-04,15.0,15.0,14.938,14.938,5.1321,10300,0.0,1.0
1999-10-05,14.938,15.063,14.9381,15.0,5.1536,22800,0.0,1.0
1999-10-06,15.0,15.125,15.0,15.125,5.1965,5000,0.0,1.0
1999-10-07,15.0,15.125,15.0,15.125,5.1965,21200,0.0,1.0
1999-10-08,15.063,15.125,15.063,15.125,5.1965,5300,0.0,1.0
1999-10-11,15.125,15.188,15.063,15.125,5.1965,5400,0.0,1.0
1999-10-12,15.063,15.188,15.063,15.063,5.175,15800,0.0,1.0
1999-10-13,15.063,15.063,14.938,15.063,5.202,5000,0.078,1.0
1999-10-14,15.125,15.125,14.875,14.875,5.1372,12200,0.0,1.0
1999-10-15,14.813,14.813,14.688,14.813,5.1156,8900,0.0,1.0
1999-10-18,14.688,14.75,14.688,14.688,5.0725,11100,0.0,1.0
1999-10-19,14.688,14.75,14.625,14.688,5.0725,4700,0.0,1.0
1999-10-20,14.625,14.625,14.563,14.625,5.0509,6500,0.0,1.0
1999-10-21,14.563,14.625,14.563,14.625,5.0509,1400,0.0,1.0
1999-10-22,14.625,14.6249,14.5,14.563,5.0293,3700,0.0,1.0
1999-10-25,14.563,14.563,14.5,14.563,5.0293,7800,0.0,1.0
1999-10-26,14.5006,14.5,14.438,14.5,5.0077,5800,0.0,1.0
1999-10-27,14.4998,14.5,14.375,14.375,4.9645,6500,0.0,1.0
1999-10-28,14.375,14.375,14.1253,14.125,4.8782,34100,0.0,1.0
1999-10-29,14.25,14.25,14.125,14.125,4.8782,17000,0.0,1.0
1999-11-01,14.188,14.25,14.188,14.188,4.8998,19700,0.0,1.0
1999-11-02,14.188,14.188,14.125,14.125,4.8782,8700,0.0,1.0
1999-11-03,14.1875,14.188,14.125,14.188,4.8998,6400,0.0,1.0
1999-11-04,14.125,14.188,14.125,14.125,4.8782,11900,0.0,1.0
1999-11-05,14.188,14.25,14.125,14.188,4.8998,23400,0.0,1.0
1999-11-08,14.125,14.188,14.063,14.125,4.8782,9300,0.0,1.0
1999-11-09,14.125,14.125,14.063,14.125,4.8782,7200,0.0,1.0
1999-11-10,14.0,14.0,13.875,13.875,4.8185,12300,0.078,1.0
1999-11-11,13.813,13.813,13.375,13.5,4.6882,29400,0.0,1.0
1999-11-12,13.563,13.75,13.563,13.75,4.775,30600,0.0,1.0
1999-11-15,13.6873,13.75,13.625,13.688,4.7533,23300,0.0,1.0
1999-11-16,13.625,13.75,13.563,13.688,4.7533,15700,0.0,1.0
1999-11-17,13.6245,13.75,13.5,13.563,4.7099,16200,0.0,1.0
1999-11-18,13.5,13.625,13.5,13.563,4.7099,29800,0.0,1.0
1999-11-19,13.5,13.563,13.438,13.563,4.7099,10200,0.0,1.0
1999-11-22,13.563,13.563,13.438,13.563,4.7099,7400,0.0,1.0
1999-11-23,13.563,13.563,13.375,13.438,4.6665,20300,0.0,1.0
1999-11-24,13.438,13.5,13.375,13.438,4.6665,12100,0.0,1.0
1999-11-26,13.438,13.5003,13.438,13.5,4.6882,1900,0.0,1.0
1999-11-29,13.375,13.375,13.125,13.25,4.6014,14900,0.0,1.0
1999-11-30,13.188,13.188,13.125,13.188,4.5797,8900,0.0,1.0
1999-12-01,13.188,13.2503,13.125,13.125,4.558,23800,0.0,1.0
1999-12-02,13.188,13.25,13.125,13.125,4.558,8800,0.0,1.0
1999-12-03,13.1251,13.125,12.938,13.0,4.5146,20700,0.0,1.0
1999-12-06,13.063,13.063,13.0,13.0,4.5146,15700,0.0,1.0
1999-12-07,13.0,13.063,12.938,13.0,4.5146,25500,0.0,1.0
1999-12-08,12.938,13.0,12.938,13.0,4.5146,15200,0.0,1.0
1999-12-09,13.0,13.0,12.938,12.938,4.4929,16300,0.0,1.0
1999-12-10,12.938,13.125,12.938,13.125,4.558,37100,0.0,1.0
1999-12-13,12.938,13.125,12.938,13.0,4.5416,28500,0.078,1.0
