timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-10-13,3.359,3.359,3.359,3.359,2.8471,0,0.0,1.0
2016-10-14,3.359,3.359,3.359,3.359,2.8471,0,0.0,1.0
2016-10-21,51.27,51.27,50.35,51.0,43.2274,124200,0.0,1.0
2016-10-24,51.39,51.4,51.36,51.37,43.541,142500,0.0,1.0
2016-10-25,51.28,52.0,51.28,51.72,43.8377,84400,0.0,1.0
2016-10-26,51.9,52.0,51.5,51.9,43.9902,122800,0.0,1.0
2016-10-27,51.5,51.5,51.5,51.5,43.6512,52600,0.0,1.0
2016-10-28,51.691,51.7,51.691,51.7,43.8207,500,0.0,1.0
2016-10-31,51.9,53.25,51.9,53.25,45.1345,269400,0.0,1.0
2016-11-01,52.98,52.98,51.79,51.9,43.9902,67400,0.0,1.0
2016-11-02,51.9,51.9,50.11,51.381,43.5503,38400,0.0,1.0
2016-11-03,51.43,51.435,51.0,51.0,43.2274,65100,0.0,1.0
2016-11-04,51.01,52.5,51.01,52.5,44.4988,7500,0.0,1.0
2016-11-07,52.34,52.35,51.445,52.23,44.2699,2900,0.0,1.0
2016-11-08,52.24,52.5,52.24,52.5,44.4988,195000,0.0,1.0
2016-11-09,52.0,52.0,51.25,51.25,43.4393,55700,0.0,1.0
2016-11-10,51.5,51.5,50.29,50.5,42.8036,263600,0.0,1.0
2016-11-11,50.152,50.94,50.152,50.94,43.1765,2700,0.0,1.0
2016-11-14,50.61,50.93,50.1,50.47,42.7782,153000,0.0,1.0
2016-11-15,51.938,51.938,51.6,51.81,43.914,51200,0.0,1.0
2016-11-16,50.46,51.81,50.46,51.375,43.5453,1400,0.0,1.0
2016-11-17,50.772,52.34,50.772,52.34,44.3632,1400,0.0,1.0
2016-11-18,52.33,52.33,50.61,50.84,43.0918,157300,0.0,1.0
2016-11-21,50.972,51.21,50.18,50.703,42.9757,82200,0.0,1.0
2016-11-22,50.45,51.5,50.45,51.15,43.3545,3700,0.0,1.0
2016-11-23,51.5,51.5,50.75,50.77,43.0325,3300,0.0,1.0
2016-11-25,51.25,51.45,51.25,51.25,43.4393,13800,0.0,1.0
2016-11-28,51.55,52.23,51.55,52.1,44.1598,608600,0.0,1.0
2016-11-29,52.0,52.6,52.0,52.42,44.431,22600,0.0,1.0
2016-11-30,52.0,52.49,50.71,51.0,43.2274,17000,0.0,1.0
2016-12-01,51.11,51.31,50.83,50.99,43.2189,106500,0.0,1.0
2016-12-02,51.54,53.9,51.33,52.8,44.7531,456200,0.0,1.0
2016-12-05,52.12,52.83,51.75,51.91,43.9987,564700,0.0,1.0
2016-12-06,52.47,53.24,51.91,53.24,45.126,87400,0.0,1.0
2016-12-07,52.8,53.85,52.701,53.05,44.965,447400,0.0,1.0
2016-12-08,52.865,53.9,52.865,53.9,45.6854,1800,0.0,1.0
2016-12-09,53.59,53.59,52.59,52.76,44.7192,53500,0.0,1.0
2016-12-12,53.07,53.2,52.74,52.78,44.7361,3600,0.0,1.0
2016-12-13,52.85,53.05,52.512,52.85,45.4586,47700,0.77,1.0
2016-12-14,52.49,53.1,51.63,51.74,44.5039,3900,0.0,1.0
2016-12-15,52.15,52.4,51.94,51.96,44.6931,5800,0.0,1.0
2016-12-16,52.4,54.49,52.375,53.99,46.4392,27900,0.0,1.0
2016-12-19,53.94,53.94,52.69,53.0,45.5877,7900,0.0,1.0
2016-12-20,52.51,53.0,52.51,52.96,45.5533,19800,0.0,1.0
2016-12-21,52.93,53.49,52.51,52.66,45.2952,55000,0.0,1.0
2016-12-22,52.995,53.49,52.5,53.45,45.9747,133800,0.0,1.0
2016-12-23,53.5,53.5,52.502,52.51,45.1662,30200,0.0,1.0
2016-12-27,52.52,53.47,52.502,53.19,45.7511,5900,0.0,1.0
2016-12-28,52.5,53.19,51.88,52.5,45.1576,1300,0.0,1.0
2016-12-29,53.0,53.31,52.42,53.29,45.8371,67200,0.0,1.0
2016-12-30,51.022,53.41,51.022,53.0,45.5877,18800,0.0,1.0
2017-01-03,53.5,53.5,51.122,52.89,45.493,242300,0.0,1.0
2017-01-04,52.75,53.5,51.9,51.9,44.6415,78100,0.0,1.0
2017-01-05,52.3,53.19,52.3,52.51,45.1662,146900,0.0,1.0
2017-01-06,53.0,53.15,52.0,52.0,44.7275,22500,0.0,1.0
2017-01-09,52.51,52.78,52.0,52.22,44.9168,93200,0.0,1.0
2017-01-10,52.23,53.19,51.531,52.213,44.9107,31500,0.0,1.0
2017-01-11,52.405,52.76,52.366,52.76,45.3812,32900,0.0,1.0
2017-01-12,53.0,53.0,51.98,52.4,45.0716,112200,0.0,1.0
2017-01-13,52.072,52.392,52.03,52.392,45.0647,1400,0.0,1.0
2017-01-17,51.94,52.96,51.94,52.95,45.5447,29800,0.0,1.0
2017-01-18,52.5,53.04,52.3,53.04,45.6221,13300,0.0,1.0
2017-01-19,52.3,52.467,52.3,52.467,45.1292,122400,0.0,1.0
2017-01-20,52.21,52.71,52.21,52.32,45.0028,54700,0.0,1.0
2017-01-23,52.355,52.99,52.0,52.18,44.8823,7000,0.0,1.0
2017-01-24,52.06,52.879,51.9,52.01,44.7361,58200,0.0,1.0
2017-01-25,52.0,52.58,52.0,52.58,45.2264,40800,0.0,1.0
2017-01-26,52.53,52.81,52.05,52.07,44.7877,64600,0.0,1.0
2017-01-27,52.2,52.903,51.824,51.971,44.7026,54500,0.0,1.0
2017-01-30,52.3,52.99,51.85,51.88,44.6243,1700,0.0,1.0
2017-01-31,52.266,53.03,52.06,53.03,45.6135,2900,0.0,1.0
2017-02-01,52.76,52.76,52.032,52.13,44.8393,5100,0.0,1.0
2017-02-02,52.158,53.0,52.158,52.98,45.5705,3100,0.0,1.0
2017-02-03,52.39,53.0,51.82,52.352,45.0303,1800,0.0,1.0
2017-02-06,52.317,52.94,52.24,52.89,45.493,5400,0.0,1.0
2017-02-07,52.76,52.94,52.514,52.94,45.5361,7800,0.0,1.0
2017-02-08,52.726,52.94,52.6,52.61,45.2522,4400,0.0,1.0
2017-02-09,52.45,52.54,51.894,52.4,45.0716,3000,0.0,1.0
2017-02-10,52.057,52.9,51.8,51.81,44.5641,69700,0.0,1.0
2017-02-13,52.25,53.69,52.151,53.69,46.1812,84500,0.0,1.0
2017-02-14,52.51,53.13,52.31,52.55,45.2006,58700,0.0,1.0
2017-02-15,52.31,52.895,52.28,52.78,45.3984,54200,0.0,1.0
2017-02-16,52.438,52.73,52.3,52.338,45.0183,59900,0.0,1.0
2017-02-17,52.17,52.78,52.15,52.18,44.8823,2400,0.0,1.0
2017-02-21,52.56,53.0,52.482,53.0,45.5877,2000,0.0,1.0
2017-02-22,52.784,53.0,52.245,52.45,45.1146,5900,0.0,1.0
2017-02-23,52.619,53.49,52.619,53.49,46.0091,36900,0.0,1.0
2017-02-24,53.0,54.38,52.97,54.35,46.7489,16400,0.0,1.0
2017-02-27,53.88,53.99,52.98,53.99,46.4392,5100,0.0,1.0
2017-02-28,54.45,54.45,53.414,54.0,46.4478,9600,0.0,1.0
2017-03-01,53.1,53.99,53.1,53.89,46.3532,21300,0.0,1.0
2017-03-02,53.335,53.95,53.27,53.27,45.8199,67300,0.0,1.0
2017-03-03,53.31,54.429,53.31,54.27,46.6801,1800,0.0,1.0
2017-03-06,54.37,54.44,54.26,54.39,46.7833,1300,0.0,1.0
2017-03-07,53.39,54.44,53.39,54.34,46.7403,3300,0.0,1.0
2017-03-08,54.147,54.147,53.11,53.16,45.7253,93100,0.0,1.0
2017-03-09,54.32,54.32,52.75,52.85,45.4586,108100,0.0,1.0
2017-03-10,53.506,53.506,52.96,53.01,45.5963,2300,0.0,1.0
2017-03-13,53.13,53.15,52.97,53.03,45.6135,35900,0.0,1.0
2017-03-14,53.1,53.59,53.0,53.52,46.0349,62500,0.0,1.0
2017-03-15,52.7,52.95,52.3,52.77,46.0873,10300,0.81,1.0
2017-03-16,52.38,52.87,52.38,52.75,46.0699,92500,0.0,1.0
2017-03-17,52.53,52.88,51.43,52.55,45.8952,103900,0.0,1.0
2017-03-20,52.66,52.86,52.34,52.34,45.7118,52300,0.0,1.0
2017-03-21,52.88,52.98,52.42,52.98,46.2708,24900,0.0,1.0
2017-03-22,52.6,53.75,52.6,53.309,46.5581,3700,0.0,1.0
2017-03-23,52.43,53.49,52.43,52.9,46.2009,53200,0.0,1.0
2017-03-24,53.192,53.31,52.92,52.93,46.2271,5000,0.0,1.0
2017-03-27,52.95,53.45,52.7,53.42,46.655,2300,0.0,1.0
2017-03-28,53.45,53.45,53.11,53.42,46.655,56100,0.0,1.0
2017-03-29,53.26,54.39,53.0,53.0,46.2882,28200,0.0,1.0
2017-03-30,54.43,54.43,52.65,53.78,46.9694,7600,0.0,1.0
2017-03-31,53.49,53.74,52.73,53.73,46.9258,11400,0.0,1.0
2017-04-03,53.77,53.77,52.82,52.89,46.1921,46700,0.0,1.0
2017-04-04,53.02,54.34,53.02,54.29,47.4148,30500,0.0,1.0
2017-04-05,53.49,53.93,53.25,53.63,46.8384,85400,0.0,1.0
2017-04-06,53.585,53.77,53.585,53.74,46.9345,376800,0.0,1.0
2017-04-07,53.27,53.96,53.27,53.85,47.0306,39200,0.0,1.0
2017-04-10,53.99,54.08,53.48,53.85,47.0306,56600,0.0,1.0
2017-04-11,53.67,54.1,53.25,53.63,46.8384,103900,0.0,1.0
2017-04-12,53.825,54.3,53.45,54.15,47.2926,54500,0.0,1.0
2017-04-13,54.07,54.1,53.8,53.8,46.9869,1900,0.0,1.0
2017-04-17,53.52,54.27,53.52,54.27,47.3974,600,0.0,1.0
2017-04-18,53.71,54.141,53.71,53.964,47.1301,1300,0.0,1.0
2017-04-19,54.003,54.2,53.83,53.83,47.0131,24600,0.0,1.0
2017-04-20,53.6,54.0,53.52,53.52,46.7424,67900,0.0,1.0
2017-04-21,54.15,54.19,53.55,53.82,47.0044,10800,0.0,1.0
2017-04-24,54.005,54.14,53.62,53.95,47.1179,16000,0.0,1.0
2017-04-25,54.15,54.33,53.75,54.08,47.2314,51500,0.0,1.0
2017-04-26,53.83,54.11,53.8,53.81,46.9956,1800,0.0,1.0
2017-04-27,53.51,54.3,53.51,54.28,47.4061,4300,0.0,1.0
2017-04-28,53.92,54.2,53.87,53.89,47.0655,51900,0.0,1.0
2017-05-01,54.3,54.3,53.59,53.96,47.1266,53500,0.0,1.0
2017-05-02,54.26,54.26,53.64,53.925,47.0961,182000,0.0,1.0
2017-05-03,53.38,53.95,53.38,53.38,46.6201,1900,0.0,1.0
2017-05-04,53.39,54.14,53.39,54.14,47.2839,116900,0.0,1.0
2017-05-05,54.01,54.28,53.77,53.81,46.9956,4000,0.0,1.0
2017-05-08,53.62,53.75,53.62,53.63,46.8384,7800,0.0,1.0
2017-05-09,53.26,53.73,53.26,53.42,46.655,48500,0.0,1.0
2017-05-10,53.57,53.85,53.57,53.85,47.0306,26700,0.0,1.0
2017-05-11,54.0,54.0,53.495,53.6,46.8122,1200,0.0,1.0
2017-05-12,53.71,54.04,53.71,53.93,47.1004,1100,0.0,1.0
2017-05-15,53.86,54.21,53.86,53.95,47.1179,20200,0.0,1.0
2017-05-16,54.24,54.28,53.83,53.83,47.0131,58100,0.0,1.0
2017-05-17,54.05,54.05,54.0,54.0,47.1616,600,0.0,1.0
2017-05-18,54.3,54.46,54.0,54.35,47.4673,1600,0.0,1.0
2017-05-19,54.21,54.34,54.07,54.09,47.2402,15300,0.0,1.0
2017-05-22,54.09,54.47,54.09,54.43,47.5371,2200,0.0,1.0
2017-05-23,54.4,54.67,54.07,54.48,47.5808,4100,0.0,1.0
2017-05-24,54.652,54.98,54.438,54.91,47.9563,1600,0.0,1.0
2017-05-25,54.95,55.62,54.76,55.45,48.428,163300,0.0,1.0
2017-05-26,55.45,57.51,54.88,55.62,48.5764,30900,0.0,1.0
2017-05-30,55.32,55.45,54.59,55.0,48.0349,30700,0.0,1.0
2017-05-31,56.5,58.33,54.82,54.82,47.8777,72100,0.0,1.0
2017-06-01,55.68,57.49,55.35,55.79,48.7249,50800,0.0,1.0
2017-06-02,56.21,56.21,55.7,55.89,48.8122,106600,0.0,1.0
2017-06-05,56.0,56.0,55.25,55.25,48.2533,800,0.0,1.0
2017-06-06,55.64,55.8,55.461,55.75,48.69,222700,0.0,1.0
2017-06-07,56.12,57.58,55.89,56.13,49.0218,96900,0.0,1.0
2017-06-08,55.28,55.91,55.28,55.91,48.8297,50800,0.0,1.0
2017-06-09,55.75,55.75,55.5,55.5,48.4716,51800,0.0,1.0
2017-06-12,55.505,56.02,55.505,55.75,48.69,57400,0.0,1.0
2017-06-13,55.56,56.05,55.55,55.8,48.7336,96800,0.0,1.0
2017-06-14,55.44,56.69,54.91,55.78,49.4337,33800,0.81,1.0
2017-06-15,55.168,56.26,55.168,56.0,49.6287,184300,0.0,1.0
2017-06-16,56.1,56.1,56.09,56.09,49.7085,1400,0.0,1.0
2017-06-19,56.15,56.52,55.93,56.12,49.7351,10900,0.0,1.0
2017-06-20,55.83,56.44,55.83,56.25,49.8503,76600,0.0,1.0
2017-06-21,56.05,57.235,55.54,55.75,49.4072,161300,0.0,1.0
2017-06-22,55.8,55.8,55.52,55.566,49.2441,82400,0.0,1.0
2017-06-23,55.5,55.88,55.22,55.22,48.9375,210400,0.0,1.0
2017-06-26,55.25,55.82,55.19,55.8,49.4515,3800,0.0,1.0
2017-06-27,55.61,55.61,55.61,55.61,49.2831,1200,0.0,1.0
2017-06-28,55.05,55.24,54.41,54.94,48.6893,15000,0.0,1.0
2017-06-29,54.5,55.01,54.3,54.6,48.388,60900,0.0,1.0
2017-06-30,54.443,54.88,54.09,54.85,48.6096,4300,0.0,1.0
2017-07-03,54.93,54.97,54.315,54.8,48.5653,9800,0.0,1.0
2017-07-05,54.36,54.391,54.155,54.155,47.9936,2400,0.0,1.0
2017-07-06,54.38,54.7,54.222,54.69,48.4678,19000,0.0,1.0
2017-07-07,54.37,54.7,53.61,53.61,47.5106,115300,0.0,1.0
2017-07-10,53.75,54.32,53.72,54.29,48.1133,183300,0.0,1.0
2017-07-11,54.079,54.24,54.0,54.15,47.9892,47700,0.0,1.0
2017-07-12,54.24,54.4,54.0,54.0,47.8563,3600,0.0,1.0
2017-07-13,54.278,54.99,53.93,53.93,47.7942,129000,0.0,1.0
2017-07-14,54.12,54.45,53.78,53.78,47.6613,79900,0.0,1.0
2017-07-17,54.43,54.62,54.3,54.62,48.4057,298500,0.0,1.0
2017-07-18,54.54,54.64,54.3,54.3,48.1221,4900,0.0,1.0
2017-07-19,54.52,54.64,53.81,54.64,48.4235,23200,0.0,1.0
2017-07-20,54.38,54.87,54.281,54.75,48.5209,31200,0.0,1.0
2017-07-21,54.5,55.09,54.5,54.95,48.6982,36500,0.0,1.0
2017-07-24,54.95,54.97,54.175,54.3,48.1221,96900,0.0,1.0
2017-07-25,54.656,54.92,54.1,54.41,48.2196,33200,0.0,1.0
2017-07-26,54.75,54.99,54.41,54.87,48.6273,5200,0.0,1.0
2017-07-27,54.47,55.14,54.47,55.14,48.8666,7900,0.0,1.0
