timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-07-01,20.0,20.25,20.0,20.0,5.9859,2524700,0.0,1.0
2010-07-02,20.01,20.05,20.0,20.0,5.9859,183200,0.0,1.0
2010-07-06,20.01,20.07,19.6,19.81,5.9291,686400,0.0,1.0
2010-07-07,19.81,20.05,19.8,20.0,5.9859,124000,0.0,1.0
2010-07-08,19.99,20.728,19.95,20.24,6.0578,321900,0.0,1.0
2010-07-09,20.4997,20.5,20.04,20.47,6.1266,62800,0.0,1.0
2010-07-12,20.17,20.59,20.17,20.25,6.0608,251800,0.0,1.0
2010-07-13,20.3,20.37,20.2,20.25,6.0608,100800,0.0,1.0
2010-07-14,20.19,20.44,20.12,20.25,6.0757,17200,0.0,1.0
2010-07-15,20.21,20.39,20.15,20.38,6.0997,16600,0.0,1.0
2010-07-16,20.3,20.5,20.2,20.2,6.0458,14800,0.0,1.0
2010-07-19,20.34,20.34,19.68,19.92,5.962,110900,0.0,1.0
2010-07-20,19.82,20.233,19.79,20.23,6.0548,58900,0.0,1.0
2010-07-21,19.96,20.35,19.835,20.19,6.0428,116500,0.0,1.0
2010-07-22,20.06,20.1,19.96,20.065,6.0069,67000,0.0,1.0
2010-07-23,20.24,20.24,19.83,20.02,5.9919,62600,0.0,1.0
2010-07-26,20.0,20.18,19.922,20.03,5.9949,42700,0.0,1.0
2010-07-27,20.14,20.14,19.25,19.79,5.9231,220500,0.0,1.0
2010-07-28,19.8,19.94,19.61,19.8,5.9261,79400,0.0,1.0
2010-07-29,19.5903,19.87,19.56,19.85,5.941,62200,0.0,1.0
2010-07-30,19.8,19.9,19.64,19.82,5.9321,68800,0.0,1.0
2010-08-02,19.75,19.95,19.51,19.7,5.8962,106000,0.0,1.0
2010-08-03,19.88,19.88,19.37,19.59,5.8632,104000,0.0,1.0
2010-08-04,19.59,19.79,19.31,19.74,5.9081,86100,0.0,1.0
2010-08-05,19.6,19.75,19.46,19.64,5.8782,96000,0.0,1.0
2010-08-06,19.65,19.94,19.49,19.8,5.9261,134100,0.0,1.0
2010-08-09,19.95,20.13,19.7,19.76,5.9141,173000,0.0,1.0
2010-08-10,19.59,19.98,19.59,19.89,5.953,104400,0.0,1.0
2010-08-11,19.7912,20.0,19.785,19.91,5.959,175800,0.0,1.0
2010-08-12,19.84,19.84,19.5,19.72,5.9839,123100,0.272,1.0
2010-08-13,19.65,20.15,19.6196,20.12,6.1053,172200,0.0,1.0
2010-08-16,19.9789,20.22,19.91,20.09,6.0962,131500,0.0,1.0
2010-08-17,20.09,20.2,19.9,20.15,6.1144,153400,0.0,1.0
2010-08-18,20.14,20.15,19.91,19.96,6.0567,152000,0.0,1.0
2010-08-19,19.92,20.09,19.92,20.09,6.0962,93200,0.0,1.0
2010-08-20,20.0415,20.21,20.04,20.21,6.1326,112400,0.0,1.0
2010-08-23,20.23,20.45,20.15,20.41,6.1933,133900,0.0,1.0
2010-08-24,20.38,20.5,20.25,20.329,6.169,97500,0.0,1.0
2010-08-25,20.45,20.45,20.0,20.03,6.078,82000,0.0,1.0
2010-08-26,20.19,20.25,19.931,20.04,6.081,96300,0.0,1.0
2010-08-27,20.15,20.29,20.01,20.21,6.1326,100300,0.0,1.0
2010-08-30,20.24,20.34,20.0,20.07,6.0901,110200,0.0,1.0
2010-08-31,20.01,20.25,19.82,19.95,6.0537,102200,0.0,1.0
2010-09-01,20.17,20.18,19.8,19.83,6.0173,61000,0.0,1.0
2010-09-02,19.9091,20.009,19.7,20.0,6.0689,103500,0.0,1.0
2010-09-03,20.1,20.1,19.79,20.04,6.081,94000,0.0,1.0
2010-09-07,19.92,19.99,19.86,19.93,6.0476,56800,0.0,1.0
2010-09-08,19.78,19.8,19.6401,19.68,5.9718,179000,0.0,1.0
2010-09-09,19.67,19.908,19.6,19.75,5.993,76000,0.0,1.0
2010-09-10,19.67,19.97,19.61,19.71,5.9809,66800,0.0,1.0
2010-09-13,19.82,19.848,19.58,19.72,5.9839,107900,0.0,1.0
2010-09-14,19.81,19.81,19.52,19.57,5.9384,90000,0.0,1.0
2010-09-15,19.54,19.72,19.5,19.55,5.9323,63300,0.0,1.0
2010-09-16,19.63,19.87,19.54,19.57,5.9384,66300,0.0,1.0
2010-09-17,19.52,19.685,19.0,19.56,5.9353,229200,0.0,1.0
2010-09-20,19.65,19.98,19.63,19.82,6.0142,113300,0.0,1.0
2010-09-21,19.82,19.97,19.77,19.91,6.0415,75400,0.0,1.0
2010-09-22,19.84,19.99,19.83,19.99,6.0658,71300,0.0,1.0
2010-09-23,19.8,20.05,19.68,19.69,5.9748,129200,0.0,1.0
2010-09-24,19.82,19.89,19.66,19.69,5.9748,77400,0.0,1.0
2010-09-27,19.84,19.9,19.66,19.85,6.0233,87300,0.0,1.0
2010-09-28,19.75,19.94,19.75,19.86,6.0264,73600,0.0,1.0
2010-09-29,19.77,20.35,19.72,20.15,6.1144,202800,0.0,1.0
2010-09-30,20.26,20.4493,19.9,20.3,6.1599,149900,0.0,1.0
2010-10-01,20.21,20.494,20.03,20.289,6.1569,88000,0.0,1.0
