timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-04-28,18.7,19.64,18.67,19.5,18.6063,6609400,0.0,1.0
2017-05-01,19.5,19.72,19.5,19.6,18.7018,604900,0.0,1.0
2017-05-02,19.6,19.8506,19.251,19.81,18.9021,520500,0.0,1.0
2017-05-03,19.72,20.18,19.251,19.87,18.9594,300600,0.0,1.0
2017-05-04,19.8,20.72,19.65,20.3,19.3697,1038400,0.0,1.0
2017-05-05,20.3195,20.65,20.24,20.37,19.4365,154200,0.0,1.0
2017-05-08,20.35,20.4,20.11,20.3,19.3697,159900,0.0,1.0
2017-05-09,20.3282,20.837,20.0,20.58,19.6369,236200,0.0,1.0
2017-05-10,20.65,21.13,20.2996,21.01,20.0471,292900,0.0,1.0
2017-05-11,21.11,21.11,20.67,21.01,20.0471,153100,0.0,1.0
2017-05-12,21.05,21.05,20.74,20.91,19.9517,46200,0.0,1.0
2017-05-15,20.95,21.473,20.788,21.15,20.1807,230800,0.0,1.0
2017-05-16,21.26,21.28,20.8,21.05,20.0853,198000,0.0,1.0
2017-05-17,20.98,21.6,20.71,21.48,20.4956,398900,0.0,1.0
2017-05-18,21.48,22.07,21.34,21.58,20.591,68100,0.0,1.0
2017-05-19,21.69,21.95,21.32,21.76,20.7628,165400,0.0,1.0
2017-05-22,21.8692,22.01,21.81,22.0,20.9918,81900,0.0,1.0
2017-05-23,22.15,22.426,21.473,21.94,20.9345,279300,0.0,1.0
2017-05-24,22.0,22.5,21.82,22.24,21.2208,276900,0.0,1.0
2017-05-25,21.78,22.46,21.543,22.0,20.9918,910600,0.0,1.0
2017-05-26,22.03,22.2,21.45,21.5,20.5147,649300,0.0,1.0
2017-05-30,21.4,21.5,20.15,20.5,19.5605,257200,0.0,1.0
2017-05-31,20.5,20.65,20.26,20.48,19.5414,456300,0.0,1.0
2017-06-01,20.97,21.23,20.45,20.96,19.9994,366000,0.0,1.0
2017-06-02,21.03,21.23,20.7981,21.14,20.1712,199900,0.0,1.0
2017-06-05,21.21,21.49,20.97,21.28,20.3722,203700,0.07,1.0
2017-06-06,21.17,21.54,21.12,21.2,20.2956,138800,0.0,1.0
2017-06-07,21.12,21.38,21.0,21.25,20.3435,150200,0.0,1.0
2017-06-08,22.02,22.02,21.16,21.64,20.7169,207900,0.0,1.0
2017-06-09,21.7,21.76,21.58,21.71,20.7839,85000,0.0,1.0
2017-06-12,21.73,22.1899,21.59,21.98,21.0424,182900,0.0,1.0
2017-06-13,21.95,22.665,21.95,22.5,21.5402,178400,0.0,1.0
2017-06-14,22.45,23.37,22.315,22.71,21.7412,180700,0.0,1.0
2017-06-15,22.59,22.67,21.39,21.78,20.8509,167400,0.0,1.0
2017-06-16,21.74,22.47,21.7,22.15,21.2051,733300,0.0,1.0
2017-06-19,22.11,22.73,21.68,21.91,20.9754,291400,0.0,1.0
2017-06-20,21.85,21.98,21.25,21.47,20.5541,158500,0.0,1.0
2017-06-21,21.54,21.89,21.16,21.37,20.4584,200600,0.0,1.0
2017-06-22,21.36,21.86,20.78,21.01,20.1138,145500,0.0,1.0
2017-06-23,20.98,21.81,20.5703,21.29,20.3818,2006900,0.0,1.0
2017-06-26,21.23,21.6117,21.0,21.23,20.3244,266100,0.0,1.0
2017-06-27,21.25,22.1011,21.155,21.49,20.5733,279500,0.0,1.0
2017-06-28,21.43,22.54,21.37,21.82,20.8892,193700,0.0,1.0
2017-06-29,21.86,21.866,21.3,21.5,20.5828,59800,0.0,1.0
2017-06-30,21.58,22.15,21.52,21.9,20.9658,282100,0.0,1.0
2017-07-03,21.92,21.96,21.67,21.76,20.8318,43700,0.0,1.0
2017-07-05,21.79,22.03,21.041,21.84,20.9083,164000,0.0,1.0
2017-07-06,21.71,22.15,21.4,21.8,20.8701,403500,0.0,1.0
