timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2003-11-25,20.0,20.01,20.0,20.0,6.4972,338400,0.0,1.0
2003-11-26,20.0,20.01,20.0,20.01,6.5005,34400,0.0,1.0
2003-11-28,20.0,20.04,20.0,20.04,6.5102,9800,0.0,1.0
2003-12-01,20.02,20.02,20.0,20.01,6.5005,39600,0.0,1.0
2003-12-02,20.0,20.01,20.0,20.0,6.4972,40300,0.0,1.0
2003-12-03,20.0,20.01,20.0,20.0,6.4972,28700,0.0,1.0
2003-12-04,20.01,20.01,20.0,20.01,6.5005,40200,0.0,1.0
2003-12-05,20.0,20.0072,20.0,20.01,6.5005,48100,0.0,1.0
2003-12-08,20.0,20.05,20.0,20.02,6.5037,44100,0.0,1.0
2003-12-09,20.03,20.08,20.0,20.04,6.5102,50000,0.0,1.0
2003-12-10,20.01,20.09,20.0,20.04,6.5102,67900,0.0,1.0
2003-12-11,20.01,20.07,20.0,20.05,6.5135,41900,0.0,1.0
2003-12-12,20.01,20.14,20.0,20.13,6.5395,35500,0.0,1.0
2003-12-15,20.04,20.1,20.0,20.0,6.4972,74700,0.0,1.0
2003-12-16,20.0,20.07,20.0,20.05,6.5135,34500,0.0,1.0
2003-12-17,20.0,20.08,20.0,20.03,6.507,21200,0.0,1.0
2003-12-18,20.08,20.08,20.0,20.03,6.507,31700,0.0,1.0
2003-12-19,20.06,20.06,20.0,20.01,6.5005,27600,0.0,1.0
2003-12-22,20.01,20.07,20.0,20.0,6.4972,36700,0.0,1.0
2003-12-23,20.08,20.09,20.02,20.08,6.5232,29300,0.0,1.0
2003-12-24,20.08,20.08,20.0,20.01,6.5005,27900,0.0,1.0
2003-12-26,20.01,20.01,19.92,19.95,6.5096,33100,0.088,1.0
2003-12-29,19.98,19.99,19.63,19.77,6.4509,113200,0.0,1.0
2003-12-30,19.72,19.88,19.62,19.75,6.4444,82300,0.0,1.0
2003-12-31,19.7504,19.81,19.65,19.65,6.4117,40600,0.0,1.0
