timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2016-04-21,6.46,6.61,6.0,6.55,5.5626,58800,0.0,1.0
2016-04-22,6.59,6.81,6.55,6.7,5.69,35800,0.0,1.0
2016-04-25,6.66,6.66,6.32,6.48,5.5032,35400,0.0,1.0
2016-04-26,6.41,6.45,6.25,6.34,5.3843,21000,0.0,1.0
2016-04-27,6.66,6.6604,5.7,6.18,5.2484,453200,0.0,1.0
2016-04-28,6.14,6.26,5.91,6.11,5.189,239900,0.0,1.0
2016-04-29,6.0,6.47,5.93,6.37,5.4098,1304800,0.0,1.0
2016-05-02,6.28,6.29,6.04,6.14,5.2144,378300,0.0,1.0
2016-05-03,6.12,6.25,6.03,6.2,5.2654,441200,0.0,1.0
2016-05-04,6.1,6.15,5.83,6.04,5.1295,3040600,0.0,1.0
2016-05-05,6.01,6.16,5.98,6.02,5.1125,1465300,0.0,1.0
2016-05-06,6.02,6.17,5.95,5.96,5.0616,395500,0.0,1.0
2016-05-09,5.85,6.02,5.81,5.9,5.0106,457600,0.0,1.0
2016-05-10,5.9,5.98,5.875,5.9,5.0106,808800,0.0,1.0
2016-05-11,5.8803,6.04,5.825,5.93,5.0361,435300,0.0,1.0
2016-05-12,5.95,6.04,5.9,5.92,5.0276,145400,0.0,1.0
2016-05-13,5.73,5.8905,5.6,5.65,4.9236,241300,0.1506,1.0
2016-05-16,5.55,5.78,5.33,5.55,4.8365,1045300,0.0,1.0
2016-05-17,5.38,5.66,5.3304,5.63,4.9062,656600,0.0,1.0
2016-05-18,5.69,5.75,5.4503,5.45,4.7493,456700,0.0,1.0
2016-05-19,5.32,5.5,5.32,5.45,4.7493,411500,0.0,1.0
2016-05-20,5.39,5.535,5.36,5.42,4.7232,288200,0.0,1.0
2016-05-23,5.48,5.48,5.25,5.31,4.6273,553600,0.0,1.0
2016-05-24,5.22,5.57,5.22,5.36,4.6709,1109400,0.0,1.0
2016-05-25,5.34,5.6703,5.34,5.57,4.8539,648500,0.0,1.0
2016-05-26,5.57,5.6,5.51,5.55,4.8365,951300,0.0,1.0
2016-05-27,5.55,5.57,5.51,5.56,4.8452,498500,0.0,1.0
2016-05-31,5.52,5.73,5.45,5.68,4.9497,1854900,0.0,1.0
2016-06-01,5.66,5.73,5.56,5.73,4.9933,906900,0.0,1.0
2016-06-02,5.74,5.74,5.64,5.68,4.9497,950000,0.0,1.0
2016-06-03,5.67,5.76,5.62,5.74,5.002,1410900,0.0,1.0
2016-06-06,5.72,5.79,5.67,5.73,4.9933,388300,0.0,1.0
2016-06-07,5.65,5.79,5.6,5.75,5.0107,490700,0.0,1.0
