timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2001-08-15,5.91,6.0,5.75,5.76,0.6307,1184600,0.0,1.0
2001-08-16,5.75,5.75,5.4,5.64,0.6175,1654000,0.0,1.0
2001-08-17,5.55,5.59,5.41,5.45,0.5967,644400,0.0,1.0
2001-08-20,5.43,5.59,5.4,5.57,0.6099,911700,0.0,1.0
2001-08-21,5.65,6.13,5.65,5.81,0.6361,1556300,0.0,1.0
2001-08-22,5.95,6.2,5.94,6.17,0.6755,1616800,0.0,1.0
2001-08-23,6.17,6.17,5.93,5.95,0.6515,656100,0.0,1.0
2001-08-24,5.92,6.14,5.88,6.1,0.6679,543100,0.0,1.0
2001-08-27,6.0,6.15,5.95,5.95,0.6515,284100,0.0,1.0
2001-08-28,5.98,6.04,5.8,5.87,0.6427,552700,0.0,1.0
2001-08-29,5.88,6.05,5.88,5.99,0.6558,551800,0.0,1.0
2001-08-30,6.3,6.75,6.0,6.5,0.7117,3213100,0.0,1.0
2001-08-31,6.5,6.58,6.25,6.4,0.7007,983500,0.0,1.0
2001-09-04,6.69,6.69,6.36,6.5,0.7117,1032200,0.0,1.0
2001-09-05,6.5,6.5,6.29,6.5,0.7117,702900,0.0,1.0
2001-09-06,6.41,6.42,6.13,6.2,0.6788,800000,0.0,1.0
2001-09-07,6.1,6.16,5.95,6.07,0.6646,751600,0.0,1.0
2001-09-10,5.88,6.2,5.8,6.0,0.6569,813300,0.0,1.0
2001-09-17,5.25,5.75,5.18,5.31,0.5814,3141800,0.0,1.0
2001-09-18,5.35,5.54,5.27,5.34,0.5847,2516900,0.0,1.0
2001-09-19,5.34,5.4,4.79,5.05,0.5529,4641900,0.0,1.0
2001-09-20,4.99,5.06,4.69,4.89,0.5354,3677200,0.0,1.0
2001-09-21,4.09,5.0,4.07,4.83,0.5288,3667300,0.0,1.0
2001-09-24,5.0,5.25,4.95,5.2,0.5693,2828700,0.0,1.0
2001-09-25,5.2,5.51,5.2,5.47,0.5989,2852400,0.0,1.0
2001-09-26,5.53,5.65,5.0,5.45,0.5967,4167200,0.0,1.0
2001-09-27,5.45,5.5,5.22,5.47,0.5989,2443400,0.0,1.0
2001-09-28,5.47,6.08,5.45,6.05,0.6624,3546200,0.0,1.0
2001-10-01,5.85,6.0,5.67,5.83,0.6383,1300500,0.0,1.0
2001-10-02,5.77,6.03,5.76,5.98,0.6547,1697800,0.0,1.0
2001-10-03,5.99,6.3,5.95,6.0,0.6569,1850700,0.0,1.0
2001-10-04,6.08,6.5,6.08,6.3,0.6898,2341400,0.0,1.0
2001-10-05,6.38,6.5,5.95,5.99,0.6558,1703800,0.0,1.0
2001-10-08,5.59,6.0,5.59,5.91,0.6471,1298800,0.0,1.0
2001-10-09,5.92,6.3,5.9,6.3,0.6898,1543000,0.0,1.0
2001-10-10,6.36,6.9,6.25,6.66,0.7292,5058100,0.0,1.0
2001-10-11,7.35,7.88,7.34,7.85,0.8595,13808500,0.0,1.0
2001-10-12,7.85,7.85,7.15,7.42,0.8124,5468200,0.0,1.0
2001-10-15,7.22,7.5,7.21,7.35,0.8047,2181400,0.0,1.0
2001-10-16,7.41,7.8,7.22,7.46,0.8168,3702200,0.0,1.0
2001-10-17,7.59,7.75,7.25,7.42,0.8124,2899000,0.0,1.0
2001-10-18,7.42,7.47,7.24,7.26,0.7949,1723700,0.0,1.0
2001-10-19,7.27,7.4,7.0,7.4,0.8102,1630800,0.0,1.0
2001-10-22,7.32,7.74,7.31,7.74,0.8474,2135300,0.0,1.0
2001-10-23,7.74,7.79,7.52,7.67,0.8398,2220300,0.0,1.0
2001-10-24,7.67,7.71,7.43,7.47,0.8179,2356400,0.0,1.0
2001-10-25,7.3,7.45,7.15,7.42,0.8124,2499900,0.0,1.0
2001-10-26,7.41,7.49,7.35,7.44,0.8146,1343300,0.0,1.0
2001-10-29,7.2,7.25,7.02,7.06,0.773,1420400,0.0,1.0
2001-10-30,7.02,7.02,6.75,6.76,0.7401,2397400,0.0,1.0
2001-10-31,6.77,6.99,6.5,6.53,0.715,5364400,0.0,1.0
2001-11-01,6.62,6.93,6.53,6.79,0.7434,4480800,0.0,1.0
2001-11-02,6.79,6.85,6.69,6.7,0.7336,1205200,0.0,1.0
2001-11-05,6.75,7.0,6.75,6.94,0.7599,1539800,0.0,1.0
2001-11-06,6.88,7.2,6.8,7.2,0.7883,3083200,0.0,1.0
2001-11-07,7.25,8.1,7.25,8.1,0.8869,6756200,0.0,1.0
2001-11-08,8.23,8.88,8.2,8.26,0.9044,6864800,0.0,1.0
2001-11-09,8.36,8.73,8.25,8.64,0.946,3155400,0.0,1.0
2001-11-12,8.3,8.63,8.11,8.44,0.9241,3029800,0.0,1.0
2001-11-13,8.73,8.94,8.59,8.7,0.9525,4472100,0.0,1.0
2001-11-14,8.75,9.0,8.45,8.9,0.9744,2373400,0.0,1.0
2001-11-15,8.77,8.77,8.4,8.55,0.9361,2216700,0.0,1.0
2001-11-16,8.55,8.59,8.31,8.35,0.9142,1594200,0.0,1.0
2001-11-19,8.27,8.6,8.26,8.45,0.9252,1926600,0.0,1.0
2001-11-20,8.45,8.5,8.05,8.05,0.8814,1508900,0.0,1.0
2001-11-21,8.11,8.19,8.02,8.17,0.8945,870300,0.0,1.0
2001-11-23,8.04,8.49,8.04,8.43,0.923,665700,0.0,1.0
2001-11-26,8.4,8.53,8.25,8.4,0.9197,1259600,0.0,1.0
2001-11-27,8.4,8.43,8.13,8.4,0.9197,1413500,0.0,1.0
2001-11-28,8.25,8.38,8.0,8.05,0.8814,1729500,0.0,1.0
2001-11-29,8.0,8.04,7.8,8.04,0.8803,1519900,0.0,1.0
2001-11-30,8.1,8.14,7.93,8.0,0.8759,1457800,0.0,1.0
2001-12-03,7.8,8.06,7.76,7.95,0.8704,1953100,0.0,1.0
2001-12-04,7.9,8.25,7.85,8.2,0.8978,1436600,0.0,1.0
2001-12-05,8.5,9.35,8.49,9.35,1.0237,4804100,0.0,1.0
2001-12-06,9.4,9.8,9.15,9.8,1.073,5248900,0.0,1.0
2001-12-07,10.46,11.1,9.8,10.46,1.1452,10243500,0.0,1.0
2001-12-10,10.46,10.48,10.0,10.0,1.0949,2751200,0.0,1.0
2001-12-11,10.01,10.38,10.0,10.11,1.1069,3447600,0.0,1.0
2001-12-12,10.03,10.19,9.85,10.0,1.0949,1703100,0.0,1.0
2001-12-13,10.0,10.18,9.8,9.91,1.085,2101500,0.0,1.0
2001-12-14,9.92,10.34,9.9,10.34,1.1321,2799400,0.0,1.0
2001-12-17,10.34,10.55,10.1,10.5,1.1496,3006800,0.0,1.0
2001-12-18,10.4,10.55,10.4,10.55,1.1551,2458900,0.0,1.0
2001-12-19,10.55,10.65,10.3,10.61,1.1617,1735300,0.0,1.0
2001-12-20,10.41,10.63,10.2,10.25,1.1223,1855500,0.0,1.0
2001-12-21,10.2,10.5,10.13,10.5,1.1496,2169800,0.0,1.0
2001-12-24,10.5,10.5,10.25,10.3,1.1277,541300,0.0,1.0
2001-12-26,10.31,10.57,10.3,10.45,1.1442,1362800,0.0,1.0
2001-12-27,10.25,10.61,10.16,10.25,1.1223,2135900,0.0,1.0
2001-12-28,10.0,10.45,10.0,10.45,1.1442,1517000,0.0,1.0
2001-12-31,10.15,10.49,10.15,10.25,1.1223,1866100,0.0,1.0
2002-01-02,10.21,10.5,10.15,10.5,1.1496,1545700,0.0,1.0
2002-01-03,10.5,11.35,10.45,11.1,1.2153,4903100,0.0,1.0
2002-01-04,11.85,12.29,11.7,12.29,1.3456,8097600,0.0,1.0
2002-01-07,12.6,12.64,12.0,12.1,1.3248,4996800,0.0,1.0
2002-01-08,12.0,12.0,11.63,11.73,1.2843,2426400,0.0,1.0
2002-01-09,11.74,12.09,11.71,11.97,1.3106,3545800,0.0,1.0
2002-01-10,11.87,12.21,11.7,11.91,1.304,2585200,0.0,1.0
