timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-06-28,20.0,20.01,20.0013,20.0,4.645,411600,0.0,1.0
2005-06-29,20.0,20.1,20.0,20.05,4.6566,58200,0.0,1.0
2005-06-30,20.05,20.25,20.0,20.18,4.6868,78100,0.0,1.0
2005-07-01,20.18,20.19,20.0,20.04,4.6543,62500,0.0,1.0
2005-07-05,20.04,20.1311,20.0,20.02,4.6496,37700,0.0,1.0
2005-07-06,20.07,20.16,20.01,20.15,4.6798,45900,0.0,1.0
2005-07-07,20.05,20.25,20.04,20.21,4.6938,78300,0.0,1.0
2005-07-08,20.18,20.2,20.06,20.15,4.6798,39200,0.0,1.0
2005-07-11,20.22,20.24,20.07,20.14,4.6775,79800,0.0,1.0
2005-07-12,20.1103,20.24,20.08,20.19,4.6891,67800,0.0,1.0
2005-07-13,20.19,20.45,20.12,20.34,4.7239,136900,0.0,1.0
2005-07-14,20.36,20.54,20.31,20.54,4.7704,99100,0.0,1.0
2005-07-15,20.5,20.63,20.41,20.6,4.7843,45300,0.0,1.0
2005-07-18,20.7,20.7,20.46,20.6,4.7843,54500,0.0,1.0
2005-07-19,20.61,20.64,20.15,20.35,4.7263,107400,0.0,1.0
2005-07-20,20.4,20.61,20.3,20.39,4.7356,65300,0.0,1.0
2005-07-21,20.35,20.4,20.0,20.18,4.6868,99300,0.0,1.0
2005-07-22,20.23,20.34,20.12,20.32,4.7193,45400,0.0,1.0
2005-07-25,20.25,20.49,20.21,20.25,4.703,64000,0.0,1.0
2005-07-26,20.19,20.45,20.19,20.43,4.7449,76900,0.0,1.0
2005-07-27,20.38,20.49,20.25,20.49,4.7588,59900,0.0,1.0
2005-07-28,20.1,20.1,20.0,20.0,4.645,485200,0.0,1.0
2005-07-29,20.0,20.06,20.0,20.05,4.6566,123200,0.0,1.0
2005-08-01,20.05,20.09,20.0,20.08,4.6636,65700,0.0,1.0
2005-08-02,20.08,20.08,20.0,20.03,4.6519,126200,0.0,1.0
2005-08-03,20.01,20.05,20.0,20.04,4.6543,102400,0.0,1.0
2005-08-04,20.02,20.04,20.0,20.02,4.6496,64600,0.0,1.0
2005-08-05,20.04,20.04,20.0,20.01,4.6473,112600,0.0,1.0
2005-08-08,20.03,20.05,20.0,20.01,4.6473,109800,0.0,1.0
2005-08-09,20.01,20.02,20.0,20.0,4.645,136600,0.0,1.0
2005-08-10,20.0,20.0,19.82,19.97,4.638,121900,0.0,1.0
2005-08-11,19.9581,20.01,19.92,20.01,4.6473,59800,0.0,1.0
2005-08-12,20.0,20.01,19.92,19.95,4.6334,46000,0.0,1.0
2005-08-15,19.9,20.02,19.88,20.02,4.6496,50300,0.0,1.0
2005-08-16,20.08,20.09,19.9,19.91,4.6241,67600,0.0,1.0
2005-08-17,19.98,20.08,19.91,20.06,4.6589,71300,0.0,1.0
2005-08-18,20.08,20.08,19.98,20.05,4.6566,33400,0.0,1.0
2005-08-19,20.02,20.09,20.0,20.0,4.645,46500,0.0,1.0
2005-08-22,20.0,20.03,19.9,20.02,4.6496,52500,0.0,1.0
2005-08-23,20.07,20.07,19.92,20.0,4.645,62800,0.0,1.0
2005-08-24,20.0,20.01,19.91,19.95,4.6334,44700,0.0,1.0
2005-08-25,19.95,20.01,19.81,19.99,4.6427,91000,0.0,1.0
2005-08-26,19.92,19.95,19.71,19.8,4.5985,75000,0.0,1.0
2005-08-29,19.7,19.98,19.7,19.9,4.6218,70100,0.0,1.0
2005-08-30,19.9,19.95,19.8,19.9,4.6218,54900,0.0,1.0
