timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,26.5,26.75,26.5,26.5,4.6481,1900,0.0,1.0
1999-09-14,26.75,26.75,25.5,26.25,4.6043,22300,0.0,1.0
1999-09-15,25.25,26.0,25.25,26.0,4.5604,56000,0.0,1.0
1999-09-16,26.0,26.0,25.0,25.0,4.385,19000,0.0,1.0
1999-09-17,25.25,25.375,25.0,25.0,4.385,23100,0.0,1.0
1999-09-20,25.0,25.5,25.0,25.125,4.407,25000,0.0,1.0
1999-09-21,25.125,25.25,25.125,25.25,4.4289,30500,0.0,1.0
1999-09-22,25.375,25.625,25.125,25.313,4.4398,30300,0.0,1.0
1999-09-23,25.125,25.875,25.125,25.75,4.5166,69800,0.0,1.0
1999-09-24,25.625,26.0,25.5,25.563,4.4837,7700,0.0,1.0
1999-09-27,25.75,25.75,25.501,25.688,4.5056,13500,0.0,1.0
1999-09-28,25.625,25.813,25.625,25.688,4.5056,34600,0.0,1.0
1999-09-29,25.5,25.5,25.0,25.0,4.385,27900,0.0,1.0
1999-09-30,24.75,24.813,24.063,24.25,4.2535,82200,0.0,1.0
1999-10-01,24.125,24.375,24.063,24.25,4.2535,27900,0.0,1.0
1999-10-04,24.25,24.375,23.75,24.125,4.2316,51200,0.0,1.0
1999-10-05,23.875,25.25,23.875,25.25,4.4289,19100,0.0,1.0
1999-10-06,24.5,26.0,24.5,25.875,4.5385,42900,0.0,1.0
1999-10-07,25.25,25.872,25.25,25.5,4.4727,42500,0.0,1.0
1999-10-08,25.375,25.75,25.375,25.5,4.4727,40800,0.0,1.0
1999-10-11,25.625,25.625,25.375,25.625,4.4947,11000,0.0,1.0
1999-10-12,25.375,25.5,25.375,25.5,4.4727,20500,0.0,1.0
1999-10-13,25.375,25.875,25.375,25.75,4.5166,64000,0.0,1.0
1999-10-14,25.375,25.9997,25.375,26.0,4.5604,68900,0.0,1.0
1999-10-15,25.906,26.125,25.374,25.625,4.4947,34100,0.0,1.0
1999-10-18,25.5,26.0,25.375,26.0,4.5604,34700,0.0,1.0
1999-10-19,25.375,26.25,25.375,25.75,4.5166,54000,0.0,1.0
1999-10-20,25.625,25.75,25.5,25.5,4.4727,18700,0.0,1.0
1999-10-21,25.5,25.75,25.438,25.5,4.4727,10300,0.0,1.0
1999-10-22,25.5,25.875,25.5,25.781,4.5221,25600,0.0,1.0
1999-10-25,25.5,25.656,25.5,25.5,4.4727,8000,0.0,1.0
1999-10-26,25.5,25.625,25.5,25.563,4.4837,30600,0.0,1.0
1999-10-27,25.5,25.625,25.5,25.5,4.4727,55600,0.0,1.0
1999-10-28,25.625,26.0,25.375,25.938,4.5495,84000,0.0,1.0
