timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2005-10-14,26.0,25.9985,26.0,26.0,6.8648,500,0.0,1.0
2005-10-17,25.0,25.0,23.2,23.2,6.1255,365500,0.0,1.0
2005-10-18,23.3,23.3,21.2,21.9,5.7823,1901000,0.0,1.0
2005-10-19,21.5003,22.75,20.75,22.4,5.9143,1961000,0.0,1.0
2005-10-20,22.15,22.7,21.56,22.0,5.8087,980400,0.0,1.0
2005-10-21,21.3504,22.4,21.35,21.99,5.8061,529400,0.0,1.0
2005-10-24,21.99,22.43,21.8506,22.39,5.9117,1063100,0.0,1.0
2005-10-25,21.25,22.42,21.25,22.11,5.8377,1819000,0.0,1.0
2005-10-26,22.0515,23.0,20.7,21.25,5.6107,1761700,0.0,1.0
2005-10-27,21.2,21.3105,20.02,20.3,5.3599,633200,0.0,1.0
2005-10-28,20.5002,21.92,19.5,21.2,5.5975,1159600,0.0,1.0
2005-10-31,20.85,23.25,20.85,21.75,5.7427,1281100,0.0,1.0
2005-11-01,21.75,22.64,21.75,22.15,5.8483,930700,0.0,1.0
2005-11-02,21.75,23.34,21.75,22.83,6.0279,653500,0.0,1.0
2005-11-03,23.0019,23.07,22.35,23.0,6.0727,449200,0.0,1.0
2005-11-04,23.0,23.0,22.2,22.62,5.9724,160900,0.0,1.0
2005-11-07,22.45,22.73,22.0,22.61,5.9698,576700,0.0,1.0
2005-11-08,22.2,22.25,21.9,21.99,5.8061,957000,0.0,1.0
2005-11-09,21.85,22.0,21.1995,21.54,5.6873,938600,0.0,1.0
2005-11-10,21.53,21.97,21.35,21.92,5.7876,643700,0.0,1.0
2005-11-11,21.82,21.9097,21.52,21.75,5.7427,277800,0.0,1.0
2005-11-14,21.65,22.0,21.65,21.8,5.7559,291800,0.0,1.0
2005-11-15,21.7,21.7101,20.97,21.4,5.6503,601600,0.0,1.0
2005-11-16,21.25,21.5,20.9,21.0,5.5447,263000,0.0,1.0
2005-11-17,21.0,21.37,20.87,21.02,5.55,849500,0.0,1.0
2005-11-18,21.05,21.79,21.05,21.75,5.7427,744900,0.0,1.0
2005-11-21,21.85,22.14,21.75,21.99,5.8061,2042800,0.0,1.0
2005-11-22,22.0003,22.53,21.83,22.3,5.8879,608900,0.0,1.0
2005-11-23,22.25,22.6,22.08,22.24,5.8721,494800,0.0,1.0
2005-11-25,22.1,22.19,21.82,21.92,5.7876,136500,0.0,1.0
2005-11-28,21.9692,22.25,21.68,22.05,5.8219,854400,0.0,1.0
2005-11-29,21.85,22.8,21.85,22.48,6.051,589800,0.25,1.0
2005-11-30,22.33,22.9,22.3,22.8,6.1371,718300,0.0,1.0
2005-12-01,22.671,23.33,22.67,23.23,6.2529,501700,0.0,1.0
2005-12-02,23.18,23.2,22.74,23.2,6.2448,441100,0.0,1.0
2005-12-05,23.2,23.22,23.0,23.12,6.2233,328600,0.0,1.0
2005-12-06,23.12,23.24,23.0,23.08,6.2125,391900,0.0,1.0
2005-12-07,23.05,23.19,23.0,23.09,6.2152,560700,0.0,1.0
2005-12-08,22.95,23.24,22.95,23.24,6.2556,262000,0.0,1.0
2005-12-09,23.2,23.5,22.99,23.31,6.2744,632800,0.0,1.0
2005-12-12,23.25,23.41,23.01,23.12,6.2233,174200,0.0,1.0
2005-12-13,22.9,22.9,22.32,22.62,6.0887,505600,0.0,1.0
2005-12-14,22.65,23.19,22.45,23.15,6.2313,376700,0.0,1.0
2005-12-15,23.3,24.15,22.65,23.55,6.339,1038700,0.0,1.0
2005-12-16,23.56,24.5,23.56,24.16,6.5032,2152900,0.0,1.0
2005-12-19,24.16,24.42,24.12,24.3,6.5409,2624500,0.0,1.0
2005-12-20,24.28,24.28,23.66,23.95,6.4467,760600,0.0,1.0
2005-12-21,23.75,23.9117,23.48,23.84,6.4171,188900,0.0,1.0
2005-12-22,23.8,23.85,23.36,23.55,6.339,350400,0.0,1.0
2005-12-23,23.5,23.9,23.48,23.9,6.4332,192900,0.0,1.0
2005-12-27,24.0,24.55,23.9986,24.2,6.514,354400,0.0,1.0
2005-12-28,24.2,24.2,23.45,23.87,6.4251,338200,0.0,1.0
2005-12-29,23.8,24.08,23.7,24.05,6.4736,554600,0.0,1.0
2005-12-30,24.0,24.39,23.94,24.35,6.5543,362500,0.0,1.0
2006-01-03,24.35,24.48,23.85,24.3,6.5409,216600,0.0,1.0
2006-01-04,24.25,24.4,24.141,24.37,6.5597,509900,0.0,1.0
2006-01-05,24.4,24.5,23.79,23.79,6.4036,371700,0.0,1.0
2006-01-06,23.79,24.2999,23.18,23.79,6.4036,532200,0.0,1.0
2006-01-09,23.54,23.85,23.35,23.62,6.3578,514300,0.0,1.0
2006-01-10,23.5,24.38,23.49,24.24,6.5247,522000,0.0,1.0
2006-01-11,24.2,24.6995,24.2,24.67,6.6405,510000,0.0,1.0
2006-01-12,24.67,25.17,24.67,25.0,6.7293,237300,0.0,1.0
2006-01-13,25.0,25.03,24.62,24.85,6.6889,275000,0.0,1.0
2006-01-17,25.05,25.25,24.7,24.76,6.6647,168400,0.0,1.0
2006-01-18,24.68,25.15,24.68,25.15,6.7697,448000,0.0,1.0
2006-01-19,25.2,25.62,25.2,25.6,6.8908,358800,0.0,1.0
2006-01-20,25.4,25.73,25.0,25.15,6.7697,489400,0.0,1.0
2006-01-23,24.95,25.3321,24.6,24.66,6.6378,397200,0.0,1.0
2006-01-24,24.7,24.9008,24.41,24.47,6.5866,369300,0.0,1.0
2006-01-25,24.4711,24.53,24.3,24.37,6.5597,237900,0.0,1.0
2006-01-26,24.37,24.38,24.22,24.22,6.5193,298100,0.0,1.0
2006-01-27,24.15,24.5,24.081,24.49,6.592,298800,0.0,1.0
2006-01-30,24.49,24.49,24.2494,24.45,6.5813,340800,0.0,1.0
2006-01-31,24.38,24.44,24.25,24.38,6.5624,300200,0.0,1.0
2006-02-01,24.38,24.54,24.13,24.21,6.5167,448800,0.0,1.0
2006-02-02,24.19,24.39,24.18,24.26,6.5301,124900,0.0,1.0
2006-02-03,24.2,25.18,24.18,24.94,6.7131,468400,0.0,1.0
2006-02-06,24.94,24.94,24.04,24.43,6.5759,305600,0.0,1.0
2006-02-07,24.5,24.65,24.3,24.47,6.5866,121000,0.0,1.0
2006-02-08,24.45,24.45,23.58,23.58,6.3471,456900,0.0,1.0
2006-02-09,23.6,23.65,23.05,23.55,6.339,762100,0.0,1.0
2006-02-10,23.55,23.65,23.4,23.56,6.3417,249100,0.0,1.0
