timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2006-11-28,20.19,20.24,20.06,20.19,6.6237,51300,0.0,1.0
2006-11-29,20.19,20.24,20.07,20.19,6.6237,38500,0.0,1.0
2006-11-30,20.14,20.4,20.14,20.4,6.6926,35900,0.0,1.0
2006-12-01,20.4,20.6,20.25,20.4,6.6926,76100,0.0,1.0
2006-12-04,20.4,20.8,20.3,20.5,6.7254,64200,0.0,1.0
2006-12-05,20.72,20.74,20.1,20.11,6.5974,70800,0.0,1.0
2006-12-06,20.1787,20.7,20.18,20.5,6.7254,27800,0.0,1.0
2006-12-07,20.65,20.79,20.61,20.67,6.7812,20700,0.0,1.0
2006-12-08,20.61,20.68,20.4,20.65,6.7746,28500,0.0,1.0
2006-12-11,20.55,20.69,20.47,20.54,6.7385,19100,0.0,1.0
2006-12-12,20.54,20.7004,20.45,20.7,6.791,22700,0.0,1.0
2006-12-13,20.7,20.75,20.6,20.75,6.8074,28100,0.0,1.0
2006-12-14,20.75,21.0,20.48,20.48,6.7188,39300,0.0,1.0
2006-12-15,20.4,20.75,20.4,20.75,6.8074,39700,0.0,1.0
2006-12-18,20.75,20.75,20.28,20.55,6.7418,30000,0.0,1.0
2006-12-19,20.65,20.7,20.23,20.23,6.6368,55400,0.0,1.0
2006-12-20,20.43,20.75,20.35,20.55,6.7418,34500,0.0,1.0
2006-12-21,20.58,20.75,20.36,20.65,6.7746,54800,0.0,1.0
2006-12-22,20.7096,20.85,20.6,20.7,6.844,45800,0.16,1.0
2006-12-26,20.7,20.7,20.5,20.63,6.8209,43800,0.0,1.0
2006-12-27,20.51,20.8,20.4,20.75,6.8606,39800,0.0,1.0
2006-12-28,20.8,20.85,20.55,20.7,6.844,23800,0.0,1.0
2006-12-29,20.26,20.54,20.15,20.42,6.7515,67300,0.0,1.0
2007-01-03,20.4,20.53,20.05,20.25,6.6953,58200,0.0,1.0
2007-01-04,20.45,20.4507,19.75,19.75,6.5299,98900,0.0,1.0
2007-01-05,19.8,20.8,19.8,19.94,6.5928,41100,0.0,1.0
2007-01-08,19.89,20.74,19.87,20.22,6.6853,56700,0.0,1.0
2007-01-09,20.38,20.38,20.01,20.36,6.7316,40100,0.0,1.0
2007-01-10,20.36,20.4,19.9694,20.35,6.7283,58500,0.0,1.0
2007-01-11,20.3,20.4,20.01,20.12,6.6907,34300,0.117,1.0
2007-01-12,20.22,20.23,19.88,20.01,6.6542,40500,0.0,1.0
2007-01-16,20.1,20.22,20.0,20.18,6.7107,32000,0.0,1.0
2007-01-17,20.03,20.1793,20.01,20.18,6.7107,40600,0.0,1.0
2007-01-18,20.21,20.35,20.08,20.15,6.7007,37800,0.0,1.0
2007-01-19,20.2,20.3,20.0,20.06,6.6708,36300,0.0,1.0
2007-01-22,20.1494,20.3,20.01,20.1,6.6841,43600,0.0,1.0
2007-01-23,20.06,20.25,20.02,20.09,6.6808,47700,0.0,1.0
2007-01-24,20.1489,20.45,20.04,20.1,6.6841,80400,0.0,1.0
2007-01-25,20.1,20.5,20.1,20.45,6.8005,118700,0.0,1.0
2007-01-26,20.49,20.5,20.24,20.49,6.8138,49300,0.0,1.0
2007-01-29,20.45,20.49,20.25,20.33,6.7606,37400,0.0,1.0
2007-01-30,20.4,20.45,20.24,20.25,6.734,47900,0.0,1.0
2007-01-31,20.44,20.65,20.38,20.63,6.8603,75600,0.0,1.0
2007-02-01,20.69,20.81,20.4,20.5,6.8171,133200,0.0,1.0
2007-02-02,20.58,20.6,20.3,20.56,6.8371,30000,0.0,1.0
2007-02-05,20.5,20.55,20.29,20.33,6.7606,23500,0.0,1.0
2007-02-06,20.32,20.58,20.11,20.17,6.7074,55700,0.0,1.0
2007-02-07,20.2,20.4898,20.2,20.47,6.8071,31400,0.0,1.0
2007-02-08,20.46,20.59,20.26,20.42,6.7905,37300,0.0,1.0
2007-02-09,20.5,20.5,20.11,20.3,6.7506,36100,0.0,1.0
2007-02-12,20.15,20.23,20.0207,20.23,6.7273,60200,0.0,1.0
2007-02-13,20.1505,20.28,20.06,20.2,6.7568,45000,0.118,1.0
2007-02-14,20.3,20.64,20.21,20.36,6.8103,82100,0.0,1.0
2007-02-15,20.33,20.4,20.11,20.39,6.8203,34000,0.0,1.0
2007-02-16,20.3,20.31,20.01,20.08,6.7166,29600,0.0,1.0
2007-02-20,20.15,20.19,19.95,20.03,6.6999,74300,0.0,1.0
2007-02-21,20.05,20.08,19.85,19.9,6.6564,58500,0.0,1.0
2007-02-22,19.9,20.05,19.63,19.87,6.6464,76600,0.0,1.0
