timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-09-13,21.375,22.2487,21.375,22.063,6.1357,60200,0.0,1.0
1999-09-14,22.0,22.25,21.563,21.563,5.9966,38100,0.0,1.0
1999-09-15,21.5,21.625,21.313,21.375,5.9445,38600,0.0,1.0
1999-09-16,21.25,21.625,21.25,21.25,5.9097,44700,0.0,1.0
1999-09-17,21.188,21.875,21.188,21.438,5.9619,57700,0.0,1.0
1999-09-20,21.313,21.875,21.313,21.563,5.9966,59500,0.0,1.0
1999-09-21,21.313,21.5,21.063,21.188,5.8923,35200,0.0,1.0
1999-09-22,21.188,21.625,21.188,21.375,5.9445,44900,0.0,1.0
1999-09-23,21.313,21.625,21.313,21.5,5.9792,46900,0.0,1.0
1999-09-24,21.625,21.75,21.5,21.625,6.014,32200,0.0,1.0
1999-09-27,21.625,21.875,21.313,21.5,5.9792,37100,0.0,1.0
1999-09-28,21.438,22.0005,21.063,21.25,5.9097,59500,0.0,1.0
1999-09-29,21.25,21.25,20.938,21.063,5.8576,41900,0.0,1.0
1999-09-30,20.875,21.125,20.6243,20.75,5.7707,67300,0.0,1.0
1999-10-01,20.625,20.94,20.5,20.938,5.9263,45600,0.3625,1.0
1999-10-04,21.0,21.0,20.7504,20.938,5.9263,34500,0.0,1.0
1999-10-05,20.9382,20.938,20.563,20.688,5.8556,63500,0.0,1.0
1999-10-06,20.5,20.75,20.5,20.75,5.8733,53200,0.0,1.0
1999-10-07,20.875,20.875,20.625,20.688,5.8556,47400,0.0,1.0
1999-10-08,20.625,20.75,20.5,20.625,5.8379,36200,0.0,1.0
1999-10-11,20.8139,21.25,20.563,21.125,5.9794,63100,0.0,1.0
1999-10-12,20.938,21.1247,20.688,20.75,5.8733,33600,0.0,1.0
1999-10-13,20.688,20.938,20.625,20.875,5.9086,30400,0.0,1.0
1999-10-14,20.75,20.875,20.563,20.625,5.8379,19000,0.0,1.0
1999-10-15,20.5,20.5,20.125,20.375,5.7671,56900,0.0,1.0
